drug,from_agency,to_agency,lag_days,lag_months,from_date,to_date,agency_pair
abevmy,TGA,HealthCanada,179,5.88042049934297,2021-05-10,2021-11-05,TGA -> HealthCanada
abilify,FDA,HealthCanada,2428,79.7634691195795,2002-11-15,2009-07-09,FDA -> HealthCanada
abilify asimtufii,FDA,HealthCanada,631,20.729303547963205,2023-04-27,2025-01-17,FDA -> HealthCanada
abilify maintena,EMA,HealthCanada,144,4.730617608409987,2013-09-19,2014-02-10,EMA -> HealthCanada
abilify maintena,HealthCanada,TGA,162,5.321944809461235,2014-02-10,2014-07-22,HealthCanada -> TGA
abraxane,FDA,EMA,1099,36.10381077529566,2005-01-07,2008-01-11,FDA -> EMA
abraxane,EMA,TGA,2034,66.81997371879106,2008-01-11,2013-08-06,EMA -> TGA
abraxane,TGA,PMDA,2192,72.01051248357425,2013-08-06,2019-08-07,TGA -> PMDA
abrilada,FDA,HealthCanada,426,13.994743758212877,2019-11-15,2021-01-14,FDA -> HealthCanada
abrilada,HealthCanada,TGA,25,0.8212877792378449,2021-01-14,2021-02-08,HealthCanada -> TGA
abrysvo,EMA,HealthCanada,154,5.059132720105125,2023-07-20,2023-12-21,EMA -> HealthCanada
abrysvo,HealthCanada,TGA,90,2.9566360052562417,2023-12-21,2024-03-20,HealthCanada -> TGA
abrysvo,TGA,Swissmedic,156,5.124835742444152,2024-03-20,2024-08-23,TGA -> Swissmedic
absorica ld,FDA,HealthCanada,1325,43.52825229960578,2019-11-05,2023-06-22,FDA -> HealthCanada
abstral,FDA,TGA,948,31.143232588699078,2011-01-07,2013-08-12,FDA -> TGA
acarizax,TGA,HealthCanada,287,9.42838370565046,2016-07-21,2017-05-04,TGA -> HealthCanada
accrufer,FDA,HealthCanada,1854,60.906701708278575,2019-07-25,2024-08-21,FDA -> HealthCanada
actemra,PMDA,FDA,709,23.291721419185283,2008-01-30,2010-01-08,PMDA -> FDA
actemra,FDA,HealthCanada,112,3.679369250985545,2010-01-08,2010-04-30,FDA -> HealthCanada
actemra,HealthCanada,TGA,258,8.47568988173456,2010-04-30,2011-01-13,HealthCanada -> TGA
actonel,FDA,HealthCanada,1718,56.4388961892247,1998-03-27,2002-12-09,FDA -> HealthCanada
acular ls,FDA,HealthCanada,227,7.457293035479632,2003-05-30,2004-01-12,FDA -> HealthCanada
acuvail,FDA,HealthCanada,693,22.766097240473062,2009-07-22,2011-06-15,FDA -> HealthCanada
aczone,FDA,HealthCanada,343,11.268068331143231,2005-07-07,2006-06-15,FDA -> HealthCanada
aczone,HealthCanada,TGA,3856,126.6754270696452,2006-06-15,2017-01-04,HealthCanada -> TGA
adacel,HealthCanada,TGA,7299,239.7831800262812,1999-05-20,2019-05-14,HealthCanada -> TGA
adakveo,FDA,EMA,251,8.245729303547963,2019-11-15,2020-07-23,FDA -> EMA
adakveo,EMA,TGA,257,8.442838370565045,2020-07-23,2021-04-06,EMA -> TGA
adasuve,EMA,FDA,8,0.2628120893561104,2012-12-13,2012-12-21,EMA -> FDA
adcetris,FDA,EMA,335,11.005256241787121,2011-08-19,2012-07-19,FDA -> EMA
adcetris,EMA,HealthCanada,197,6.471747700394218,2012-07-19,2013-02-01,EMA -> HealthCanada
adcetris,HealthCanada,PMDA,290,9.526938239159001,2013-02-01,2013-11-18,HealthCanada -> PMDA
adcetris,PMDA,TGA,31,1.0183968462549278,2013-11-18,2013-12-19,PMDA -> TGA
adcirca,FDA,HealthCanada,187,6.14323258869908,2009-05-22,2009-11-25,FDA -> HealthCanada
adcirca,HealthCanada,TGA,618,20.302233902759525,2009-11-25,2011-08-05,HealthCanada -> TGA
addyi,FDA,HealthCanada,924,30.354796320630747,2015-08-18,2018-02-27,FDA -> HealthCanada
adempas,HealthCanada,FDA,19,0.6241787122207622,2013-09-19,2013-10-08,HealthCanada -> FDA
adempas,FDA,PMDA,52,1.7082785808147174,2013-10-08,2013-11-29,FDA -> PMDA
adempas,PMDA,EMA,55,1.8068331143232588,2013-11-29,2014-01-23,PMDA -> EMA
adempas,EMA,TGA,74,2.431011826544021,2014-01-23,2014-04-07,EMA -> TGA
adenuric,EMA,TGA,2309,75.85413929040736,2008-02-21,2014-06-18,EMA -> TGA
adlumiz,EMA,PMDA,1184,38.89618922470434,2017-09-14,2020-12-11,EMA -> PMDA
adreview,FDA,HealthCanada,1322,43.42969776609724,2008-09-19,2012-05-03,FDA -> HealthCanada
adtralza,EMA,HealthCanada,174,5.716162943495401,2021-04-22,2021-10-13,EMA -> HealthCanada
adtralza,HealthCanada,Swissmedic,134,4.402102496714849,2021-10-13,2022-02-24,HealthCanada -> Swissmedic
aduhelm,FDA,EMA,192,6.307490144546649,2021-06-07,2021-12-16,FDA -> EMA
adynovate,PMDA,HealthCanada,265,8.705650459921156,2016-02-26,2016-11-17,PMDA -> HealthCanada
adzynma,PMDA,EMA,91,2.9894875164257555,2024-02-29,2024-05-30,PMDA -> EMA
afinitor,FDA,EMA,60,1.9710906701708277,2009-03-30,2009-05-29,FDA -> EMA
afinitor,EMA,HealthCanada,199,6.5374507227332455,2009-05-29,2009-12-14,EMA -> HealthCanada
afinitor,HealthCanada,TGA,939,30.847568988173453,2009-12-14,2012-07-10,HealthCanada -> TGA
afinitor disperz,FDA,HealthCanada,639,20.992115637319316,2012-08-29,2014-05-30,FDA -> HealthCanada
afstyla,EMA,TGA,139,4.566360052562418,2016-11-10,2017-03-29,EMA -> TGA
afstyla,TGA,PMDA,163,5.354796320630749,2017-03-29,2017-09-08,TGA -> PMDA
agamree,EMA,FDA,14,0.45992115637319314,2023-10-12,2023-10-26,EMA -> FDA
aggrastat,FDA,HealthCanada,462,15.177398160315374,1998-05-14,1999-08-19,FDA -> HealthCanada
