Marketing_authorisation_number,Procedure_number,Drug_name,Non_proprietary_name,Marketing_authorisation_holder,Drug_class,Pharmaceutical_form,Administration_route,Decision,Current_status,Decision_date,Decision_year,Orphan_drug_status,Indication_extended,Indication_requested,Indication_approved,Disease_class(es),Application_date,Application_year,Nonclinical_abridged,Referral_body,Document_name,Marketing_authorisation_holder_extracted,Agency,Indications_and_usage,Origin,Referral,Disease_name(s),DRUG_CODE
anda074556,,acyclovir,acyclovir,teva,small molecule,tablet,oral,approved,authorised,22.04.1997,1997,no,,,,,,,yes,,,teva,FDA,,fda,no,,
anda074570,,acyclovir,acyclovir,roxane,small molecule,capsule,oral,conditional marketing authorisation,discontinued,30.08.1996,1996,no,,,,,,,yes,,,roxane,FDA,,fda,no,,
anda074578,,acyclovir,acyclovir,teva,small molecule,capsule,oral,approved,authorised,22.04.1997,1997,no,,,,,,,yes,,,teva,FDA,,fda,no,,
anda074658,,acyclovir,acyclovir,lek pharm,small molecule,tablet,oral,conditional marketing authorisation,discontinued,27.03.1997,1997,no,,,,,,,yes,,,lek,FDA,,fda,no,,
anda074674,,acyclovir,acyclovir,ivax sub teva pharms,small molecule,capsule,oral,approved,discontinued,22.04.1997,1997,no,,,,,,,yes,,,teva,FDA,,fda,no,,
anda074727,,acyclovir,acyclovir,aurobindo pharma usa,small molecule,capsule,oral,approved,discontinued,22.04.1997,1997,no,,,,,,,yes,,,aurobindo,FDA,,fda,no,,
anda074738,,acyclovir,acyclovir,actavis mid atlantic,small molecule,suspension,oral,approved,authorised,28.04.1997,1997,no,,,,,,,yes,,,actavis,FDA,,fda,no,,
anda074750,,acyclovir,acyclovir,lek pharm,small molecule,capsule,oral,conditional marketing authorisation,discontinued,21.03.1997,1997,no,,,,,,,yes,,,lek,FDA,,fda,no,,
anda074828,,acyclovir,acyclovir,teva,small molecule,capsule,oral,approved,discontinued,22.04.1997,1997,no,,,,,,,yes,,,teva,FDA,,fda,no,,
anda074833,,acyclovir,acyclovir,strides pharma,small molecule,capsule,oral,approved,discontinued,22.04.1997,1997,no,,,,,,,yes,,,strides,FDA,,fda,no,,
anda074834,,acyclovir,acyclovir,chartwell molecules,small molecule,tablet,oral,approved,discontinued,24.04.1997,1997,no,,,,,,,yes,,,chartwell,FDA,,fda,no,,
anda074836,,acyclovir,acyclovir,ivax sub teva pharms,small molecule,tablet,oral,approved,discontinued,22.04.1997,1997,no,,,,,,,yes,,,teva,FDA,,fda,no,,
anda074870,,acyclovir,acyclovir,actavis elizabeth,small molecule,tablet,oral,approved,discontinued,05.06.1997,1997,no,,,,,,,yes,,,actavis,FDA,,fda,no,,
anda074872,,acyclovir,acyclovir,chartwell molecules,small molecule,capsule,oral,approved,discontinued,22.04.1997,1997,no,,,,,,,yes,,,chartwell,FDA,,fda,no,,
anda074889,,acyclovir,acyclovir,heritage,small molecule,capsule,oral,approved,authorised,31.10.1997,1997,no,,,,,,,yes,,,heritage,FDA,,fda,no,,
anda074891,,acyclovir,acyclovir,heritage,small molecule,tablet,oral,approved,authorised,31.10.1997,1997,no,,,,,,,yes,,,heritage,FDA,,fda,no,,
anda074906,,acyclovir,acyclovir,actavis elizabeth,small molecule,capsule,oral,approved,discontinued,26.08.1997,1997,no,,,,,,,yes,,,actavis,FDA,,fda,no,,
anda074914,,acyclovir,acyclovir,teva pharms,small molecule,capsule,oral,approved,discontinued,26.11.1997,1997,no,,,,,,,yes,,,teva,FDA,,fda,no,,
anda074946,,acyclovir,acyclovir,strides pharma,small molecule,tablet,oral,approved,authorised,19.11.1997,1997,no,,,,,,,yes,,,strides,FDA,,fda,no,,
anda074975,,acyclovir,acyclovir,ranbaxy,small molecule,capsule,oral,approved,discontinued,30.09.1998,1998,no,,,,,,,yes,,,ranbaxy,FDA,,fda,no,,
anda074976,,acyclovir,acyclovir,mylan,small molecule,tablet,oral,approved,discontinued,13.04.1998,1998,no,,,,,,,yes,,,mylan,FDA,,fda,no,,
anda074977,,acyclovir,acyclovir,mylan,small molecule,capsule,oral,approved,discontinued,13.04.1998,1998,no,,,,,,,yes,,,mylan,FDA,,fda,no,,
anda074980,,acyclovir,acyclovir,sun pharm inds ltd,small molecule,tablet,oral,approved,discontinued,30.09.1998,1998,no,,,,,,,yes,,,sun,FDA,,fda,no,,
anda075021,,acyclovir,acyclovir,teva pharms,small molecule,tablet,oral,approved,discontinued,18.03.1998,1998,no,,,,,,,yes,,,teva,FDA,,fda,no,,
anda075090,,acyclovir,acyclovir,adaptis,small molecule,capsule,oral,approved,authorised,26.01.1999,1999,no,,,,,,,yes,,,not reported,FDA,,fda,no,,
anda075101,,acyclovir,acyclovir,watson labs,small molecule,capsule,oral,approved,discontinued,15.04.1998,1998,no,,,,,,,yes,,,watson,FDA,,fda,no,,
anda075114,,acyclovir,acyclovir sodium,abbvie,small molecule,injectable,injection,approved,discontinued,26.07.1999,1999,no,,,,,,,yes,,,abbvie,FDA,,fda,no,,
anda075211,,acyclovir,acyclovir,aurobindo pharma usa,small molecule,tablet,oral,approved,discontinued,28.09.1998,1998,no,,,,,,,yes,,,aurobindo,FDA,,fda,no,,
anda075382,,acyclovir,acyclovir,carlsbad,small molecule,tablet,oral,approved,authorised,30.04.1999,1999,no,,,,,,,yes,,,not reported,FDA,,fda,no,,
anda075677,,acyclovir,acyclovir,apotex,small molecule,capsule,oral,approved,authorised,28.09.2005,2005,no,,,,,,,yes,,,apotex,FDA,,fda,no,,
anda077026,,acyclovir,acyclovir,hikma,,suspension,oral,approved,discontinued,07.06.2005,2005,no,,,,,,,yes,,,hikma,FDA,,fda,no,,
anda077309,,acyclovir,acyclovir,apotex,,tablet,oral,approved,authorised,29.09.2005,2005,no,,,,,,,yes,,,apotex,FDA,,fda,no,,
anda201445,,acyclovir,acyclovir,cadila pharms ltd,,capsule,oral,approved,authorised,06.03.2014,2014,no,,,,,,,yes,,,cadila,FDA,,fda,no,,
anda201501,,acyclovir,acyclovir,xiromed,,ointment,topical,approved,authorised,29.01.2020,2020,no,,,,,,,yes,,,not reported,FDA,,fda,no,,
anda202168,,acyclovir,acyclovir,cadila pharms ltd,,tablet,oral,approved,authorised,15.11.2013,2013,no,,,,infectious and parasitic diseases,,,yes,,,cadila,FDA,indications & usage herpes zoster infections: acyclovir tablet is indicated for the acute treatment of herpes zoster (shingles). genital herpes: acyclovir tablet is indicated for the treatment of initial episodes and the management of recurrent episodes of genital herpes. chickenpox:acyclovir tablet is indicated for the treatment of chickenpox (varicella).,fda,no,<herpes zoster>; <genital herpes>; <chickenpox>,
anda202459,,acyclovir,acyclovir,norvium bioscience,,ointment,topical,approved,authorised,03.04.2013,2013,no,,,,infectious and parasitic diseases; diseases of the skin,,,yes,,,norvium,FDA,indications and usage acyclovir ointment 5% is indicated in the management of initial genital herpes and in limited non-life-threatening mucocutaneous herpes simplex virus infections in immunocompromised patients.,fda,no,<genital herpes>; <herpes simplex>,
anda203834,,acyclovir,acyclovir,hetero labs ltd v,,tablet,oral,approved,authorised,29.10.2013,2013,no,,,,,,,yes,,,hetero,FDA,,fda,no,,
anda204313,,acyclovir,acyclovir,cadila,,capsule,oral,approved,authorised,25.03.2016,2016,no,,,,,,,yes,,,cadila,FDA,,fda,no,,
anda204314,,acyclovir,acyclovir,zydus pharms,,tablet,oral,approved,authorised,19.08.2014,2014,no,,,,infectious and parasitic diseases,,,yes,,,zydus,FDA,indications and usage herpes zoster infections: acyclovir tablets are indicated for the acute treatment of herpes zoster (shingles). genital herpes: acyclovir tablets are indicated for the treatment of initial episodes and the management of recurrent episodes of genital herpes. chickenpox: acyclovir tablets are indicated for the treatment of chickenpox (varicella).,fda,no,<herpes zoster>; <genital herpes>; <chickenpox>,
anda204605,,acyclovir,acyclovir,amneal pharms,,ointment,topical,approved,authorised,18.06.2014,2014,no,,,,,,,yes,,,amneal,FDA,,fda,no,,
anda205469,,acyclovir,acyclovir,taro,,ointment,topical,approved,authorised,21.12.2016,2016,no,,,,infectious and parasitic diseases; diseases of the skin,,,yes,,,taro,FDA,indications and usage acyclovir ointment 5% is indicated in the management of initial genital herpes and in limited non-life-threatening mucocutaneous herpes simplex virus infections in immunocompromised patients.,fda,no,<genital herpes>; <herpes simplex>,
anda205470,,acyclovir,acyclovir,taro,,cream,topical,approved,authorised,12.06.2024,2024,no,,,,,,,yes,,,taro,FDA,,fda,no,,
anda205510,,acyclovir,acyclovir,glenmark speclt,,ointment,topical,approved,authorised,31.07.2017,2017,no,,,,infectious and parasitic diseases; diseases of the skin,,,yes,,,glenmark,FDA,indications and usage acyclovir ointment usp 5% is indicated in the management of initial genital herpes and in limited non-life-threatening mucocutaneous herpes simplex virus infections in immunocompromised patients.,fda,no,<genital herpes>; <herpes simplex>,
anda205591,,acyclovir,acyclovir,cosette,,ointment,topical,approved,discontinued,13.11.2017,2017,no,,,,,,,yes,,,not reported,FDA,,fda,no,,
anda205659,,acyclovir,acyclovir,padagis israel,,ointment,topical,approved,discontinued,20.02.2019,2019,no,,,,,,,yes,,,padagis,FDA,,fda,no,,
anda205974,,acyclovir,acyclovir,zydus lifesciences,,ointment,topical,approved,authorised,15.03.2019,2019,no,,,,,,,yes,,,zydus,FDA,,fda,no,,
anda206261,,acyclovir,acyclovir,carlsbad technology,,capsule,oral,approved,authorised,16.08.2017,2017,no,,,,infectious and parasitic diseases,,,yes,,,carlsbad,FDA,indications and usage herpes zoster infections : acyclovir is indicated for the acute treatment of herpes zoster (shingles). genital herpes : acyclovir is indicated for the treatment of initial episodes and the management of recurrent episodes of genital herpes. chickenpox : acyclovir is indicated for the treatment of chickenpox (varicella).,fda,no,<herpes zoster>; <genital herpes>; <chickenpox>,
anda206437,,acyclovir,acyclovir,chartwell molecular,,ointment,topical,approved,discontinued,31.07.2017,2017,no,,,,,,,yes,,,chartwell,FDA,,fda,no,,
anda206633,,acyclovir,acyclovir,fougera pharms inc,,ointment,topical,approved,authorised,11.05.2016,2016,no,,,,,,,yes,,,fougera,FDA,,fda,no,,
anda206770,,acyclovir,acyclovir,zydus lifesciences,,cream,topical,approved,authorised,28.02.2023,2023,no,,,,,,,yes,,,zydus,FDA,,fda,no,,
anda208702,,acyclovir,acyclovir,padagis israel,,cream,topical,approved,authorised,04.02.2019,2019,no,,,,,,,yes,,,padagis,FDA,,fda,no,,
anda208766,,acyclovir,acyclovir,amneal,,cream,topical,approved,authorised,09.11.2020,2020,no,,,,,,,yes,,,amneal,FDA,,fda,no,,
anda209000,,acyclovir,acyclovir,alembic,,ointment,topical,approved,authorised,06.04.2018,2018,no,,,,infectious and parasitic diseases; diseases of the skin,,,yes,,,alembic,FDA,"indications and usage acyclovir ointment usp, 5% is indicated in the management of initial genital herpes and in limited non-life-threatening mucocutaneous herpes simplex virus infections in immunocompromised patients.",fda,no,<genital herpes>; <herpes simplex>,
anda209366,,acyclovir,acyclovir,square pharms,,tablet,oral,approved,authorised,07.10.2019,2019,no,,,,,,,yes,,,square,FDA,,fda,no,,
anda209971,,acyclovir,acyclovir,torrent,,ointment,topical,approved,authorised,11.01.2019,2019,no,,,,infectious and parasitic diseases; diseases of the skin,,,yes,,,torrent,FDA,indications and usage: acyclovir ointment 5% is indicated in the management of initial genital herpes and in limited non-life-threatening mucocutaneous herpes simplex virus infections in immunocompromised patients.,fda,no,<genital herpes>; <herpes simplex>,
anda210401,,acyclovir,acyclovir,yiling,,tablet,oral,approved,authorised,07.03.2018,2018,no,,,,,,,yes,,,yiling,FDA,,fda,no,,
anda210774,,acyclovir,acyclovir,apotex,,ointment,topical,approved,discontinued,06.09.2019,2019,no,,,,,,,yes,,,apotex,FDA,,fda,no,,
