drug,from_agency,to_agency,lag_days,lag_months,from_date,to_date,agency_pair
abilify maintena,EMA,HealthCanada,144,4.730617608409987,2013-09-19,2014-02-10,EMA -> HealthCanada
abilify maintena,HealthCanada,TGA,162,5.321944809461235,2014-02-10,2014-07-22,HealthCanada -> TGA
abraxane,FDA,EMA,1099,36.10381077529566,2005-01-07,2008-01-11,FDA -> EMA
abraxane,EMA,TGA,2034,66.81997371879106,2008-01-11,2013-08-06,EMA -> TGA
abraxane,TGA,PMDA,2192,72.01051248357425,2013-08-06,2019-08-07,TGA -> PMDA
abrilada,FDA,HealthCanada,426,13.994743758212877,2019-11-15,2021-01-14,FDA -> HealthCanada
abrilada,HealthCanada,TGA,25,0.8212877792378449,2021-01-14,2021-02-08,HealthCanada -> TGA
abrysvo,EMA,HealthCanada,154,5.059132720105125,2023-07-20,2023-12-21,EMA -> HealthCanada
abrysvo,HealthCanada,TGA,90,2.9566360052562417,2023-12-21,2024-03-20,HealthCanada -> TGA
abrysvo,TGA,Swissmedic,156,5.124835742444152,2024-03-20,2024-08-23,TGA -> Swissmedic
actemra,PMDA,FDA,709,23.291721419185283,2008-01-30,2010-01-08,PMDA -> FDA
actemra,FDA,HealthCanada,112,3.679369250985545,2010-01-08,2010-04-30,FDA -> HealthCanada
actemra,HealthCanada,TGA,258,8.47568988173456,2010-04-30,2011-01-13,HealthCanada -> TGA
aczone,FDA,HealthCanada,343,11.268068331143231,2005-07-07,2006-06-15,FDA -> HealthCanada
aczone,HealthCanada,TGA,3856,126.6754270696452,2006-06-15,2017-01-04,HealthCanada -> TGA
adakveo,FDA,EMA,251,8.245729303547963,2019-11-15,2020-07-23,FDA -> EMA
adakveo,EMA,TGA,257,8.442838370565045,2020-07-23,2021-04-06,EMA -> TGA
adcetris,FDA,EMA,335,11.005256241787121,2011-08-19,2012-07-19,FDA -> EMA
adcetris,EMA,HealthCanada,197,6.471747700394218,2012-07-19,2013-02-01,EMA -> HealthCanada
adcetris,HealthCanada,PMDA,290,9.526938239159001,2013-02-01,2013-11-18,HealthCanada -> PMDA
adcetris,PMDA,TGA,31,1.0183968462549278,2013-11-18,2013-12-19,PMDA -> TGA
adcirca,FDA,HealthCanada,187,6.14323258869908,2009-05-22,2009-11-25,FDA -> HealthCanada
adcirca,HealthCanada,TGA,618,20.302233902759525,2009-11-25,2011-08-05,HealthCanada -> TGA
