drug,from_agency,to_agency,lag_days,lag_months,from_date,to_date,agency_pair
abaloparatide,FDA,PMDA,1399,45.959264126149804,2017-04-28,2021-02-25,FDA -> PMDA
abaloparatide,PMDA,EMA,595,19.54664914586071,2021-02-25,2022-10-13,PMDA -> EMA
abaloparatide,EMA,Swissmedic,511,16.78712220762155,2022-10-13,2024-03-07,EMA -> Swissmedic
abaloparatide,Swissmedic,TGA,244,8.015768725361367,2024-03-07,2024-11-06,Swissmedic -> TGA
abatacept,FDA,HealthCanada,188,6.176084099868594,2005-12-23,2006-06-29,FDA -> HealthCanada
abatacept,HealthCanada,TGA,1344,44.15243101182654,2006-06-29,2010-03-04,HealthCanada -> TGA
abatacept,TGA,PMDA,50,1.6425755584756898,2010-03-04,2010-04-23,TGA -> PMDA
abemaciclib,FDA,EMA,301,9.888304862023652,2017-09-28,2018-07-26,FDA -> EMA
abemaciclib,EMA,HealthCanada,253,8.31143232588699,2018-07-26,2019-04-05,EMA -> HealthCanada
abemaciclib,HealthCanada,TGA,1146,37.64783180026281,2019-04-05,2022-05-25,HealthCanada -> TGA
abiraterone acetate,FDA,HealthCanada,90,2.9566360052562417,2011-04-28,2011-07-27,FDA -> HealthCanada
abiraterone acetate,HealthCanada,TGA,215,7.063074901445466,2011-07-27,2012-02-27,HealthCanada -> TGA
abiraterone acetate,TGA,EMA,3286,107.95006570302233,2012-02-27,2021-02-25,TGA -> EMA
abobotulinumtoxina,FDA,HealthCanada,1140,37.450722733245726,2009-04-29,2012-06-12,FDA -> HealthCanada
abrocitinib,PMDA,EMA,38,1.2483574244415243,2021-09-06,2021-10-14,PMDA -> EMA
abrocitinib,EMA,FDA,92,3.0223390275952693,2021-10-14,2022-01-14,EMA -> FDA
abrocitinib,FDA,Swissmedic,81,2.6609724047306176,2022-01-14,2022-04-05,FDA -> Swissmedic
abrocitinib,Swissmedic,HealthCanada,85,2.7923784494086727,2022-04-05,2022-06-29,Swissmedic -> HealthCanada
abrocitinib,HealthCanada,TGA,756,24.83574244415243,2022-06-29,2024-07-24,HealthCanada -> TGA
acalabrutinib,FDA,HealthCanada,661,21.71484888304862,2017-10-31,2019-08-23,FDA -> HealthCanada
acalabrutinib,HealthCanada,TGA,90,2.9566360052562417,2019-08-23,2019-11-21,HealthCanada -> TGA
acalabrutinib,TGA,EMA,245,8.04862023653088,2019-11-21,2020-07-23,TGA -> EMA
acalabrutinib,EMA,Swissmedic,224,7.35873850197109,2020-07-23,2021-03-04,EMA -> Swissmedic
acamprosate calcium,FDA,HealthCanada,960,31.537450722733244,2004-07-29,2007-03-16,FDA -> HealthCanada
acarbose,FDA,HealthCanada,8829,290.0459921156373,1995-09-06,2019-11-08,FDA -> HealthCanada
acetaminophen,FDA,HealthCanada,213,6.9973718791064385,1995-06-01,1995-12-31,FDA -> HealthCanada
acetylcysteine,FDA,HealthCanada,1963,64.48751642575559,1995-07-28,2000-12-11,FDA -> HealthCanada
acitretin,FDA,HealthCanada,7560,248.3574244415243,1996-10-28,2017-07-10,FDA -> HealthCanada
aclidinium bromide,EMA,FDA,60,1.9710906701708277,2012-05-24,2012-07-23,EMA -> FDA
aclidinium bromide,FDA,HealthCanada,371,12.187910643889618,2012-07-23,2013-07-29,FDA -> HealthCanada
aclidinium bromide,HealthCanada,TGA,232,7.621550591327201,2013-07-29,2014-03-18,HealthCanada -> TGA
acyclovir,FDA,HealthCanada,356,11.695137976346912,1996-08-30,1997-08-21,FDA -> HealthCanada
adagrasib,FDA,EMA,332,10.90670170827858,2022-12-12,2023-11-09,FDA -> EMA
adalimumab,FDA,HealthCanada,633,20.795006570302235,2002-12-31,2004-09-24,FDA -> HealthCanada
