Administration_route,Application_date,Application_year,Current_status,Dataset,Decision,Decision_date,Decision_year,Disease_class(es),Document_name,Drug_class,Drug_name,Indication_approved,Indication_approved_extracted,Indication_extended,Indication_requested,Indication_requested_extracted,Marketing_authorisation_holder,Marketing_authorisation_holder_extracted,Marketing_authorisation_number,Non_proprietary_name,Nonclinical_abridged,Orphan_drug_status,Pharmaceutical_form,Procedure_number,Referral_body,Agency
intravenous,28.04.2006,2006.0,authorised,japan,approved,30.01.2008,2008,diseases of the musculoskeletal system and connective tissue; neoplasms,000153709.pdf,biologics,actemra,rheumatoid arthritis; polyarticular-course juvenile idiopathic arthritis; systemic juvenile idiopathic arthritis; castleman's disease,"<rheumatoid arthritis>; <arthritis, juvenile>; <castleman disease>",yes,rheumatoid arthritis; polyarticular-course juvenile idiopathic arthritis; systemic juvenile idiopathic arthritis,"<rheumatoid arthritis>; <arthritis, juvenile>","chugai pharmaceutical co., ltd.",chugai,,tocilizumab,no,no,concentrate,,na,PMDA
subcutaneous,25.08.2016,2016.0,authorised,japan,approved,10.04.2017,2017,diseases of the musculoskeletal system and connective tissue,000224729.pdf,biologics,actemra,treatment of rheumatoid arthritis with an inadequate response to existing therapies (including the inhibition of progression of structural joint damage),<rheumatoid arthritis>,yes,treatment of rheumatoid arthritis with an inadequate response to existing therapies (including the inhibition of progression of structural joint damage),<rheumatoid arthritis>,"chugai pharmaceutical co., ltd.",chugai,,tocilizumab,yes,no,injection,,,PMDA
subcutaneous,30.11.2016,2016.0,authorised,japan,approved,27.07.2017,2017,diseases of the musculoskeletal system and connective tissue; diseases of the circulatory system,000224730.pdf,biologics,actemra,treatment of rheumatoid arthritis (including the inhibition of progression of structural joint damage); takayasu’s arteritis or giant cell arteritis,<rheumatoid arthritis>; <takayasu arteritis>; <giant cell arteritis>,yes,treatment of rheumatoid arthritis with an inadequate response to existing therapies; treatment of large vessel vasculitis (takayasu’s arteritis or giant cell arteritis),"<rheumatoid arthritis>; <vasculitis, large-cell>","chugai pharmaceutical co., ltd.",chugai,,tocilizumab,yes,yes,injection,,,PMDA
intravenous,24.05.2018,2018.0,authorised,japan,approved,26.03.2019,2019,diseases of the musculoskeletal system and connective tissue,000235285.pdf,biologics,actemra,treatment of adult still’s disease that have not adequately responded to existing therapies,"<still's disease, adult-onset>",yes,adult still’s disease that have not adequately responded to existing therapies,"<still's disease, adult-onset>","chugai pharmaceutical co., ltd.",chugai,,tocilizumab,yes,no,solution,,,PMDA
intravenous,13.12.2021,2021.0,authorised,japan,approved,07.01.2022,2022,infectious and parasitic diseases; diseases of the respiratory system,000246328.pdf,biologics,actemra,pneumonia caused by sars-cov-2 infection (covid-19) (limited to patients requiring supplemental oxygen),<pneumonia>,yes,pneumonia caused by sars-cov-2 infection (covid-19) (limited to patients requiring supplemental oxygen),<pneumonia>; <covid-19>,"chugai pharmaceutical co., ltd.",chugai,,tocilizumab,yes,no,concentrate,,,PMDA
intravenous,,,authorised,australia,approved,31.10.2011,2011,diseases of the musculoskeletal system and connective tissue,auspar-actemra-111215.pdf,biologics,actemra,treatment of active systemic juvenile idiopathic arthritis in patients 2 years of age and older.,<systemic juvenile idiopathic arthritis>,yes,treatment of active systemic juvenile idiopathic arthritis in patients 2 years of age and older.,<systemic juvenile idiopathic arthritis>,roche products pty ltd,roche,"149402, 149403, 149404",tocilizumab,yes,no,solution,pm-2010-03070-3-3,,TGA
intravenous,,,authorised,australia,approved,13.01.2011,2011,diseases of the musculoskeletal system and connective tissue,auspar-actemra.pdf,biologics,actemra,for the treatment of moderate to severe active rheumatoid arthritis (ra) in adult patients,<rheumatoid arthritis>,yes,for the treatment of moderate to severe active rheumatoid arthritis (ra) in adult patients,<rheumatoid arthritis>,roche products pty ltd,roche,"149402, 149403, 149404",tocilizumab,yes,no,solution,pm-2009-03295-3-3,,TGA
intravenous,,,authorised,australia,approved,04.10.2013,2013,diseases of the musculoskeletal system and connective tissue,auspar-tocilizumab-140206.pdf,biologics,actemra,treatment of moderate to severe active polyarticular juvenile idiopathic arthritis in patients 2 years of age and older who have had an inadequate response to or intolerance to methotrexate.,"<arthritis, juvenile>",yes,treatment of moderate to severe active polyarticular juvenile idiopathic arthritis in patients 2 years of age and older who have had an inadequate response to or intolerance to methotrexate.,"<arthritis, juvenile>",roche products pty ltd,roche,"149402, 149403, 149404",tocilizumab,yes,no,concentrate,pm-2012-01905-3-3,,TGA
intravenous,,,authorised,australia,approved,14.10.2014,2014,diseases of the musculoskeletal system and connective tissue,auspar-tocilizumab-150112.pdf,biologics,actemra,treatment of moderate to severe active rheumatoid arthritis in adult patients with poor prognostic factors in combination with mtx in those not previously treated with mtx.,<rheumatoid arthritis>,yes,treatment of moderate to severe active rheumatoid arthritis in adult patients in combination with methotrexate in those not previously treated with mtx.,<rheumatoid arthritis>,roche products pty ltd,roche,"149402, 149403, 149404",tocilizumab,yes,no,injection,pm-2013-02398-1-3,,TGA
subcutaneous,03.01.2017,2017.0,authorised,australia,approved,14.11.2017,2017,diseases of the circulatory system,auspar-tocilizumab-180613.pdf,biologics,actemra,giant cell arteritis (sc formulation only),<giant cell arteritis>,yes,treatment of giant cell arteritis (gca) in adult patients,<giant cell arteritis>,roche products pty limited,roche,234034,tocilizumab,yes,no,solution,pm-2016-03548-1-3,,TGA
subcutaneous,,,authorised,australia,approved,19.01.2016,2016,diseases of the musculoskeletal system and connective tissue,auspar-tocilizumab-rch-160929.pdf,biologics,actemra,treatment of moderate to severe active rheumatoid arthritis in adult patients,<rheumatoid arthritis>,no,treatment of moderate to severe active rheumatoid arthritis in adult patients,<rheumatoid arthritis>,roche products pty ltd,roche,234034,tocilizumab,no,no,solution,pm-2014-04309-1-3,na,TGA
subcutaneous,22.02.2019,2019.0,authorised,australia,approved,18.03.2020,2020,diseases of the musculoskeletal system and connective tissue,auspar-tocilizumab-rch-200818.pdf,biologics,actemra,treatment of active systemic juvenile idiopathic arthritis in patients 1 year of age and older.,<systemic juvenile idiopathic arthritis>,yes,treatment of active systemic juvenile idiopathic arthritis in patients 1 year of age and older.,<systemic juvenile idiopathic arthritis>,roche products pty limited,roche,"149402, 149403, 149404, 234034, 296808",tocilizumab,yes,no,solution,pm-2018-05341-1-3,,TGA
intravenous,07.10.2021,2021.0,authorised (under additional monitoring),australia,approved,01.12.2021,2021,infectious and parasitic diseases; diseases of the respiratory system,auspar-tocilizumab-rch-220106.pdf,biologics,actemra,coronavirus disease 2019 (covid-19) in hospitalised adults who are receiving systemic corticosteroids and require supplemental oxygen or mechanical ventilation.,<coronavirus infections>,yes,coronavirus disease 2019 (covid-19) (iv formulation only) in hospitalised adults who are receiving systemic corticosteroids and require supplemental oxygen or mechanical ventilation.,<coronavirus disease 2019>,roche products pty ltd,roche,"149402, 149403, 149404",tocilizumab,yes,no,concentrate,pm-2021-04601-1-2,,TGA
intravenous,31.05.2011,2011.0,authorised,ema,conditional marketing authorisation,19.07.2012,2012,neoplasms; diseases of the blood and blood-forming organs,adcetris-epar-public-assessment-report_en.pdf,biologics,adcetris,treatment of adult patients with relapsed or refractory cd30+ hodgkin lymphoma (hl): following autologous stem cell transplant (asct) or following at least two prior therapies when asct or multi-agent chemotherapy is not a treatment option; treatment of adult patients with relapsed or refractory systemic anaplastic large cell lymphoma (salcl),<hodgkin lymphoma>; <anaplastic large-cell lymphoma>,no,treatment of patients with relapsed or refractory hodgkin lymphoma (hl) and for the treatment of patients with relapsed or refractory systemic anaplastic large cell lymphoma (salcl),<hodgkin disease>; <anaplastic large-cell lymphoma>,takeda global research and development centre (europe) ltd.,takeda,ema/702390/2012,brentuximab vedotin,no,yes,powder,emea/h/c/002455,na,EMA
intravenous,22.03.2013,2013.0,authorised,japan,approved,18.11.2013,2013,neoplasms; diseases of the blood and blood-forming organs,000229787.pdf,biologics,adcetris,"the following relapsed or refractory cd30-positive diseases: hodgkin’s lymphoma, anaplastic large-cell lymphoma","<hodgkin disease>; <lymphoma, large-cell, anaplastic>",no,"the following relapsed or refractory cd30-positive diseases: hodgkin’s lymphoma, anaplastic large-cell lymphoma","<hodgkin disease>; <lymphoma, large-cell, anaplastic>",takeda pharmaceutical company limited,takeda,,brentuximab vedotin,no,yes,powder,,na,PMDA
intravenous,31.01.2018,2018.0,authorised,japan,approved,28.06.2018,2018,neoplasms; diseases of the blood and blood-forming organs,000230125.pdf,biologics,adcetris,previously untreated cd30-positive hodgkin’s lymphoma,<hodgkin disease>,yes,previously untreated cd30-positive hodgkin’s lymphoma,<hodgkin disease>,takeda pharmaceutical company limited,takeda,,brentuximab vedotin,yes,yes,powder,,,PMDA
intravenous,29.03.2019,2019.0,authorised,japan,approved,05.11.2019,2019,neoplasms; diseases of the blood and blood-forming organs,000243154.pdf,biologics,adcetris,"the following cd30-positive diseases: hodgkin’s lymphoma, peripheral t-cell lymphoma",<hodgkin disease>; <peripheral t-cell lymphoma>,yes,"the following cd30-positive diseases: hodgkin’s lymphoma, peripheral t-cell lymphoma, relapsed or refractory anaplastic large-cell lymphoma",<hodgkin disease>; <peripheral t-cell lymphoma>; <anaplastic large-cell lymphoma>,takeda pharmaceutical company limited,takeda,,brentuximab vedotin,yes,yes,powder,,,PMDA
injection,31.01.2023,2023.0,authorised,australia,approved,08.01.2024,2024,neoplasms; diseases of the blood and blood-forming organs,auspar-adcetris-240507.pdf,biologics,adcetris,"treatment of patients with previously untreated cd30+ stage iii or stage iv hodgkin lymphoma (hl) in combination with doxorubicin, vinblastine, and dacarbazine (avd).",<hodgkin disease>,yes,"treatment of adult patients with previously untreated cd30+ advanced hodgkin lymphoma (hl) in combination with doxorubicin, vinblastine, and dacarbazine (avd).",<hodgkin lymphoma>,takeda pharmaceuticals australia pty ltd,takeda,203372,brentuximab vedotin,no,no,powder,pm-2022-04918-1-6,na,TGA
intravenous,,,authorised,australia,approved,19.12.2013,2013,neoplasms; diseases of the blood and blood-forming organs,auspar-brentuximab-140519.pdf,biologics,adcetris,treatment of adult patients with relapsed or refractory cd30+ hodgkin lymphoma (hl) and systemic anaplastic large cell lymphoma (salcl).,<hodgkin disease>; <anaplastic large cell lymphoma>,no,treatment of adult patients with relapsed or refractory hodgkin lymphoma (hl) and systemic anaplastic large cell lymphoma (salcl).,<hodgkin disease>; <anaplastic large cell lymphoma>,takeda pharmaceuticals australia pty ltd,takeda,203372,brentuximab vedotin,no,yes,powder,pm-2012-03441-1-4,na,TGA
intravenous,,,authorised,australia,approved,15.09.2016,2016,neoplasms; diseases of the blood and blood-forming organs,auspar-brentuximab-vedotin-170914.pdf,biologics,adcetris,treatment of adult patients with cd30+ hl at higher risk of relapse or progression following asct.,<precursor cell lymphoblastic leukemia-lymphoma>,yes,treatment of patients with cd30+ hodgkin lymphoma (hl) who are at risk of relapse or progression following autologous stem cell transplant (asct).,<hodgkin lymphoma>,takeda pharmaceuticals australia pty ltd,takeda,203372,brentuximab vedotin,yes,yes,powder,pm-2015-01529-1-4,,TGA
