drug,from_agency,to_agency,lag_days,lag_months,from_date,to_date,agency_pair
abilify,FDA,HealthCanada,2428,79.7634691195795,2002-11-15,2009-07-09,FDA -> HealthCanada
abilify asimtufii,FDA,HealthCanada,631,20.729303547963205,2023-04-27,2025-01-17,FDA -> HealthCanada
abrilada,FDA,HealthCanada,426,13.994743758212877,2019-11-15,2021-01-14,FDA -> HealthCanada
absorica ld,FDA,HealthCanada,1325,43.52825229960578,2019-11-05,2023-06-22,FDA -> HealthCanada
accrufer,FDA,HealthCanada,1854,60.906701708278575,2019-07-25,2024-08-21,FDA -> HealthCanada
actemra,FDA,HealthCanada,112,3.679369250985545,2010-01-08,2010-04-30,FDA -> HealthCanada
actonel,FDA,HealthCanada,1718,56.4388961892247,1998-03-27,2002-12-09,FDA -> HealthCanada
acular ls,FDA,HealthCanada,227,7.457293035479632,2003-05-30,2004-01-12,FDA -> HealthCanada
acuvail,FDA,HealthCanada,693,22.766097240473062,2009-07-22,2011-06-15,FDA -> HealthCanada
aczone,FDA,HealthCanada,343,11.268068331143231,2005-07-07,2006-06-15,FDA -> HealthCanada
adcetris,FDA,HealthCanada,532,17.47700394218134,2011-08-19,2013-02-01,FDA -> HealthCanada
adcirca,FDA,HealthCanada,187,6.14323258869908,2009-05-22,2009-11-25,FDA -> HealthCanada
addyi,FDA,HealthCanada,924,30.354796320630747,2015-08-18,2018-02-27,FDA -> HealthCanada
adempas,HealthCanada,FDA,19,0.6241787122207622,2013-09-19,2013-10-08,HealthCanada -> FDA
adreview,FDA,HealthCanada,1322,43.42969776609724,2008-09-19,2012-05-03,FDA -> HealthCanada
afinitor,FDA,HealthCanada,259,8.508541392904073,2009-03-30,2009-12-14,FDA -> HealthCanada
afinitor disperz,FDA,HealthCanada,639,20.992115637319316,2012-08-29,2014-05-30,FDA -> HealthCanada
aggrastat,FDA,HealthCanada,462,15.177398160315374,1998-05-14,1999-08-19,FDA -> HealthCanada
aimovig,FDA,HealthCanada,76,2.4967148488830486,2018-05-17,2018-08-01,FDA -> HealthCanada
ajovy,FDA,HealthCanada,573,18.823915900131404,2018-09-14,2020-04-09,FDA -> HealthCanada
akeega,HealthCanada,FDA,60,1.9710906701708277,2023-06-12,2023-08-11,HealthCanada -> FDA
aklief,FDA,HealthCanada,52,1.7082785808147174,2019-10-04,2019-11-25,FDA -> HealthCanada
akynzeo,FDA,HealthCanada,1084,35.611038107752954,2014-10-10,2017-09-28,FDA -> HealthCanada
aldurazyme,FDA,HealthCanada,397,13.042049934296976,2003-04-30,2004-05-31,FDA -> HealthCanada
alimta,FDA,HealthCanada,1499,49.24441524310118,2004-02-04,2008-03-13,FDA -> HealthCanada
aloxi,FDA,HealthCanada,3155,103.64651773981603,2003-07-25,2012-03-14,FDA -> HealthCanada
alphagan,FDA,HealthCanada,444,14.586070959264125,1996-09-06,1997-11-24,FDA -> HealthCanada
alphagan p,FDA,HealthCanada,963,31.636005256241784,2001-03-16,2003-11-04,FDA -> HealthCanada
alrex,FDA,HealthCanada,3942,129.50065703022338,1998-03-09,2008-12-23,FDA -> HealthCanada
altace,HealthCanada,FDA,3919,128.74507227332458,1996-06-05,2007-02-27,HealthCanada -> FDA
alunbrig,FDA,HealthCanada,454,14.914586070959263,2017-04-28,2018-07-26,FDA -> HealthCanada
alvesco,HealthCanada,FDA,486,15.965834428383705,2006-09-11,2008-01-10,HealthCanada -> FDA
ambisome,FDA,HealthCanada,919,30.190538764783177,1997-08-11,2000-02-16,FDA -> HealthCanada
amoxicillin,FDA,HealthCanada,5252,172.53613666228645,1996-01-29,2010-06-16,FDA -> HealthCanada
amvuttra,FDA,HealthCanada,492,16.16294349540079,2022-06-13,2023-10-18,FDA -> HealthCanada
anastrozole,FDA,HealthCanada,2008,65.9658344283837,2007-05-25,2012-11-22,FDA -> HealthCanada
androgel,FDA,HealthCanada,709,23.291721419185283,2000-02-28,2002-02-06,FDA -> HealthCanada
angeliq,HealthCanada,FDA,82,2.6938239159001314,2005-07-08,2005-09-28,HealthCanada -> FDA
angiomax,FDA,HealthCanada,663,21.780551905387647,2000-12-15,2002-10-09,FDA -> HealthCanada
anoro ellipta,FDA,HealthCanada,5,0.164257555847569,2013-12-18,2013-12-23,FDA -> HealthCanada
antizol,FDA,HealthCanada,1092,35.873850197109064,1997-12-04,2000-11-30,FDA -> HealthCanada
apixaban,FDA,HealthCanada,1306,42.90407358738502,2019-02-22,2022-09-20,FDA -> HealthCanada
apretude,FDA,HealthCanada,872,28.64651773981603,2021-12-20,2024-05-10,FDA -> HealthCanada
aptiom,FDA,HealthCanada,242,7.9500657030223385,2013-11-08,2014-07-08,FDA -> HealthCanada
aptivus,FDA,HealthCanada,152,4.993429697766097,2005-06-22,2005-11-21,FDA -> HealthCanada
aranesp,FDA,HealthCanada,4025,132.22733245729302,2001-09-17,2012-09-24,FDA -> HealthCanada
arava,FDA,HealthCanada,553,18.166885676741128,1998-09-10,2000-03-16,FDA -> HealthCanada
arazlo,FDA,HealthCanada,568,18.659658344283837,2019-12-18,2021-07-08,FDA -> HealthCanada
argatroban,FDA,HealthCanada,8764,287.9106438896189,2000-06-30,2024-06-28,FDA -> HealthCanada
aricept,FDA,HealthCanada,260,8.541392904073588,1996-11-25,1997-08-12,FDA -> HealthCanada
arimidex,FDA,HealthCanada,247,8.114323258869907,1995-12-27,1996-08-30,FDA -> HealthCanada
aripiprazole,FDA,HealthCanada,2392,78.580814717477,2012-10-12,2019-05-01,FDA -> HealthCanada
arixtra,FDA,HealthCanada,188,6.176084099868594,2001-12-07,2002-06-13,FDA -> HealthCanada
arnuity ellipta,FDA,HealthCanada,397,13.042049934296976,2014-08-20,2015-09-21,FDA -> HealthCanada
aromasin,FDA,HealthCanada,301,9.888304862023652,1999-10-21,2000-08-17,FDA -> HealthCanada
asmanex twisthaler,HealthCanada,FDA,1489,48.91590013140604,2001-03-02,2005-03-30,HealthCanada -> FDA
asparlas,FDA,HealthCanada,1784,58.60709592641261,2018-12-20,2023-11-08,FDA -> HealthCanada
atacand,FDA,HealthCanada,169,5.551905387647832,1998-06-04,1998-11-20,FDA -> HealthCanada
atenolol,FDA,HealthCanada,1253,41.16294349540079,1995-01-18,1998-06-24,FDA -> HealthCanada
atrovent hfa,HealthCanada,FDA,504,16.557161629434955,2003-07-02,2004-11-17,HealthCanada -> FDA
avalide,FDA,HealthCanada,882,28.97503285151117,1997-09-30,2000-02-29,FDA -> HealthCanada
avapro,FDA,HealthCanada,244,8.015768725361367,1997-09-30,1998-06-01,FDA -> HealthCanada
avastin,FDA,HealthCanada,561,18.429697766097238,2004-02-26,2005-09-09,FDA -> HealthCanada
avodart,FDA,HealthCanada,609,20.006570302233904,2001-11-20,2003-07-22,FDA -> HealthCanada
avonex,FDA,HealthCanada,3349,110.0197109067017,1996-05-17,2005-07-18,FDA -> HealthCanada
avsola,FDA,HealthCanada,97,3.1865965834428382,2019-12-06,2020-03-12,FDA -> HealthCanada
azilect,FDA,HealthCanada,93,3.055190538764783,2006-05-16,2006-08-17,FDA -> HealthCanada
azithromycin,FDA,HealthCanada,1423,46.747700394218136,2005-11-14,2009-10-07,FDA -> HealthCanada
azopt,FDA,HealthCanada,205,6.734559789750328,1998-04-01,1998-10-23,FDA -> HealthCanada
baclofen,FDA,HealthCanada,3718,122.14191852825229,1996-08-19,2006-10-24,FDA -> HealthCanada
balversa,FDA,HealthCanada,196,6.438896189224704,2019-04-12,2019-10-25,FDA -> HealthCanada
banzel,FDA,HealthCanada,950,31.208935611038108,2008-11-14,2011-06-22,FDA -> HealthCanada
baqsimi,FDA,HealthCanada,63,2.0696452036793693,2019-07-24,2019-09-25,FDA -> HealthCanada
baraclude,FDA,HealthCanada,444,14.586070959264125,2005-03-29,2006-06-16,FDA -> HealthCanada
basaglar,HealthCanada,FDA,106,3.4822601839684624,2015-09-01,2015-12-16,HealthCanada -> FDA
bavencio,FDA,HealthCanada,270,8.869908015768726,2017-03-23,2017-12-18,FDA -> HealthCanada
benlysta,FDA,HealthCanada,119,3.9093298291721417,2011-03-09,2011-07-06,FDA -> HealthCanada
benzaclin,FDA,HealthCanada,1096,36.00525624178712,2000-12-21,2003-12-22,FDA -> HealthCanada
beovu,FDA,HealthCanada,157,5.157687253613666,2019-10-07,2020-03-12,FDA -> HealthCanada
bepreve,FDA,HealthCanada,2514,82.58869908015768,2009-09-08,2016-07-27,FDA -> HealthCanada
besivance,FDA,HealthCanada,148,4.862023653088042,2009-05-28,2009-10-23,FDA -> HealthCanada
besponsa,FDA,HealthCanada,210,6.898817345597897,2017-08-17,2018-03-15,FDA -> HealthCanada
beyfortus,HealthCanada,FDA,89,2.923784494086728,2023-04-19,2023-07-17,HealthCanada -> FDA
bicalutamide,FDA,HealthCanada,4426,145.40078843626807,2009-07-06,2021-08-18,FDA -> HealthCanada
bijuva,FDA,HealthCanada,690,22.667542706964518,2018-10-28,2020-09-17,FDA -> HealthCanada
biktarvy,FDA,HealthCanada,153,5.026281208935611,2018-02-07,2018-07-10,FDA -> HealthCanada
