Administration_route,Application_date,Application_year,Current_status,Dataset,Decision,Decision_date,Decision_year,Disease_class(es),Disease_name(s),Document_name,Drug_class,Drug_name,Indication_approved,Indication_extended,Indication_requested,Indication_requested_extracted,Marketing_authorisation_holder,Marketing_authorisation_holder_extracted,Marketing_authorisation_number,Non_proprietary_name,Nonclinical_abridged,Orphan_drug_status,Pharmaceutical_form,Procedure_number,Referral_body,DRUG_CODE
oral,,,authorised,FDA,approved,06.03.2014,2014,,,,small molecule,acyclovir,,,,,cadila pharms ltd,cadila,anda201445,acyclovir,yes,no,capsule,,no,
topical,,,authorised,FDA,approved,29.01.2020,2020,,,,small molecule,acyclovir,,,,,xiromed,not reported,anda201501,acyclovir,yes,no,ointment,,no,
oral,,,authorised,FDA,approved,15.11.2013,2013,infectious and parasitic diseases,<herpes zoster>; <genital herpes>; <chickenpox>,,small molecule,acyclovir,indications & usage herpes zoster infections: acyclovir tablet is indicated for the acute treatment of herpes zoster (shingles). genital herpes: acyclovir tablet is indicated for the treatment of initial episodes and the management of recurrent episodes of genital herpes. chickenpox:acyclovir tablet is indicated for the treatment of chickenpox (varicella).,,,,cadila pharms ltd,cadila,anda202168,acyclovir,yes,no,tablet,,no,
topical,,,authorised,FDA,approved,03.04.2013,2013,infectious and parasitic diseases; diseases of the skin,<genital herpes>; <herpes simplex>,,small molecule,acyclovir,indications and usage acyclovir ointment 5% is indicated in the management of initial genital herpes and in limited non-life-threatening mucocutaneous herpes simplex virus infections in immunocompromised patients.,,,,norvium bioscience,norvium,anda202459,acyclovir,yes,no,ointment,,no,
oral,,,authorised,FDA,approved,29.10.2013,2013,,,,small molecule,acyclovir,,,,,hetero labs ltd v,hetero,anda203834,acyclovir,yes,no,tablet,,no,
oral,,,authorised,FDA,approved,25.03.2016,2016,,,,small molecule,acyclovir,,,,,cadila,cadila,anda204313,acyclovir,yes,no,capsule,,no,
oral,,,authorised,FDA,approved,19.08.2014,2014,infectious and parasitic diseases,<herpes zoster>; <genital herpes>; <chickenpox>,,small molecule,acyclovir,indications and usage herpes zoster infections: acyclovir tablets are indicated for the acute treatment of herpes zoster (shingles). genital herpes: acyclovir tablets are indicated for the treatment of initial episodes and the management of recurrent episodes of genital herpes. chickenpox: acyclovir tablets are indicated for the treatment of chickenpox (varicella).,,,,zydus pharms,zydus,anda204314,acyclovir,yes,no,tablet,,no,
topical,,,authorised,FDA,approved,18.06.2014,2014,,,,small molecule,acyclovir,,,,,amneal pharms,amneal,anda204605,acyclovir,yes,no,ointment,,no,
topical,,,authorised,FDA,approved,21.12.2016,2016,infectious and parasitic diseases; diseases of the skin,<genital herpes>; <herpes simplex>,,small molecule,acyclovir,indications and usage acyclovir ointment 5% is indicated in the management of initial genital herpes and in limited non-life-threatening mucocutaneous herpes simplex virus infections in immunocompromised patients.,,,,taro,taro,anda205469,acyclovir,yes,no,ointment,,no,
topical,,,authorised,FDA,approved,12.06.2024,2024,,,,small molecule,acyclovir,,,,,taro,taro,anda205470,acyclovir,yes,no,cream,,no,
topical,,,authorised,FDA,approved,31.07.2017,2017,infectious and parasitic diseases; diseases of the skin,<genital herpes>; <herpes simplex>,,small molecule,acyclovir,indications and usage acyclovir ointment usp 5% is indicated in the management of initial genital herpes and in limited non-life-threatening mucocutaneous herpes simplex virus infections in immunocompromised patients.,,,,glenmark speclt,glenmark,anda205510,acyclovir,yes,no,ointment,,no,
topical,,,discontinued,FDA,approved,13.11.2017,2017,,,,small molecule,acyclovir,,,,,cosette,not reported,anda205591,acyclovir,yes,no,ointment,,no,
topical,,,discontinued,FDA,approved,20.02.2019,2019,,,,small molecule,acyclovir,,,,,padagis israel,padagis,anda205659,acyclovir,yes,no,ointment,,no,
topical,,,authorised,FDA,approved,15.03.2019,2019,,,,small molecule,acyclovir,,,,,zydus lifesciences,zydus,anda205974,acyclovir,yes,no,ointment,,no,
oral,,,authorised,FDA,approved,16.08.2017,2017,infectious and parasitic diseases,<herpes zoster>; <genital herpes>; <chickenpox>,,small molecule,acyclovir,indications and usage herpes zoster infections : acyclovir is indicated for the acute treatment of herpes zoster (shingles). genital herpes : acyclovir is indicated for the treatment of initial episodes and the management of recurrent episodes of genital herpes. chickenpox : acyclovir is indicated for the treatment of chickenpox (varicella).,,,,carlsbad technology,carlsbad,anda206261,acyclovir,yes,no,capsule,,no,
topical,,,discontinued,FDA,approved,31.07.2017,2017,,,,small molecule,acyclovir,,,,,chartwell molecular,chartwell,anda206437,acyclovir,yes,no,ointment,,no,
topical,,,authorised,FDA,approved,11.05.2016,2016,,,,small molecule,acyclovir,,,,,fougera pharms inc,fougera,anda206633,acyclovir,yes,no,ointment,,no,
topical,,,authorised,FDA,approved,28.02.2023,2023,,,,small molecule,acyclovir,,,,,zydus lifesciences,zydus,anda206770,acyclovir,yes,no,cream,,no,
topical,,,authorised,FDA,approved,04.02.2019,2019,,,,small molecule,acyclovir,,,,,padagis israel,padagis,anda208702,acyclovir,yes,no,cream,,no,
topical,,,authorised,FDA,approved,09.11.2020,2020,,,,small molecule,acyclovir,,,,,amneal,amneal,anda208766,acyclovir,yes,no,cream,,no,
topical,,,authorised,FDA,approved,06.04.2018,2018,infectious and parasitic diseases; diseases of the skin,<genital herpes>; <herpes simplex>,,small molecule,acyclovir,"indications and usage acyclovir ointment usp, 5% is indicated in the management of initial genital herpes and in limited non-life-threatening mucocutaneous herpes simplex virus infections in immunocompromised patients.",,,,alembic,alembic,anda209000,acyclovir,yes,no,ointment,,no,
oral,,,authorised,FDA,approved,07.10.2019,2019,,,,small molecule,acyclovir,,,,,square pharms,square,anda209366,acyclovir,yes,no,tablet,,no,
topical,,,authorised,FDA,approved,11.01.2019,2019,infectious and parasitic diseases; diseases of the skin,<genital herpes>; <herpes simplex>,,small molecule,acyclovir,indications and usage: acyclovir ointment 5% is indicated in the management of initial genital herpes and in limited non-life-threatening mucocutaneous herpes simplex virus infections in immunocompromised patients.,,,,torrent,torrent,anda209971,acyclovir,yes,no,ointment,,no,
oral,,,authorised,FDA,approved,07.03.2018,2018,,,,small molecule,acyclovir,,,,,yiling,yiling,anda210401,acyclovir,yes,no,tablet,,no,
topical,,,discontinued,FDA,approved,06.09.2019,2019,,,,small molecule,acyclovir,,,,,apotex,apotex,anda210774,acyclovir,yes,no,ointment,,no,
topical,,,authorised,FDA,approved,18.01.2019,2019,,,,small molecule,acyclovir,,,,,cipla,cipla,anda211794,acyclovir,yes,no,ointment,,no,
