drug,from_agency,to_agency,lag_days,lag_months,from_date,to_date,agency_pair
abatacept,FDA,HealthCanada,188,6.176084099868594,2005-12-23,2006-06-29,FDA -> HealthCanada
abemaciclib,FDA,HealthCanada,554,18.199737187910642,2017-09-28,2019-04-05,FDA -> HealthCanada
abiraterone acetate,FDA,HealthCanada,90,2.9566360052562417,2011-04-28,2011-07-27,FDA -> HealthCanada
abobotulinumtoxina,FDA,HealthCanada,1140,37.450722733245726,2009-04-29,2012-06-12,FDA -> HealthCanada
abrocitinib,FDA,HealthCanada,166,5.45335085413929,2022-01-14,2022-06-29,FDA -> HealthCanada
acalabrutinib,FDA,HealthCanada,661,21.71484888304862,2017-10-31,2019-08-23,FDA -> HealthCanada
acamprosate calcium,FDA,HealthCanada,960,31.537450722733244,2004-07-29,2007-03-16,FDA -> HealthCanada
acarbose,FDA,HealthCanada,8829,290.0459921156373,1995-09-06,2019-11-08,FDA -> HealthCanada
acetaminophen,FDA,HealthCanada,213,6.9973718791064385,1995-06-01,1995-12-31,FDA -> HealthCanada
acetylcysteine,FDA,HealthCanada,1963,64.48751642575559,1995-07-28,2000-12-11,FDA -> HealthCanada
acitretin,FDA,HealthCanada,7560,248.3574244415243,1996-10-28,2017-07-10,FDA -> HealthCanada
aclidinium bromide,FDA,HealthCanada,371,12.187910643889618,2012-07-23,2013-07-29,FDA -> HealthCanada
acyclovir,FDA,HealthCanada,356,11.695137976346912,1996-08-30,1997-08-21,FDA -> HealthCanada
adalimumab,FDA,HealthCanada,633,20.795006570302235,2002-12-31,2004-09-24,FDA -> HealthCanada
adapalene,HealthCanada,FDA,493,16.1957950065703,1995-01-24,1996-05-31,HealthCanada -> FDA
adenosine,FDA,HealthCanada,3645,119.7437582128778,1995-05-18,2005-05-10,FDA -> HealthCanada
aflibercept,FDA,HealthCanada,721,23.68593955321945,2011-11-18,2013-11-08,FDA -> HealthCanada
agalsidase beta,FDA,HealthCanada,274,9.00131406044678,2003-04-24,2004-01-23,FDA -> HealthCanada
alemtuzumab,FDA,HealthCanada,2083,68.42969776609723,2001-05-07,2007-01-19,FDA -> HealthCanada
alfuzosin hydrochloride,HealthCanada,FDA,476,15.637319316688567,2002-02-21,2003-06-12,HealthCanada -> FDA
alglucosidase alfa,FDA,HealthCanada,108,3.54796320630749,2006-04-28,2006-08-14,FDA -> HealthCanada
alirocumab,FDA,HealthCanada,262,8.607095926412615,2015-07-24,2016-04-11,FDA -> HealthCanada
alitretinoin,FDA,HealthCanada,7139,234.526938239159,1999-02-02,2018-08-20,FDA -> HealthCanada
allopurinol,HealthCanada,FDA,2735,89.84888304862024,1995-12-31,2003-06-27,HealthCanada -> FDA
alpelisib,FDA,HealthCanada,292,9.592641261498029,2019-05-24,2020-03-11,FDA -> HealthCanada
alprazolam,FDA,HealthCanada,2037,66.91852825229961,1995-08-31,2001-03-29,FDA -> HealthCanada
