Administration_route,Application_date,Application_year,Current_status,Dataset,Decision,Decision_date,Decision_year,Disease_class(es),Disease_name(s),Document_name,Drug_class,Drug_name,Indication_approved,Indication_approved_extracted,Indication_requested,Indication_requested_extracted,Marketing_authorisation_holder,Marketing_authorisation_holder_extracted,Marketing_authorisation_number,Non_proprietary_name,Nonclinical_abridged,Orphan_drug_status,Pharmaceutical_form,Procedure_number,Referral_body,Agency,DRUG_CODE
intramuscular,,,approved,healthcanada,approved,2023-09-12,2023,infectious and parasitic diseases,,,vaccine,spikevax,"indications spikev ax (covid -19 mrna vaccine ) is indicated for active immunization against coronavirus disease 2019 (covid -19) caused by the severe acute respiratory syndrome coronavirus 2 ( sars -cov-2) virus in individuals 6 months of age and older . the safety and effectiveness of spikevax for individuals 6 months of age and older is inferred from several studies of a prim ary series and booster dose of spikevax bivalent (original/omicron ba. 1) in individuals 6 months to 5 years of age, a booster dose study of spikevax bivalent ( original/omicron ba.1) in individuals >18 years of age , a booster dose study of spikevax xbb.1.5 in individuals > 18 years of age, as well as data from studies which evaluated the primary series and booster vaccination with spikevax (elasomeran ). the national advisory committee on immunization (naci) provides additional guidance on the use of the covid -19 vaccines in canada. please refer to the covid -19 vaccine: canadian immunization guide and current vaccine statements . 1.1 pediatrics the safety and efficacy of spikevax in individ uals under 6 months of age has not yet been established (see adverse reactions , and clinical trials sections) . 1.2 geri atrics clinical studies of spikevax bivalent (original/omicron ba.1) that included participants 65 years of age and older and their data contribute to the overall assessment of safety and effectiveness of spikevax covid -19 mrna vaccine (see adverse reactions and clinical trials sections). 2",,,<coronavirus infections>,moderna biopharma canada corporation,moderna,02541270,"*sarscov2 s-protein mrna, 5'(m7g-5'-ppp-5'-gm), 3'polya",,,dispersion,,,HealthCanada,102992.0
intramuscular,,,approved,healthcanada,approved,2023-09-28,2023,infectious and parasitic diseases; diseases of the respiratory system,,,vaccine,comirnaty,indications comirnaty (covid -19 mrna vaccine ) is indicated for active immunization against coronavirus disease 2019 (covid -19) caused by severe acute respiratory syndrome coronavirus 2 (sars - cov-2) in individual s 6 months of age and older (see 4.2 recommended dose and dosage adjustment ). 1.1 pediatrics the safety and efficacy of comirnaty in children under 6 months of age have not yet been established (see 8 adverse reactions and 14 clinical trials ). 1.2 geriatrics clinical studies of comirnaty (origi nal)1 and comirnaty original & omicron ba.4/ba.5 included participants 65 years of age and older (see 8 adverse reactions and 14 clinical trials ). 2,,,<coronavirus infections>,biontech manufacturing gmbh,biontech,02541823,"*sarscov2 s-protein mrna, 5'[m27,3'-ogppp(m12'-o)apg], 3'polya+linker",,,suspension,,,HealthCanada,103044.0
oral,,,none (conditional marketing authorisation),fda,conditional marketing authorisation,2014-10-23,2014,,,,small molecule,abacavir and lamivudine,,,,,mylan labs ltd,mylan,nda204915,abacavir,no,no,tablet,,no,FDA,
oral,,,approved,healthcanada,approved,1999-06-04,1999,infectious and parasitic diseases,,,small molecule,ziagen,"indications ziagen (abacavir) is indicated in antiretroviral combination therapy for the treatment of human immunodeficiency virus (hiv) infection. 1.1 pediatrics pediatrics (≥ 3 months to < 18 years of age) : ziagen is indicated in pediatric patients aged 3 months and older in combination with other antiretroviral agents. the safety and efficacy of z iagen in pediatric patients less than 3 months of age have not been established; therefore, health canada has not authorized an indication for pediatric use in patients less than 3 months of age. 1.2 geriatrics geriatrics (≥ 65 years of age) : clinical studies of ziagen did not include sufficient numbers of patients aged 65 and older to determine whether they respond differently from younger patients. in general, dose selection for an elderly patient should be cautious, reflecting the greater frequency of decreased hepatic, renal, or cardiac function, and of concomitant disease or other drug therapy. 2",,,<hiv infections>,viiv healthcare ulc,viiv,02240358,abacavir (abacavir sulfate),,,solution,,,HealthCanada,63900.0
oral,,,approved,healthcanada,approved,2005-07-25,2005,infectious and parasitic diseases,,,small molecule,kivexa,"indications kivexa (abacavir/lamivudine) is indicated in antiretroviral combination therapy for the treatment of human immunodeficiency virus (hiv) infection. 1.1 pediatrics (< 18 years of age) the safety and efficacy of kivexa has been established in adolescents and children weighing at least 25 kg (see 4 dosage and administration ). the safety and efficacy of kivexa has not been established in pediatric patients weighing less than 25 kg. health canada has not authorized an indi cation for use of kivexa in pediatric patients weighing less than25 kg. 1.2 geriatrics (≥ 65 years of age) clinical studies of kivexa did not include sufficient numbers of patients aged 65 and older to determine whether they respond differently from younger patients. in general, caution should be exercised in the administration and monitoring of kivexa in elder ly patients, reflecting the greater frequency of decreased hepatic, renal or cardiac function and of concomitant disease or other drug therapy. 2",,,<human immunodeficiency virus>,viiv healthcare ulc,viiv,02269341,abacavir (abacavir sulfate); lamivudine,,,tablet,,,HealthCanada,75473.0
oral,,,discontinued,fda,approved,1998-12-17,1998,,,,small molecule,ziagen,,,,,viiv hlthcare,viiv,nda020977,abacavir sulfate,no,no,tablet,,yes,FDA,
oral,,,none (conditional marketing authorisation),fda,conditional marketing authorisation,2024-12-05,2024,,,,small molecule,abacavir || dolutegravir || lamivudine,,,,,emcure pharms ltd,emcure,anda212181,abacavir || dolutegravir || lamivudine,yes,no,tablet,,no,FDA,
subcutaneous,,,authorised,fda,approved,2017-04-28,2017,,,,peptides and proteins,tymlos,,,,,radius,not reported,nda208743,abaloparatide,no,no,solution,,yes,FDA,
topical,,,discontinued,fda,approved,2020-07-24,2020,,,,small molecule,xeglyze,,,,,hatchtech,hatchtech,nda206966,abametapir,no,no,lotion,,yes,FDA,
intramuscular,,,discontinued,fda,approved,2003-11-25,2003,,,,peptides and proteins,plenaxis,,,,,speciality european,speciality,nda021320,abarelix,no,no,injection,,no,FDA,
intravenous,,,authorised,fda,approved,2005-12-23,2005,,,,biologics,orencia,,,,,bristol myers squibb,bristol myers squibb,bla125118,abatacept,no,no,injection,,no,FDA,
