Administration_route,Application_date,Application_year,Current_status,Dataset,Decision,Decision_date,Decision_year,Disease_class(es),Disease_name(s),Document_name,Drug_class,Drug_name,Indication_approved,Indication_approved_extracted,Indication_requested,Indication_requested_extracted,Marketing_authorisation_holder,Marketing_authorisation_holder_extracted,Marketing_authorisation_number,Non_proprietary_name,Nonclinical_abridged,Orphan_drug_status,Pharmaceutical_form,Procedure_number,Referral_body,Agency,DRUG_CODE
oral,,,discontinued,fda,approved,16.12.1996,1996,,,,small molecule,propoxyphene hydrochloride and acetaminophen,,,,,watson labs,watson,anda040139,acetaminophen,yes,no,tablet,,no,FDA,
oral,,,discontinued,fda,approved,22.02.1996,1996,,,,small molecule,hydrocodone bitartrate and acetaminophen,,,,,vintage pharms,vintage,anda040143,acetaminophen,yes,no,tablet,,no,FDA,
oral,,,discontinued,fda,approved,22.02.1996,1996,,,,small molecule,hydrocodone bitartrate and acetaminophen,,,,,vintage pharms,vintage,anda040144,acetaminophen,yes,no,tablet,,no,FDA,
oral,,,discontinued,fda,approved,14.02.1997,1997,,,,small molecule,hydrocodone bitartrate and acetaminophen; norco,,,,,apil,apil,anda040148,acetaminophen,yes,no,tablet,,no,FDA,
oral,,,discontinued,fda,approved,27.01.1997,1997,,,,small molecule,hydrocodone bitartrate and acetaminophen,,,,,sandoz,sandoz,anda040149,acetaminophen,yes,no,tablet,,no,FDA,
oral,,,discontinued,fda,approved,14.04.1997,1997,,,,small molecule,hydrocodone bitartrate and acetaminophen,,,,,vintage pharms,vintage,anda040155,acetaminophen,yes,no,tablet,,no,FDA,
oral,,,discontinued,fda,approved,12.04.1996,1996,,,,small molecule,hydrocodone bitartrate and acetaminophen,,,,,vintage pharms,vintage,anda040157,acetaminophen,yes,no,tablet,,no,FDA,
oral,,,discontinued,fda,approved,12.06.1995,1995,,,,small molecule,"butalbital, acetaminophen and caffeine",,,,,hikma pharms,hikma,anda089718,acetaminophen,yes,no,tablet,,no,FDA,
oral,,,discontinued,fda,approved,23.12.2008,2008,,,,small molecule,hydrocodone bitartrate and acetaminophen,,,,,sun pharm inds inc,sun,anda090118,acetaminophen,yes,no,tablet,,no,FDA,
oral,,,discontinued,fda,approved,20.10.2008,2008,,,,small molecule,oxycodone and acetaminophen,,,,,dr reddys labs sa,dr reddys,anda090177,acetaminophen,yes,no,tablet,,no,FDA,
oral,,,discontinued,fda,approved,18.11.2009,2009,,,,small molecule,acetaminophen,,,,,sun pharm inds ltd,sun,anda090205,acetaminophen,yes,no,tablet,,no,FDA,
oral,,,discontinued,fda,approved,23.12.2008,2008,,,,small molecule,hydrocodone bitartrate and acetaminophen,,,,,caraco,caraco,anda090265,acetaminophen,yes,no,tablet,,no,FDA,
oral,,,discontinued,fda,approved,23.12.2008,2008,,,,small molecule,hydrocodone bitartrate and acetaminophen,,,,,caraco,not reported,anda090380,acetaminophen,yes,no,tablet,,no,FDA,
oral,,,discontinued,fda,approved,24.01.2011,2011,,,,small molecule,hydrocodone bitartrate and acetaminophen,,,,,endo operations,endo,anda090415,acetaminophen,yes,no,tablet,,no,FDA,
oral,,,authorised,fda,approved,06.09.2012,2012,,,,small molecule,tramadol hydrochloride and acetaminophen,,,,,zydus pharms usa inc,zydus,anda090460,acetaminophen,yes,no,tablet,,no,FDA,
oral,,,discontinued,fda,approved,14.04.2016,2016,,,,small molecule,zyfrel,,,,,cypress pharm inc,cypress,anda090468,acetaminophen,yes,no,solution,,no,FDA,
oral,,,authorised,fda,approved,09.12.2009,2009,,,,small molecule,tramadol hydrochloride and acetaminophen,,,,,amneal pharms,amneal,anda090485,acetaminophen,yes,no,tablet,,no,FDA,
oral,,,discontinued,fda,approved,26.12.2013,2013,,,,small molecule,oxycodone and acetaminophen,,,,,sun pharm inds inc,sun,anda090535,acetaminophen,yes,no,tablet,,no,FDA,
oral,,,discontinued,fda,approved,11.07.2013,2013,,,,small molecule,oxycodone and acetaminophen,,,,,endo operations,endo,anda090733,acetaminophen,yes,no,tablet,,no,FDA,
oral,,,discontinued,fda,approved,11.07.2013,2013,,,,small molecule,oxycodone and acetaminophen,,,,,endo operations,endo,anda090734,acetaminophen,yes,no,tablet,,no,FDA,
oral,,,authorised,fda,approved,23.08.2011,2011,,,,small molecule,butalbital and acetaminophen,,,,,lgm pharma,lgm,anda090956,acetaminophen,yes,no,tablet,,no,FDA,
oral,,,discontinued,fda,approved,10.11.2011,2011,,,,small molecule,acetaminophen and codeine phosphate,,,,,chartwell molecular,chartwell,anda091238,acetaminophen,yes,no,solution,,no,FDA,
oral,,,discontinued,fda,approved,30.10.1997,1997,,,,small molecule,oxycodone and acetaminophen,,,,,watson labs,watson,anda040171,acetaminophen,yes,no,tablet,,no,FDA,
oral,,,authorised,fda,approved,13.09.2012,2012,diseases of the nervous system,<headache disorders>,,small molecule,"butalbital, acetaminophen and caffeine","indications and usage butalbital, acetaminophen, and caffeine tablets, usp are indicated for the relief of the symptom complex of tension (or muscle contraction) headache. evidence supporting the efficacy and safety of this combination product in the treatment of multiple recurrent headaches is unavailable. caution in this regard is required because butalbital is habit-forming and potentially abusable.",,,,lannett co inc,lannett,anda200243,acetaminophen,yes,no,tablet,,no,FDA,
oral,,,discontinued,fda,approved,25.01.2012,2012,,,,small molecule,hydrocodone bitartrate and acetaminophen,,,,,genus,genus,anda200343,acetaminophen,yes,no,solution,,no,FDA,
oral,,,authorised,fda,approved,11.04.2012,2012,"injury, poisoning and certain other consequences of external causes",not reported,,small molecule,hydrocodone bitartrate and acetaminophen,"indications and usage hydrocodone bitartrate and acetaminophen tablets are indicated for the management of, pain severe enough to require an opioid analgesic and for which alternative treatments are inadequate. limitations of use because of the risks of addiction, abuse, and misuse, with opioids, even at recommended doses [see warnings ], reserve hydrocodone bitartrate and acetaminophen tablets for use in patients for whom alternative treatment options [e.g., non-opioid analgesics] have not been tolerated, or are not expected to be tolerated, have not provided adequate analgesia, or are not expected to provide adequate analgesia",,,,aurolife pharma llc,aurolife,anda201013,acetaminophen,yes,no,tablet,,no,FDA,
oral,,,discontinued,fda,approved,13.03.1998,1998,,,,small molecule,hydrocodone bitartrate and acetaminophen,,,,,pharm assoc,not reported,anda040182,acetaminophen,yes,no,solution,,no,FDA,
oral,,,authorised,fda,approved,28.08.2014,2014,,,,small molecule,oxycodone and acetaminophen,,,,,rhodes pharms,rhodes,anda201278,acetaminophen,yes,no,tablet,,no,FDA,
oral,,,discontinued,fda,approved,30.12.2021,2021,,,,small molecule,hydrocodone bitartrate and acetaminophen,,,,,tris pharma inc,tris,anda201295,acetaminophen,yes,no,solution,,no,FDA,
oral,,,authorised,fda,approved,12.04.2013,2013,,,,small molecule,oxycodone and acetaminophen,,,,,actavis elizabeth,actavis,anda201447,acetaminophen,yes,no,tablet,,no,FDA,
oral,,,authorised,fda,approved,26.08.2021,2021,,,,small molecule,oxycodone and acetaminophen,,,,,sankalp lifecare,sankalp,anda201448,acetaminophen,yes,no,solution,,no,FDA,
oral,,,authorised,fda,approved,14.12.2012,2012,"injury, poisoning and certain other consequences of external causes",<acute pain>,,small molecule,tramadol hydrochloride and acetaminophen,"1 indications and usage tramadol hydrochloride and acetaminophen tablets are indicated for the management of acute pain severe enough to require an opioid analgesic and for which alternative treatments are inadequate. limitations of use tramadol hydrochloride and acetaminophen tablets are indicated for short-term use of five days or less. because of the risks of addiction, abuse, and misuse with opioids, even at recommended doses [see warnings and precautions (5.1) ] , reserve tramadol hydrochloride and acetaminophen for use in patients for whom alternative treatment options [e.g., non-opioid analgesics]: have not been tolerated, or are not expected to be tolerated, have not provided adequate analgesia, or are not expected to provide adequate analgesia. tramadol hydrochloride and acetaminophen tablet is a combination of tramadol hydrochloride, an opioid agonist, and acetaminophen, and is indicated for the management of acute pain, severe enough to require an opioid analgesic and for which alternative treatments are inadequate. ( 1 ) limitations of use ( 1 ) tramadol hydrochloride and acetaminophen tablets are indicated for short-term use of five days or less. because of the risks of addiction, abuse, and misuse with opioids, even at recommended doses, reserve tramadol hydrochloride and acetaminophen tablets for use in patients for whom alternative treatment options [e.g., non-opioid analgesics]: have not been tolerated, or are not expected to be tolerated. have not provided adequate analgesia, or are not expected to provide adequate analgesia.",,,,micro labs ltd india,micro labs,anda201952,acetaminophen,yes,no,tablet,,no,FDA,
oral,,,authorised,fda,approved,15.07.2013,2013,,,,small molecule,oxycodone and acetaminophen,,,,,aurolife pharma llc,aurolife,anda201972,acetaminophen,yes,no,tablet,,no,FDA,
oral,,,authorised,fda,approved,30.03.2012,2012,,,,small molecule,tramadol hydrochloride and acetaminophen,,,,,alkem labs ltd,alkem,anda202076,acetaminophen,yes,no,tablet,,no,FDA,
oral,,,authorised,fda,approved,27.11.2018,2018,,,,small molecule,oxycodone and acetaminophen,,,,,mikart,mikart,anda202142,acetaminophen,yes,no,solution,,no,FDA,
