drug,from_agency,to_agency,lag_days,lag_months,from_date,to_date,agency_pair
abraxane,EMA,TGA,2034,66.81997371879106,2008-01-11,2013-08-06,EMA -> TGA
abraxane,TGA,PMDA,2192,72.01051248357425,2013-08-06,2019-08-07,TGA -> PMDA
abrysvo,EMA,TGA,244,8.015768725361367,2023-07-20,2024-03-20,EMA -> TGA
abrysvo,TGA,Swissmedic,156,5.124835742444152,2024-03-20,2024-08-23,TGA -> Swissmedic
adcetris,EMA,PMDA,487,15.99868593955322,2012-07-19,2013-11-18,EMA -> PMDA
adcetris,PMDA,TGA,31,1.0183968462549278,2013-11-18,2013-12-19,PMDA -> TGA
adempas,PMDA,EMA,55,1.8068331143232588,2013-11-29,2014-01-23,PMDA -> EMA
adempas,EMA,TGA,74,2.431011826544021,2014-01-23,2014-04-07,EMA -> TGA
afstyla,EMA,TGA,139,4.566360052562418,2016-11-10,2017-03-29,EMA -> TGA
afstyla,TGA,PMDA,163,5.354796320630749,2017-03-29,2017-09-08,TGA -> PMDA
alecensa,PMDA,EMA,934,30.683311432325887,2014-05-26,2016-12-15,PMDA -> EMA
alecensa,EMA,TGA,85,2.7923784494086727,2016-12-15,2017-03-10,EMA -> TGA
alhemo,TGA,PMDA,28,0.9198423127463863,2023-07-03,2023-07-31,TGA -> PMDA
alhemo,PMDA,Swissmedic,8,0.2628120893561104,2023-07-31,2023-08-08,PMDA -> Swissmedic
alhemo,Swissmedic,EMA,436,14.323258869908015,2023-08-08,2024-10-17,Swissmedic -> EMA
alunbrig,EMA,TGA,165,5.4204993429697765,2018-09-20,2019-03-04,EMA -> TGA
alunbrig,TGA,Swissmedic,792,26.018396846254927,2019-03-04,2021-05-04,TGA -> Swissmedic
amvuttra,EMA,Swissmedic,337,11.070959264126149,2022-07-21,2023-06-23,EMA -> Swissmedic
amvuttra,Swissmedic,TGA,361,11.85939553219448,2023-06-23,2024-06-18,Swissmedic -> TGA
aquipta,EMA,TGA,145,4.763469119579501,2023-06-22,2023-11-14,EMA -> TGA
aquipta,TGA,Swissmedic,113,3.712220762155059,2023-11-14,2024-03-06,TGA -> Swissmedic
arexvy,EMA,TGA,257,8.442838370565045,2023-04-26,2024-01-08,EMA -> TGA
arexvy,TGA,Swissmedic,115,3.7779237844940865,2024-01-08,2024-05-02,TGA -> Swissmedic
avastin,EMA,PMDA,771,25.328515111695136,2005-01-12,2007-02-22,EMA -> PMDA
