drug,from_agency,to_agency,lag_days,lag_months,from_date,to_date,agency_pair
abaloparatide,EMA,Swissmedic,511,16.78712220762155,2022-10-13,2024-03-07,EMA -> Swissmedic
abaloparatide,Swissmedic,TGA,244,8.015768725361367,2024-03-07,2024-11-06,Swissmedic -> TGA
abemaciclib,EMA,TGA,1399,45.959264126149804,2018-07-26,2022-05-25,EMA -> TGA
abiraterone acetate,TGA,EMA,3286,107.95006570302233,2012-02-27,2021-02-25,TGA -> EMA
abrocitinib,EMA,Swissmedic,173,5.683311432325887,2021-10-14,2022-04-05,EMA -> Swissmedic
abrocitinib,Swissmedic,TGA,841,27.628120893561103,2022-04-05,2024-07-24,Swissmedic -> TGA
acalabrutinib,TGA,EMA,245,8.04862023653088,2019-11-21,2020-07-23,TGA -> EMA
acalabrutinib,EMA,Swissmedic,224,7.35873850197109,2020-07-23,2021-03-04,EMA -> Swissmedic
aclidinium bromide,EMA,TGA,663,21.780551905387647,2012-05-24,2014-03-18,EMA -> TGA
adalimumab,TGA,EMA,1290,42.3784494086728,2013-07-16,2017-01-26,TGA -> EMA
afamelanotide,EMA,TGA,2191,71.97766097240472,2014-10-23,2020-10-22,EMA -> TGA
afatinib,EMA,TGA,99,3.252299605781866,2013-07-25,2013-11-01,EMA -> TGA
aflibercept,TGA,EMA,216,7.09592641261498,2012-02-17,2012-09-20,TGA -> EMA
agomelatine,EMA,TGA,623,20.466491458607095,2008-11-20,2010-08-05,EMA -> TGA
albutrepenonacog alfa,EMA,TGA,202,6.636005256241787,2016-02-25,2016-09-14,EMA -> TGA
alectinib,EMA,TGA,411,13.501971090670171,2016-12-15,2018-01-30,EMA -> TGA
alemtuzumab,EMA,TGA,167,5.486202365308804,2013-06-27,2013-12-11,EMA -> TGA
alirocumab,EMA,TGA,295,9.69119579500657,2015-07-23,2016-05-13,EMA -> TGA
alogliptin,EMA,TGA,47,1.5440210249671484,2013-07-25,2013-09-10,EMA -> TGA
alpelisib,TGA,Swissmedic,5,0.164257555847569,2020-03-19,2020-03-24,TGA -> Swissmedic
alpelisib,Swissmedic,EMA,65,2.135348226018397,2020-03-24,2020-05-28,Swissmedic -> EMA
ambrisentan,EMA,TGA,2850,93.62680683311432,2008-04-21,2016-02-09,EMA -> TGA
amifampridine,EMA,TGA,4279,140.57161629434952,2009-12-23,2021-09-10,EMA -> TGA
amivantamab,EMA,Swissmedic,98,3.219448094612352,2021-10-14,2022-01-20,EMA -> Swissmedic
amivantamab,Swissmedic,TGA,312,10.249671484888305,2022-01-20,2022-11-28,Swissmedic -> TGA
andexanet alfa,EMA,Swissmedic,643,21.12352168199737,2019-02-28,2020-12-02,EMA -> Swissmedic
andexanet alfa,Swissmedic,TGA,937,30.781865965834427,2020-12-02,2023-06-27,Swissmedic -> TGA
anifrolumab,EMA,TGA,98,3.219448094612352,2021-12-16,2022-03-24,EMA -> TGA
anifrolumab,TGA,Swissmedic,160,5.256241787122208,2022-03-24,2022-08-31,TGA -> Swissmedic
apalutamide,TGA,EMA,134,4.402102496714849,2018-07-04,2018-11-15,TGA -> EMA
apixaban,EMA,TGA,119,3.9093298291721417,2011-03-17,2011-07-14,EMA -> TGA
apremilast,EMA,TGA,112,3.679369250985545,2014-11-20,2015-03-12,EMA -> TGA
arsenic trioxide,TGA,EMA,1487,48.85019710906702,2015-08-24,2019-09-19,TGA -> EMA
asciminib,Swissmedic,EMA,14,0.45992115637319314,2022-06-09,2022-06-23,Swissmedic -> EMA
asciminib,EMA,TGA,21,0.6898817345597897,2022-06-23,2022-07-14,EMA -> TGA
asenapine,EMA,TGA,256,8.409986859395532,2010-06-24,2011-03-07,EMA -> TGA
asfotase alfa,EMA,TGA,201,6.603153745072273,2015-06-25,2016-01-12,EMA -> TGA
atezolizumab,EMA,TGA,6,0.19710906701708278,2017-07-20,2017-07-26,EMA -> TGA
atogepant,EMA,TGA,145,4.763469119579501,2023-06-22,2023-11-14,EMA -> TGA
atogepant,TGA,Swissmedic,113,3.712220762155059,2023-11-14,2024-03-06,TGA -> Swissmedic
avacopan,EMA,Swissmedic,312,10.249671484888305,2021-11-11,2022-09-19,EMA -> Swissmedic
avacopan,Swissmedic,TGA,120,3.9421813403416555,2022-09-19,2023-01-17,Swissmedic -> TGA
avalglucosidase alfa,EMA,TGA,4,0.1314060446780552,2021-11-11,2021-11-15,EMA -> TGA
avalglucosidase alfa,TGA,Swissmedic,2,0.0657030223390276,2021-11-15,2021-11-17,TGA -> Swissmedic
avanafil,EMA,TGA,929,30.519053876478317,2013-04-25,2015-11-10,EMA -> TGA
avapritinib,EMA,Swissmedic,1078,35.41392904073587,2020-07-23,2023-07-06,EMA -> Swissmedic
avatrombopag,EMA,Swissmedic,942,30.946123521681997,2019-04-26,2021-11-23,EMA -> Swissmedic
avatrombopag,Swissmedic,TGA,416,13.66622864651774,2021-11-23,2023-01-13,Swissmedic -> TGA
avelumab,EMA,TGA,166,5.45335085413929,2017-07-20,2018-01-02,EMA -> TGA
axitinib,EMA,TGA,56,1.8396846254927726,2012-05-24,2012-07-19,EMA -> TGA
azacitidine,EMA,TGA,1576,51.77398160315374,2008-12-17,2013-04-11,EMA -> TGA
aztreonam,EMA,TGA,222,7.293035479632063,2009-06-25,2010-02-02,EMA -> TGA
baloxavir marboxil,Swissmedic,TGA,2,0.0657030223390276,2020-02-19,2020-02-21,Swissmedic -> TGA
baloxavir marboxil,TGA,EMA,265,8.705650459921156,2020-02-21,2020-11-12,TGA -> EMA
baricitinib,EMA,TGA,400,13.140604467805518,2016-12-15,2018-01-19,EMA -> TGA
belantamab mafodotin,EMA,Swissmedic,697,22.897503285151117,2020-07-23,2022-06-20,EMA -> Swissmedic
belatacept,EMA,TGA,319,10.4796320630749,2011-04-14,2012-02-27,EMA -> TGA
belimumab,EMA,TGA,414,13.600525624178712,2011-05-19,2012-07-06,EMA -> TGA
belzutifan,TGA,Swissmedic,457,15.013140604467806,2022-12-20,2024-03-21,TGA -> Swissmedic
belzutifan,Swissmedic,EMA,266,8.73850197109067,2024-03-21,2024-12-12,Swissmedic -> EMA
benralizumab,EMA,TGA,140,4.599211563731932,2017-11-09,2018-03-29,EMA -> TGA
berotralstat,EMA,Swissmedic,467,15.341655716162943,2021-02-25,2022-06-07,EMA -> Swissmedic
bevacizumab,EMA,TGA,1855,60.939553219448094,2005-01-12,2010-02-10,EMA -> TGA
bezlotoxumab,EMA,TGA,351,11.530880420499342,2016-11-22,2017-11-08,EMA -> TGA
bictegravir / emtricitabine / tenofovir alafenamide,EMA,TGA,75,2.463863337713535,2018-04-26,2018-07-10,EMA -> TGA
bimekizumab,EMA,TGA,266,8.73850197109067,2021-06-24,2022-03-17,EMA -> TGA
bimekizumab,TGA,Swissmedic,224,7.35873850197109,2022-03-17,2022-10-27,TGA -> Swissmedic
blinatumomab,EMA,TGA,36,1.1826544021024967,2015-09-24,2015-10-30,EMA -> TGA
boceprevir,EMA,TGA,217,7.128777923784494,2011-05-19,2011-12-22,EMA -> TGA
bortezomib,EMA,TGA,2740,90.01314060446781,2004-04-26,2011-10-27,EMA -> TGA
botulinum toxin type a,TGA,EMA,3054,100.32851511169514,2011-03-15,2019-07-25,TGA -> EMA
brentuximab vedotin,EMA,TGA,518,17.017082785808146,2012-07-19,2013-12-19,EMA -> TGA
brexpiprazole,TGA,EMA,379,12.450722733245728,2017-05-17,2018-05-31,TGA -> EMA
brigatinib,EMA,TGA,165,5.4204993429697765,2018-09-20,2019-03-04,EMA -> TGA
brigatinib,TGA,Swissmedic,792,26.018396846254927,2019-03-04,2021-05-04,TGA -> Swissmedic
brimonidine,TGA,EMA,1305,42.8712220762155,2010-05-24,2013-12-19,TGA -> EMA
brivaracetam,EMA,TGA,257,8.442838370565045,2015-11-19,2016-08-02,EMA -> TGA
brolucizumab,EMA,TGA,34,1.1169513797634691,2019-12-12,2020-01-15,EMA -> TGA
brolucizumab,TGA,Swissmedic,869,28.54796320630749,2020-01-15,2022-06-02,TGA -> Swissmedic
budesonide,TGA,EMA,2008,65.9658344283837,2012-05-11,2017-11-09,TGA -> EMA
bulevirtide,EMA,Swissmedic,1348,44.283837056504595,2020-05-28,2024-02-05,EMA -> Swissmedic
buprenorphine,EMA,TGA,63,2.0696452036793693,2018-09-20,2018-11-22,EMA -> TGA
burosumab,EMA,TGA,1359,44.645203679369246,2017-12-14,2021-09-03,EMA -> TGA
cabazitaxel,EMA,TGA,319,10.4796320630749,2011-01-20,2011-12-05,EMA -> TGA
cabotegravir,EMA,TGA,118,3.876478318002628,2020-10-15,2021-02-10,EMA -> TGA
cabotegravir,TGA,Swissmedic,240,7.884362680683311,2021-02-10,2021-10-08,TGA -> Swissmedic
cabozantinib,EMA,TGA,1491,48.98160315374507,2013-12-19,2018-01-18,EMA -> TGA
caffeine citrate,TGA,EMA,3753,123.29172141918528,2010-03-17,2020-06-25,TGA -> EMA
canagliflozin,TGA,EMA,13,0.42706964520367935,2013-09-06,2013-09-19,TGA -> EMA
canakinumab,EMA,TGA,1841,60.4796320630749,2009-07-23,2014-08-07,EMA -> TGA
cannabidiol,EMA,TGA,421,13.830486202365309,2019-07-25,2020-09-18,EMA -> TGA
cannabidiol,TGA,Swissmedic,145,4.763469119579501,2020-09-18,2021-02-10,TGA -> Swissmedic
capivasertib,Swissmedic,EMA,37,1.2155059132720105,2024-03-19,2024-04-25,Swissmedic -> EMA
capivasertib,EMA,TGA,12,0.39421813403416556,2024-04-25,2024-05-07,EMA -> TGA
caplacizumab,EMA,TGA,581,19.086727989487514,2018-06-28,2020-01-30,EMA -> TGA
caplacizumab,TGA,Swissmedic,525,17.24704336399474,2020-01-30,2021-07-08,TGA -> Swissmedic
capmatinib,Swissmedic,EMA,361,11.85939553219448,2021-04-26,2022-04-22,Swissmedic -> EMA
carfilzomib,EMA,TGA,2703,88.7976346911958,2015-09-24,2023-02-17,EMA -> TGA
carglumic acid,TGA,EMA,812,26.675427069645202,2015-01-30,2017-04-21,TGA -> EMA
catridecacog,EMA,TGA,529,17.378449408672797,2012-05-24,2013-11-04,EMA -> TGA
ceftaroline fosamil,EMA,TGA,231,7.588699080157687,2012-06-21,2013-02-07,EMA -> TGA
ceftolozane / tazobactam,EMA,TGA,98,3.219448094612352,2015-07-23,2015-10-29,EMA -> TGA
cemiplimab,EMA,TGA,433,14.224704336399475,2019-04-26,2020-07-02,EMA -> TGA
cenegermin,EMA,TGA,851,27.95663600525624,2017-05-18,2019-09-16,EMA -> TGA
cenobamate,EMA,Swissmedic,476,15.637319316688567,2021-01-28,2022-05-19,EMA -> Swissmedic
ceritinib,EMA,TGA,397,13.042049934296976,2015-02-26,2016-03-29,EMA -> TGA
certolizumab pegol,EMA,TGA,180,5.913272010512483,2009-06-25,2009-12-22,EMA -> TGA
ciclosporin,EMA,TGA,1832,60.183968462549274,2015-01-22,2020-01-28,EMA -> TGA
ciltacabtagene autoleucel,EMA,Swissmedic,137,4.50065703022339,2022-03-24,2022-08-08,EMA -> Swissmedic
cipaglucosidase alfa,EMA,Swissmedic,567,18.626806833114323,2022-12-15,2024-07-04,EMA -> Swissmedic
cipaglucosidase alfa,Swissmedic,TGA,221,7.260183968462549,2024-07-04,2025-02-10,Swissmedic -> TGA
cladribine,TGA,EMA,2485,81.63600525624179,2010-09-02,2017-06-22,TGA -> EMA
clofarabine,EMA,Swissmedic,665,21.846254927726676,2019-09-19,2021-07-15,EMA -> Swissmedic
cobicistat,EMA,TGA,82,2.6938239159001314,2013-07-25,2013-10-15,EMA -> TGA
colistimethate sodium,TGA,EMA,270,8.869908015768726,2011-01-13,2011-10-10,TGA -> EMA
concentrate of proteolytic enzymes enriched in bromelain,EMA,Swissmedic,3500,114.98028909329828,2012-09-20,2022-04-21,EMA -> Swissmedic
concizumab,TGA,Swissmedic,36,1.1826544021024967,2023-07-03,2023-08-08,TGA -> Swissmedic
concizumab,Swissmedic,EMA,436,14.323258869908015,2023-08-08,2024-10-17,Swissmedic -> EMA
corifollitropin alfa,EMA,TGA,244,8.015768725361367,2009-11-19,2010-07-21,EMA -> TGA
crisaborole,TGA,EMA,349,11.465177398160314,2019-02-15,2020-01-30,TGA -> EMA
crisantaspase,EMA,TGA,201,6.603153745072273,2023-07-20,2024-02-06,EMA -> TGA
crisantaspase,TGA,Swissmedic,72,2.3653088042049935,2024-02-06,2024-04-18,TGA -> Swissmedic
crizanlizumab,EMA,TGA,257,8.442838370565045,2020-07-23,2021-04-06,EMA -> TGA
crizotinib,EMA,TGA,432,14.19185282522996,2012-07-19,2013-09-24,EMA -> TGA
dabigatran etexilate,EMA,TGA,2715,89.19185282522996,2008-03-18,2015-08-24,EMA -> TGA
daclatasvir,EMA,TGA,361,11.85939553219448,2014-06-26,2015-06-22,EMA -> TGA
daclizumab,EMA,TGA,145,4.763469119579501,2016-04-28,2016-09-20,EMA -> TGA
damoctocog alfa pegol,EMA,TGA,1643,53.975032851511166,2018-09-20,2023-03-21,EMA -> TGA
danicopan,EMA,Swissmedic,68,2.2339027595269383,2024-02-22,2024-04-30,EMA -> Swissmedic
dapagliflozin,EMA,TGA,17,0.5584756898817346,2012-09-18,2012-10-05,EMA -> TGA
daptomycin,EMA,TGA,4748,155.9789750328515,2006-01-19,2019-01-19,EMA -> TGA
daratumumab,EMA,TGA,2014,66.16294349540078,2016-04-01,2021-10-06,EMA -> TGA
daridorexant,EMA,Swissmedic,280,9.198423127463863,2022-02-24,2022-12-01,EMA -> Swissmedic
darolutamide,EMA,TGA,21,0.6898817345597897,2020-01-30,2020-02-20,EMA -> TGA
dasatinib,TGA,EMA,3927,129.00788436268067,2011-04-28,2022-01-27,TGA -> EMA
deferasirox,EMA,TGA,3278,107.68725361366623,2005-11-02,2014-10-24,EMA -> TGA
deferiprone,TGA,EMA,2537,83.3442838370565,2011-08-15,2018-07-26,TGA -> EMA
defibrotide,EMA,Swissmedic,2615,85.90670170827858,2013-07-25,2020-09-21,EMA -> Swissmedic
degarelix,TGA,EMA,4902,161.03810775295662,2010-02-16,2023-07-20,TGA -> EMA
denosumab,EMA,TGA,222,7.293035479632063,2010-03-18,2010-10-26,EMA -> TGA
deucravacitinib,TGA,EMA,58,1.9053876478318001,2022-11-29,2023-01-26,TGA -> EMA
dexamethasone,EMA,TGA,1835,60.282522996057814,2010-05-20,2015-05-29,EMA -> TGA
difelikefalin,EMA,Swissmedic,173,5.683311432325887,2022-02-24,2022-08-16,EMA -> Swissmedic
difelikefalin,Swissmedic,TGA,85,2.7923784494086727,2022-08-16,2022-11-09,Swissmedic -> TGA
dimethyl fumarate,EMA,TGA,104,3.416557161629435,2013-03-21,2013-07-03,EMA -> TGA
dinutuximab beta,EMA,TGA,1090,35.808147174770035,2017-03-23,2020-03-17,EMA -> TGA
dinutuximab beta,TGA,Swissmedic,1493,49.0473061760841,2020-03-17,2024-04-18,TGA -> Swissmedic
diroximel fumarate,EMA,TGA,183,6.011826544021025,2021-09-16,2022-03-18,EMA -> TGA
dolutegravir,EMA,TGA,57,1.8725361366622864,2013-11-21,2014-01-17,EMA -> TGA
doravirine,EMA,TGA,120,3.9421813403416555,2018-09-20,2019-01-18,EMA -> TGA
dostarlimab,EMA,TGA,355,11.662286465177397,2021-02-25,2022-02-15,EMA -> TGA
dostarlimab,TGA,Swissmedic,2,0.0657030223390276,2022-02-15,2022-02-17,TGA -> Swissmedic
dulaglutide,EMA,TGA,88,2.890932982917214,2014-09-25,2014-12-22,EMA -> TGA
dupilumab,EMA,TGA,186,6.110381077529566,2017-07-20,2018-01-22,EMA -> TGA
durvalumab,EMA,TGA,848,27.8580814717477,2018-07-26,2020-11-20,EMA -> TGA
eculizumab,TGA,EMA,972,31.93166885676741,2020-06-26,2023-02-23,TGA -> EMA
efanesoctocog alfa,EMA,Swissmedic,130,4.270696452036794,2024-04-25,2024-09-02,EMA -> Swissmedic
efgartigimod alfa,EMA,Swissmedic,833,27.365308804204993,2022-06-23,2024-10-03,EMA -> Swissmedic
efmoroctocog alfa,TGA,EMA,463,15.210249671484888,2014-06-18,2015-09-24,TGA -> EMA
eftrenonacog alfa,TGA,EMA,679,22.306176084099867,2014-04-17,2016-02-25,TGA -> EMA
eliglustat,EMA,TGA,82,2.6938239159001314,2014-11-20,2015-02-10,EMA -> TGA
elosulfase alfa,EMA,TGA,285,9.362680683311432,2014-02-20,2014-12-02,EMA -> TGA
elranatamab,Swissmedic,EMA,37,1.2155059132720105,2023-09-05,2023-10-12,Swissmedic -> EMA
elranatamab,EMA,TGA,258,8.47568988173456,2023-10-12,2024-06-26,EMA -> TGA
eltrombopag,EMA,TGA,2097,68.88961892247043,2010-03-11,2015-12-07,EMA -> TGA
elvitegravir,EMA,TGA,26,0.8541392904073587,2013-09-19,2013-10-15,EMA -> TGA
elvitegravir / cobicistat / emtricitabine / tenofovir alafenamide,EMA,TGA,110,3.6136662286465175,2015-09-24,2016-01-12,EMA -> TGA
empagliflozin,EMA,TGA,28,0.9198423127463863,2014-03-20,2014-04-17,EMA -> TGA
enfortumab vedotin,EMA,Swissmedic,936,30.749014454664913,2022-02-24,2024-09-17,EMA -> Swissmedic
