Administration_route,Application_date,Application_year,Current_status,Dataset,Decision,Decision_date,Decision_year,Disease_class(es),Disease_name(s),Document_name,Drug_class,Drug_name,Indication_approved,Indication_extended,Indication_requested,Indication_requested_extracted,Marketing_authorisation_holder,Marketing_authorisation_holder_extracted,Marketing_authorisation_number,Non_proprietary_name,Nonclinical_abridged,Orphan_drug_status,Pharmaceutical_form,Procedure_number,Referral_body,DRUG_CODE
oral,07.01.2022,2022.0,authorised,EMA,approved,2022-01-27,2022,infectious and parasitic diseases,<coronavirus disease 2019>,paxlovid-epar-public-assessment-report_en.pdf,small molecule,paxlovid,treatment of mild-to-moderate coronavirus disease 2019 (covid-19) in adult and adolescent patients (12 years of age and older weighing at least 40 kg) and who are at high risk for progression to severe covid-19,no,treatment of mild-to-moderate coronavirus disease 2019 (covid-19) in adult and adolescent patients (12 years of age and older weighing at least 40 kg) and who are at high risk for progression to severe covid-19,<coronavirus disease 2019>,pfizer europe ma eeig,pfizer,ema/95110/2022,"(1r,2s,5s)-n-((1s)-1-cyano-2-((3s)-2-oxopyrrolidin-3-yl)ethyl)-3-((2s)-3,3-dimethyl-2-(2,2,2-trifluoroacetamido)butanoyl)-6,6-dimethyl-3-azabicyclo[3.1.0]hexane-2-carboxamide / ritonavir",no,no,tablet,emea/h/c/005973/0000,na,
oral,,,authorised,EMA,approved,2002-04-23,2002,diseases of the digestive system,<helicobacter infections>,helicobacter-test-infai-epar-scientific-discussion_en.pdf,other,helicobacter test infai,"diagnosis of gastroduodenal helicobacter pylori infection for the evaluation of eradication regimens, or when invasive tests cannot be performed, or when there are discordant results arising from invasive tests",yes,diagnosis of gastroduodenal helicobacter pylori infection,<helicobacter infections>,infai gmbh,infai,,13c-labelled urea,yes,no,powder,,,
cutaneous,02.09.2010,2010.0,authorised,EMA,approved,2011-10-20,2011,diseases of the skin,<actinic keratosis>,ameluz-epar-public-assessment-report_en.pdf,small molecule,ameluz,treatment of actinic keratosis of mild to moderate intensity on the face and scalp (olsen grade 1 to 2; see section 5.1 of the smpc),no,treatment of actinic keratosis of mild to moderate intensity on the face and scalp (olsen grade 1 to 2),<actinic keratosis>,biofrontera bioscience gmbh,biofrontera,ema/chmp/484377/2011,5-aminolaevulinic acid,no,no,gel,emea/h/c/002204,na,
intramuscular,21.10.2010,2010.0,withdrawn,EMA,approved,2011-12-15,2011,infectious and parasitic diseases,<influenza>,vepacel-epar-public-assessment-report_en.pdf,vaccine,vepacel,prophylaxis of h5n1 subtype of influenza a in either a pre-pandemic or pandemic situation in adults aged 18 years and older,no,prophylaxis of h5n1 subtype of influenza a in either a pre-pandemic or pandemic situation in adults aged 18 years and older,<influenza>,baxter innovations gmbh,baxter,,"a/h5n1 pre-pandemic influenza vaccine (whole virion, vero cell derived, inactivated)",no,no,suspension,emea/h/c/002089,na,
,14.07.2009,2009.0,authorised,EMA,approved,2009-07-23,2009,infectious and parasitic diseases,<influenza>,foclivia-epar-public-assessment-report_en.pdf,vaccine,foclivia,prophylaxis of influenza in an officially declared pandemic situation.,yes,prophylaxis of the influenza in an official declared pandemic situation.,<influenza>,novartis vaccines and diagnostics s.r.l.,novartis,ema/534223/2009,a/viet nam/1194/2004 (h5n1) virus surface inactivated antigen,yes,no,,emea/h/c/1208,,
subcutaneous,04.11.2021,2021.0,authorised,EMA,approved,2022-10-13,2022,diseases of the musculoskeletal system and connective tissue,<osteoporosis>,eladynos-epar-public-assessment-report_en.pdf,peptides and proteins,eladynos,treatment of osteoporosis in postmenopausal women at increased risk of fracture,no,treatment of osteoporosis in postmenopausal women at increased risk of fracture,<osteoporosis>,radius health ireland ltd,radius,ema/857958/2022,abaloparatide,no,no,solution,emea/h/c/005928/0000,na,
subcutaneous,12.12.2022,2022.0,authorised,Swissmedic,approved,2024-03-07,2024,diseases of the musculoskeletal system and connective tissue,<osteoporosis>,swisspar_tymlos.pdf,peptides and proteins,tymlos,treatment of osteoporosis in postmenopausal women at high risk of fracture.,no,treatment of osteoporosis in postmenopausal women at increased risk of fracture.,<osteoporosis>,labatec pharma sa,labatec,69246,abaloparatide,yes,no,solution,,ema,
subcutaneous,01.2024,2024.0,authorised,TGA,approved,2024-11-06,2024,diseases of the musculoskeletal system and connective tissue,<osteoporosis>,auspar-eladynos-250218.pdf,peptides and proteins,eladynos,for the treatment of osteoporosis in postmenopausal women at increased risk of fracture.,no,for the treatment of osteoporosis in postmenopausal women at increased risk of fracture.,<osteoporosis>,theramex australia pty ltd,theramex,430937,abaloparatide,no,no,solution,pm-2023-05942-1-5,na,
intravenous,,,authorised,TGA,approved,2010-03-04,2010,diseases of the musculoskeletal system and connective tissue,<rheumatoid arthritis>; <juvenile idiopathic arthritis>,auspar-orencia.pdf,biologics,orencia,treatment of moderate to severe active rheumatoid arthritis in adult patients and reducing signs and symptoms in paediatric patients 6 years of age and older with moderately to severely active polyarticular juvenile idiopathic arthritis.,yes,reducing signs and symptoms in paediatric patients 6 years of age and older with moderately to severely active polyarticular juvenile idiopathic arthritis.,"<arthritis, juvenile>",bristol-myers squibb australia pty ltd,bristol-myers squibb,,abatacept,no,no,powder,pm-2008-03683-3-3,na,
oral,27.07.2017,2017.0,authorised,EMA,approved,2018-07-26,2018,neoplasms,<breast neoplasms>,verzenios-epar-public-assessment-report_en.pdf,small molecule,verzenios,"treatment of women with hormone receptor (hr) positive, human epidermal growth factor receptor 2 (her2) negative locally advanced or metastatic breast cancer",no,"treatment of women with hormone receptor (hr) positive, human epidermal growth factor receptor 2 (her2) negative locally advanced or metastatic breast cancer",<breast neoplasms>,eli lilly nederland b.v.,eli lilly,ema/551438/2018,abemaciclib,no,no,tablet,emea/h/c/004302/0000,na,
