Administration_route,Application_date,Application_year,Current_status,Dataset,Decision,Decision_date,Decision_year,Disease_class(es),Disease_name(s),Document_name,Drug_class,Drug_name,Indication_approved,Indication_extended,Indication_requested,Indication_requested_extracted,Marketing_authorisation_holder,Marketing_authorisation_holder_extracted,Marketing_authorisation_number,Non_proprietary_name,Nonclinical_abridged,Orphan_drug_status,Pharmaceutical_form,Procedure_number,Referral_body,DRUG_CODE
subcutaneous,03.12.2015,2015.0,authorised,EMA,approved,26.01.2017,2017,diseases of the musculoskeletal system and connective tissue; diseases of the skin; diseases of the digestive system; diseases of the eye and adnexa,"<rheumatoid arthritis>; <arthritis, juvenile>; <spondylarthropathies>; <arthritis, psoriatic>; <psoriasis>; <hidradenitis suppurativa>; <crohn disease>; <colitis, ulcerative>; <uveitis>",amgevita-epar-public-assessment-report_en.pdf,biologics,amgevita,rheumatoid arthritis; juvenile idiopathic arthritis; axial spondyloarthritis; psoriatic arthritis; psoriasis; hidradenitis suppurativa; crohn’s disease; ulcerative colitis; uveitis,no,rheumatoid arthritis; juvenile idiopathic arthritis; axial spondyloarthritis; psoriatic arthritis; psoriasis; hidradenitis suppurativa; crohn’s disease; ulcerative colitis; uveitis,"<rheumatoid arthritis>; <arthritis, juvenile>; <spondylarthropathies>; <arthritis, psoriatic>; <psoriasis>; <hidradenitis suppurativa>; <crohn disease>; <colitis, ulcerative>; <uveitis>",amgen europe b.v.,amgen,ema/106922/2017,adalimumab,no,no,solution,emea/h/c/004212/0000,na,
subcutaneous,05.11.2018,2018.0,authorised,EMA,approved,12.12.2019,2019,diseases of the musculoskeletal system and connective tissue; diseases of the skin; diseases of the digestive system; diseases of the eye and adnexa,"<rheumatoid arthritis>; <arthritis, juvenile>; <arthritis>; <spondylarthropathies>; <psoriatic arthritis>; <psoriasis>; <hidradenitis suppurativa>; <crohn disease>; <colitis, ulcerative>; <uveitis>",amsparity-epar-public-assessment-report_en.pdf,biologics,amsparity,rheumatoid arthritis; juvenile idiopathic arthritis; enthesitis-related arthritis; axial spondyloarthritis; psoriatic arthritis; psoriasis; hidradenitis suppurativa; crohn’s disease; ulcerative colitis; uveitis,no,rheumatoid arthritis; juvenile idiopathic arthritis; enthesitis-related arthritis; axial spondyloarthritis; psoriatic arthritis; psoriasis; hidradenitis suppurativa; crohn’s disease; ulcerative colitis; uveitis,"<rheumatoid arthritis>; <arthritis, juvenile>; <spondylarthropathies>; <spondylarthropathies>; <arthritis, psoriatic>; <psoriasis>; <hidradenitis suppurativa>; <crohn disease>; <colitis, ulcerative>; <uveitis>",pfizer europe ma eeig,pfizer,ema/2756/2020,adalimumab,no,no,solution,emea/h/c/004879/0000,na,
subcutaneous,27.10.2016,2016.0,withdrawn,EMA,approved,14.09.2017,2017,diseases of the musculoskeletal system and connective tissue; diseases of the skin; diseases of the digestive system; diseases of the eye and adnexa,"<rheumatoid arthritis>; <arthritis, juvenile>; <spondylarthropathies>; <arthritis, psoriatic>; <psoriasis>; <hidradenitis suppurativa>; <crohn disease>; <ulcerative colitis>; <uveitis>",cyltezo-epar-public-assessment-report_en.pdf,biologics,cyltezo,rheumatoid arthritis; juvenile idiopathic arthritis; axial spondyloarthritis; psoriatic arthritis; psoriasis; paediatric plaque psoriasis; hidradenitis suppurativa; crohn’s disease; paediatric crohn's disease; ulcerative colitis; uveitis,no,rheumatoid arthritis; juvenile idiopathic arthritis; axial spondyloarthritis; psoriatic arthritis; psoriasis; paediatric plaque psoriasis; hidradenitis suppurativa; crohn’s disease; paediatric crohn's disease; ulcerative colitis; uveitis,"<rheumatoid arthritis>; <arthritis, juvenile>; <spondylarthropathies>; <arthritis, psoriatic>; <psoriasis>; <hidradenitis suppurativa>; <crohn disease>; <ulcerative colitis>; <uveitis>",boehringer ingelheim international gmbh,boehringer ingelheim,ema/chmp/750187/2017,adalimumab,no,no,solution,emea/h/c/004319/0000,na,
subcutaneous,23.11.2017,2017.0,withdrawn,EMA,approved,31.05.2018,2018,diseases of the musculoskeletal system and connective tissue; diseases of the skin; diseases of the eye and adnexa,"<rheumatoid arthritis>; <arthritis, juvenile>; <arthritis>; <spondylarthropathies>; <psoriatic arthritis>; <psoriasis>; <hidradenitis suppurativa>; <uveitis>",halimatoz-epar-public-assessment-report_en.pdf,biologics,halimatoz,rheumatoid arthritis; juvenile idiopathic arthritis; enthesitis-related arthritis; axial spondyloarthritis; psoriatic arthritis; psoriasis; paediatric plaque psoriasis; hidradenitis suppurativa; uveitis; paediatric uveitis,no,rheumatoid arthritis; juvenile idiopathic arthritis; enthesitis-related arthritis; axial spondyloarthritis; psoriatic arthritis; psoriasis; paediatric plaque psoriasis; hidradenitis suppurativa; uveitis; paediatric uveitis,"<rheumatoid arthritis>; <arthritis, juvenile>; <spondylarthropathies>; <spondylarthropathies>; <arthritis, psoriatic>; <psoriasis>; <psoriasis>; <hidradenitis suppurativa>; <uveitis>; <uveitis>",sandoz gmbh,sandoz,ema/chmp/519681/2018,adalimumab,no,no,solution,emea/h/c/004866/0000,na,
subcutaneous,23.11.2017,2017.0,authorised,EMA,approved,31.05.2018,2018,diseases of the musculoskeletal system and connective tissue; diseases of the skin; diseases of the eye and adnexa,"<arthritis, juvenile>; <arthritis, juvenile>; <arthritis, juvenile>; <spondylarthropathies>; <spondylitis, ankylosing>; <spondylarthropathies>; <arthritis, psoriatic>; <psoriasis>; <psoriasis>; <hidradenitis suppurativa>; <uveitis>; <uveitis>",hefiya-epar-public-assessment-report_en.pdf,biologics,hefiya,juvenile idiopathic arthritis; polyarticular juvenile idiopathic arthritis; enthesitis-related arthritis; axial spondyloarthritis; ankylosing spondylitis; axial spondyloarthritis without radiographic evidence of as; psoriatic arthritis; psoriasis; paediatric plaque psoriasis; hidradenitis suppurativa; uveitis; paediatric uveitis,no,juvenile idiopathic arthritis; polyarticular juvenile idiopathic arthritis; enthesitis-related arthritis; axial spondyloarthritis; ankylosing spondylitis; axial spondyloarthritis without radiographic evidence of as; psoriatic arthritis; psoriasis; paediatric plaque psoriasis; hidradenitis suppurativa; uveitis; paediatric uveitis,"<arthritis, juvenile>; <arthritis, juvenile>; <arthritis, juvenile>; <spondylarthropathies>; <spondylitis, ankylosing>; <spondylarthropathies>; <arthritis, psoriatic>; <psoriasis>; <psoriasis>; <hidradenitis suppurativa>; <uveitis>; <uveitis>",sandoz gmbh,sandoz,ema/chmp/520007/2018,adalimumab,no,no,solution,emea/h/c/004865/0000,na,
subcutaneous,11.09.2020,2020.0,authorised,EMA,approved,16.09.2021,2021,diseases of the musculoskeletal system and connective tissue; diseases of the skin; diseases of the digestive system; diseases of the eye and adnexa,"<rheumatoid arthritis>; <arthritis, juvenile>; <spondylarthropathies>; <spondylitis, ankylosing>; <arthritis, psoriatic>; <psoriasis>; <hidradenitis suppurativa>; <crohn disease>; <ulcerative colitis>; <uveitis>",hukyndra-epar-public-assessment-report_en.pdf,biologics,hukyndra,rheumatoid arthritis; juvenile idiopathic arthritis; enthesitis-related arthritis; axial spondyloarthritis; psoriatic arthritis; psoriasis; paediatric plaque psoriasis; hidradenitis suppurativa; crohn’s disease; paediatric crohn's disease; ulcerative colitis; paediatric ulcerative colitis; uveitis; paediatric uveitis,no,rheumatoid arthritis; juvenile idiopathic arthritis; enthesitis-related arthritis; axial spondyloarthritis; psoriatic arthritis; psoriasis; paediatric plaque psoriasis; hidradenitis suppurativa; crohn’s disease; paediatric crohn's disease; ulcerative colitis; paediatric ulcerative colitis; uveitis; paediatric uveitis,"<rheumatoid arthritis>; <arthritis, juvenile>; <arthritis, psoriatic>; <spondylarthropathies>; <psoriasis>; <hidradenitis suppurativa>; <crohn disease>; <colitis, ulcerative>; <uveitis>",stada arzneimittel ag,stada,ema/555939/2021,adalimumab,no,no,solution,emea/h/c/005548/0000,na,
subcutaneous,25.04.2017,2017.0,authorised,EMA,approved,26.07.2018,2018,diseases of the musculoskeletal system and connective tissue; diseases of the skin; diseases of the digestive system; diseases of the eye and adnexa,"<rheumatoid arthritis>; <arthritis, juvenile>; <spondylarthropathies>; <arthritis, psoriatic>; <psoriasis>; <hidradenitis suppurativa>; <crohn disease>; <colitis, ulcerative>; <uveitis>",hulio-epar-public-assessment-report_en.pdf,biologics,hulio,rheumatoid arthritis; juvenile idiopathic arthritis; axial spondyloarthritis; psoriatic arthritis; psoriasis; hidradenitis suppurativa; crohn’s disease; ulcerative colitis; uveitis,no,rheumatoid arthritis; juvenile idiopathic arthritis; axial spondyloarthritis; psoriatic arthritis; psoriasis; hidradenitis suppurativa; crohn’s disease; ulcerative colitis; uveitis,"<rheumatoid arthritis>; <arthritis, juvenile>; <spondylarthropathies>; <arthritis, psoriatic>; <psoriasis>; <hidradenitis suppurativa>; <crohn disease>; <colitis, ulcerative>; <uveitis>",mylan s.a.s.,mylan,ema/541826/2018,adalimumab,no,no,solution,emea/h/c/004429/0000,na,
subcutaneous,24.04.2017,2017.0,authorised,EMA,approved,31.05.2018,2018,diseases of the musculoskeletal system and connective tissue; diseases of the skin; diseases of the digestive system; diseases of the eye and adnexa,"<rheumatoid arthritis>; <arthritis, juvenile>; <arthritis>; <ankylosing spondylitis>; <spondylarthropathies>; <psoriatic arthritis>; <psoriasis>; <hidradenitis suppurativa>; <crohn disease>; <ulcerative colitis>; <uveitis>",hyrimoz-epar-public-assessment-report_en.pdf,biologics,hyrimoz,rheumatoid arthritis; juvenile idiopathic arthritis; enthesitis-related arthritis; ankylosing spondylitis; axial spondyloarthritis without radiographic evidence of as; psoriatic arthritis; psoriasis; paediatric plaque psoriasis; hidradenitis suppurativa; crohn’s disease; paediatric crohn's disease; ulcerative colitis; uveitis; paediatric uveitis,no,rheumatoid arthritis; juvenile idiopathic arthritis; enthesitis-related arthritis; ankylosing spondylitis; axial spondyloarthritis without radiographic evidence of as; psoriatic arthritis; psoriasis; paediatric plaque psoriasis; hidradenitis suppurativa; crohn’s disease; paediatric crohn's disease; ulcerative colitis; uveitis; paediatric uveitis,"<rheumatoid arthritis>; <arthritis, juvenile>; <arthritis, psoriatic>; <spondylitis, ankylosing>; <spondyloarthritis>; <psoriasis>; <hidradenitis suppurativa>; <crohn disease>; <colitis, ulcerative>; <uveitis>",sandoz gmbh,sandoz,ema/chmp/404076/2018,adalimumab,no,no,solution,emea/h/c/004320/0000,na,
subcutaneous,25.10.2017,2017.0,authorised,EMA,approved,31.01.2019,2019,diseases of the musculoskeletal system and connective tissue; diseases of the skin; diseases of the digestive system; diseases of the eye and adnexa,"<rheumatoid arthritis>; <arthritis, juvenile>; <spondylarthropathies>; <spondylarthropathies>; <arthritis, psoriatic>; <psoriasis>; <psoriasis>; <hidradenitis suppurativa>; <crohn disease>; <crohn disease>; <colitis, ulcerative>; <uveitis>; <uveitis>",idacio-epar-public-assessment-report_en.pdf,biologics,idacio,rheumatoid arthritis; juvenile idiopathic arthritis; enthesitis-related arthritis; axial spondyloarthritis; psoriatic arthritis; psoriasis; paediatric plaque psoriasis; hidradenitis suppurativa; crohn’s disease; paediatric crohn's disease; ulcerative colitis; uveitis; paediatric uveitis,no,rheumatoid arthritis; juvenile idiopathic arthritis; enthesitis-related arthritis; axial spondyloarthritis; psoriatic arthritis; psoriasis; paediatric plaque psoriasis; hidradenitis suppurativa; crohn’s disease; paediatric crohn's disease; ulcerative colitis; uveitis; paediatric uveitis,"<rheumatoid arthritis>; <arthritis, juvenile>; <spondylarthritis>; <spondylarthritis, ankylosing>; <arthritis, psoriatic>; <psoriasis>; <hidradenitis suppurativa>; <crohn disease>; <colitis, ulcerative>; <uveitis>",fresenius kabi deutschland gmbh,fresenius,ema/124342/2019,adalimumab,no,no,solution,emea/h/c/004475/0000,na,
subcutaneous,21.06.2016,2016.0,authorised,EMA,approved,22.06.2017,2017,diseases of the musculoskeletal system and connective tissue; diseases of the skin; diseases of the digestive system; diseases of the eye and adnexa,"<rheumatoid arthritis>; <arthritis, juvenile>; <arthritis>; <spondylarthropathies>; <psoriatic arthritis>; <psoriasis>; <hidradenitis suppurativa>; <crohn disease>; <colitis, ulcerative>; <uveitis>",imraldi-epar-public-assessment-report_en.pdf,biologics,imraldi,rheumatoid arthritis; juvenile idiopathic arthritis; enthesitis-related arthritis; axial spondyloarthritis; psoriatic arthritis; psoriasis; hidradenitis suppurativa; crohn’s disease; ulcerative colitis; uveitis,no,rheumatoid arthritis; juvenile idiopathic arthritis; enthesitis-related arthritis; axial spondyloarthritis; psoriatic arthritis; psoriasis; hidradenitis suppurativa; crohn’s disease; ulcerative colitis; uveitis,"<rheumatoid arthritis>; <arthritis, juvenile>; <arthritis, psoriatic>; <spondylarthropathies>; <psoriasis>; <hidradenitis suppurativa>; <crohn disease>; <colitis, ulcerative>; <uveitis>",samsung bioepis uk limited,samsung,ema/chmp/559383/2017,adalimumab,no,no,solution,emea/h/c/004279/0000,na,
