Marketing_authorisation_number,Procedure_number,Drug_name,Non_proprietary_name,Marketing_authorisation_holder,Drug_class,Pharmaceutical_form,Administration_route,Decision,Current_status,Decision_date,Decision_year,Orphan_drug_status,Indication_extended,Indication_requested,Indication_approved,Disease_class(es),Application_date,Application_year,Nonclinical_abridged,Referral_body,Document_name,Marketing_authorisation_holder_extracted,Agency,Indications_and_usage,Origin,Referral,Disease_name(s),DRUG_CODE
anda040061,,roxilox,acetaminophen,roxane,small molecule,capsule,oral,approved,discontinued,03.07.1995,1995,no,,,,,,,yes,,,roxane,FDA,,fda,no,,
anda040084,,hydrocodone bitartrate and acetaminophen,acetaminophen,mallinckrodt,small molecule,tablet,oral,approved,discontinued,01.06.1995,1995,no,,,,,,,yes,,,mallinckrodt,FDA,,fda,no,,
anda040085,,esgic-plus,acetaminophen,mikart,small molecule,capsule,oral,approved,discontinued,28.03.1996,1996,no,,,,,,,yes,,,mikart,FDA,,fda,no,,
anda040094,,hydrocodone bitartrate and acetaminophen,acetaminophen,watson labs,small molecule,tablet,oral,approved,discontinued,29.09.1995,1995,no,,,,,,,yes,,,watson,FDA,,fda,no,,
anda040098,,acetaminophen and codeine phosphate,acetaminophen,dava pharms inc,small molecule,solution,oral,approved,discontinued,20.09.1996,1996,no,,,,,,,yes,,,dava,FDA,,fda,no,,
anda040099,,norco,acetaminophen,apil,small molecule,tablet,oral,approved,discontinued,25.06.1997,1997,no,,,,,,,yes,,,apil,FDA,,fda,no,,
anda040100,,lortab,acetaminophen,ucb inc,small molecule,tablet,oral,approved,discontinued,26.01.1996,1996,no,,,,,,,yes,,,ucb,FDA,,fda,no,,
anda040105,,oxycodone and acetaminophen,acetaminophen,endo operations,small molecule,tablet,oral,approved,discontinued,30.07.1996,1996,no,,,,,,,yes,,,endo,FDA,,fda,no,,
anda040106,,oxycodone and acetaminophen,acetaminophen,vintage pharms,small molecule,capsule,oral,approved,discontinued,30.07.1996,1996,no,,,,,,,yes,,,vintage,FDA,,fda,no,,
anda040109,,"acetaminophen, caffeine, and dihydrocodeine bitartrate",acetaminophen,mikart,small molecule,capsule,oral,approved,discontinued,26.08.1997,1997,no,,,,,,,yes,,,mikart,FDA,,fda,no,,
anda040117,,vicodin hp,acetaminophen,abbvie,small molecule,tablet,oral,approved,discontinued,23.09.1996,1996,no,,,,,,,yes,,,abbvie,FDA,,fda,no,,
anda040119,,acetaminophen and codeine phosphate,acetaminophen,pai holdings,small molecule,solution,oral,approved,discontinued,26.04.1996,1996,no,,,,,,,yes,,,pai,FDA,,fda,no,,
anda040122,,hydrocodone bitartrate and acetaminophen,acetaminophen,watson labs,small molecule,tablet,oral,approved,discontinued,04.03.1996,1996,no,,,,,,,yes,,,watson,FDA,,fda,no,,
anda040123,,hydrocodone bitartrate and acetaminophen,acetaminophen,watson labs,small molecule,tablet,oral,approved,discontinued,04.03.1996,1996,no,,,,,,,yes,,,watson,FDA,,fda,no,,
anda040134,,hydrocodone bitartrate and acetaminophen,acetaminophen,ucb inc,small molecule,tablet,oral,approved,discontinued,21.11.1996,1996,no,,,,,,,yes,,,ucb,FDA,,fda,no,,
anda040139,,propoxyphene hydrochloride and acetaminophen,acetaminophen,watson labs,small molecule,tablet,oral,approved,discontinued,16.12.1996,1996,no,,,,,,,yes,,,watson,FDA,,fda,no,,
anda040143,,hydrocodone bitartrate and acetaminophen,acetaminophen,vintage pharms,small molecule,tablet,oral,approved,discontinued,22.02.1996,1996,no,,,,,,,yes,,,vintage,FDA,,fda,no,,
anda040144,,hydrocodone bitartrate and acetaminophen,acetaminophen,vintage pharms,small molecule,tablet,oral,approved,discontinued,22.02.1996,1996,no,,,,,,,yes,,,vintage,FDA,,fda,no,,
anda040148,,hydrocodone bitartrate and acetaminophen; norco,acetaminophen,apil,small molecule,tablet,oral,approved,discontinued,14.02.1997,1997,no,,,,,,,yes,,,apil,FDA,,fda,no,,
anda040149,,hydrocodone bitartrate and acetaminophen,acetaminophen,sandoz,small molecule,tablet,oral,approved,discontinued,27.01.1997,1997,no,,,,,,,yes,,,sandoz,FDA,,fda,no,,
anda040155,,hydrocodone bitartrate and acetaminophen,acetaminophen,vintage pharms,small molecule,tablet,oral,approved,discontinued,14.04.1997,1997,no,,,,,,,yes,,,vintage,FDA,,fda,no,,
anda040157,,hydrocodone bitartrate and acetaminophen,acetaminophen,vintage pharms,small molecule,tablet,oral,approved,discontinued,12.04.1996,1996,no,,,,,,,yes,,,vintage,FDA,,fda,no,,
anda040171,,oxycodone and acetaminophen,acetaminophen,watson labs,small molecule,tablet,oral,approved,discontinued,30.10.1997,1997,no,,,,,,,yes,,,watson,FDA,,fda,no,,
anda040182,,hydrocodone bitartrate and acetaminophen,acetaminophen,pharm assoc,small molecule,solution,oral,approved,discontinued,13.03.1998,1998,no,,,,,,,yes,,,not reported,FDA,,fda,no,,
anda040199,,oxycodone and acetaminophen,acetaminophen,actavis elizabeth,small molecule,capsule,oral,approved,discontinued,30.12.1998,1998,no,,,,,,,yes,,,actavis,FDA,,fda,no,,
anda040201,,hydrocodone bitartrate and acetaminophen,acetaminophen,mallinckrodt,small molecule,tablet,oral,approved,discontinued,27.02.1998,1998,no,,,,,,,yes,,,mallinckrodt,FDA,,fda,no,,
anda040203,,oxycodone and acetaminophen,acetaminophen,actavis elizabeth,small molecule,tablet,oral,approved,discontinued,15.03.1999,1999,no,,,,,,,yes,,,actavis,FDA,,fda,no,,
anda040210,,hydrocodone bitartrate and acetaminophen,acetaminophen,ucb inc,small molecule,tablet,oral,approved,discontinued,13.08.1997,1997,no,,,,,,,yes,,,ucb,FDA,,fda,no,,
anda040219,,oxycodone and acetaminophen,acetaminophen,mutual pharm,small molecule,capsule,oral,approved,discontinued,22.01.1998,1998,no,,,,,,,yes,,,mutual,FDA,,fda,no,,
anda040223,,acetaminophen and codeine phosphate,acetaminophen,duramed pharms barr,small molecule,tablet,oral,approved,discontinued,18.11.1997,1997,no,,,,,,,yes,,,barr,FDA,,fda,no,,
anda040234,,oxycodone and acetaminophen,acetaminophen,watson labs,small molecule,capsule,oral,approved,discontinued,30.10.1997,1997,no,,,,,,,yes,,,watson,FDA,,fda,no,,
