Administration_route_human,Administration_route_llm,Administration_route_verdict_human,Administration_route_verdict_llm,Application_date_human,Application_date_llm,Application_date_verdict_human,Application_date_verdict_llm,Current_status_human,Current_status_llm,Current_status_verdict_human,Current_status_verdict_llm,Decision_date_human,Decision_date_llm,Decision_date_verdict_human,Decision_date_verdict_llm,Decision_human,Decision_llm,Decision_verdict_human,Decision_verdict_llm,Disease_class(es)_human,Disease_class(es)_llm,Disease_class(es)_verdict_human,Disease_class(es)_verdict_llm,Drug_class_human,Drug_class_llm,Drug_class_verdict_human,Drug_class_verdict_llm,Drug_human,Drug_llm,Drug_verdict_human,Drug_verdict_llm,Indication_approved_human,Indication_approved_llm,Indication_approved_verdict_human,Indication_approved_verdict_llm,Indication_requested_human,Indication_requested_llm,Indication_requested_verdict_human,Indication_requested_verdict_llm,Marketing_authorisation_number_human,Marketing_authorisation_number_llm,Marketing_authorisation_number_verdict_human,Marketing_authorisation_number_verdict_llm,Non_proprietary_name_human,Non_proprietary_name_llm,Non_proprietary_name_verdict_human,Non_proprietary_name_verdict_llm,Nonclinical_pharmacokinetics_model_human,Nonclinical_pharmacokinetics_model_llm,Nonclinical_pharmacokinetics_model_verdict_human,Nonclinical_pharmacokinetics_model_verdict_llm,Nonclinical_pharmacokinetics_species_human,Nonclinical_pharmacokinetics_species_llm,Nonclinical_pharmacokinetics_species_verdict_human,Nonclinical_pharmacokinetics_species_verdict_llm,Nonclinical_pharmacokinetics_strain_human,Nonclinical_pharmacokinetics_strain_llm,Nonclinical_pharmacokinetics_strain_verdict_human,Nonclinical_pharmacokinetics_strain_verdict_llm,Nonclinical_pharmacology_model_human,Nonclinical_pharmacology_model_llm,Nonclinical_pharmacology_model_verdict_human,Nonclinical_pharmacology_model_verdict_llm,Nonclinical_pharmacology_species_human,Nonclinical_pharmacology_species_llm,Nonclinical_pharmacology_species_verdict_human,Nonclinical_pharmacology_species_verdict_llm,Nonclinical_pharmacology_strain_human,Nonclinical_pharmacology_strain_llm,Nonclinical_pharmacology_strain_verdict_human,Nonclinical_pharmacology_strain_verdict_llm,Nonclinical_toxicology_model_human,Nonclinical_toxicology_model_llm,Nonclinical_toxicology_model_verdict_human,Nonclinical_toxicology_model_verdict_llm,Nonclinical_toxicology_species_human,Nonclinical_toxicology_species_llm,Nonclinical_toxicology_species_verdict_human,Nonclinical_toxicology_species_verdict_llm,Nonclinical_toxicology_strain_human,Nonclinical_toxicology_strain_llm,Nonclinical_toxicology_strain_verdict_human,Nonclinical_toxicology_strain_verdict_llm,Orphan_drug_status_human,Orphan_drug_status_llm,Orphan_drug_status_verdict_human,Orphan_drug_status_verdict_llm,Pharmaceutical_form_human,Pharmaceutical_form_llm,Pharmaceutical_form_verdict_human,Pharmaceutical_form_verdict_llm
oral,iv infusion,False,False,24.12.2001,not reported,False,False,authorised,authorised,True,True,04.06.2004,01.12.2004,False,False,approved,approved,True,True,"mental and behavioural disorders, diseases of the nervous system",neoplasms,False,False,small molecule,biologics,False,False,abilify,mabcampath,False,False,"schizophrenia in adults and in adolescents aged 15 years and older, treatment of moderate to severe manic episodes in bipolar i disorder, 12 weeks of moderate to severe manic episodes in bipolar i disorder in adolescents aged 13 years and older",chronic lymphocytic leukaemia (cll),False,False,not reported,chronic lymphocytic leukaemia (cll),False,False,not reported,not reported,True,True,aripiprazole,alemtuzumab,False,False,,not reported,False,True,"mice, rats, rabbits, dogs, monkeys",monkey,False,Partial,not reported,cynomolgus monkey,False,False,not reported,not reported,True,True,"mice, rats, monkeys, dogs",monkey,False,Partial,not reported,cynomolgus monkey,False,False,not reported,not reported,True,True,"rats, monkeys, mice, rabbits, guinea pigs",monkey,False,Partial,not reported,cynomolgus monkey,False,False,no,no,True,True,tablet,solution for infusion,False,False
intravenous injection,"subcutaneous, intravenous",False,False,05.04.2024,05.04.2024,True,True,authorised,authorised,True,True,17.10.2024,17.10.2024,True,True,approved,approved,True,True,diseases of the digestive system,"diseases of the skin, diseases of the genitourinary system, neoplasms, diseases of the digestive system",False,False,biologics,biologics,True,True,absimky,absimky,True,True,"adult patients with moderately to severely active crohn’s disease who have had an inadequate response with, lost response to, or were intolerant to either conventional therapy or a tnfα antagonist or have medical contraindications to such therapies, adult patients with moderately to severely active ulcerative colitis who have had an inadequate response with, lost response to, or were intolerant to either conventional therapy or a biologic or have medical contraindications to such therapies","plaque psoriasis, psoriatic arthritis, crohn’s disease, ulcerative colitis",False,False,not reported,"plaque psoriasis, psoriatic arthritis, crohn’s disease, ulcerative colitis",False,False,ema/511029/2024,ema/511029/2024,True,True,ustekinumab,ustekinumab,True,True,not reported,not reported,True,True,monkeys,monkey,False,Partial,cynomolgus monkeys,cynomolgus monkey,False,Partial,not reported,not reported,True,True,monkeys,monkey,False,Partial,cynomolgus monkeys,cynomolgus monkey,False,True,not reported,not reported,True,True,monkeys,monkey,False,Partial,cynomolgus monkeys,cynomolgus monkey,False,True,no,no,True,True,concentrate for solution for infusion,"solution for injection in pre-filled syringe, concentrate for solution for infusion",False,Partial
subcutaneous injection,subcutaneous,False,Partial,12.01.2018,12.01.2018,True,True,authorised,authorised,True,True,31.01.2019,31.01.2019,True,True,approved,approved,True,True,"diseases of the nervous system, diseases of the circulatory system",diseases of the nervous system,False,Partial,biologics,biologics,True,True,ajovy,ajovy,True,True,prophylaxis of migraine in adults who have at least 4 migraine days per month,prophylaxis of migraine in adults who have at least 4 migraine days per month,True,True,treatment of episodic and chronic migraine in adults,treatment of episodic and chronic migraine in adults,True,True,ema/118499/2019,ema/118499/2019,True,True,fremanezumab,fremanezumab,True,True,not reported,not reported,True,True,"mice, rats, rabbits, monkeys","mouse, rat, rabbit, monkey",False,True,cynomolgus monkeys,not reported,False,False,"animal models of pain, models of peripheral vasodilation and arterial vasodilation",not reported,False,False,"???, rats, mice, monkeys","rat, rabbit, monkey",False,Partial,cynomolgus monkeys,not reported,False,False,not reported,not reported,True,True,"rats, monkeys, rabbits","monkey, rat",False,Partial,cynomolgus monkeys,not reported,False,False,no,no,True,True,"solution for injection in pre-filled syringe, solution for injection in pre-filled pen",solution for injection,False,Partial
intravenous injection,intravenous,False,Partial,04.12.2015,04.12.2015,True,True,authorised,authorised,True,True,10.11.2016,10.11.2016,True,True,approved,approved,True,True,"diseases of the blood and blood-forming organs, congenital malformations and chomosomal abnormalities",diseases of the blood and blood-forming organs,False,Partial,peptides and proteins,biologics,False,False,afstyla,afstyla,True,True,same,treatment and prophylaxis of bleeding in patients with haemophilia a (congenital factor viii deficiency),False,True,treatment and prophylaxis of bleeding in patients with haemophilia a in all age groups,treatment and prophylaxis of bleeding in patients with haemophilia a (congenital factor viii deficiency),False,Partial,ema/chmp/699390/2016,ema/chmp/699390/2016,True,True,lonoctocog alfa,lonoctocog alfa,True,True,not reported,not reported,True,True,"mice, monkeys","monkey, mouse",False,Partial,"rhesus macaque monkeys, cynomolgus monkeys",not reported,False,False,"haemophilia a mice, fviii ko mice",not reported,False,False,"rats, mice, monkeys, dogs","mouse, rat, monkey",False,Partial,"cynomolgus monkeys, rhesus macaque monkeys, beagle dogs",fviii knockout mouse,False,False,not reported,not reported,True,True,"rats, mice, monkeys, rabbits","rat, monkey",False,Partial,"cynomolgus monkeys, rhesus macaque monkeys, new zealand white rabbits",not reported,False,False,no,no,True,True,"solvent for solution for injection, powder for solution for injection",lyophilized powder for solution for intravenous administration,False,Partial
subcutaneous injection,subcutaneous(ly),False,Partial,28.06.2011,28.07.2011,False,False,,na,False,False,29.05.2013,21.03.2013,False,False,refused,refused,True,True,"""endocrine, nutritional, and metabolic diseases"", congenital malformations and chomosomal abnormalities, diseases of the circulatory system","endocrine, nutritional, and metabolic diseases",False,Partial,cell and gene therapy,peptides and proteins,False,False,kynamro,kynamro,True,True,"kynamro is an apolipoprotein b (apo b) synthesis inhibitor indicated as an adjunct to maximally tolerated lipid-lowering medications and diet to reduce low density lipoprotein-cholesterol (ldl-c), apo b, total cholesterol (tc), non-high density lipoprotein-cholesterol (non-hdl-c) and lipoprotein (a) [lp(a)] in patients with homozygous familial hypercholesterolaemia (hofh) and in patients with severe heterozygous familial hypercholesterolaemia (severe hefh).",adjunct to maximally tolerated lipid-lowering medications and diet to reduce low density lipoprotein-cholesterol (ldl-c) in patients with homozygous familial hypercholesterolaemia (hofh),False,Partial,,adjunct to maximally tolerated lipid-lowering medications and diet to reduce low density lipoprotein-cholesterol (ldl-c) in patients with homozygous familial hypercholesterolaemia (hofh),False,False,ema/305826/2013,ema/305826/2013,True,True,mipomersen sodium,mipomersen,False,Partial,not reported,not reported,True,True,"mice, rats, dogs, monkeys","mouse, rat, dog, monkey",False,Partial,not reported,not reported,True,True,"c57bl/6 mice fed a high fat diet, apoe-deficient mice, ldlr-deficient mice, c57bl/6 mice fed a normal chow diet,",not reported,False,False,"mice, rabbits, hamster, monkeys","monkey, mouse, rat",False,Partial,cynomolgus monkeys,"cynomolgus monkey, c57bl/6 mouse, rat",False,False,not reported,not reported,True,True,"rats, mice, monkeys, rabbits","mouse, rat, monkey",False,Partial,cynomolgus monkeys,not reported,False,False,no,no,True,True,solution for injection,solution for injection,True,True
intravitreal injection,intravitreal,False,Partial,25.04.2024,25.04.2024,True,True,authorised (under additional monitoring),authorised (under additional monitoring),True,True,14.11.2024,14.11.2024,True,True,approved,approved,True,True,"diseases of the eye and adnexa, ""endocrine, nutritional, and metabolic diseases"", diseases of the circulatory system",diseases of the eye and adnexa,False,Partial,peptides and proteins,biologics,False,False,ahzantive,ahzantive,True,True,same,"neovascular (wet) age-related macular degeneration (amd), visual impairment due to macular oedema secondary to retinal vein occlusion (branch rvo or central rvo), visual impairment due to diabetic macular oedema (dme), visual impairment due to myopic choroidal neovascularisation (myopic cnv)",False,False,"neovascular (wet) age-related macular degeneration (amd), visual impairment due to macular oedema secondary to retinal vein occlusion (branch rvo or central rvo), visual impairment due to diabetic macular oedema (dme), visual impairment due to myopic choroidal neovascularisation (myopic cnv)","neovascular (wet) age-related macular degeneration (amd), visual impairment due to macular oedema secondary to retinal vein occlusion (branch rvo or central rvo), visual impairment due to diabetic macular oedema (dme), visual impairment due to myopic choroidal neovascularisation (myopic cnv)",True,True,ema/chmp/565845/2024,ema/chmp/565845/2024,True,True,aflibercept,aflibercept,True,True,not reported,not reported,True,True,rabbits,rabbit,False,Partial,new zealand white rabbits,not reported,False,False,,not reported,False,True,,rabbit,False,False,,not reported,False,True,not reported,not reported,True,True,rabbits,rabbit,False,Partial,new zealand white rabbits,not reported,False,False,no,no,True,True,solution for injection,solution for injection,True,True
oral,oral,True,True,30.06.2015,30.07.2015,False,False,authorised,authorised,True,True,26.05.2016,15.09.2016,False,False,approved,approved,True,True,"neoplasms, diseases of the blood and blood-forming organs",neoplasms,False,Partial,small molecule,small molecule,True,True,ninlaro,ninlaro,True,True,same,"ninlaro in combination with lenalidomide and dexamethasone is indicated for the treatment of adult patients with multiple myeloma who have experienced at least one relapse with iss stage iii disease or elevated-risk cytogenetics [del(17), t(4;14), t(14;16), or 1q21+]; or experienced at least 2 relapses.",False,True,ninlaro in combination with lenalidomide and dexamethasone is indicated for the treatment of adult patients with multiple myeloma who have received at least one prior therapy.,treatment for patients with multiple myeloma who have received at least one prior therapy,False,Partial,ema/chmp/594718/2016,ema/chmp/594718/2016,True,True,ixazomib,ixazomib,True,True,tumour-bearing mouse models,not reported,False,False,"rats, rabbits, dogs, monkeys, mice","rat, dog",False,Partial,"sprague dawley rats, new zealand white rabbits, beagle dogs, cynomolgus monkeys",not reported,False,False,"multiple myeloma mouse model, imyccα/bcl-xl genetically engineered mouse model, dp54-luc intratibial mouse model of a plasma cell malignancy",not reported,False,False,"mice, rats, dogs","mouse, rat",False,Partial,not reported,not reported,True,True,not reported,not reported,True,True,"dogs, rats, mice, rabbits","mouse, rat, dog",False,Partial,"sprague dawley rats, beagle dogs, new zealand white rabbits",not reported,False,False,yes,yes,True,True,hard capsules,hard capsules,True,True
intravenous infusion,intraperitoneal,False,False,01.08.2022,01.08.2022,True,True,authorised (under additional monitoring),authorised,False,Partial,17.10.2024,17.10.2024,True,True,approved,approved,True,True,"neoplasms, diseases of the digestive system",neoplasms,False,Partial,biologics,biologics,True,True,korjuny,korjuny,True,True,same,"intraperitoneal treatment of malignant ascites in adults with epithelial cellular adhesion molecule (epcam)-positive carcinomas, who are not eligible for further systemic anticancer therapy.",False,True,"korjuny is indicated for the intraperitoneal treatment of malignant ascites in adults with epithelial cellular adhesion molecule (epcam)-positive carcinomas, who are not eligible for further systemic anticancer therapy.",intraperitoneal treatment of malignant ascites in adults with epcam-positive carcinomas where standard therapy is not available or no longer feasible.,False,Partial,ema/551738/2024,ema/551738/2024,True,True,catumaxomab,catumaxomab,True,True,"non-tumour-bearing mice, scid mouse xenograft model",not reported,False,False,mice,not reported,False,False,not reported,not reported,True,True,not reported,not reported,True,True,mice,not reported,False,False,balb/c mice,not reported,False,False,not reported,not reported,True,True,"rats, mice, monkeys, rabbits, guinea pigs",not reported,False,False,"cynomolgus monkeys, wistar rats, nmri mice",not reported,False,False,no,no,True,True,concentrate for solution for infusion,concentrate for solution for infusion,True,True
oral,po,False,False,25.05.2023,25.05.2023,True,True,authorised (under additional monitoring),authorised,False,Partial,25.04.2024,25.04.2024,True,True,approved,approved,True,True,"neoplasms, diseases of the digestive system",neoplasms,False,Partial,small molecule,small molecule,True,True,fruzaqla,fruzaqla,True,True,same,"fruzaqla as monotherapy is indicated for the treatment of adult patients with metastatic colorectal cancer (mcrc) who have been previously treated with available standard therapies, including fluoropyrimidine-, oxaliplatin-, and irinotecan-based chemotherapies, anti-vegf agents, and anti-egfr agents, and who have progressed on or are intolerant to treatment with either trifluridine-tipiracil or regorafenib.",False,True,"fruzaqla as monotherapy is indicated for the treatment of adult patients with metastatic colorectal cancer (mcrc) who have been previously treated with available standard therapies, including fluoropyrimidine-, oxaliplatin-, and irinotecan-based chemotherapies, anti-vegf agents, and anti-egfr agents, and who have progressed on or are intolerant to treatment with either trifluridine-tipiracil or regorafenib.","fruzaqla is indicated for the treatment of adult patients with metastatic colorectal cancer (mcrc) who have been previously treated with or are not considered candidates for available therapies, including fluoropyrimidine-, oxaliplatin-, and irinotecan-based chemotherapy, an anti-vegf therapy, and an anti-egfr therapy.",False,Partial,ema/chmp/462300/2023,ema/chmp/462300/2023,True,True,fruquintinib,fruquintinib,True,True,not reported,not reported,True,True,"mice, rats, dogs, guinea pigs, monkeys","rat, dog, guinea pig",False,Partial,not reported,"sprague-dawley rat, beagle dog, guinea pig",False,False,human xenograft models in balb/c nude mice,xenograft mouse,False,Partial,"mice, dogs","rat, mouse",False,False,"nude mice, beagle dogs","sprague-dawley rat, balb/c mouse",False,False,not reported,not reported,True,True,"rats, dogs","rat, dog",False,True,"sprague dawley rats, beagle dogs","sprague-dawley rat, beagle dog",False,True,no,no,True,True,hard capsules,hard capsules,True,True
oral,oral,True,True,16.12.2010,16.12.2010,True,True,authorised,authorised,True,True,18.09.2012,18.09.2012,True,True,approved,approved,True,True,"""endocrine, nutritional, and metabolic diseases"", diseases of the circulatory system, diseases of the genitourinary system","endocrine, nutritional, and metabolic diseases",False,Partial,small molecule,small molecule,True,True,forxiga,forxiga,True,True,"type 2 diabetes mellitus, heart failure, chronic kidney disease",monotherapy and add-on combination therapy for type 2 diabetes mellitus,False,False,diabetes mellitus type 2,to improve glycaemic control in adults with type 2 diabetes mellitus,False,False,ema/689976/2012,ema/689976/2012,True,True,dapagliflozin,dapagliflozin,True,True,rat (bile duct cannulated),not reported,False,False,"mice, rats, dogs, monkeys","mouse, rat, dog, monkey",False,True,"long evans rats, sprague dawley rats",not reported,False,False,"diabetic animal models, non-diabetic and diabetic rats or mice, knock-out mice lacking the gene for sglt2, dio (diet-induced obese) rat",not reported,False,False,"rats, mice","rat, mouse, dog, monkey",False,Partial,"wistar rats, zdf rats",not reported,False,False,not reported,not reported,True,True,"mice, rats, dogs, rabbits","mouse, rat, dog",False,Partial,"cd-1 mice, sprague dawley rats, beagle dogs",not reported,False,False,no,no,True,True,film-coated tablets,film-coated tablets,True,True
intravenous infusion,intravenous,False,Partial,25.04.2023,25.04.2023,True,True,authorised (under additional monitoring),authorised,False,Partial,25.07.2024,25.07.2024,True,True,approved,approved,True,True,"neoplasms, diseases of the skin, other",neoplasms,False,Partial,biologics,biologics,True,True,ituxredi,ituxredi,True,True,same,non-hodgkin’s lymphoma (nhl),False,True,"non-hodgkin’s lymphoma (nhl), chronic lymphocytic leukaemia (cll), rheumatoid arthritis, granulomatosis with polyangiitis and microscopic polyangiitis, pemphigus vulgaris",non-hodgkin’s lymphoma (nhl),False,Partial,ema/565284/2024,ema/565284/2024,True,True,rituximab,rituximab,True,True,not reported,not reported,True,True,monkeys,monkey,False,Partial,cynomolgus monkeys,cynomolgus monkey,False,True,not reported,not reported,True,True,???,monkey,False,False,not reported,cynomolgus monkey,False,False,not reported,not reported,True,True,monkeys,monkey,False,Partial,cynomolgus monkeys,cynomolgus monkey,False,True,no,no,True,True,concentrate for solution for infusion,concentrate for solution for infusion,True,True
epicutaneous,epicutaneous,True,True,not reported,,False,True,withdrawn,withdrawn,True,True,17.12.2021,17.12.2020,False,False,withdrawn,withdrawn,True,True,other,allergic disorders,False,False,peptides and proteins,biologics,False,False,abylqis,abylqis,True,True,,immunotherapy for the treatment of children diagnosed with peanut allergy,False,False,epicutaneous allergen immunotherapy (epit) of peanut allergy in children 4 to 11 years old with a diagnosed ige-mediated peanut allergy,epicutaneous allergen immunotherapy (epit) for peanut allergy in children 4 to 11 years old,False,Partial,ema/772201/2021,ema/772201/2021,True,True,arachis hypogaea extract,arachis hypogaea extract,True,True,not reported,not reported,True,True,mice,mouse,False,False,not reported,not reported,True,True,peanut-sensitized mice and minipigs,not reported,False,False,"mice, minipigs","mouse, minipig, guinea pig",False,Partial,not reported,not reported,True,True,"rodent model of peanut allergy, model of peanut sensitized guinea pigs",not reported,False,False,"guinea pigs, mice, rats, rabbits","guinea pig, mouse, rat, rabbit",False,True,not reported,not reported,True,True,no,no,True,True,cutaneous patch,cutaneous patch,True,True
