Administration_route_human,Administration_route_llm,Administration_route_verdict_human,Administration_route_verdict_llm,Application_date_human,Application_date_llm,Application_date_verdict_human,Application_date_verdict_llm,Current_status_human,Current_status_llm,Current_status_verdict_human,Current_status_verdict_llm,Decision_date_human,Decision_date_llm,Decision_date_verdict_human,Decision_date_verdict_llm,Decision_human,Decision_llm,Decision_verdict_human,Decision_verdict_llm,Disease_class(es)_human,Disease_class(es)_llm,Disease_class(es)_verdict_human,Disease_class(es)_verdict_llm,Drug_class_human,Drug_class_llm,Drug_class_verdict_human,Drug_class_verdict_llm,Drug_human,Drug_llm,Drug_verdict_human,Drug_verdict_llm,Indication_approved_human,Indication_approved_llm,Indication_approved_verdict_human,Indication_approved_verdict_llm,Indication_requested_human,Indication_requested_llm,Indication_requested_verdict_human,Indication_requested_verdict_llm,Marketing_authorisation_number_human,Marketing_authorisation_number_llm,Marketing_authorisation_number_verdict_human,Marketing_authorisation_number_verdict_llm,Non_proprietary_name_human,Non_proprietary_name_llm,Non_proprietary_name_verdict_human,Non_proprietary_name_verdict_llm,Nonclinical_pharmacokinetics_model_human,Nonclinical_pharmacokinetics_model_llm,Nonclinical_pharmacokinetics_model_verdict_human,Nonclinical_pharmacokinetics_model_verdict_llm,Nonclinical_pharmacokinetics_species_human,Nonclinical_pharmacokinetics_species_llm,Nonclinical_pharmacokinetics_species_verdict_human,Nonclinical_pharmacokinetics_species_verdict_llm,Nonclinical_pharmacokinetics_strain_human,Nonclinical_pharmacokinetics_strain_llm,Nonclinical_pharmacokinetics_strain_verdict_human,Nonclinical_pharmacokinetics_strain_verdict_llm,Nonclinical_pharmacology_model_human,Nonclinical_pharmacology_model_llm,Nonclinical_pharmacology_model_verdict_human,Nonclinical_pharmacology_model_verdict_llm,Nonclinical_pharmacology_species_human,Nonclinical_pharmacology_species_llm,Nonclinical_pharmacology_species_verdict_human,Nonclinical_pharmacology_species_verdict_llm,Nonclinical_pharmacology_strain_human,Nonclinical_pharmacology_strain_llm,Nonclinical_pharmacology_strain_verdict_human,Nonclinical_pharmacology_strain_verdict_llm,Nonclinical_toxicology_model_human,Nonclinical_toxicology_model_llm,Nonclinical_toxicology_model_verdict_human,Nonclinical_toxicology_model_verdict_llm,Nonclinical_toxicology_species_human,Nonclinical_toxicology_species_llm,Nonclinical_toxicology_species_verdict_human,Nonclinical_toxicology_species_verdict_llm,Nonclinical_toxicology_strain_human,Nonclinical_toxicology_strain_llm,Nonclinical_toxicology_strain_verdict_human,Nonclinical_toxicology_strain_verdict_llm,Orphan_drug_status_human,Orphan_drug_status_llm,Orphan_drug_status_verdict_human,Orphan_drug_status_verdict_llm,Pharmaceutical_form_human,Pharmaceutical_form_llm,Pharmaceutical_form_verdict_human,Pharmaceutical_form_verdict_llm
oral,iv infusion,,,24.12.2001,not reported,,,authorised,authorised,,,04.06.2004,01.12.2004,,,approved,approved,,,"mental and behavioural disorders, diseases of the nervous system",neoplasms,,,small molecule,biologics,,,abilify,mabcampath,,,"schizophrenia in adults and in adolescents aged 15 years and older, treatment of moderate to severe manic episodes in bipolar i disorder, 12 weeks of moderate to severe manic episodes in bipolar i disorder in adolescents aged 13 years and older",chronic lymphocytic leukaemia (cll),,,not reported,chronic lymphocytic leukaemia (cll),,,not reported,not reported,,,aripiprazole,alemtuzumab,,,,not reported,,,"mice, rats, rabbits, dogs, monkeys",monkey,,,not reported,cynomolgus monkey,,,not reported,not reported,,,"mice, rats, monkeys, dogs",monkey,,,not reported,cynomolgus monkey,,,not reported,not reported,,,"rats, monkeys, mice, rabbits, guinea pigs",monkey,,,not reported,cynomolgus monkey,,,no,no,,,tablet,solution for infusion,,
intravenous injection,"subcutaneous, intravenous",,,05.04.2024,05.04.2024,,,authorised,authorised,,,17.10.2024,17.10.2024,,,approved,approved,,,diseases of the digestive system,"diseases of the skin, diseases of the genitourinary system, neoplasms, diseases of the digestive system",,,biologics,biologics,,,absimky,absimky,,,"adult patients with moderately to severely active crohn’s disease who have had an inadequate response with, lost response to, or were intolerant to either conventional therapy or a tnfα antagonist or have medical contraindications to such therapies, adult patients with moderately to severely active ulcerative colitis who have had an inadequate response with, lost response to, or were intolerant to either conventional therapy or a biologic or have medical contraindications to such therapies","plaque psoriasis, psoriatic arthritis, crohn’s disease, ulcerative colitis",,,not reported,"plaque psoriasis, psoriatic arthritis, crohn’s disease, ulcerative colitis",,,ema/511029/2024,ema/511029/2024,,,ustekinumab,ustekinumab,,,not reported,not reported,,,monkeys,monkey,,,cynomolgus monkeys,cynomolgus monkey,,,not reported,not reported,,,monkeys,monkey,,,cynomolgus monkeys,cynomolgus monkey,,,not reported,not reported,,,monkeys,monkey,,,cynomolgus monkeys,cynomolgus monkey,,,no,no,,,concentrate for solution for infusion,"solution for injection in pre-filled syringe, concentrate for solution for infusion",,
subcutaneous injection,subcutaneous,,,12.01.2018,12.01.2018,,,authorised,authorised,,,31.01.2019,31.01.2019,,,approved,approved,,,"diseases of the nervous system, diseases of the circulatory system",diseases of the nervous system,,,biologics,biologics,,,ajovy,ajovy,,,prophylaxis of migraine in adults who have at least 4 migraine days per month,prophylaxis of migraine in adults who have at least 4 migraine days per month,,,treatment of episodic and chronic migraine in adults,treatment of episodic and chronic migraine in adults,,,ema/118499/2019,ema/118499/2019,,,fremanezumab,fremanezumab,,,not reported,not reported,,,"mice, rats, rabbits, monkeys","mouse, rat, rabbit, monkey",,,cynomolgus monkeys,not reported,,,"animal models of pain, models of peripheral vasodilation and arterial vasodilation",not reported,,,"???, rats, mice, monkeys","rat, rabbit, monkey",,,cynomolgus monkeys,not reported,,,not reported,not reported,,,"rats, monkeys, rabbits","monkey, rat",,,cynomolgus monkeys,not reported,,,no,no,,,"solution for injection in pre-filled syringe, solution for injection in pre-filled pen",solution for injection,,
intravenous injection,intravenous,,,04.12.2015,04.12.2015,,,authorised,authorised,,,10.11.2016,10.11.2016,,,approved,approved,,,"diseases of the blood and blood-forming organs, congenital malformations and chomosomal abnormalities",diseases of the blood and blood-forming organs,,,peptides and proteins,biologics,,,afstyla,afstyla,,,same,treatment and prophylaxis of bleeding in patients with haemophilia a (congenital factor viii deficiency),,,treatment and prophylaxis of bleeding in patients with haemophilia a in all age groups,treatment and prophylaxis of bleeding in patients with haemophilia a (congenital factor viii deficiency),,,ema/chmp/699390/2016,ema/chmp/699390/2016,,,lonoctocog alfa,lonoctocog alfa,,,not reported,not reported,,,"mice, monkeys","monkey, mouse",,,"rhesus macaque monkeys, cynomolgus monkeys",not reported,,,"haemophilia a mice, fviii ko mice",not reported,,,"rats, mice, monkeys, dogs","mouse, rat, monkey",,,"cynomolgus monkeys, rhesus macaque monkeys, beagle dogs",fviii knockout mouse,,,not reported,not reported,,,"rats, mice, monkeys, rabbits","rat, monkey",,,"cynomolgus monkeys, rhesus macaque monkeys, new zealand white rabbits",not reported,,,no,no,,,"solvent for solution for injection, powder for solution for injection",lyophilized powder for solution for intravenous administration,,
subcutaneous injection,subcutaneous(ly),,,28.06.2011,28.07.2011,,,,na,,,29.05.2013,21.03.2013,,,refused,refused,,,"""endocrine, nutritional, and metabolic diseases"", congenital malformations and chomosomal abnormalities, diseases of the circulatory system","endocrine, nutritional, and metabolic diseases",,,cell and gene therapy,peptides and proteins,,,kynamro,kynamro,,,"kynamro is an apolipoprotein b (apo b) synthesis inhibitor indicated as an adjunct to maximally tolerated lipid-lowering medications and diet to reduce low density lipoprotein-cholesterol (ldl-c), apo b, total cholesterol (tc), non-high density lipoprotein-cholesterol (non-hdl-c) and lipoprotein (a) [lp(a)] in patients with homozygous familial hypercholesterolaemia (hofh) and in patients with severe heterozygous familial hypercholesterolaemia (severe hefh).",adjunct to maximally tolerated lipid-lowering medications and diet to reduce low density lipoprotein-cholesterol (ldl-c) in patients with homozygous familial hypercholesterolaemia (hofh),,,,adjunct to maximally tolerated lipid-lowering medications and diet to reduce low density lipoprotein-cholesterol (ldl-c) in patients with homozygous familial hypercholesterolaemia (hofh),,,ema/305826/2013,ema/305826/2013,,,mipomersen sodium,mipomersen,,,not reported,not reported,,,"mice, rats, dogs, monkeys","mouse, rat, dog, monkey",,,not reported,not reported,,,"c57bl/6 mice fed a high fat diet, apoe-deficient mice, ldlr-deficient mice, c57bl/6 mice fed a normal chow diet,",not reported,,,"mice, rabbits, hamster, monkeys","monkey, mouse, rat",,,cynomolgus monkeys,"cynomolgus monkey, c57bl/6 mouse, rat",,,not reported,not reported,,,"rats, mice, monkeys, rabbits","mouse, rat, monkey",,,cynomolgus monkeys,not reported,,,no,no,,,solution for injection,solution for injection,,
intravitreal injection,intravitreal,,,25.04.2024,25.04.2024,,,authorised (under additional monitoring),authorised (under additional monitoring),,,14.11.2024,14.11.2024,,,approved,approved,,,"diseases of the eye and adnexa, ""endocrine, nutritional, and metabolic diseases"", diseases of the circulatory system",diseases of the eye and adnexa,,,peptides and proteins,biologics,,,ahzantive,ahzantive,,,same,"neovascular (wet) age-related macular degeneration (amd), visual impairment due to macular oedema secondary to retinal vein occlusion (branch rvo or central rvo), visual impairment due to diabetic macular oedema (dme), visual impairment due to myopic choroidal neovascularisation (myopic cnv)",,,"neovascular (wet) age-related macular degeneration (amd), visual impairment due to macular oedema secondary to retinal vein occlusion (branch rvo or central rvo), visual impairment due to diabetic macular oedema (dme), visual impairment due to myopic choroidal neovascularisation (myopic cnv)","neovascular (wet) age-related macular degeneration (amd), visual impairment due to macular oedema secondary to retinal vein occlusion (branch rvo or central rvo), visual impairment due to diabetic macular oedema (dme), visual impairment due to myopic choroidal neovascularisation (myopic cnv)",,,ema/chmp/565845/2024,ema/chmp/565845/2024,,,aflibercept,aflibercept,,,not reported,not reported,,,rabbits,rabbit,,,new zealand white rabbits,not reported,,,,not reported,,,,rabbit,,,,not reported,,,not reported,not reported,,,rabbits,rabbit,,,new zealand white rabbits,not reported,,,no,no,,,solution for injection,solution for injection,,
oral,oral,,,30.06.2015,30.07.2015,,,authorised,authorised,,,26.05.2016,15.09.2016,,,approved,approved,,,"neoplasms, diseases of the blood and blood-forming organs",neoplasms,,,small molecule,small molecule,,,ninlaro,ninlaro,,,same,"ninlaro in combination with lenalidomide and dexamethasone is indicated for the treatment of adult patients with multiple myeloma who have experienced at least one relapse with iss stage iii disease or elevated-risk cytogenetics [del(17), t(4;14), t(14;16), or 1q21+]; or experienced at least 2 relapses.",,,ninlaro in combination with lenalidomide and dexamethasone is indicated for the treatment of adult patients with multiple myeloma who have received at least one prior therapy.,treatment for patients with multiple myeloma who have received at least one prior therapy,,,ema/chmp/594718/2016,ema/chmp/594718/2016,,,ixazomib,ixazomib,,,tumour-bearing mouse models,not reported,,,"rats, rabbits, dogs, monkeys, mice","rat, dog",,,"sprague dawley rats, new zealand white rabbits, beagle dogs, cynomolgus monkeys",not reported,,,"multiple myeloma mouse model, imyccα/bcl-xl genetically engineered mouse model, dp54-luc intratibial mouse model of a plasma cell malignancy",not reported,,,"mice, rats, dogs","mouse, rat",,,not reported,not reported,,,not reported,not reported,,,"dogs, rats, mice, rabbits","mouse, rat, dog",,,"sprague dawley rats, beagle dogs, new zealand white rabbits",not reported,,,yes,yes,,,hard capsules,hard capsules,,
intravenous infusion,intraperitoneal,,,01.08.2022,01.08.2022,,,authorised (under additional monitoring),authorised,,,17.10.2024,17.10.2024,,,approved,approved,,,"neoplasms, diseases of the digestive system",neoplasms,,,biologics,biologics,,,korjuny,korjuny,,,same,"intraperitoneal treatment of malignant ascites in adults with epithelial cellular adhesion molecule (epcam)-positive carcinomas, who are not eligible for further systemic anticancer therapy.",,,"korjuny is indicated for the intraperitoneal treatment of malignant ascites in adults with epithelial cellular adhesion molecule (epcam)-positive carcinomas, who are not eligible for further systemic anticancer therapy.",intraperitoneal treatment of malignant ascites in adults with epcam-positive carcinomas where standard therapy is not available or no longer feasible.,,,ema/551738/2024,ema/551738/2024,,,catumaxomab,catumaxomab,,,"non-tumour-bearing mice, scid mouse xenograft model",not reported,,,mice,not reported,,,not reported,not reported,,,not reported,not reported,,,mice,not reported,,,balb/c mice,not reported,,,not reported,not reported,,,"rats, mice, monkeys, rabbits, guinea pigs",not reported,,,"cynomolgus monkeys, wistar rats, nmri mice",not reported,,,no,no,,,concentrate for solution for infusion,concentrate for solution for infusion,,
oral,po,,,25.05.2023,25.05.2023,,,authorised (under additional monitoring),authorised,,,25.04.2024,25.04.2024,,,approved,approved,,,"neoplasms, diseases of the digestive system",neoplasms,,,small molecule,small molecule,,,fruzaqla,fruzaqla,,,same,"fruzaqla as monotherapy is indicated for the treatment of adult patients with metastatic colorectal cancer (mcrc) who have been previously treated with available standard therapies, including fluoropyrimidine-, oxaliplatin-, and irinotecan-based chemotherapies, anti-vegf agents, and anti-egfr agents, and who have progressed on or are intolerant to treatment with either trifluridine-tipiracil or regorafenib.",,,"fruzaqla as monotherapy is indicated for the treatment of adult patients with metastatic colorectal cancer (mcrc) who have been previously treated with available standard therapies, including fluoropyrimidine-, oxaliplatin-, and irinotecan-based chemotherapies, anti-vegf agents, and anti-egfr agents, and who have progressed on or are intolerant to treatment with either trifluridine-tipiracil or regorafenib.","fruzaqla is indicated for the treatment of adult patients with metastatic colorectal cancer (mcrc) who have been previously treated with or are not considered candidates for available therapies, including fluoropyrimidine-, oxaliplatin-, and irinotecan-based chemotherapy, an anti-vegf therapy, and an anti-egfr therapy.",,,ema/chmp/462300/2023,ema/chmp/462300/2023,,,fruquintinib,fruquintinib,,,not reported,not reported,,,"mice, rats, dogs, guinea pigs, monkeys","rat, dog, guinea pig",,,not reported,"sprague-dawley rat, beagle dog, guinea pig",,,human xenograft models in balb/c nude mice,xenograft mouse,,,"mice, dogs","rat, mouse",,,"nude mice, beagle dogs","sprague-dawley rat, balb/c mouse",,,not reported,not reported,,,"rats, dogs","rat, dog",,,"sprague dawley rats, beagle dogs","sprague-dawley rat, beagle dog",,,no,no,,,hard capsules,hard capsules,,
oral,oral,,,16.12.2010,16.12.2010,,,authorised,authorised,,,18.09.2012,18.09.2012,,,approved,approved,,,"""endocrine, nutritional, and metabolic diseases"", diseases of the circulatory system, diseases of the genitourinary system","endocrine, nutritional, and metabolic diseases",,,small molecule,small molecule,,,forxiga,forxiga,,,"type 2 diabetes mellitus, heart failure, chronic kidney disease",monotherapy and add-on combination therapy for type 2 diabetes mellitus,,,diabetes mellitus type 2,to improve glycaemic control in adults with type 2 diabetes mellitus,,,ema/689976/2012,ema/689976/2012,,,dapagliflozin,dapagliflozin,,,rat (bile duct cannulated),not reported,,,"mice, rats, dogs, monkeys","mouse, rat, dog, monkey",,,"long evans rats, sprague dawley rats",not reported,,,"diabetic animal models, non-diabetic and diabetic rats or mice, knock-out mice lacking the gene for sglt2, dio (diet-induced obese) rat",not reported,,,"rats, mice","rat, mouse, dog, monkey",,,"wistar rats, zdf rats",not reported,,,not reported,not reported,,,"mice, rats, dogs, rabbits","mouse, rat, dog",,,"cd-1 mice, sprague dawley rats, beagle dogs",not reported,,,no,no,,,film-coated tablets,film-coated tablets,,
