"FORMULATION_ID"~"COMPONENT_ID"~"FORMULATION_TYPE"~"INGREDIENT_ID"~"LABEL_NAME_AND_POTENCY"~"CONCENTRATION_RATIO_1"~"CONCENTRATION_RATIO_2"~"POTENCY"~"POTENCY_MEASURED"~"UNIT_PROPORTION_CODE"~"ADDITIONAL_INFORMATION"~"STANDARDISED_FLAG"~"CREATION_DATE"~"LAST_UPDATE_DATE"~"QUANTITY"~"FORMULATION_INGREDIENT_TYPE"
183~47028~A~81591~~~~~~mg~~~03-jul-2002 00:00:00~04-jun-1992 00:00:00~10~S
184~47028~E~93224~~~~~~mg~~~03-jul-2002 00:00:00~22-jun-2005 11:41:28~~S
185~47028~E~57949~~~~~~mg~~~03-jul-2002 00:00:00~22-jun-2005 11:41:28~~S
186~47028~E~53866~~~~~~mg~~~03-jul-2002 00:00:00~22-jun-2005 11:41:28~~S
408~47058~A~81269~~~~~~mg~(as nafate)~~03-jul-2002 00:00:00~07-oct-1993 00:00:00~500~S
409~47058~E~80799~~~~~~mg/g~~~03-jul-2002 00:00:00~04-apr-2016 00:00:00~~S
410~47059~A~81269~~~~~~g~(as nafate)~~03-jul-2002 00:00:00~07-oct-1993 00:00:00~1~S
411~47059~E~80799~~~~~~mg/g~~~03-jul-2002 00:00:00~04-apr-2016 00:00:00~~S
942~47121~A~52230~~~~~~mg~~~03-jul-2002 00:00:00~~325~S
943~47121~A~52959~~~~~~mg~~~03-jul-2002 00:00:00~~8~S
944~47121~E~55950~~~~~~~~~03-jul-2002 00:00:00~~~S
945~47121~E~54252~~~~~~~~~03-jul-2002 00:00:00~~~S
946~47121~E~93242~~~~~~~~~03-jul-2002 00:00:00~~~S
947~47121~E~93379~~~~~~~~~03-jul-2002 00:00:00~~~S
972~47125~A~55097~~~~~~mL~~~03-jul-2002 00:00:00~27-jul-2004 11:15:40~5~S
973~47125~E~53978~~~~~~mg~~~03-jul-2002 00:00:00~27-jul-2004 11:15:40~~S
1149~47182~A~52224~~~~~~mg/mL~~~03-jul-2002 00:00:00~~100~S
1150~47182~E~55775~~~~~~mg/mL~~~03-jul-2002 00:00:00~26-aug-2004 09:47:27~~S
1151~47182~E~55795~~~~~~mg/mL~~~03-jul-2002 00:00:00~26-aug-2004 09:47:27~~S
1152~47182~E~56170~~~~~~mg/mL~~~03-jul-2002 00:00:00~26-aug-2004 09:47:27~~S
1153~47182~E~52323~~~~~~mg/mL~~~03-jul-2002 00:00:00~26-aug-2004 09:47:27~~S
1154~47182~E~56582~~~~~~QS~to 1mL~~03-jul-2002 00:00:00~26-aug-2004 09:47:27~~S
1155~47183~A~52528~~~~~~mg/mL~(as dihydrate)~~03-jul-2002 00:00:00~26-aug-2004 10:06:30~148~S
1156~47183~E~56582~~~~~~QS~to 1mL~~03-jul-2002 00:00:00~26-aug-2004 10:06:30~~S
1157~47184~A~52528~~~~~~mg/mL~~~03-jul-2002 00:00:00~01-sep-1993 00:00:00~100~S
1158~47184~E~56582~~~~~~QS~to 1mL~~03-jul-2002 00:00:00~26-aug-2004 10:41:47~~S
1206~47197~A~54048~~~~~~mg/mL~~~03-jul-2002 00:00:00~~4~S
1207~47197~E~56582~~~~~~QS~to 1mL~~03-jul-2002 00:00:00~16-aug-2004 14:53:15~~S
1614~47244~A~54936~~~~~~IU~~~03-jul-2002 00:00:00~23-oct-1992 00:00:00~100000~S
1615~47244~E~54203~~~~~~~~~03-jul-2002 00:00:00~23-oct-1992 00:00:00~~S
1616~47244~E~54250~~~~~~~~~03-jul-2002 00:00:00~23-oct-1992 00:00:00~~S
1617~47244~E~55906~~~~~~~~~03-jul-2002 00:00:00~23-oct-1992 00:00:00~~S
1618~47244~E~56418~~~~~~~~~03-jul-2002 00:00:00~23-oct-1992 00:00:00~~S
1619~47244~E~57963~~~~~~~~~03-jul-2002 00:00:00~~~S
1620~47244~E~53757~~~~~~~~~03-jul-2002 00:00:00~~~S
2276~47338~A~56245~~~~~~microgram/g~~~03-jul-2002 00:00:00~06-apr-1992 00:00:00~100~S
2277~47338~E~67610~~~~~~~~~03-jul-2002 00:00:00~~~S
2278~47338~E~52476~~~~~~~~~03-jul-2002 00:00:00~~~S
2279~47338~E~53462~~~~~~~~~03-jul-2002 00:00:00~~~S
2280~47338~E~81212~~~~~~~~~03-jul-2002 00:00:00~09-oct-1996 00:00:00~~S
2287~47340~A~56245~~~~~~microgram/g~~~03-jul-2002 00:00:00~05-aug-1993 00:00:00~500~S
2288~47340~E~54203~~~~~~~~~03-jul-2002 00:00:00~~~S
2289~47340~E~94280~~~~~~~~~03-jul-2002 00:00:00~~~S
2290~47340~E~55958~~~~~~~~~03-jul-2002 00:00:00~~~S
2291~47340~E~55957~~~~~~~~~03-jul-2002 00:00:00~~~S
2292~47340~E~52476~~~~~~~~~03-jul-2002 00:00:00~~~S
2293~47340~E~55906~~~~~~~~~03-jul-2002 00:00:00~~~S
2294~47340~E~93224~~~~~~~~~03-jul-2002 00:00:00~11-oct-1994 00:00:00~~S
2295~47340~E~56424~~~~~~~~~03-jul-2002 00:00:00~~~S
3201~47462~A~52914~~~~~~mg~~~03-jul-2002 00:00:00~~500~S
3202~47462~E~53757~~~~~~~~~03-jul-2002 00:00:00~~~S
3203~47462~E~53800~~~~~~~~~03-jul-2002 00:00:00~~~S
3204~47462~E~58056~~~~~~~~~03-jul-2002 00:00:00~~~S
3206~47462~E~55925~~~~~~~~~03-jul-2002 00:00:00~09-jul-1992 00:00:00~~S
3294~47474~A~55222~~~~~~mg~~~03-jul-2002 00:00:00~~10~S
3295~47474~E~93379~~~~~~mg~~~03-jul-2002 00:00:00~19-feb-2000 00:00:00~~S
3296~47474~E~54252~~~~~~mg~~~03-jul-2002 00:00:00~19-feb-2000 00:00:00~~S
3297~47474~E~53441~~~~~~mg~~~03-jul-2002 00:00:00~19-feb-2000 00:00:00~~S
3298~47474~E~54048~~~~~~mg~~~03-jul-2002 00:00:00~19-feb-2000 00:00:00~~S
3299~47474~E~94457~~~~~~mg~~~03-jul-2002 00:00:00~19-feb-2000 00:00:00~~S
3300~47474~E~53757~~~~~~mg~~~03-jul-2002 00:00:00~19-feb-2000 00:00:00~~S
3316~47477~A~52230~~~~~~mg~~~03-jul-2002 00:00:00~~650~S
3317~47477~E~53848~~~~~~~~~03-jul-2002 00:00:00~~~S
3318~47477~E~93377~~~~~~~~~03-jul-2002 00:00:00~~~S
3319~47477~E~55624~~~~~~~~~03-jul-2002 00:00:00~~~S
3320~47477~E~94457~~~~~~~~~03-jul-2002 00:00:00~~~S
3321~47477~E~52641~~~~~~~~~03-jul-2002 00:00:00~03-feb-1992 00:00:00~~S
3322~47477~E~100618~~~~~~~~~03-jul-2002 00:00:00~30-mar-2016 00:00:00~~S
3323~47477~E~53462~~~~~~~Solvent for coating solution, not part of finished product~~03-jul-2002 00:00:00~03-feb-1992 00:00:00~~S
3324~47477~E~53207~~~~~~~~~03-jul-2002 00:00:00~~~S
3325~47477~E~91428~~~~~~~Solvent for coating solution, not part of finished product~~03-jul-2002 00:00:00~03-feb-1992 00:00:00~~S
3326~47478~A~68856~~~~~~mg~~~03-jul-2002 00:00:00~06-feb-1992 00:00:00~270~S
3327~47478~A~53698~~~~~~mg~~~03-jul-2002 00:00:00~06-feb-1992 00:00:00~.3~S
3328~47478~E~104673~~~~~~mg~~~03-jul-2002 00:00:00~04-apr-2016 00:00:00~~S
3329~47478~E~55987~~~~~~mg~~~03-jul-2002 00:00:00~02-jan-2007 11:28:48~~S
3330~47478~E~55950~~~~~~mg~~~03-jul-2002 00:00:00~02-jan-2007 11:31:25~~S
3331~47478~E~93379~~~~~~mg~~~03-jul-2002 00:00:00~02-jan-2007 11:32:11~~S
3332~47478~E~55458~~~~~~mg~~~03-jul-2002 00:00:00~02-jan-2007 11:33:43~~S
3333~47478~E~53757~~~~~~mg~~~03-jul-2002 00:00:00~02-jan-2007 11:34:23~~S
3334~47478~E~95425~~~~~~mg~~~03-jul-2002 00:00:00~02-jan-2007 11:40:55~~S
3335~47478~E~53441~~~~~~mg~~~03-jul-2002 00:00:00~02-jan-2007 11:42:21~~S
3336~47478~E~93377~~~~~~mg~~~03-jul-2002 00:00:00~24-jul-2008 15:14:03~~S
3337~47478~E~53806~~~~~~mg~~~03-jul-2002 00:00:00~02-jan-2007 11:44:25~~S
3338~47478~E~57893~~~~~~mg~~~03-jul-2002 00:00:00~02-jan-2007 11:45:03~~S
3339~47478~E~52416~~~~~~mg~~~03-jul-2002 00:00:00~15-jul-2008 11:07:59~~S
3340~47478~E~55624~~~~~~mg~~~03-jul-2002 00:00:00~15-jul-2008 11:08:31~~S
3341~47478~E~94457~~~~~~mg~~~03-jul-2002 00:00:00~15-jul-2008 11:09:06~~S
3475~47491~A~75834~~~~~~mg/g~~~03-jul-2002 00:00:00~03-jun-1991 00:00:00~28~S
3476~47491~E~51935~~~~~~~~~03-jul-2002 00:00:00~~~S
3477~47491~E~52303~~~~~~~~~03-jul-2002 00:00:00~~~S
3478~47491~E~55549~~~~~~~~~03-jul-2002 00:00:00~~~S
3479~47491~E~55760~~~~~~~~~03-jul-2002 00:00:00~~~S
4382~47640~A~58523~~~~~~g/L~~~03-jul-2002 00:00:00~09-feb-1994 00:00:00~60~S
4383~47640~A~55795~~~~~~g/L~~~03-jul-2002 00:00:00~09-feb-1994 00:00:00~9~S
4384~47640~E~55820~~~~~~~~~03-jul-2002 00:00:00~~~S
4385~47640~E~95425~~~~~~~~~03-jul-2002 00:00:00~21-oct-1994 00:00:00~~S
4386~47640~E~56582~~~~~~~~~03-jul-2002 00:00:00~~~S
4387~47641~A~58524~~~~~~g/L~~~03-jul-2002 00:00:00~08-feb-1994 00:00:00~100~S
4388~47641~A~55795~~~~~~g/L~~~03-jul-2002 00:00:00~08-feb-1994 00:00:00~9~S
4389~47641~E~55820~~~~~~~~~03-jul-2002 00:00:00~~~S
4390~47641~E~95425~~~~~~~~~03-jul-2002 00:00:00~21-oct-1994 00:00:00~~S
4391~47641~E~56582~~~~~~~~~03-jul-2002 00:00:00~~~S
4392~47642~A~58524~~~~~~g/L~~~03-jul-2002 00:00:00~08-feb-1994 00:00:00~100~S
4393~47642~A~53790~~~~~~g/L~~~03-jul-2002 00:00:00~08-feb-1994 00:00:00~50~S
4394~47642~E~55820~~~~~~~~~03-jul-2002 00:00:00~~~S
4395~47642~E~95425~~~~~~~~~03-jul-2002 00:00:00~21-oct-1994 00:00:00~~S
4396~47642~E~56582~~~~~~~~~03-jul-2002 00:00:00~~~S
4397~47643~A~58523~~~~~~g/L~~~03-jul-2002 00:00:00~09-feb-1994 00:00:00~60~S
4398~47643~A~53790~~~~~~g/L~~~03-jul-2002 00:00:00~09-feb-1994 00:00:00~50~S
4399~47643~E~55820~~~~~~~~~03-jul-2002 00:00:00~~~S
4400~47643~E~95425~~~~~~~~~03-jul-2002 00:00:00~21-oct-1994 00:00:00~~S
4401~47643~E~56582~~~~~~~~~03-jul-2002 00:00:00~~~S
6277~47950~A~55519~~~~~~mg/mL~~~03-jul-2002 00:00:00~26-aug-1992 00:00:00~.72~S
6278~47950~A~55283~~~~~~mg/mL~~~03-jul-2002 00:00:00~26-aug-1992 00:00:00~1~S
6279~47950~A~55577~~~~~~mg/mL~~~03-jul-2002 00:00:00~26-aug-1992 00:00:00~4~S
6280~47950~E~55987~~~~~~mg~~~03-jul-2002 00:00:00~28-apr-2006 16:05:27~~S
6281~47950~E~52224~~~~~~mg~~~03-jul-2002 00:00:00~28-apr-2006 16:05:27~~S
6282~47950~E~68349~~~~~~mg~~~03-jul-2002 00:00:00~28-apr-2006 16:05:27~~S
6283~47950~E~93373~~~~~~mg~~~03-jul-2002 00:00:00~28-apr-2006 16:05:27~~S
6284~47950~E~52877~~~~~~mg~~~03-jul-2002 00:00:00~04-apr-2016 00:00:00~~S
6285~47950~E~55797~~~~~~mg~~~03-jul-2002 00:00:00~28-apr-2006 16:05:27~~S
6286~47950~E~55774~~~~~~mg~~~03-jul-2002 00:00:00~28-apr-2006 16:05:27~~S
6287~47950~E~52596~~~~~~mg~~~03-jul-2002 00:00:00~28-apr-2006 16:05:27~~S
6288~47950~E~53462~~~~~~mg~~~03-jul-2002 00:00:00~28-apr-2006 16:05:27~~S
6289~47950~E~93224~~~~~~QS~~~03-jul-2002 00:00:00~28-apr-2006 16:05:27~~S
6290~47950~E~718~~~~~~mg~~~03-jul-2002 00:00:00~28-apr-2006 16:05:27~~PI
6853~48039~A~100665~~~~~~mg/g~~~03-jul-2002 00:00:00~04-apr-2016 00:00:00~100~S
6854~48039~E~52637~~~~~~g/g~~~03-jul-2002 00:00:00~20-jun-2005 15:26:41~~S
6855~48039~E~55549~~~~~~mg/g~~~03-jul-2002 00:00:00~20-jun-2005 15:27:37~~S
6856~48039~E~55929~~~~~~mg/g~~~03-jul-2002 00:00:00~20-jun-2005 15:28:27~~S
6857~48039~E~58099~~~~~~g/g~~~03-jul-2002 00:00:00~20-jun-2005 15:29:24~~S
6858~48039~E~57948~~~~~~g/g~~~03-jul-2002 00:00:00~20-jun-2005 15:30:10~~S
6859~48039~E~58579~~~~~~g/g~~~03-jul-2002 00:00:00~20-jun-2005 15:30:53~~S
8384~48242~A~55700~~~~~~mg/g~~~03-jul-2002 00:00:00~~50~S
8385~48242~E~53800~~~~~~mg/g~~~03-jul-2002 00:00:00~23-dec-2005 12:23:01~~S
