Breast cancer,Neoplasms
Cervical cancer,"Neoplasms, Diseases of the genitourinary system"
Uterine cancer,"Neoplasms, Diseases of the genitourinary system"
Prostate cancer,"Neoplasms, Diseases of the genitourinary system"
Colon and rectum cancer,"Neoplasms, Diseases of the digestive system"
Lip and oral cavity cancer,Neoplasms
Nasopharynx cancer,Neoplasms
Other pharynx cancer,Neoplasms
Gallbladder and biliary tract cancer,"Neoplasms, Diseases of the digestive system"
Pancreatic cancer,"Neoplasms, Diseases of the digestive system"
Malignant skin melanoma,"Neoplasms, Diseases of the skin"
Non-melanoma skin cancer,"Neoplasms, Diseases of the skin"
Ovarian cancer,"Neoplasms, Diseases of the genitourinary system"
Testicular cancer,"Neoplasms, Diseases of the genitourinary system"
Kidney cancer,"Neoplasms, Diseases of the genitourinary system"
Bladder cancer,"Neoplasms, Diseases of the genitourinary system"
Brain and central nervous system cancer,"Neoplasms, Diseases of the nervous system"
Thyroid cancer,"Neoplasms, ""Endocrine, nutritional, and metabolic diseases"""
Mesothelioma,Neoplasms
Hodgkin lymphoma,"Neoplasms, Diseases of the blood and blood-forming organs"
Non-Hodgkin lymphoma,"Neoplasms, Diseases of the blood and blood-forming organs"
Multiple myeloma,"Neoplasms, Diseases of the blood and blood-forming organs"
Leukemia,"Neoplasms, Diseases of the blood and blood-forming organs"
Other malignant neoplasms,Neoplasms
Other neoplasms,Neoplasms
Rheumatic heart disease,Diseases of the circulatory system
Thalassemias,"Diseases of the blood and blood-forming organs, Congenital malformations and chomosomal abnormalities"
Sickle cell disorders,"Diseases of the blood and blood-forming organs, Congenital malformations and chomosomal abnormalities"
G6PD deficiency,Congenital malformations and chomosomal abnormalities
Other hemoglobinopathies and hemolytic anemias,Diseases of the blood and blood-forming organs
Rheumatoid arthritis,Diseases of the musculoskeletal system and connective tissue
Other musculoskeletal disorders,Diseases of the musculoskeletal system and connective tissue
Neural tube defects,Diseases of the nervous system
Congenital heart anomalies,"Congenital malformations and chomosomal abnormalities, Diseases of the circulatory system"
Orofacial clefts,Congenital malformations and chomosomal abnormalities
Down syndrome,Congenital malformations and chomosomal abnormalities
Other chromosomal abnormalities,Congenital malformations and chomosomal abnormalities
Congenital musculoskeletal and limb anomalies,"Congenital malformations and chomosomal abnormalities, Diseases of the musculoskeletal system and connective tissue"
Urogenital congenital anomalies,"Congenital malformations and chomosomal abnormalities, Diseases of the genitourinary system"
Digestive congenital anomalies,"Congenital malformations and chomosomal abnormalities, Diseases of the digestive system"
Other congenital birth defects,Congenital malformations and chomosomal abnormalities
Typhoid and paratyphoid,Infectious and parasitic diseases
Invasive Non-typhoidal Salmonella (iNTS),Infectious and parasitic diseases
Bacterial skin diseases,"Infectious and parasitic diseases, Diseases of the skin"
