Year,Disease_class,Deaths
1995,Diseases of the blood and blood-forming organs,1743770.2128398349
1995,Diseases of the circulatory system,14585816.118058993
1995,Diseases of the digestive system,7656040.106940601
1995,Diseases of the ear,1384.2106181819138
1995,Diseases of the eye and adnexa,9392.351429611424
1995,Diseases of the genitourinary system,1888055.8579794304
1995,Diseases of the musculoskeletal system and connective tissue,162613.58463899876
1995,Diseases of the nervous system,8081695.285271346
1995,Diseases of the respiratory system,8822272.942878703
1995,Diseases of the skin,1090441.8741449993
1995,"Injury, poisoning and certain other consequences of external causes",5125116.521304351
1995,Mental and behavioural disorders,1050742.6191580787
1995,Neoplasms,6572088.863221606
1995,Other,5641156.524934736
1995,Pregnancy and childbirth,1668489.7047313727
1996,Diseases of the blood and blood-forming organs,1757769.2924612374
1996,Diseases of the circulatory system,14642512.851760523
1996,Diseases of the digestive system,7605335.665849313
1996,Diseases of the ear,1319.1479925867477
1996,Diseases of the eye and adnexa,9449.043248925256
1996,Diseases of the genitourinary system,1921676.362067719
1996,Diseases of the musculoskeletal system and connective tissue,165250.38994839636
1996,Diseases of the nervous system,8089779.487153282
1996,Diseases of the respiratory system,8837495.6501225
1996,Diseases of the skin,1071966.7214055462
1996,"Injury, poisoning and certain other consequences of external causes",5103305.143873908
1996,Mental and behavioural disorders,1067647.274465617
1996,Neoplasms,6654518.4734749785
1996,Other,5615700.190301001
1996,Pregnancy and childbirth,1628069.0334012224
1997,Diseases of the blood and blood-forming organs,1777961.5510141985
1997,Diseases of the circulatory system,14708785.678150482
1997,Diseases of the digestive system,7541007.79447607
1997,Diseases of the ear,1246.3337337981072
1997,Diseases of the eye and adnexa,9457.131349178697
1997,Diseases of the genitourinary system,1956970.0708160477
1997,Diseases of the musculoskeletal system and connective tissue,167382.17495861175
1997,Diseases of the nervous system,8084010.31061139
1997,Diseases of the respiratory system,8851706.636376629
1997,Diseases of the skin,1042950.0925604384
1997,"Injury, poisoning and certain other consequences of external causes",5080229.763533274
1997,Mental and behavioural disorders,1084166.6848059949
1997,Neoplasms,6731462.334079602
1997,Other,5586763.776909729
1997,Pregnancy and childbirth,1586918.8738656756
1998,Diseases of the blood and blood-forming organs,1800012.5045633884
1998,Diseases of the circulatory system,14833912.993613398
1998,Diseases of the digestive system,7512704.329081714
1998,Diseases of the ear,1179.375217955842
