Year,Disease_class,Prevalence
1995,Diseases of the blood and blood-forming organs,1084078834.119773
1995,Diseases of the circulatory system,621415091.9923829
1995,Diseases of the digestive system,6134640168.257484
1995,Diseases of the ear,1038236745.5491741
1995,Diseases of the eye and adnexa,476163367.96210337
1995,Diseases of the genitourinary system,2731599750.5434184
1995,Diseases of the musculoskeletal system and connective tissue,1133679302.5780106
1995,Diseases of the nervous system,899846969.9716612
1995,Diseases of the respiratory system,2242602271.4940104
1995,Diseases of the skin,1009685459.2486469
1995,"Injury, poisoning and certain other consequences of external causes",1840773573.8779714
1995,Mental and behavioural disorders,846149792.8263283
1995,Neoplasms,220315535.9419951
1995,Other,3515045424.88451
1995,Pregnancy and childbirth,195578165.9567085
1996,Diseases of the blood and blood-forming organs,1101495116.9068613
1996,Diseases of the circulatory system,635001233.1748222
1996,Diseases of the digestive system,6174161673.827034
1996,Diseases of the ear,1059699597.0660536
1996,Diseases of the eye and adnexa,486536876.027824
1996,Diseases of the genitourinary system,2785326823.2336698
1996,Diseases of the musculoskeletal system and connective tissue,1156951750.8760233
1996,Diseases of the nervous system,914276760.4384942
1996,Diseases of the respiratory system,2265201662.089818
1996,Diseases of the skin,1021285060.2605103
1996,"Injury, poisoning and certain other consequences of external causes",1864266356.251154
1996,Mental and behavioural disorders,859760657.1242524
1996,Neoplasms,224838521.9823937
1996,Other,3564661399.545842
1996,Pregnancy and childbirth,198095345.19052413
1997,Diseases of the blood and blood-forming organs,1117782878.2400723
1997,Diseases of the circulatory system,649365305.7674489
1997,Diseases of the digestive system,6208309249.802359
1997,Diseases of the ear,1082039398.1204991
1997,Diseases of the eye and adnexa,496934900.46305454
1997,Diseases of the genitourinary system,2839217779.3987484
1997,Diseases of the musculoskeletal system and connective tissue,1179734012.5390844
1997,Diseases of the nervous system,928051684.9929965
1997,Diseases of the respiratory system,2285201923.972106
1997,Diseases of the skin,1033039436.4990194
1997,"Injury, poisoning and certain other consequences of external causes",1887784292.1774719
1997,Mental and behavioural disorders,872528412.0912707
1997,Neoplasms,229024349.96043944
1997,Other,3611975198.954592
1997,Pregnancy and childbirth,200406500.20445845
1998,Diseases of the blood and blood-forming organs,1133640423.269982
1998,Diseases of the circulatory system,663802336.9318678
1998,Diseases of the digestive system,6242067183.061906
1998,Diseases of the ear,1104930126.3705702
1998,Diseases of the eye and adnexa,507405410.8017912
1998,Diseases of the genitourinary system,2894134333.689858
1998,Diseases of the musculoskeletal system and connective tissue,1202601054.9199934
1998,Diseases of the nervous system,941716933.6738044
1998,Diseases of the respiratory system,2303554256.4702277
1998,Diseases of the skin,1044741894.7886887
1998,"Injury, poisoning and certain other consequences of external causes",1911664561.9730217
1998,Mental and behavioural disorders,885428155.2167791
1998,Neoplasms,233430903.4452905
1998,Other,3658607010.5262074
1998,Pregnancy and childbirth,202658362.60969067
1999,Diseases of the blood and blood-forming organs,1149817949.767031
1999,Diseases of the circulatory system,677336717.2249484
1999,Diseases of the digestive system,6281596312.5198765
1999,Diseases of the ear,1128616841.0187016
1999,Diseases of the eye and adnexa,518349683.5470827
1999,Diseases of the genitourinary system,2949362857.34153
1999,Diseases of the musculoskeletal system and connective tissue,1226563694.2661035
1999,Diseases of the nervous system,955761303.4459981
1999,Diseases of the respiratory system,2321461024.571171
1999,Diseases of the skin,1056263805.7718351
1999,"Injury, poisoning and certain other consequences of external causes",1936441860.8164206
1999,Mental and behavioural disorders,898889165.7645652
1999,Neoplasms,237994448.40083474
1999,Other,3706162199.4148083
1999,Pregnancy and childbirth,205010392.5526927
2000,Diseases of the blood and blood-forming organs,1167192056.8812244
2000,Diseases of the circulatory system,688929762.5902045
2000,Diseases of the digestive system,6333943180.117009
2000,Diseases of the ear,1152511973.8480694
2000,Diseases of the eye and adnexa,529701725.6946696
2000,Diseases of the genitourinary system,3006137217.080754
2000,Diseases of the musculoskeletal system and connective tissue,1252295057.9834628
2000,Diseases of the nervous system,970826654.6071705
2000,Diseases of the respiratory system,2340389966.7515435
2000,Diseases of the skin,1067647789.3493339
2000,"Injury, poisoning and certain other consequences of external causes",1962010403.1305494
2000,Mental and behavioural disorders,911920820.7111062
2000,Neoplasms,242435005.74146774
2000,Other,3755954292.771533
2000,Pregnancy and childbirth,207728258.6915842
2001,Diseases of the blood and blood-forming organs,1185749409.2259977
2001,Diseases of the circulatory system,692692376.8759251
2001,Diseases of the digestive system,6390456016.828149
2001,Diseases of the ear,1176802287.355002
2001,Diseases of the eye and adnexa,541707804.8577752
2001,Diseases of the genitourinary system,3062110195.553198
2001,Diseases of the musculoskeletal system and connective tissue,1281028122.2347953
2001,Diseases of the nervous system,987337683.8639305
2001,Diseases of the respiratory system,2352029289.416089
2001,Diseases of the skin,1079212478.0541306
