Application_number,Product_number,Application_ID
000004,004,000004_004
000159,001,000159_001
000552,001,000552_001
000552,002,000552_002
000552,003,000552_003
000552,004,000552_004
000552,005,000552_005
000552,007,000552_007
000552,008,000552_008
000552,009,000552_009
000552,010,000552_010
000552,011,000552_011
000552,012,000552_012
000552,013,000552_013
000734,001,000734_001
000734,002,000734_002
000734,003,000734_003
000793,002,000793_002
000793,003,000793_003
000793,004,000793_004
000793,005,000793_005
001104,001,001104_001
001504,001,001504_001
001546,001,001546_001
002139,003,002139_003
002282,001,002282_001
002386,002,002386_002
002386,003,002386_003
002918,001,002918_001
003158,001,003158_001
003158,002,003158_002
003240,001,003240_001
003240,003,003240_003
003240,004,003240_004
003240,005,003240_005
003402,001,003402_001
003444,001,003444_001
003718,004,003718_004
003718,006,003718_006
003718,008,003718_008
003718,010,003718_010
003977,001,003977_001
003977,002,003977_002
003977,003,003977_003
004039,002,004039_002
004039,003,004039_003
004039,004,004039_004
004039,005,004039_005
004039,006,004039_006
004040,001,004040_001
004040,002,004040_002
004041,002,004041_002
004041,003,004041_003
004041,004,004041_004
004041,005,004041_005
004054,001,004054_001
004054,002,004054_002
004056,001,004056_001
004056,002,004056_002
004056,003,004056_003
004056,004,004056_004
004056,005,004056_005
004056,006,004056_006
004056,007,004056_007
004056,008,004056_008
004056,009,004056_009
004056,010,004056_010
004056,011,004056_011
004056,012,004056_012
004056,013,004056_013
004056,014,004056_014
004056,017,004056_017
004122,002,004122_002
004125,005,004125_005
004570,001,004570_001
004570,002,004570_002
004570,003,004570_003
004589,004,004589_004
004782,001,004782_001
004782,002,004782_002
004782,003,004782_003
004782,004,004782_004
004782,005,004782_005
004782,006,004782_006
005010,001,005010_001
005010,002,005010_002
005010,003,005010_003
005010,004,005010_004
005010,005,005010_005
005010,007,005010_007
005010,009,005010_009
005151,001,005151_001
005213,001,005213_001
005213,002,005213_002
005264,004,005264_004
005264,006,005264_006
005264,007,005264_007
005264,008,005264_008
005264,009,005264_009
005264,010,005264_010
005264,013,005264_013
005264,014,005264_014
005292,001,005292_001
005292,002,005292_002
005292,003,005292_003
005319,001,005319_001
005378,002,005378_002
005378,003,005378_003
005378,004,005378_004
005378,005,005378_005
005490,002,005490_002
005490,003,005490_003
005509,001,005509_001
005509,003,005509_003
005521,001,005521_001
005521,002,005521_002
005521,004,005521_004
005545,003,005545_003
005545,004,005545_004
005545,005,005545_005
005619,001,005619_001
005620,001,005620_001
005657,001,005657_001
005691,002,005691_002
005725,001,005725_001
005794,001,005794_001
005794,002,005794_002
005795,001,005795_001
005845,001,005845_001
005845,004,005845_004
005845,007,005845_007
005856,002,005856_002
005856,005,005856_005
005856,009,005856_009
005897,004,005897_004
005897,008,005897_008
005914,002,005914_002
005914,004,005914_004
005929,001,005929_001
005932,012,005932_012
005939,001,005939_001
005963,001,005963_001
005963,002,005963_002
005963,003,005963_003
005970,004,005970_004
005970,005,005970_005
006002,001,006002_001
006002,002,006002_002
006008,001,006008_001
006012,003,006012_003
006035,003,006035_003
006035,004,006035_004
006044,003,006044_003
006071,003,006071_003
006095,001,006095_001
006110,005,006110_005
006134,002,006134_002
006134,004,006134_004
006134,010,006134_010
006135,003,006135_003
006146,001,006146_001
006146,002,006146_002
006170,003,006170_003
006188,001,006188_001
006203,001,006203_001
006213,001,006213_001
006270,003,006270_003
006309,001,006309_001
006309,003,006309_003
006317,007,006317_007
006317,011,006317_011
006317,012,006317_012
006325,001,006325_001
006327,002,006327_002
006327,003,006327_003
006328,001,006328_001
006328,002,006328_002
006333,008,006333_008
006383,002,006383_002
006383,003,006383_003
006383,004,006383_004
006403,005,006403_005
006412,014,006412_014
006412,015,006412_015
006441,001,006441_001
006459,001,006459_001
006460,002,006460_002
006470,001,006470_001
006488,002,006488_002
006488,003,006488_003
006488,004,006488_004
006488,005,006488_005
006488,007,006488_007
006488,008,006488_008
006488,010,006488_010
006488,012,006488_012
006488,017,006488_017
006488,018,006488_018
006488,019,006488_019
006514,004,006514_004
006525,001,006525_001
006530,003,006530_003
006530,004,006530_004
006536,001,006536_001
006536,002,006536_002
006536,003,006536_003
006536,004,006536_004
006536,005,006536_005
006580,001,006580_001
006620,001,006620_001
006632,003,006632_003
006668,010,006668_010
006695,001,006695_001
006772,001,006772_001
006772,002,006772_002
006773,003,006773_003
006773,005,006773_005
006773,009,006773_009
006773,010,006773_010
006798,001,006798_001
006799,002,006799_002
006799,004,006799_004
006799,010,006799_010
006800,001,006800_001
006800,002,006800_002
006800,003,006800_003
006811,001,006811_001
006811,002,006811_002
006811,006,006811_006
006811,011,006811_011
006823,001,006823_001
006882,001,006882_001
006904,001,006904_001
