MA_Number,Indications_and_usage,Origin,Drug_name,Non_proprietary_name,Marketing_authorisation_holder,Pharmaceutical_form,Administration_route,Decision,Decision_date,Decision_year,Current_status,Non-clinical_abridged,Referral,Orphan_drug_status
ANDA018659,,FDA,ALLOPURINOL,ALLOPURINOL,MYLAN,TABLET,ORAL,Approved,24.10.1986,1986,authorised,yes,No,No
ANDA020167,,FDA,ESTRADIOL,ESTRADIOL,MYLAN PHARMS INC,SYSTEM,TRANSDERMAL,Approved,19.12.2014,2014,authorised,yes,TBD,No
ANDA020345,,FDA,AMINOSYN-HF 8%,AMINO ACIDS,ICU MEDICAL INC,INJECTABLE,INJECTION,Approved,04.04.1996,1996,Discontinued,yes,No,No
ANDA020360,,FDA,HEPATASOL 8%,AMINO ACIDS,BAXTER HLTHCARE,INJECTABLE,INJECTION,Approved,04.04.1996,1996,Discontinued,yes,No,No
ANDA020374,,FDA,INPERSOL-LC/LM W/ DEXTROSE 1.5% IN PLASTIC CONTAINER; INPERSOL-LC/LM W/ DEXTROSE 2.5% IN PLASTIC CONTAINER; INPERSOL-LC/LM W/ DEXTROSE 3.5% IN PLASTIC CONTAINER; INPERSOL-LC/LM W/ DEXTROSE 4.25% IN PLASTIC CONTAINER,CALCIUM CHLORIDE,FRESENIUS,SOLUTION,INTRAPERITONEAL,Approved,13.06.1994,1994,Discontinued,yes,No,No
ANDA020512,,FDA,CLINISOL 15% SULFITE FREE IN PLASTIC CONTAINER,AMINO ACIDS,BAXTER HLTHCARE,INJECTABLE,INJECTION,Approved,30.08.1996,1996,authorised,yes,No,No
ANDA021206,,FDA,,,PLIVA HRVATSKA DOO,,,,,,,yes,,No
ANDA040001,"INDICATIONS AND USAGE Methazolamide Tablets are indicated in the treatment of ocular conditions where lowering intraocular pressure is likely to be of therapeutic benefit, such as chronic open-angle glaucoma, secondary glaucoma, and preoperatively in acute angle-closure glaucoma where lowering the intraocular pressure is desired before surgery.",FDA,METHAZOLAMIDE,METHAZOLAMIDE,ANI PHARMS,TABLET,ORAL,Approved,30.06.1993,1993,authorised,yes,No,No
ANDA040007,,FDA,HEPARIN SODIUM,HEPARIN SODIUM,DR REDDYS,INJECTABLE,INJECTION,Approved,07.06.1996,1996,Discontinued,yes,No,No
ANDA040008,,FDA,HEPARIN SODIUM,HEPARIN SODIUM,WATSON LABS INC,INJECTABLE,INJECTION,Approved,10.10.1995,1995,Discontinued,yes,No,No
ANDA040009,,FDA,ISOSORBIDE DINITRATE,ISOSORBIDE DINITRATE,SUN PHARM INDS INC,"TABLET, EXTENDED RELEASE",ORAL,Approved,30.12.1998,1998,Discontinued,yes,No,No
ANDA040010,,FDA,HYDROXYZINE HYDROCHLORIDE,HYDROXYZINE HYDROCHLORIDE,HIKMA,SYRUP,ORAL,Approved,28.10.1994,1994,Discontinued,yes,No,No
ANDA040011,,FDA,METHAZOLAMIDE,METHAZOLAMIDE,APPLIED ANAL,TABLET,ORAL,Approved,17.07.1997,1997,Discontinued,yes,No,No
ANDA040013,,FDA,LIDOCAINE HYDROCHLORIDE,LIDOCAINE HYDROCHLORIDE,HOSPIRA,INJECTABLE,INJECTION,Approved,23.06.1995,1995,Discontinued,yes,No,No
ANDA040014,"INDICATIONS AND USAGE Lidocaine Hydrochloride Oral Topical Solution, USP (Viscous) 2% is indicated for the production of topical anesthesia of irritated or inflamed mucous membranes of the mouth and pharynx. It is also useful for reducing gagging during the taking of X-ray pictures and dental impressions.",FDA,LIDOCAINE HYDROCHLORIDE,LIDOCAINE HYDROCHLORIDE,HIKMA,SOLUTION,ORAL,Approved,10.07.1995,1995,Discontinued,yes,No,No
ANDA040015,,FDA,NEOSAR,CYCLOPHOSPHAMIDE,TEVA PARENTERAL,INJECTABLE,INJECTION,Approved,29.04.1993,1993,Discontinued,yes,No,No
ANDA040023,,FDA,ADRUCIL,FLUOROURACIL,TEVA PARENTERAL,INJECTABLE,INJECTION,Approved,18.10.1991,1991,Discontinued,yes,No,No
ANDA040026,,FDA,PROMETHAZINE HYDROCHLORIDE,PROMETHAZINE HYDROCHLORIDE,CHARTWELL RX,SYRUP,ORAL,Approved,25.09.1998,1998,authorised,yes,No,No
