Generic Name;Trade Name;Date Designated;Orphan Designation;Orphan Designation Status;Date Designation Withdrawn or Revoked;FDA Orphan Approval Status;Approved Labeled Indication;Marketing Approval Date;Exclusivity End Date;Exclusivity Protected Indication * (Shown for approvals from Jan. 1, 2013, to the present);Sponsor Company;Sponsor Address 1;Sponsor Address 2;Sponsor City;Sponsor State;Sponsor Zip;Sponsor Country;CF Grid Key
bosentan;Tracleer;10.06.00;Treatment of pulmonary arterial hypertension;Designated/Approved;;;Treatment of pulmonary arterial hypertension (PAH) (WHO Group 1) in pediatric patients aged 3 years and older with idiopathic or congenital PAH to improve pulmonary vascular resistance (PVR), which is expected to result in an improvement in exercise ability;09.05.17;09.05.24;Treatment of pulmonary arterial hypertension (PAH) (WHO Group 1) in pediatric patients aged 3 years and older with idiopathic or congenital PAH to improve pulmonary vascular resistance (PVR), which is expected to result in an improvement in exercise ability;Actelion Pharmaceuticals Ltd;1840 Gateway Drive;Suite 300;Cherry Hill;New Jersey;' 08002 ' ;United States;134200
bosentan;Tracleer;10.06.00;Treatment of pulmonary arterial hypertension;Designated/Approved;;;Treatment of pulmonary arterial hypertension.;11/20/2001;11/20/2008;;Actelion Pharmaceuticals Ltd;1840 Gateway Drive;Suite 300;Cherry Hill;New Jersey;' 08002 ' ;United States;134200
(tisagenlecleucel) Autologous T Cells transduced with lentiviral vector containing a chimeric antigen receptor directed against CD19;Kymriah (tisagenlecleucel);01/31/2014;For the treatment of Acute Lymphoblastic Leukemia;Designated/Approved;;;Treatment of patients up to 25 years of age with B-cell precursor acute lymphoblastic leukemia (ALL) that is refractory or in second or later relapse;08/30/2017;08/30/2024;Treatment of patients up to 25 years of age with B-cell precursor acute lymphoblastic leukemia (ALL) that is refractory or in second or later relapse;Novartis Pharmaceuticals Corporation;One Health Plaza,;Bldg 315 - Room 3650B;East Hanover;New Jersey;' 07936 ' ;United States;415113
5-aminolevulinic acid;Gleolan;01/15/2013;Visualization of malignant tissue during surgery for malignant glioma (WHO grades III and IV);Designated/Approved;;;Optical imaging agent indicated in patients with glioma (suspected World Health Organization Grades III or IV on preoperative imaging) as an adjunct for the visualization of malignant tissue during surgery;06.06.17;06.06.24;Optical imaging agent indicated in patients with glioma (suspected World Health Organization Grades III or IV on preoperative imaging) as an adjunct for the visualization of malignant tissue during surgery;NX Development Corporation;1827 South Bayshore Lane;;Miami;Florida;' 33133 ' ;United States;387312
abatacept;Orencia;12/26/2017;Prevention of graft versus host disease;Designated/Approved;;;prophylaxis of acute graft versus host disease (aGVHD), in combination with a calcineurin inhibitor and methotrexate, in adults and pediatric patients 2 years of age and older undergoing hematopoietic stem cell transplantation (HSCT) from a matched or 1 allele-mismatched unrelated-donor;12/15/2021;12/15/2028;prophylaxis of acute graft versus host disease (aGVHD) in adults and pediatric patients 2 years of age and older undergoing hematopoietic stem cell transplantation (HSCT) from a matched or 1 allele-mismatched unrelated-donor;Bristol-Myers Squibb Co.;P. O. Box 5326;;Princeton;New Jersey;' 08543 ' ;United States;614117
acalabrutinib;;05/13/2015;Treatment of chronic lymphocytic leukemia (CLL).;Designated/Approved;;;CALQUENCE is indicated for the treatment of adult patients with chronic lymphocytic leukemia (CLL) or small lymphocytic lymphoma (SLL).;11/21/2019;11/21/2026;Indicated for the treatment of adult patients with chronic lymphocytic leukemia (CLL) or small lymphocytic lymphoma (SLL).;Acerta Pharma, LLC (a member of the AstraZeneca Group);121 Oyster Point Boulevard;;South San Francisco;California;' 94080 ' ;United States;477415
acalabrutinib;Calquence;05/13/2015;Treatment of chronic lymphocytic leukemia (CLL).;Designated/Approved;;;Treatment of adult patients with chronic lymphocytic leukemia (CLL) or small lymphocytic lymphoma (SLL);08.04.22;;;Acerta Pharma, LLC (a member of the AstraZeneca Group);121 Oyster Point Boulevard;;South San Francisco;California;' 94080 ' ;United States;477415
acalabrutinib;Calquence;09/21/2015;Treatment of mantle cell lymphoma.;Designated/Approved;;;Treatment of adult patients with mantle cell lymphoma (MCL) who have received at least one prior therapy;08.04.22;;;Acerta Pharma, LLC (a member of the AstraZeneca Group);121 Oyster Point Boulevard;;South San Francisco;California;' 94080 ' ;United States;488915
acalabrutinib;Calquence;09/21/2015;Treatment of mantle cell lymphoma.;Designated/Approved;;;in combination with bendamustine and rituximab for the treatment of adult patients with previously untreated mantle cell lymphoma (MCL) who are ineligible for autologous hematopoietic stem cell transplantation (HSCT);01/16/2025;;;Acerta Pharma, LLC (a member of the AstraZeneca Group);121 Oyster Point Boulevard;;South San Francisco;California;' 94080 ' ;United States;488915
acalabrutinib;CALQUENCE;09/21/2015;Treatment of mantle cell lymphoma.;Designated/Approved;;;treatment of adult patients with mantle cell lymphoma (MCL) who have received at least one prior therapy;10/31/2017;10/31/2024;treatment of adult patients with mantle cell lymphoma (MCL) who have received at least one prior therapy;Acerta Pharma, LLC (a member of the AstraZeneca Group);121 Oyster Point Boulevard;;South San Francisco;California;' 94080 ' ;United States;488915
