Origin,Marketing authorisation Number,Drug name,Non proprietary name,Marketing authorisation holder/ applicant,Pharmaceutical form,Administration route,Decision,Decision date,Current status,Non-clinical abridge,Referral
FDA,ANDA076177,CAMILA,NORETHINDRONE,DR REDDYS LABS SA,TABLET,ORAL-28,Approved,21.10.2002,authorised,yes,No
FDA,ANDA076178,NIZATIDINE,NIZATIDINE,EPIC PHARMA LLC,CAPSULE,ORAL,Approved,05.07.2002,authorised,yes,No
FDA,Adzynma,ONDANSETRON HYDROCHLORIDE,ONDANSETRON HYDROCHLORIDE,DR REDDYS LABS LTD,TABLET,ORAL,Approved,26.12.2006,authorised,yes,No
FDA,ANDA076213,FLUCONAZOLE,FLUCONAZOLE,ROXANE,TABLET,ORAL,Approved,29.07.2004,Discontinued,yes,No
FDA,ANDA076215,BETAMETHASONE DIPROPIONATE,BETAMETHASONE DIPROPIONATE,FOUGERA PHARMS,"CREAM, AUGMENTED",TOPICAL,Approved,09.12.2003,authorised,yes,No
FDA,ANDA076221,NORETHINDRONE ACETATE AND ETHINYL ESTRADIOL,ETHINYL ESTRADIOL,BARR LABS INC,TABLET,ORAL,Approved,06.11.2009,authorised,yes,No
FDA,ANDA076254,BRIMONIDINE TARTRATE,BRIMONIDINE TARTRATE,SANDOZ,SOLUTION/DROPS,OPHTHALMIC,Approved,16.09.2003,authorised,yes,No
FDA,NDA017391,IMURAN,AZATHIOPRINE SODIUM,CASPER PHARMA LLC,INJECTABLE,INJECTION,Approved,19.07.1974,Discontinued,no,Yes
FDA,ANDA076258,FENTANYL-100; FENTANYL-12; FENTANYL-25; FENTANYL-37; FENTANYL-50; FENTANYL-62; FENTANYL-75; FENTANYL-87,FENTANYL,MYLAN TECHNOLOGIES,"FILM, EXTENDED RELEASE",TRANSDERMAL,Approved,28.01.2005,authorised,yes,No
FDA,ANDA076273,CLOPIDOGREL BISULFATE,CLOPIDOGREL BISULFATE,DR REDDYS,TABLET,ORAL,Approved,14.01.2008,authorised,yes,No
FDA,ANDA076298,FEXOFENADINE HYDROCHLORIDE AND PSEUDOEPHEDRINE HYDROCHLORIDE,FEXOFENADINE HYDROCHLORIDE,IMPAX PHARMS,"TABLET, EXTENDED RELEASE",ORAL,Approved,12.11.2010,Discontinued,yes,No
FDA,ANDA076300,FLUTICASONE PROPIONATE,FLUTICASONE PROPIONATE,CHARTWELL RX,OINTMENT,TOPICAL,Approved,14.05.2004,Discontinued,yes,No
FDA,ANDA076302,NEFAZODONE HYDROCHLORIDE,NEFAZODONE HYDROCHLORIDE,CHARTWELL RX,TABLET,ORAL,Approved,16.09.2003,Discontinued,yes,No
FDA,ANDA076304,FLUCONAZOLE IN DEXTROSE 5% IN PLASTIC CONTAINER,FLUCONAZOLE,HOSPIRA,INJECTABLE,INJECTION,Approved,29.07.2004,Discontinued,yes,No
FDA,NDA017406,DICOPAC KIT,CYANOCOBALAMIN,GE HEALTHCARE,N/A,N/A,Approved,10.06.1974,Discontinued,no,No
FDA,ANDA076312,MIRTAZAPINE,MIRTAZAPINE,WATSON LABS,TABLET,ORAL,Approved,19.06.2003,Discontinued,yes,No
FDA,ANDA076324,FAMOTIDINE PRESERVATIVE FREE,FAMOTIDINE,EPIC PHARMA LLC,INJECTABLE,INJECTION,Approved,27.11.2002,Discontinued,yes,No
FDA,ANDA076332,FLUCONAZOLE,FLUCONAZOLE,SUN PHARM INDS LTD,FOR SUSPENSION,ORAL,Approved,29.07.2004,Discontinued,yes,No
FDA,ANDA076338,CYCLAFEM 7/7/7,ETHINYL ESTRADIOL,ENDO OPERATIONS,TABLET,ORAL-28,Approved,16.11.2010,Discontinued,yes,No
FDA,ANDA076342,BENAZEPRIL HYDROCHLORIDE AND HYDROCHLOROTHIAZIDE,BENAZEPRIL HYDROCHLORIDE,ANI PHARMS,TABLET,ORAL,Approved,11.02.2004,authorised,yes,No
FDA,ANDA076363,DIGOXIN,DIGOXIN,SUN PHARM INDS INC,TABLET,ORAL,Approved,31.01.2003,authorised,yes,No
FDA,ANDA076372,BRIMONIDINE TARTRATE,BRIMONIDINE TARTRATE,TEVA PARENTERAL,SOLUTION/DROPS,OPHTHALMIC,Approved,10.09.2004,Discontinued,yes,No
FDA,ANDA076388,LAMOTRIGINE,LAMOTRIGINE,TEVA,TABLET,ORAL,Approved,30.08.2006,Discontinued,yes,No
FDA,ANDA076405,TRI-LEGEST 21,ETHINYL ESTRADIOL,BARR,TABLET,ORAL-21,Approved,26.10.2007,Discontinued,yes,No
FDA,NDA017423,SEPTISOL,HEXACHLOROPHENE,VESTAL LABS,SOLUTION,TOPICAL,,,Discontinued,no,No
FDA,ANDA076416,TIZANIDINE HYDROCHLORIDE,TIZANIDINE HYDROCHLORIDE,SUN PHARM INDS INC,TABLET,ORAL,Approved,29.09.2003,authorised,yes,No
