Generic Name,Trade Name,Date Designated,Orphan Designation,Orphan Designation Status,Date Designation Withdrawn or Revoked,FDA Orphan Approval Status,Approved Labeled Indication,Marketing Approval Date,Exclusivity End Date,"Exclusivity Protected Indication * (Shown for approvals from Jan. 1, 2013, to the present)",Sponsor Company,Sponsor Address 1,Sponsor Address 2,Sponsor City,Sponsor State,Sponsor Zip,Sponsor Country,CF Grid Key
bosentan,Tracleer,2000-06-10 00:00:00,Treatment of pulmonary arterial hypertension,Designated/Approved,,,"Treatment of pulmonary arterial hypertension (PAH) (WHO Group 1) in pediatric patients aged 3 years and older with idiopathic or congenital PAH to improve pulmonary vascular resistance (PVR), which is expected to result in an improvement in exercise ability",2017-05-09 00:00:00,2024-05-09 00:00:00,"Treatment of pulmonary arterial hypertension (PAH) (WHO Group 1) in pediatric patients aged 3 years and older with idiopathic or congenital PAH to improve pulmonary vascular resistance (PVR), which is expected to result in an improvement in exercise ability",Actelion Pharmaceuticals Ltd,1840 Gateway Drive,Suite 300,Cherry Hill,New Jersey,' 08002 ' ,United States,134200.0
bosentan,Tracleer,2000-06-10 00:00:00,Treatment of pulmonary arterial hypertension,Designated/Approved,,,Treatment of pulmonary arterial hypertension.,11/20/2001,11/20/2008,,Actelion Pharmaceuticals Ltd,1840 Gateway Drive,Suite 300,Cherry Hill,New Jersey,' 08002 ' ,United States,134200.0
5-aminolevulinic acid,Gleolan,01/15/2013,Visualization of malignant tissue during surgery for malignant glioma (WHO grades III and IV),Designated/Approved,,,Optical imaging agent indicated in patients with glioma (suspected World Health Organization Grades III or IV on preoperative imaging) as an adjunct for the visualization of malignant tissue during surgery,2017-06-06 00:00:00,2024-06-06 00:00:00,Optical imaging agent indicated in patients with glioma (suspected World Health Organization Grades III or IV on preoperative imaging) as an adjunct for the visualization of malignant tissue during surgery,NX Development Corporation,1827 South Bayshore Lane,,Miami,Florida,' 33133 ' ,United States,387312.0
abatacept,Orencia,12/26/2017,Prevention of graft versus host disease,Designated/Approved,,,"prophylaxis of acute graft versus host disease (aGVHD), in combination with a calcineurin inhibitor and methotrexate, in adults and pediatric patients 2 years of age and older undergoing hematopoietic stem cell transplantation (HSCT) from a matched or 1 allele-mismatched unrelated-donor",12/15/2021,12/15/2028,prophylaxis of acute graft versus host disease (aGVHD) in adults and pediatric patients 2 years of age and older undergoing hematopoietic stem cell transplantation (HSCT) from a matched or 1 allele-mismatched unrelated-donor,Bristol-Myers Squibb Co.,P. O. Box 5326,,Princeton,New Jersey,' 08543 ' ,United States,614117.0
acalabrutinib,Calquence,05/13/2015,Treatment of chronic lymphocytic leukemia (CLL).,Designated/Approved,,,Treatment of adult patients with chronic lymphocytic leukemia (CLL) or small lymphocytic lymphoma (SLL),2022-04-08 00:00:00,,,"Acerta Pharma, LLC (a member of the AstraZeneca Group)",121 Oyster Point Boulevard,,South San Francisco,California,' 94080 ' ,United States,477415.0
acalabrutinib,Calquence,09/21/2015,Treatment of mantle cell lymphoma.,Designated/Approved,,,Treatment of adult patients with mantle cell lymphoma (MCL) who have received at least one prior therapy,2022-04-08 00:00:00,,,"Acerta Pharma, LLC (a member of the AstraZeneca Group)",121 Oyster Point Boulevard,,South San Francisco,California,' 94080 ' ,United States,488915.0
acalabrutinib,Calquence,09/21/2015,Treatment of mantle cell lymphoma.,Designated/Approved,,,in combination with bendamustine and rituximab for the treatment of adult patients with previously untreated mantle cell lymphoma (MCL) who are ineligible for autologous hematopoietic stem cell transplantation (HSCT),01/16/2025,,,"Acerta Pharma, LLC (a member of the AstraZeneca Group)",121 Oyster Point Boulevard,,South San Francisco,California,' 94080 ' ,United States,488915.0
acalabrutinib,CALQUENCE,09/21/2015,Treatment of mantle cell lymphoma.,Designated/Approved,,,treatment of adult patients with mantle cell lymphoma (MCL) who have received at least one prior therapy,10/31/2017,10/31/2024,treatment of adult patients with mantle cell lymphoma (MCL) who have received at least one prior therapy,"Acerta Pharma, LLC (a member of the AstraZeneca Group)",121 Oyster Point Boulevard,,South San Francisco,California,' 94080 ' ,United States,488915.0
acetylcysteine,Acetadote,10/19/2001,For the intravenous treatment of moderate to severe acetaminophen overdose,Designated/Approved,,,"For the use of Acetadote(registered TM) Injection, administered intravenously within 8 to 10 hours after ingestion of a potentially heptotoxic quantity of acetaminophen, to prevent or lessen hepatic injur",01/23/2004,01/23/2011,,"Cumberland Pharmaceuticals, Inc.",209 10th Street South,Suite 332,Nashville,Tennessee,' 37203 ' ,United States,148401.0
acetylcysteine effervescent tablets for oral solution,Cetylev,02/24/2015,Preventing hepatic injury from acetaminophin overdose,Designated/Approved,,,Indicated to prevent or lessen hepatic injury after ingestion of a potentially hepatotoxic quantity of acetaminophen in patients with acute ingestion or from repeated supratherapeutic ingestion,01/29/2016,,,"Arbor Pharmaceuticals, Inc.",6 Concourse Parkway,Suite 1800,Atlanta,Georgia,' 30328 ' ,United States,401713.0
acoramidis,Attruby,2018-02-10 00:00:00,Treatment of transthyretin amyloidosis,Designated/Approved,,,treatment of the cardiomyopathy of wild-type or variant transthyretin-mediated amyloidosis (ATTR-CM) in adults to reduce cardiovascular death and cardiovascular-related hospitalization,11/22/2024,11/22/2031,treatment of the cardiomyopathy of wild-type or variant transthyretin-mediated amyloidosis (ATTR-CM) in adults to reduce cardiovascular death and cardiovascular-related hospitalization,"BridgeBio Pharma, Inc.","1800 Owens St., Suite C-1200",,San Francisco,California,' 94158 ' ,United States,593117.0
acyclovir,Avaclyr,12/13/2010,Treatment of acute herpetic keratitis caused by Herpes Simplex Virus type 1 and 2,Designated/Approved,,,AVACLYR is a sterile topical antiviral indicated for the treatment of acute herpetic keratitis (dendritic ulcers) in patients with herpes simplex (HSV-1 and HSV-2) virus.,03/29/2019,03/29/2026,AVACLYR is a sterile topical antiviral indicated for the treatment of acute herpetic keratitis (dendritic ulcers) in patients with herpes simplex (HSV-1 and HSV-2) virus.,Fera Pharmaceuticals,134 Birch Hill Road,,Locust Valley,New York,' 11560 ' ,United States,325010.0
adagrasib,Krazati,2021-07-06 00:00:00,Treatment for KRAS G12C Positive NSCLC,Designated/Approved,,,"Treatment of adult patients with KRAS G12C-mutated locally advanced or metastatic non-small cell lung cancer (NSCLC), as determined by an FDA-approved test, who have received at least one prior systemic therapy",2022-12-12 00:00:00,2029-12-12 00:00:00,"Treatment of adult patients with KRAS G12C-mutated locally advanced or metastatic non-small cell lung cancer (NSCLC), as determined by an FDA-approved test, who have received at least one prior systemic therapy",Bristol-Myers Squibb Company,3401 Princeton Pike,,Lawrenceville,New Jersey,' 08648 ' ,United States,756320.0
adalimumab,HUMIRA,10/19/2006,Treatment of pediatric Crohn's disease,Designated/Approved,,,"Reducing signs and symptoms and inducing and maintaining clinical remission in patients 6 years of age and older with moderately to severely active Crohn's disease who have had an inadequate response to corticosteroids or immunomodulators such as azathioprine, 6-mercaptopurine, or methotrexate.",09/23/2014,09/23/2021,"Reducing signs and symptoms and inducing and maintaining clinical remission in patients 6 through 16 years of age with moderately to severely active Crohn's disease who have had an inadequate response to corticosteroids or immunomodulators such as azathioprine, 6-mercaptopurine, or methotrexate.","AbbVie, Inc.",1 N. Waukegan Road,"Bldg AP30, Dept. PA77",North Chicago,Illinois,' 60064 ' ,United States,230306.0
adalimumab,Humira,05/13/2014,"Treatment of non-infectious intermediate, posterior, or panuveitis, or chronic non-infectious anterior uveitis",Designated/Approved,,,"Treatment of non-infectious intermediate, posterior, and panuveitis in adults and pediatric patients 2 years of age and older",09/28/2018,09/28/2025,"Treatment of non-infectious intermediate, posterior, and panuveitis in pediatric patients 2 years of age and older","AbbVie, Inc.",1 North Waukegan Road,,North Chicago,Illinois,' 60064 ' ,United States,318510.0
