Generic Name,Trade Name,Date Designated,Orphan Designation,Orphan Designation Status,Date Designation Withdrawn or Revoked,FDA Orphan Approval Status,Approved Labeled Indication,Marketing Approval Date,Exclusivity End Date,"Exclusivity Protected Indication * (Shown for approvals from Jan. 1, 2013, to the present)",Sponsor Company,Sponsor Address 1,Sponsor Address 2,Sponsor City,Sponsor State,Sponsor Zip,Sponsor Country,CF Grid Key
(tisagenlecleucel) Autologous T Cells transduced with lentiviral vector containing a chimeric antigen receptor directed against CD19,Kymriah (tisagenlecleucel),01/31/2014,For the treatment of Acute Lymphoblastic Leukemia,Designated/Approved,,,Treatment of patients up to 25 years of age with B-cell precursor acute lymphoblastic leukemia (ALL) that is refractory or in second or later relapse,08/30/2017,08/30/2024,Treatment of patients up to 25 years of age with B-cell precursor acute lymphoblastic leukemia (ALL) that is refractory or in second or later relapse,Novartis Pharmaceuticals Corporation,"One Health Plaza,",Bldg 315 - Room 3650B,East Hanover,New Jersey,' 07936 ' ,United States,415113.0
acalabrutinib,,05/13/2015,Treatment of chronic lymphocytic leukemia (CLL).,Designated/Approved,,,CALQUENCE is indicated for the treatment of adult patients with chronic lymphocytic leukemia (CLL) or small lymphocytic lymphoma (SLL).,11/21/2019,11/21/2026,Indicated for the treatment of adult patients with chronic lymphocytic leukemia (CLL) or small lymphocytic lymphoma (SLL).,"Acerta Pharma, LLC (a member of the AstraZeneca Group)",121 Oyster Point Boulevard,,South San Francisco,California,' 94080 ' ,United States,477415.0
"ADAMTS13, recombinant-krhn",Adzynma,07/29/2008,"Treatment of thrombotic thrombocytopenic purpura including its congenital, acquired idiopathic, and secondary forms",Designated/Approved,,,prophylactic or on demand enzyme replacement therapy (ERT) in adult and pediatric patients with congenital thrombotic thrombocytopenic purpura (cTTP),2023-09-11 00:00:00,2030-09-11 00:00:00,prophylactic or on demand enzyme replacement therapy (ERT) in adult and pediatric patients with congenital thrombotic thrombocytopenic purpura (cTTP),"Takeda Development Center Americas, Inc.",500 Kendall Street,,Cambridge,Massachusetts,' 02142 ' ,United States,262208.0
afamitresgene autoleucel,Tecelra,08/26/2019,Treatment of Soft Tissue Sarcoma,Designated/Approved,,,"treatment of adults with unresectable or metastatic synovial sarcoma who have received prior chemotherapy, are HLA-A*02:01P, -A*02:02P, -A02:03P, or -A*02:06P positive and whose tumor expresses the melanoma-associated antigen A4 (MAGE-A4) antigen as determined by FDA-approved or cleared companion diagnostic devices",2024-01-08 00:00:00,2031-01-08 00:00:00,"treatment of adults with unresectable or metastatic synovial sarcoma who have received prior chemotherapy, are HLA-A*02:01P, -A*02:02P, -A*02:03P, or -A*02:06P positive and whose tumor expresses the melanoma-associated antigen A4 (MAGE-A4) antigen as determined by FDA-approved or cleared companion diagnostic devices","Adaptimmune, LLC",351 Rouse Blvd.,,Philadelphia,Pennsylvania,' 19112 ' ,United States,666018.0
alemtuzumab,Campath,10/20/1997,Treatment of chronic lymphocytic leukemia.,Designated/Approved,,,The treatment of patients with B-cell chronic lymphocytic leukemia who have been treated with alkylating agents and who have failed fludarabine therapy.,2001-07-05 00:00:00,2008-07-05 00:00:00,,Genzyme Corporation,4545 Horizon Hill Blvd.,,San Antonio,Texas,' 78229 ' ,United States,107197.0
Alglucerase injection,Ceredase,1985-11-03 00:00:00,For replacement therapy in patients with Gaucher's disease type I.,Designated/Approved,,,"Long-term enzyme replacement therapy for children, adolescents and adult patients with a confirmed diagnosis of Type I Gaucher disease who exhibit signs and symptoms that are severe enough to result in one or more of the following conditions: a) moderate-to-severe anemia; b) thrombocytopenia with bleeding tendency; c) bone disease; d) significant hepatomegaly or splenomegaly.",1991-05-04 00:00:00,1998-05-04 00:00:00,,Genzyme Corporation,One Kendall Square,,Cambridge,Massachusetts,' 02139 ' ,United States,5585.0
allogeneic cultured keratinocytes and dermal fibroblasts in murine collagen-dsat,StrataGraft,05/21/2012,Treatment of hospitalized patients with complex skin defects resulting from partial and full thickness skin burns requiring excision and grafting,Designated/Approved,,,Treatment of adults with thermal burns containing intact dermal elements for which surgical intervention is clinically indicated (deep partial-thickness burns),06/15/2021,06/15/2028,Treatment of adults with thermal burns containing intact dermal elements for which surgical intervention is clinically indicated (deep partial-thickness burns),"Stratatech Corporation, a Mallinckrodt company",440 Route 22 East,,Bridgewater,New Jersey,' 08807 ' ,United States,365312.0
allogeneic processed thymus tissue-agdc,Rethymic,08/15/2003,Treatment of congenital athymia,Designated/Approved,,,immune reconstitution in pediatric patients with congenital athymia,2021-08-10 00:00:00,2028-08-10 00:00:00,immune reconstitution in pediatric patients with congenital athymia,Enzyvant Therapeutics GmbH,Viaduktstrasse 8,CH-4051,Basel,,' ' ,Switzerland,172603.0
Allopurinol sodium,Aloprim for Injection,10/16/1992,"Management of patients with leukemia, lymphoma, and solid tumor malignancies who are receiving cancer therapy which causes elevations of serum and urinary uric acid levels and who cannot tolerate oral therapy.",Designated/Approved,,,"Management of patients with leukemia, lymphoma, and solid tumor malignancies who are receiving cancer therapy which causes elevations of serum and urinary uric acid levels and who cannot tolerate oral therapy.",05/17/1996,05/17/2003,,"Catalytica Pharmaceuticals, Inc",PO Box 1887,,Greenville,North Carolina,' 27835 ' ,United States,68392.0
Alpha1-proteinase inhibitor (human),Prolastin,1984-07-12 00:00:00,For replacement therapy in the alpha-1-proteinase inhibitor congenital deficiency state.,Designated/Approved,,,For chronic replacement therapy of individuals having congenital deficiency of alpha1- proteinase inhibitor with clinically demonstrable panacinar emphysema.,1987-02-12 00:00:00,1994-02-12 00:00:00,,Bayer Corporation,"Pharmaceutical Division, Biological Products",400 Morgan Lane,New Haven,Connecticut,' 06516 ' ,United States,3084.0
Aminosalicylic acid,Paser Granules,02/19/1992,Treatment of tuberculosis infections,Designated/Approved,,,Treatment of tuberculosis,06/30/1994,06/30/2001,,Jacobus Pharmaceutical Company,37 Cleveland Lane,P.O. Box 5290,Princeton,New Jersey,' 08540 ' ,United States,65792.0
anthrax immune globulin (human),,07/29/2008,Treatment of inhalational anthrax,Designated/Approved,,,Treatment of inhalational anthrax in adult and pediatric patients in combination with appropriate antibacterial drugs,03/24/2015,03/24/2022,Treatment of inhalational anthrax in adult and pediatric patients in combination with appropriate antibacterial drugs,Cangene Corp. - Emergent Biosolutions,155 Innovation Drive,R3T 5Y3,"Winnipeg, MB",,' ' ,Canada,263008.0
Anthrax Vaccine Adsorbed,BioThrax,2014-11-04 00:00:00,For post-exposure prophylaxis of anthrax disease resulting from suspected or confirmed Bacillus anthracis exposure,Designated/Approved,,,"For post-exposure prophylaxis of disease following suspected or confirmed Bacillus anthracis exposure, when administered in conjunction with recommended antibacterial drugs.",11/23/2015,11/23/2022,"For post-exposure prophylaxis of disease following suspected or confirmed Bacillus anthracis exposure, when administered in conjunction with recommended antibacterial drugs.",Emergent BioDefense Operations Lansing LLC,300 Proessional Drive,,Gaithersburg,Maryland,' 20879 ' ,United States,424914.0
