Administration_route,Current_status,Decision,Decision_date,Decision_year,Drug_name,Indications_and_usage,MA_Number,Marketing_authorisation_holder,Non-clinical_abridged,Non_proprietary_name,Non_proprietary_name_extracted,Origin,Orphan_drug_status,Pharmaceutical_form,Referral
ORAL,authorised,Approved,24.10.1986,1986.0,ALLOPURINOL,,ANDA018659,MYLAN,yes,ALLOPURINOL,Small molecule,FDA,No,TABLET,No
TRANSDERMAL,authorised,Approved,19.12.2014,2014.0,ESTRADIOL,,ANDA020167,MYLAN PHARMS INC,yes,ESTRADIOL,Small molecule,FDA,No,SYSTEM,TBD
INJECTION,Discontinued,Approved,04.04.1996,1996.0,AMINOSYN-HF 8%,,ANDA020345,ICU MEDICAL INC,yes,AMINO ACIDS,Peptides and proteins,FDA,No,INJECTABLE,No
INJECTION,Discontinued,Approved,04.04.1996,1996.0,HEPATASOL 8%,,ANDA020360,BAXTER HLTHCARE,yes,AMINO ACIDS,Peptides and proteins,FDA,No,INJECTABLE,No
INTRAPERITONEAL,Discontinued,Approved,13.06.1994,1994.0,INPERSOL-LC/LM W/ DEXTROSE 1.5% IN PLASTIC CONTAINER; INPERSOL-LC/LM W/ DEXTROSE 2.5% IN PLASTIC CONTAINER; INPERSOL-LC/LM W/ DEXTROSE 3.5% IN PLASTIC CONTAINER; INPERSOL-LC/LM W/ DEXTROSE 4.25% IN PLASTIC CONTAINER,,ANDA020374,FRESENIUS,yes,CALCIUM CHLORIDE,Small molecule,FDA,No,SOLUTION,No
INJECTION,authorised,Approved,30.08.1996,1996.0,CLINISOL 15% SULFITE FREE IN PLASTIC CONTAINER,,ANDA020512,BAXTER HLTHCARE,yes,AMINO ACIDS,Peptides and proteins,FDA,No,INJECTABLE,No
,,,,,,,ANDA021206,PLIVA HRVATSKA DOO,yes,,,FDA,No,,
ORAL,authorised,Approved,30.06.1993,1993.0,METHAZOLAMIDE,"INDICATIONS AND USAGE Methazolamide Tablets are indicated in the treatment of ocular conditions where lowering intraocular pressure is likely to be of therapeutic benefit, such as chronic open-angle glaucoma, secondary glaucoma, and preoperatively in acute angle-closure glaucoma where lowering the intraocular pressure is desired before surgery.",ANDA040001,ANI PHARMS,yes,METHAZOLAMIDE,Small molecule,FDA,No,TABLET,No
INJECTION,Discontinued,Approved,07.06.1996,1996.0,HEPARIN SODIUM,,ANDA040007,DR REDDYS,yes,HEPARIN SODIUM,Peptides and proteins,FDA,No,INJECTABLE,No
INJECTION,Discontinued,Approved,10.10.1995,1995.0,HEPARIN SODIUM,,ANDA040008,WATSON LABS INC,yes,HEPARIN SODIUM,Peptides and proteins,FDA,No,INJECTABLE,No
ORAL,Discontinued,Approved,30.12.1998,1998.0,ISOSORBIDE DINITRATE,,ANDA040009,SUN PHARM INDS INC,yes,ISOSORBIDE DINITRATE,Small molecule,FDA,No,"TABLET, EXTENDED RELEASE",No
ORAL,Discontinued,Approved,28.10.1994,1994.0,HYDROXYZINE HYDROCHLORIDE,,ANDA040010,HIKMA,yes,HYDROXYZINE HYDROCHLORIDE,Small molecule,FDA,No,SYRUP,No
ORAL,Discontinued,Approved,17.07.1997,1997.0,METHAZOLAMIDE,,ANDA040011,APPLIED ANAL,yes,METHAZOLAMIDE,Small molecule,FDA,No,TABLET,No
INJECTION,Discontinued,Approved,23.06.1995,1995.0,LIDOCAINE HYDROCHLORIDE,,ANDA040013,HOSPIRA,yes,LIDOCAINE HYDROCHLORIDE,Small molecule,FDA,No,INJECTABLE,No
ORAL,Discontinued,Approved,10.07.1995,1995.0,LIDOCAINE HYDROCHLORIDE,"INDICATIONS AND USAGE Lidocaine Hydrochloride Oral Topical Solution, USP (Viscous) 2% is indicated for the production of topical anesthesia of irritated or inflamed mucous membranes of the mouth and pharynx. It is also useful for reducing gagging during the taking of X-ray pictures and dental impressions.",ANDA040014,HIKMA,yes,LIDOCAINE HYDROCHLORIDE,Small molecule,FDA,No,SOLUTION,No
INJECTION,Discontinued,Approved,29.04.1993,1993.0,NEOSAR,,ANDA040015,TEVA PARENTERAL,yes,CYCLOPHOSPHAMIDE,Small molecule,FDA,No,INJECTABLE,No
INJECTION,Discontinued,Approved,18.10.1991,1991.0,ADRUCIL,,ANDA040023,TEVA PARENTERAL,yes,FLUOROURACIL,Small molecule,FDA,No,INJECTABLE,No
ORAL,authorised,Approved,25.09.1998,1998.0,PROMETHAZINE HYDROCHLORIDE,,ANDA040026,CHARTWELL RX,yes,PROMETHAZINE HYDROCHLORIDE,Small molecule,FDA,No,SYRUP,No
ORAL,Discontinued,Approved,31.07.1996,1996.0,PROMETHAZINE HYDROCHLORIDE AND DEXTROMETHORPHAN HYDROBROMIDE,,ANDA040027,HIKMA,yes,DEXTROMETHORPHAN HYDROBROMIDE,Small molecule,FDA,No,SYRUP,No
