DRUG_CODE,Marketing_authorisation_number,Drug_name,Non_proprietary_name,Pharmaceutical_form,Administration_route,Decision,Decision_date,Current_status,Marketing_authorisation_holder,Decision_year
9,00015741,TAPAZOLE,METHIMAZOLE,TABLET,ORAL,MARKETED,31.12.1951,APPROVED,ENDO OPERATIONS LTD.,1951
15,00015229,AVENTYL,NORTRIPTYLINE (NORTRIPTYLINE HYDROCHLORIDE),CAPSULE,ORAL,MARKETED,31.12.1965,APPROVED,AA PHARMA INC,1965
16,00015237,AVENTYL,NORTRIPTYLINE (NORTRIPTYLINE HYDROCHLORIDE),CAPSULE,ORAL,MARKETED,31.12.1965,APPROVED,AA PHARMA INC,1965
57,00050520,MINERALE LEGERE HUILE,MINERAL OIL LIGHT,LIQUID,TOPICAL,MARKETED,31.12.1951,MARKETED,LABORATOIRE ATLAS INC,1951
68,00050466,METHYLENE BLEU LIQ 1%,METHYLENE BLUE,LIQUID,ORAL,MARKETED,31.12.1951,MARKETED,LABORATOIRE ATLAS INC,1951
69,00050474,METHYLENE BLEU LIQ 2%,METHYLENE BLUE,LIQUID,ORAL,MARKETED,31.12.1951,MARKETED,LABORATOIRE ATLAS INC,1951
115,00037818,BACTERIOSTATIC SODIUM CHLORIDE INJECTION USP,SODIUM CHLORIDE,SOLUTION,INTRAVENOUS; SUBCUTANEOUS; INTRAMUSCULAR,MARKETED,31.12.1951,MARKETED,PFIZER CANADA ULC,1951
117,00038202,BACTERIOSTATIC WATER FOR INJECTION USP,WATER,SOLUTION,INTRAVENOUS; SUBCUTANEOUS; INTRAMUSCULAR,MARKETED,31.12.1952,MARKETED,PFIZER CANADA ULC,1952
160,00009881,PAPAVERINE HYDROCHLORIDE INJECTION USP,PAPAVERINE HYDROCHLORIDE,LIQUID,INTRAMUSCULAR; INTRAVENOUS; SUBCUTANEOUS,MARKETED,31.12.1951,MARKETED,SANDOZ CANADA INCORPORATED,1951
193,00013609,GRAVOL SUPPOSITORIES,DIMENHYDRINATE,SUPPOSITORY,RECTAL,MARKETED,31.12.1951,MARKETED,CHURCH & DWIGHT CANADA CORP,1951
