DIN,PDF_URL,Status,idx,PDF_Counter,PDF_Counter_Unique,PDF_NAME
02023709,,Dormant,1,,,
02008580,,Cancelled Post Market,2,,,
01996878,,Cancelled Post Market,3,,,
00438014,https://pdf.hres.ca/dpd_pm/00034399.PDF,Marketed,4,1.0,1.0,00034399.PDF
00786292,https://pdf.hres.ca/dpd_pm/00034399.PDF,Marketed,5,2.0,1.0,00034399.PDF
00438049,https://pdf.hres.ca/dpd_pm/00061808.PDF,Marketed,6,3.0,2.0,00061808.PDF
00786209,https://pdf.hres.ca/dpd_pm/00049126.PDF,Marketed,7,4.0,3.0,00049126.PDF
00503142,https://pdf.hres.ca/dpd_pm/00034399.PDF,Cancelled Post Market,8,5.0,3.0,00034399.PDF
00437999,https://pdf.hres.ca/dpd_pm/00034399.PDF,Marketed,9,6.0,3.0,00034399.PDF
00786217,https://pdf.hres.ca/dpd_pm/00049126.PDF,Marketed,10,7.0,3.0,00049126.PDF
00438030,https://pdf.hres.ca/dpd_pm/00061808.PDF,Marketed,11,8.0,3.0,00061808.PDF
02246134,,Cancelled Post Market,12,,,
00438022,https://pdf.hres.ca/dpd_pm/00034399.PDF,Marketed,13,9.0,3.0,00034399.PDF
00438006,https://pdf.hres.ca/dpd_pm/00034399.PDF,Marketed,14,10.0,3.0,00034399.PDF
02236871,,Cancelled Post Market,15,,,
01931741,,Cancelled Post Market,16,,,
01931598,,Marketed,17,,,
01931601,,Cancelled Post Market,18,,,
01931547,,Cancelled Post Market,19,,,
01931644,,Cancelled Post Market,20,,,
01931539,,Cancelled Post Market,21,,,
02117428,,Cancelled Post Market,22,,,
01967770,,Cancelled Post Market,23,,,
01931571,,Cancelled Post Market,24,,,
00828602,https://pdf.hres.ca/dpd_pm/00081137.PDF,Marketed,25,11.0,4.0,00081137.PDF
02023709,,Dormant,26,,,
02117371,,Cancelled Post Market,27,,,
01927949,https://pdf.hres.ca/dpd_pm/00058826.PDF,Marketed,28,12.0,5.0,00058826.PDF
02117347,,Cancelled Post Market,29,,,
02395150,https://pdf.hres.ca/dpd_pm/00063841.PDF,Marketed,30,13.0,6.0,00063841.PDF
01924303,https://pdf.hres.ca/dpd_pm/00058824.PDF,Marketed,31,14.0,7.0,00058824.PDF
02150204,https://pdf.hres.ca/dpd_pm/00057018.PDF,Marketed,32,15.0,8.0,00057018.PDF
02304341,https://pdf.hres.ca/dpd_pm/00066008.PDF,Marketed,33,16.0,9.0,00066008.PDF
00060208,https://pdf.hres.ca/dpd_pm/00073153.PDF,Marketed,34,17.0,10.0,00073153.PDF
02533537,https://pdf.hres.ca/dpd_pm/00068852.PDF,Approved,35,18.0,11.0,00068852.PDF
02538903,https://pdf.hres.ca/dpd_pm/00071257.PDF,Approved,36,19.0,12.0,00071257.PDF
01963937,,Dormant,37,,,
02530600,https://pdf.hres.ca/dpd_pm/00068512.PDF,Approved,38,20.0,13.0,00068512.PDF
00786160,,Marketed,39,,,
02280604,,Cancelled Pre Market,40,,,
02280590,,Cancelled Pre Market,41,,,
02117398,,Cancelled Post Market,42,,,
00783633,,Cancelled Post Market,43,,,
02117401,,Cancelled Post Market,44,,,
02220385,,Cancelled Post Market,45,,,
01924206,,Cancelled Post Market,46,,,
01924249,,Cancelled Post Market,47,,,
01927922,,Cancelled Post Market,48,,,
01924427,https://pdf.hres.ca/dpd_pm/00058005.PDF,Marketed,49,21.0,14.0,00058005.PDF
00060364,https://pdf.hres.ca/dpd_pm/00056462.PDF,Marketed,50,22.0,15.0,00056462.PDF
00478288,https://pdf.hres.ca/dpd_pm/00032463.PDF,Cancelled Post Market,51,23.0,16.0,00032463.PDF
