Administration_route,Current_status,DRUG_CODE,Decision,Decision_date,Decision_year,Drug_name,Marketing_authorisation_holder,Marketing_authorisation_holder_extracted,Marketing_authorisation_number,Non_proprietary_name,Non_proprietary_name_extracted,Pharmaceutical_form
ORAL,APPROVED,9,MARKETED,31.12.1951,1951,TAPAZOLE,ENDO OPERATIONS LTD.,Endo,00015741,METHIMAZOLE,Small molecule,TABLET
ORAL,APPROVED,15,MARKETED,31.12.1965,1965,AVENTYL,AA PHARMA INC,AA,00015229,NORTRIPTYLINE (NORTRIPTYLINE HYDROCHLORIDE),Small molecule,CAPSULE
ORAL,APPROVED,16,MARKETED,31.12.1965,1965,AVENTYL,AA PHARMA INC,AA,00015237,NORTRIPTYLINE (NORTRIPTYLINE HYDROCHLORIDE),Small molecule,CAPSULE
TOPICAL,MARKETED,57,MARKETED,31.12.1951,1951,MINERALE LEGERE HUILE,LABORATOIRE ATLAS INC,Atlas,00050520,MINERAL OIL LIGHT,Other,LIQUID
ORAL,MARKETED,68,MARKETED,31.12.1951,1951,METHYLENE BLEU LIQ 1%,LABORATOIRE ATLAS INC,Atlas,00050466,METHYLENE BLUE,Small molecule,LIQUID
ORAL,MARKETED,69,MARKETED,31.12.1951,1951,METHYLENE BLEU LIQ 2%,LABORATOIRE ATLAS INC,Atlas,00050474,METHYLENE BLUE,Small molecule,LIQUID
INTRAVENOUS; SUBCUTANEOUS; INTRAMUSCULAR,MARKETED,115,MARKETED,31.12.1951,1951,BACTERIOSTATIC SODIUM CHLORIDE INJECTION USP,PFIZER CANADA ULC,Pfizer,00037818,SODIUM CHLORIDE,Other,SOLUTION
INTRAVENOUS; SUBCUTANEOUS; INTRAMUSCULAR,MARKETED,117,MARKETED,31.12.1952,1952,BACTERIOSTATIC WATER FOR INJECTION USP,PFIZER CANADA ULC,Pfizer,00038202,WATER,Other,SOLUTION
INTRAMUSCULAR; INTRAVENOUS; SUBCUTANEOUS,MARKETED,160,MARKETED,31.12.1951,1951,PAPAVERINE HYDROCHLORIDE INJECTION USP,SANDOZ CANADA INCORPORATED,Sandoz,00009881,PAPAVERINE HYDROCHLORIDE,Small molecule,LIQUID
RECTAL,MARKETED,193,MARKETED,31.12.1951,1951,GRAVOL SUPPOSITORIES,CHURCH & DWIGHT CANADA CORP,Church & Dwight,00013609,DIMENHYDRINATE,Small molecule,SUPPOSITORY
INTRAMUSCULAR,MARKETED,197,MARKETED,31.12.1953,1953,GRAVOL IM,CHURCH & DWIGHT CANADA CORP,Church & Dwight,00013579,DIMENHYDRINATE,Small molecule,SOLUTION
ORAL,MARKETED,198,MARKETED,31.12.1963,1963,OVOL DROPS,CHURCH & DWIGHT CANADA CORP,Church & Dwight,00013617,SIMETHICONE,Small molecule,DROPS
TOPICAL,MARKETED,211,MARKETED,31.12.1954,1954,XYLOCAINE OINTMENT 5%,ASPEN PHARMACARE CANADA INC.,Aspen,00001961,LIDOCAINE,Small molecule,OINTMENT
TOPICAL,MARKETED,212,MARKETED,31.12.1951,1951,XYLOCAINE JELLY 2%,ASPEN PHARMACARE CANADA INC.,Aspen,00001694,LIDOCAINE HYDROCHLORIDE,Small molecule,GEL
