Administration_route,Current_status,DRUG_CODE,Decision,Decision_date,Decision_year,Drug_name,Marketing_authorisation_holder,Marketing_authorisation_holder_extracted,Marketing_authorisation_number,Non_proprietary_name,Non_proprietary_name_extracted,Pharmaceutical_form,Drug_number,dpd_info_url
ORAL,APPROVED,9,MARKETED,31.12.1951,1951,TAPAZOLE,ENDO OPERATIONS LTD.,Endo,00015741,METHIMAZOLE,Small molecule,TABLET,9,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=9
ORAL,APPROVED,15,MARKETED,31.12.1965,1965,AVENTYL,AA PHARMA INC,AA,00015229,NORTRIPTYLINE (NORTRIPTYLINE HYDROCHLORIDE),Small molecule,CAPSULE,15,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=15
ORAL,APPROVED,16,MARKETED,31.12.1965,1965,AVENTYL,AA PHARMA INC,AA,00015237,NORTRIPTYLINE (NORTRIPTYLINE HYDROCHLORIDE),Small molecule,CAPSULE,16,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=16
TOPICAL,MARKETED,57,MARKETED,31.12.1951,1951,MINERALE LEGERE HUILE,LABORATOIRE ATLAS INC,Atlas,00050520,MINERAL OIL LIGHT,Other,LIQUID,57,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=57
ORAL,MARKETED,68,MARKETED,31.12.1951,1951,METHYLENE BLEU LIQ 1%,LABORATOIRE ATLAS INC,Atlas,00050466,METHYLENE BLUE,Small molecule,LIQUID,68,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=68
ORAL,MARKETED,69,MARKETED,31.12.1951,1951,METHYLENE BLEU LIQ 2%,LABORATOIRE ATLAS INC,Atlas,00050474,METHYLENE BLUE,Small molecule,LIQUID,69,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=69
INTRAVENOUS; SUBCUTANEOUS; INTRAMUSCULAR,MARKETED,115,MARKETED,31.12.1951,1951,BACTERIOSTATIC SODIUM CHLORIDE INJECTION USP,PFIZER CANADA ULC,Pfizer,00037818,SODIUM CHLORIDE,Other,SOLUTION,115,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=115
INTRAVENOUS; SUBCUTANEOUS; INTRAMUSCULAR,MARKETED,117,MARKETED,31.12.1952,1952,BACTERIOSTATIC WATER FOR INJECTION USP,PFIZER CANADA ULC,Pfizer,00038202,WATER,Other,SOLUTION,117,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=117
INTRAMUSCULAR; INTRAVENOUS; SUBCUTANEOUS,MARKETED,160,MARKETED,31.12.1951,1951,PAPAVERINE HYDROCHLORIDE INJECTION USP,SANDOZ CANADA INCORPORATED,Sandoz,00009881,PAPAVERINE HYDROCHLORIDE,Small molecule,LIQUID,160,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=160
RECTAL,MARKETED,193,MARKETED,31.12.1951,1951,GRAVOL SUPPOSITORIES,CHURCH & DWIGHT CANADA CORP,Church & Dwight,00013609,DIMENHYDRINATE,Small molecule,SUPPOSITORY,193,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=193
INTRAMUSCULAR,MARKETED,197,MARKETED,31.12.1953,1953,GRAVOL IM,CHURCH & DWIGHT CANADA CORP,Church & Dwight,00013579,DIMENHYDRINATE,Small molecule,SOLUTION,197,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=197
ORAL,MARKETED,198,MARKETED,31.12.1963,1963,OVOL DROPS,CHURCH & DWIGHT CANADA CORP,Church & Dwight,00013617,SIMETHICONE,Small molecule,DROPS,198,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=198
TOPICAL,MARKETED,211,MARKETED,31.12.1954,1954,XYLOCAINE OINTMENT 5%,ASPEN PHARMACARE CANADA INC.,Aspen,00001961,LIDOCAINE,Small molecule,OINTMENT,211,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=211
TOPICAL,MARKETED,212,MARKETED,31.12.1951,1951,XYLOCAINE JELLY 2%,ASPEN PHARMACARE CANADA INC.,Aspen,00001694,LIDOCAINE HYDROCHLORIDE,Small molecule,GEL,212,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=212
INTRAVENOUS,MARKETED,227,MARKETED,31.12.1952,1952,QUELICIN,PFIZER CANADA ULC,Pfizer,00038172,SUCCINYLCHOLINE CHLORIDE,Small molecule,SOLUTION,227,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=227
TOPICAL; IRRIGATION; INTRAPERITONEAL,MARKETED,228,MARKETED,31.12.1966,1966,SODIUM CHLORIDE IRRIGATION USP,ICU MEDICAL CANADA INC,ICU Medical,00037834,SODIUM CHLORIDE,Other,SOLUTION,228,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=228
TOPICAL; INTRAPERITONEAL; IRRIGATION,MARKETED,229,MARKETED,31.12.1964,1964,STERILE WATER FOR IRRIGATION USP,ICU MEDICAL CANADA INC,ICU Medical,00038229,WATER,Other,LIQUID,229,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=229
INTRAVENOUS,MARKETED,250,MARKETED,31.12.1963,1963,COSMEGEN,RECORDATI RARE DISEASES CANADA INC,Recordati,00213071,DACTINOMYCIN,Small molecule,POWDER FOR SOLUTION,250,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=250
OPHTHALMIC,MARKETED,254,MARKETED,31.12.1964,1964,ALCON ATROPINE,ALCON CANADA INC,Alcon,00035017,ATROPINE SULFATE,Small molecule,SOLUTION,254,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=254
OPHTHALMIC,MARKETED,259,MARKETED,31.12.1963,1963,MAXITROL,NOVARTIS PHARMACEUTICALS CANADA INC,Novartis,00042676,POLYMYXIN B SULFATE; DEXAMETHASONE; NEOMYCIN (NEOMYCIN SULFATE),Small molecule,SUSPENSION,259,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=259
OPHTHALMIC,MARKETED,260,MARKETED,31.12.1951,1951,MYDRIACYL,ALCON CANADA INC,Alcon,00000981,TROPICAMIDE,Small molecule,SOLUTION,260,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=260
ORAL,MARKETED,287,MARKETED,31.12.1964,1964,CUPRIMINE,"BAUSCH HEALTH, CANADA INC.",Bausch,00016055,PENICILLAMINE,Small molecule,CAPSULE,287,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=287
ORAL,MARKETED,290,MARKETED,31.12.1966,1966,TEVA-QUININE,TEVA CANADA LIMITED,Teva,00021016,QUININE SULFATE,Small molecule,CAPSULE,290,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=290
ORAL,MARKETED,316,MARKETED,31.12.1956,1956,ATARAX,SEARCHLIGHT PHARMA INC,Searchlight,00024694,HYDROXYZINE HYDROCHLORIDE,Small molecule,SYRUP,316,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=316
INTRAMUSCULAR; INTRABURSAL; INTRA-ARTICULAR; INTRADERMAL,MARKETED,354,MARKETED,31.12.1965,1965,CELESTONE SOLUSPAN,ORGANON CANADA INC.,Organon,00028096,BETAMETHASONE (BETAMETHASONE SODIUM PHOSPHATE); BETAMETHASONE ACETATE,Small molecule,SUSPENSION,354,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=354
ORAL,MARKETED,405,MARKETED,31.12.1957,1957,PHENOBARB,PENDOPHARM DIVISION OF PHARMASCIENCE INC,Pharmascience,00178799,PHENOBARBITAL,Small molecule,TABLET,405,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=405
ORAL,MARKETED,406,MARKETED,31.12.1957,1957,PHENOBARB,PENDOPHARM DIVISION OF PHARMASCIENCE INC,Pharmascience,00178802,PHENOBARBITAL,Small molecule,TABLET,406,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=406
ORAL,MARKETED,407,MARKETED,31.12.1957,1957,PHENOBARB,PENDOPHARM DIVISION OF PHARMASCIENCE INC,Pharmascience,00178810,PHENOBARBITAL,Small molecule,TABLET,407,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=407
ORAL,MARKETED,408,MARKETED,31.12.1957,1957,PHENOBARB,PENDOPHARM DIVISION OF PHARMASCIENCE INC,Pharmascience,00178829,PHENOBARBITAL,Small molecule,TABLET,408,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=408
INTRAMUSCULAR; SUBCUTANEOUS; INTRAVENOUS,MARKETED,415,MARKETED,31.12.1946,1946,"DIHYDROERGOTAMINE (DHE), 1MG/ML",STERIMAX INC,Sterimax,00027243,DIHYDROERGOTAMINE MESYLATE,Small molecule,LIQUID,415,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=415
ORAL,MARKETED,430,MARKETED,31.12.1961,1961,PROVERA 5MG TABLETS,PFIZER CANADA ULC,Pfizer,00030937,MEDROXYPROGESTERONE ACETATE,Small molecule,TABLET,430,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=430
ORAL,MARKETED,432,MARKETED,31.12.1954,1954,CORTEF,PFIZER CANADA ULC,Pfizer,00030910,HYDROCORTISONE,Small molecule,TABLET,432,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=432
ORAL,MARKETED,433,MARKETED,31.12.1954,1954,CORTEF,PFIZER CANADA ULC,Pfizer,00030929,HYDROCORTISONE,Small molecule,TABLET,433,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=433
