 Origin,Document_name,Marketing_authorisation_number,EMA_product_number,Drug_name,Non_proprietary_name,Marketing_authorisation_holder,Drug_class,Pharmaceutical_form,Administration_route,Decision,Current_status,Decision_date,Orphan_drug_status,Indication_extended,Indication_requested,Indication_approved,Disease_class(es),Application_date,Decisions_number,Nonclinical_abridged,Referral_body,Referral,Nonclinical_pharmacology_invitro,Nonclinical_pharmacology_species,Nonclinical_pharmacology_strain,Nonclinical_pharmacology_model,Nonclinical_pharmacology_sex,Nonclinical_pharmacology_outcomes,Nonclinical_pharmacology_adverse_findings,Nonclinical_pharmacokinetics_species,Nonclinical_pharmacokinetics_strain,Nonclinical_pharmacokinetics_model,Nonclinical_pharmacokinetics_sex,Nonclinical_pharmacokinetics_findings,Nonclinical_pharmacokinetics_outcomes,Nonclinical_toxicology_species,Nonclinical_toxicology_strain,Nonclinical_toxicology_model,Nonclinical_toxicology_sex,Nonclinical_toxicology_outcomes,Nonclinical_toxicology_outcomes,Nonclinical_toxicology_adverse_events,Sex_reported_allgemein,Sex,Comment,
Swissmedic,,Number,,,,,,,,,,Date,,,,,,Date,,,,"Referral number of e.g., EMA report",,,,,,,,,,,,,,,,,,,,,"Yes, No","Female, male, both, NA",,
Swissmedic,2024-09-13_SwissPAR_Leqvio_FI Engl.pdf,67836,NA,LEQVIO,inclisiran,Novartis Pharma Schweiz AG,Small molecule,solution for injection in pre-filled syringe,subcutaneous,approved,authorised ,09.09.2021,no ,no,"hypercholesterolaemia (including heterozygous familial hypercholesterolaemia) or mixed dyslipidaemia,",Same,"""Endocrine, nutritional, and metabolic diseases"", Diseases of the blood and blood-forming organs, Diseases of the digestive system",18.05.2020,1,no,NA,NA,yes,monkey,not reported,Not reported,both,"Soluble lipid levels, protein levels, respiratory and cardiovascular safety (heart rate, systolic, diastolic, and mean arterial pressures, pulse pressure, PR, QT, QTc interval, or QRS duration)",Arrhythmias,"rat, monkey","cynomolgus monkey, Sprague Dawley rat",Not reported,not reported,Not reported,"bioavailability, tissue distribution, metabolism, excretion","rat, monkey",cynomolgus monkey,Not reported,both,"???, developmental toxicity, reproduction toxicity","paternal toxicity, fertility, spermatogenesis, or early embryonic, development, hepatotoxicity, nephrotoxicity",No overt toxicity,Yes,Both,,
Swissmedic,2020-04-15_SwissPAR_Luxturna-FINAL.pdf,67371,NA,LUXTURNA,voretigene neparvovec,Novartis Pharma Schweiz AG,Cell and gene therapy,"concentrate for solution for injection, solvent for solution for injection",subretinal,approved,authorised,14.02.2020,yes,no,inherited retinal dystrophy with biallelic RPE65 mutations (adults and pediatric patients),Same,"Diseases of the eye and adnexa, Congenital malformations and chomosomal abnormalities",10.05.2019,2,no,NA,NA,yes,"mouse, dog",briard dog,Rpe65-/- mouse and Rd12 mouse,both,"Protein levels, mRNA levels, improved ERG patterns, visual acuity, improved pupillary responses, visual behaviour",Not reported,"dog, monkey",not reported,Not reported,not reported,"viral vector sequences in vitreous fluid, viral vector sequences in anterior chamber fluid, viral vector sequences in lymph nodes, viral vector sequences in the optic nerve, viral vector sequences in the colon, viral vector sequences in duodenum, viral vector sequences in the stomach, viral vector sequences in the liver, viral vector sequences in the spleen and viral vector sequences in the trachea. No positive gonadal tissue","bioavailability, tissue distribution","rat, monkey",not reported,Not reported,not reported,"???, immunogenicity","Immune reactions to the viral vector and the encoded transgene, perivascular lymphocyte cuffing in the brain stem and midbrain, ","No overt toxicity, scarring near injection sites (surgical procedure), humoral immune responses, minimal antibody formation towards RPE65, no T-cell responses ",No,NA,,
Swissmedic,2024-04-23_final_Assessment_Report_SwissPAR_Amvuttra_mit FI engl.pdf,69074,NA,Amvuttra,vutrisiran sodium,Alnylam Switzerland GmbH,Cell and gene therapy,solution for injection in pre-filled syringe,subcutaneous,approved,authorised,23.06.2023,yes,no,hereditary transthyretin-mediated amyloidosis (hATTR amyloidosis) in adult patients with polyneuropathy (stage 1 or 2),Same,"Diseases of the nervous system, ""Endocrine, nutritional, and metabolic diseases"", Congenital malformations and chomosomal abnormalities",01.11.2022,2,yes,EMA,EMA/CHMP/689555/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Swissmedic,2024-07-22_final_SwissPAR_Breyanzi_mit FI.pdf,67469,NA,Breyanzi,lisocabtagene maraleucel,"Bristol-Myers Squibb SA, Steinhausen",Biologics,dispersion for injection,"autologous, intravenous",approved,authorised,28.03.2022,yes,no,"elapsed or refractory diffuse large B-cell lymphoma (DLBCL), primary mediastinal large B-cell lymphoma (PMBCL), and follicular lymphoma grade 3B (FL3B) after at least 2 prior therapies.",relapsed or refractory diffuse large B-cell lymphoma (DLBCL) and primary mediastinal large B-cell lymphoma (PMBCL) after at least 2 prior therapies.,"Neoplasms, Diseases of the blood and blood-forming organs",30.10.2020,2,no,NA,NA,yes,mouse,not reported,"tumor model, Immune-deficient NOD/SCID/IL-2Rγnull mouse",not reported,"Tumor burden reduction, increased survival, red-shifted firefly luciferase transgene and green fluorescent protein, drug interaction studies",immune parameter variations were observed when CC-122 (cereblon modulator) and lenalidomide were combined with lisocabtagene maraleucel.,mouse,not reported,"NOD/SCID/IL-2Rγnull mouse, Raji xenograft",not reported,"circulating concentrations of CD4+ and CD8+ lisocabtagene maraleucel cells (high doses peaked at Day 8, medium and low doses peaked at Day 14), T-cell expansion, efficacy in depleting lisocabtagene maraleucel cells (reduction in lisocabtagene maraleucel cells in peripheral blood, spleen, bone marrow), tumor burden changes, animal survival,  Cetuximab efficacy in depleting lisocabtagene maraleucel cells","bioavailability, tissue distribution, metabolism",NA,NA,NA,not reported,NA,NA,NA,No,NA,,
Swissmedic,2024-07-30_swisspar_und_fi_engl.pdf,69052,NA,Ebvallo,tabelecleucel,Pierre Fabre Pharma SA,Biologics,dispersion for injection,intravenous,approved,authorised,03.09.2024,yes,no,adult and paediatric patients 2 years of age and older with relapsed or refractory Epstein-Barr virus positive post-transplant lymphoproliferative disease (EBV+ PTLD) who have received at least one prior therapy,Same,"Neoplasms, Diseases of the blood and blood-forming organs, Infectious and parasitic diseases",27.12.2022,2,yes,EMA,EMA/858618/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Swissmedic,2024-08-07_final_SwissPAR_Libmeldy_FI engl.pdf,68236,NA,Libmeldy,atidarsagene autotemcel,SFL Pharma GmbH,Biologics,dispersion for infusion,intravenous,approved,authorised,07.12.2023,yes,no,metachromatic leukodystrophy (MLD) arylsulfatase A (ARSA) gene leading to a reduction of the ARSA enzymatic activity (…),Same,"""Endocrine, nutritional, and metabolic diseases"", Diseases of the nervous system, Congenital malformations and chomosomal abnormalities",27.10.2022,3,yes,EMA,EMA/584450/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Swissmedic,2024-08-07_final_SwissPAR_Oxlumo_FI engl.pdf,68239,NA,OXLUMO®,lumasiran,Alnylam Switzerland GmbH,Small molecule,solution for injection,subcutaneous,approved,authorised,01.12.2021,yes,no,primary hyperoxaluria type 1 (PH1) all age groups,Same,"Diseases of the genitourinary system, Congenital malformations and chomosomal abnormalities, ""Endocrine, nutritional, and metabolic diseases""",26.02.2021,2,yes,EMA,EMA/568312/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Swissmedic,2024-09-13_SwissPAR_Givlaari_FI engl-1.pdf,67895,NA,Givlaari,"givosiran, givosiran sodium",Alnylam Switzerland GmbH,Small molecule,solution for injection,subcutaneous,approved,authorised,29.03.2021,yes,no,acute hepatic porphyria (AHP) in adults and adolescents aged 12 years or older,Same,"Congenital malformations and chomosomal abnormalities, Diseases of the digestive system, Diseases of the nervous system",02.07.202,2,yes,EMA,EMA/62114/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Swissmedic,2024-09-16_SwissPAR_Ervebo_FI engl.pdf,68358,NA,Ervebo,"Ebola Zaire Vaccine (rVSVΔG-ZEBOV- GP, live)",MSD Merck Sharp & Dohme AG,Vaccine,solution for injection,intramuscular,approved,authorised,10.11.2021,no ,no,Ebola Virus Disease (EVD) in patients aged 18 years or older,Same,Infectious and parasitic diseases,21.01.2021,2,yes,EMA,EMA/606159/2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
