DRUG_CODE,Marketing_authorisation_number,Drug_name,Non_proprietary_name,Pharmaceutical_form,Administration_route,Decision,Decision_date,Current_status,Marketing_authorisation_holder,Decision_year,Marketing_authorisation_holder_extracted,Drug_class,Agency
17104,02099233,glucophage,metformin hydrochloride,tablet,oral,marketed,31.12.1995,approved,sanofi-aventis canada inc,1995,sanofi-aventis,small molecule,HealthCanada
17160,02142112,lamictal,lamotrigine,tablet,oral,marketed,31.12.1995,approved,glaxosmithkline inc,1995,glaxosmithkline,small molecule,HealthCanada
17199,00887056,naproxen-na,naproxen sodium,tablet,oral,marketed,31.12.1995,approved,pro doc limitee,1995,pro doc,small molecule,HealthCanada
17201,02142104,lamictal,lamotrigine,tablet,oral,marketed,31.12.1995,approved,glaxosmithkline inc,1995,glaxosmithkline,small molecule,HealthCanada
17203,02142082,lamictal,lamotrigine,tablet,oral,marketed,31.12.1995,approved,glaxosmithkline inc,1995,glaxosmithkline,small molecule,HealthCanada
17230,02142074,teva-gemfibrozil,gemfibrozil,tablet,oral,marketed,31.12.1995,approved,teva canada limited,1995,teva,small molecule,HealthCanada
17250,02100622,sulcrate,sucralfate,tablet,oral,marketed,31.12.1995,approved,abbvie corporation,1995,abbvie,small molecule,HealthCanada
17416,02064480,salazopyrin tab 500mg,sulfasalazine,tablet,oral,marketed,31.12.1995,approved,pfizer canada ulc,1995,pfizer,small molecule,HealthCanada
17417,02064472,salazopyrin en-tabs 500 mg,sulfasalazine,tablet,oral,marketed,31.12.1995,approved,pfizer canada ulc,1995,pfizer,small molecule,HealthCanada
17781,02097575,allernix extra strength,diphenhydramine hydrochloride,tablet,oral,marketed,31.12.1995,approved,teva canada limited,1995,teva,small molecule,HealthCanada
17789,02141442,diflucan one,fluconazole,capsule,oral,marketed,31.12.1995,approved,pfizer canada ulc,1995,pfizer,small molecule,HealthCanada
17794,02097583,allernix,diphenhydramine hydrochloride,tablet,oral,marketed,31.12.1995,approved,teva canada limited,1995,teva,small molecule,HealthCanada
17799,02150670,neoral,cyclosporine,capsule,oral,marketed,31.12.1995,approved,novartis pharmaceuticals canada inc,1995,novartis,peptides and proteins,HealthCanada
17801,02150697,neoral,cyclosporine,solution,oral,marketed,31.12.1995,approved,novartis pharmaceuticals canada inc,1995,novartis,peptides and proteins,HealthCanada
17813,02150689,neoral,cyclosporine,capsule,oral,marketed,31.12.1995,approved,novartis pharmaceuticals canada inc,1995,novartis,peptides and proteins,HealthCanada
17814,02150662,neoral,cyclosporine,capsule,oral,marketed,31.12.1995,approved,novartis pharmaceuticals canada inc,1995,novartis,peptides and proteins,HealthCanada
17817,02041456,ativan,lorazepam,tablet,sublingual,marketed,31.12.1995,approved,pfizer canada ulc,1995,pfizer,small molecule,HealthCanada
