Administration_route,Application_date,Application_year,Current_status,Dataset,Decision,Decision_date,Decision_year,Disease_class(es),Disease_name(s),Document_name,Drug_class,Drug_name,Indication_approved,Indication_extended,Indication_requested,Indication_requested_extracted,Marketing_authorisation_holder,Marketing_authorisation_holder_extracted,Marketing_authorisation_number,Non_proprietary_name,Nonclinical_abridged,Orphan_drug_status,Pharmaceutical_form,Procedure_number,Referral_body,Agency
intravenous,31.03.2009,2009,authorised,japan,approved,26.02.2010,2010,diseases of the blood and blood-forming organs,<paroxysmal nocturnal hemoglobinuria>,000153009.pdf,biologics,soliris,reduction of hemolysis in patients with paroxysmal nocturnal hemoglobinuria,no,paroxysmal nocturnal hemoglobinuria,<paroxysmal nocturnal hemoglobinuria>,alexion pharma k.k.,alexion,000153009,eculizumab,yes,yes,solution,,,PMDA
oral,29.02.2008,2008,authorised,japan,approved,29.01.2010,2010,mental and behavioural disorders,<insomnia>,000153012.pdf,small molecule,rozerem,improvement of sleep-onset insomnia,no,insomnia,<insomnia>,takeda pharmaceutical company limited,takeda,000153012,ramelteon,no,no,tablet,,na,PMDA
intravenous,26.02.2008,2008,authorised,japan,approved,31.08.2009,2009,neoplasms; diseases of the blood and blood-forming organs,<hyperuricemia>,000153036.pdf,biologics,rasuritek,hyperuricemia associated with cancer chemotherapy,no,treatment and prophylaxis of acute hyperuricemia associated with the treatment of hematological malignancies,<hyperuricemia>; <hematologic neoplasms>,sanofi-aventis k.k.,sanofi-aventis,000153036,rasburicase,no,no,injection,,na,PMDA
intravenous,26.04.2011,2011,authorised,japan,approved,01.02.2012,2012,neoplasms; diseases of the blood and blood-forming organs,<adult t-cell leukemia-lymphoma>,000153052.pdf,biologics,poteligeo,relapsed or refractory ccr4-positive adult t-cell leukemia lymphoma,no,recurrent/relapsed ccr4-positive adult t-cell leukemia lymphoma,<adult t-cell leukemia-lymphoma>,"kyowa hakko kirin co., ltd.",kyowa hakko kirin,000153052,mogamulizumab,no,yes,solution,,na,PMDA
intravitreous,30.03.2007,2007,authorised,japan,approved,25.04.2008,2008,diseases of the eye and adnexa,<macular degeneration>,000153104.pdf,peptides and proteins,macugen,subfoveal choroidal neovascularization secondary to age-related macular degeneration,no,subfoveal choroidal neovascularization secondary to age-related macular degeneration,<choroidal neovascularization>; <macular degeneration>,pfizer japan inc.,pfizer,000153104,pegaptanib sodium,no,yes,solution,,na,PMDA
oral,30.05.2006,2006,authorised,japan,approved,30.05.2007,2007,infectious and parasitic diseases; diseases of the respiratory system,<laryngopharyngitis>; <tonsillitis>; <bronchitis>; <pneumonia>; <respiratory tract infections>; <otitis media>; <sinusitis>,000153135.pdf,small molecule,geninax,"laryngopharyngitis, tonsillitis, acute bronchitis, pneumonia, secondary infection of chronic respiratory disease, otitis media, sinusitis",no,"laryngopharyngitis, tonsillitis, acute bronchitis, pneumonia, secondary infection of chronic respiratory disease, otitis media, sinusitis",<laryngopharyngitis>; <tonsillitis>; <bronchitis>; <pneumonia>; <respiratory tract infections>; <otitis media>; <sinusitis>,"toyama chemical co., ltd.",toyama,000153135,garenoxacin mesilate hydrate,no,no,tablet,,na,PMDA
oral,28.07.2004,2004,authorised,japan,approved,27.04.2007,2007,diseases of the nervous system,<seizures>,000153173.pdf,small molecule,topina,concomitant therapy with other antiepileptic drugs for partial seizures (including secondary generalized seizures) in patients who fail to show satisfactory response to other antiepileptic drugs,no,concomitant therapy with other antiepileptic drugs for partial seizures (including secondary generalized seizures) in patients who fail to show satisfactory response to other antiepileptic drugs,<seizures>,"kyowa hakko kogyo co., ltd.",kyowa hakko kogyo,000153173,topiramate,no,no,tablet,,na,PMDA
oral,10.12.2007,2007,authorised,japan,approved,24.07.2009,2009,"endocrine, nutritional, and metabolic diseases",<type 2 diabetes mellitus>,000153174.pdf,small molecule,januvia,type 2 diabetes mellitus,no,improvement of post-prandial hyperglycemia in type 2 diabetes mellitus,<type 2 diabetes mellitus>,"banyu pharmaceutical co., ltd.; ono pharmaceutical co., ltd.",banyu; ono,000153174,sitagliptin,no,no,tablet,,na,PMDA
subcutaneous,14.07.2008,2008,authorised,japan,approved,27.11.2009,2009,"endocrine, nutritional, and metabolic diseases",<type 2 diabetes mellitus>,000153180.pdf,peptides and proteins,victoza,type 2 diabetes mellitus,no,type 2 diabetes mellitus,<type 2 diabetes mellitus>,novo nordisk pharma ltd.,novo nordisk,000153180,liraglutide,no,no,solution,,na,PMDA
intramuscular,26.09.2007,2007,authorised,japan,approved,31.08.2009,2009,neoplasms; infectious and parasitic diseases,<cervical cancer>; <cervical intraepithelial neoplasia>,000153196.pdf,vaccine,cervarix,prevention of cervical cancer (squamous-cell carcinoma and adenocarcinoma) and its precursor lesions (cervical intraepithelial neoplasia [cin] grades 2 and 3) caused by infection with human papillomavirus (hpv) types 16 and 18.,no,prevention of cervical cancer (squamous-cell carcinoma and adenocarcinoma) and its precursor lesions (cervical intraepithelial neoplasia [cin] grades 2 and 3) caused by infection with human papillomavirus (hpv) types 16 and 18.,<cervical cancer>; <cervical intraepithelial neoplasia>,glaxosmithkline k.k.,glaxosmithkline,000153196,recombinant adsorbed bivalent human papillomavirus-like particle vaccine,no,no,injection,,na,PMDA
subcutaneous,27.01.2012,2012,authorised,japan,approved,20.07.2012,2012,infectious and parasitic diseases,<pertussis>; <diphtheria>; <tetanus>; <poliomyelitis>,000153291.pdf,vaccine,quattrovac,"prevention of pertussis, diphtheria, tetanus, and acute poliomyelitis",no,"prevention of pertussis, diphtheria, tetanus, and acute poliomyelitis",<pertussis>; <diphtheria>; <tetanus>; <poliomyelitis>,the chemo-sero-therapeutic research institute (kaketsuken),kaketsuken,000153291,adsorbed diphtheria-purified pertussis-tetanus-inactivated polio (sabin strain) combined vaccine,yes,no,suspension,,,PMDA
intravenous,18.09.2008,2008,authorised,japan,approved,23.04.2010,2010,diseases of the musculoskeletal system and connective tissue,<rheumatoid arthritis>,000153322.pdf,biologics,orencia,rheumatoid arthritis (for use only in patients who have not adequately responded to conventional treatments),no,rheumatoid arthritis (for use only in patients who have not adequately responded to conventional treatments),<rheumatoid arthritis>,bristol-myers k.k.,bristol-myers,000153322,abatacept,no,no,lyophilisate,,na,PMDA
intravenous,30.06.2006,2006,authorised,japan,approved,31.01.2007,2007,"endocrine, nutritional, and metabolic diseases",<glycogen storage disease type ii>,000153325.pdf,biologics,myozyme,type ii glycogen storage disease,no,type ii glycogen storage disease,<glycogen storage disease type ii>,genzyme japan k.k.,genzyme,000153325,alglucosidase alfa,no,yes,formulation,,na,PMDA
subcutaneous,27.07.2012,2012,authorised,japan,approved,08.03.2013,2013,"endocrine, nutritional, and metabolic diseases",<adiposity>,000153334.pdf,peptides and proteins,metreleptin,lipodystrophy,no,improvement of hyperglycemia and hypertriglyceridemia in lipodystrophy,<hyperglycemia>; <hypertriglyceridemia>; <lipodystrophy>,"shionogi & co., ltd.",shionogi,000153334,metreleptin,yes,yes,solution,,,PMDA
subcutaneous,27.12.2011,2011,authorised,japan,approved,20.07.2012,2012,infectious and parasitic diseases,<pertussis>; <diphtheria>; <tetanus>; <poliomyelitis>,000153343.pdf,vaccine,tetrabik,"prevention of pertussis, diphtheria, tetanus, and acute poliomyelitis",no,"prevention of pertussis, diphtheria, tetanus, and acute poliomyelitis",<pertussis>; <diphtheria>; <tetanus>; <poliomyelitis>,the research foundation for microbial diseases of osaka university,osaka university,000153343,adsorbed diphtheria-purified pertussis-tetanus-inactivated polio (sabin strain) combined vaccine,yes,no,suspension,,,PMDA
oral,08.08.2006,2006,authorised,japan,approved,27.08.2008,2008,neoplasms; diseases of the blood and blood-forming organs,<multiple myeloma>,000153348.pdf,small molecule,thaled,relapsed or refractory multiple myeloma,no,multiple myeloma (to be used only when conventional treatment is not sufficiently effective),<multiple myeloma>,fujimoto pharmaceutical corporation,fujimoto,000153348,thalidomide,yes,yes,capsule,,,PMDA
oral,31.07.2012,2012,authorised,japan,approved,13.03.2013,2013,neoplasms; diseases of the digestive system,<colorectal neoplasms>,000153351.pdf,small molecule,stivarga,"incurable, unresectable, advanced/recurrent colorectal cancer",no,"incurable, unresectable, advanced/recurrent colorectal cancer",<colorectal neoplasms>,"bayer yakuhin, ltd.",bayer,000153351,regorafenib,no,no,tablet,,na,PMDA
oral,31.10.2003,2003,authorised,japan,approved,31.01.2007,2007,"endocrine, nutritional, and metabolic diseases",<hypercholesterolemia>; <sitosterolemia>,000153400.pdf,small molecule,zetia,"hypercholesterolemia, familial hypercholesterolemia, homozygous sitosterolemia",no,"hypercholesterolemia, familial hypercholesterolemia, homozygous sitosterolemia",<hypercholesterolemia>; <sitosterolemia>,schering-plough k.k.,schering-plough,000153400,ezetimibe,no,no,tablet,,na,PMDA
oral,29.09.2010,2010,authorised,japan,approved,07.02.2013,2013,diseases of the digestive system,<functional dyspepsia>,000153467.pdf,small molecule,acofide,"postprandial fullness, upper abdominal bloating, and early satiation in patients with functional dyspepsia",no,"functional dyspepsia (gastrointestinal symptoms such as postprandial fullness, upper abdominal bloating, and early satiation)",<functional dyspepsia>,"zeria pharmaceutical co., ltd.",zeria,000153467,acotiamide,no,no,tablet,,na,PMDA
oral,05.07.2012,2012,authorised,japan,approved,13.03.2013,2013,neoplasms; diseases of the nervous system,<glioma>,000153482.pdf,small molecule,alabel,visualization of malignant tissue during surgical resection of malignant glioma,no,visualization of malignant tissue during surgical resection of malignant glioma,<glioma>,"nobelpharma co., ltd.; sbi pharmaceuticals co., ltd.","nobel  
sbi",000153482,aminolevulinic acid hydrochloride,yes,yes,lyophilized preparation,,,PMDA
