Administration_route,Application_date,Application_year,Current_status,Dataset,Decision,Decision_date,Decision_year,Disease_class(es),Disease_name(s),Document_name,Drug_class,Drug_name,Indication_approved,Indication_extended,Indication_requested,Indication_requested_extracted,Marketing_authorisation_holder,Marketing_authorisation_holder_extracted,Marketing_authorisation_number,Non_proprietary_name,Nonclinical_abridged,Orphan_drug_status,Pharmaceutical_form,Procedure_number,Referral_body
intravitreal,02.01.2019,2019,withdrawn,TGA,withdrawn,14.01.2020,2020,diseases of the eye and adnexa; congenital malformations and chromosomal abnormalities,not reported,auspa-ranibizumab-20200903.pdf,biologics,lucentis,na,yes,treatment of retinopathy of prematurity (rop) in preterm infants,<retinopathy of prematurity>,novartis pharmaceuticals australia pty ltd,novartis,,ranibizumab,yes,yes,solution,pm-2018-04902-1-5,
subcutaneous; intravenous,03.01.2017,2017,authorised,TGA,approved,10.01.2018,2018,diseases of the musculoskeletal system and connective tissue; diseases of the skin,"<arthritis, psoriatic>",auspar-abatacept-190204.pdf,biologics,orencia,treatment of active psoriatic arthritis in adults when the response to previous dmard therapy has been inadequate.,yes,treatment of active psoriatic arthritis in adults when the response to previous dmard therapy has been inadequate.,"<arthritis, psoriatic>",bristol-myers squibb australia pty ltd.,bristol-myers squibb,"130100, 177174, 177176, 206764 and 236039",abatacept,yes,no,solution; powder,pm-2016-03491-1-3,
subcutaneous,,,authorised,TGA,approved,23.12.2011,2011,diseases of the musculoskeletal system and connective tissue,<rheumatoid arthritis>; <juvenile idiopathic arthritis>,auspar-abatacept-rch-120426.pdf,biologics,orencia,"treatment of moderate to severe active rheumatoid arthritis in adult patients with an insufficient response or intolerance to other dmards; treatment of severe, active and progressive rheumatoid arthritis in adults not previously treated with methotrexate; reducing signs and symptoms in paediatric patients 6 years and older with moderately to severely active polyarticular juvenile idiopathic arthritis.",yes,"treatment of moderate to severe active rheumatoid arthritis in adult patients with an insufficient response or intolerance to other dmards; treatment of severe, active and progressive rheumatoid arthritis in adults not previously treated with methotrexate; reducing signs and symptoms in paediatric patients 6 years and older with moderately to severely active polyarticular juvenile idiopathic arthritis.",<rheumatoid arthritis>; <juvenile idiopathic arthritis>,bristol-myers squibb australia pty ltd,bristol-myers squibb,177174; 177176,abatacept,yes,no,solution,pm-2010-03115-3-3,
oral,,,authorised,TGA,approved,27.02.2012,2012,neoplasms,<prostatic neoplasms>,auspar-abiraterone-acetate-121004-1.pdf,small molecule,zytiga,treatment of metastatic advanced prostate cancer (castration resistant prostatic cancer [mcrpc]) in patients who have received prior chemotherapy containing a taxane,no,treatment of metastatic castration resistant prostatic cancer (mcrpc) after failure of taxane chemotherapy,<prostatic neoplasms>,janssen-cilag pty ltd,janssen-cilag,aust r 180314,abiraterone acetate,no,no,tablet,pm-2010-03604-3-4,na
oral,27.02.2012,2012,authorised,TGA,approved,20.08.2013,2013,neoplasms,<prostatic neoplasms>,auspar-abiraterone-acetate-140122.pdf,small molecule,zytiga,treatment of patients with metastatic castration resistant prostate cancer (mcrpc) who are asymptomatic or mildly symptomatic after failure of androgen deprivation therapy (adt),yes,treatment of patients with metastatic castration resistant prostate cancer (mcrpc) who are asymptomatic or mildly symptomatic after failure of androgen deprivation therapy (adt) and who have received prior chemotherapy containing a taxane.,<prostatic neoplasms>,janssen-cilag pty ltd,janssen-cilag,180314,abiraterone acetate,no,no,tablet,pm-2012-02706-3-4,na
intramuscular,01.05.2023,2023,authorised (under additional monitoring),TGA,approved,20.03.2024,2024,infectious and parasitic diseases; diseases of the respiratory system,<respiratory tract diseases>,auspar-abrysvo-240502.pdf,vaccine,abrysvo,active immunisation of pregnant women between 24-36 weeks of gestation for prevention of lower respiratory tract disease caused by respiratory syncytial virus (rsv) in infants from birth through 6 months of age; active immunisation of individuals 60 years of age and above for prevention of lower respiratory tract disease caused by respiratory syncytial virus (rsv).,no,active immunisation of pregnant women between 24-36 weeks of gestation for prevention of lower respiratory tract disease caused by respiratory syncytial virus (rsv) in infants from birth through 6 months of age; active immunisation of individuals 60 years of age and above for prevention of lower respiratory tract disease caused by respiratory syncytial virus (rsv).,<respiratory tract diseases>,pfizer australia pty ltd,pfizer,406624,rsvpref,no,no,powder; diluent,pm-2023-01210-1-2,na
oral,10.10.2019,2019,authorised (under additional monitoring),TGA,approved,22.11.2019,2019,neoplasms; diseases of the blood and blood-forming organs,"<leukemia, lymphocytic, chronic, b-cell>; <lymphoma, small lymphocytic>",auspar-acalabrutinib-200217-01.pdf,small molecule,calquence,calquence is indicated for the treatment of patients with chronic lymphocytic leukaemia (cll)/small lymphocytic lymphoma (sll).,yes,calquence is indicated for the treatment of patients with chronic lymphocytic leukaemia (cll)/small lymphocytic lymphoma (sll).,"<leukemia, lymphocytic, chronic, b-cell>; <lymphoma, small lymphocytic>",astrazeneca pty ltd,astrazeneca,321419,acalabrutinib,no,no,capsule,pm-2019-04317-1-6,na
oral,12.08.2019,2019,authorised (under additional monitoring),TGA,approved,21.11.2019,2019,neoplasms; diseases of the blood and blood-forming organs,<mantle cell lymphoma>,auspar-acalabrutinib-200217.pdf,small molecule,calquence,treatment of patients with mantle cell lymphoma who have received at least one prior therapy.,no,treatment of patients with mantle cell lymphoma who have received at least one prior therapy.,<mantle cell lymphoma>,astrazeneca pty ltd,astrazeneca,321419,acalabrutinib,no,yes,capsule,pm-2019-03536-1-6,na
intravenous,,,authorised,TGA,approved,29.07.2011,2011,diseases of the musculoskeletal system and connective tissue,<osteoporosis>; <paget's disease>,auspar-aclasta.pdf,small molecule,aclasta/osteovan,"treatment of osteoporosis in postmenopausal women to reduce the incidence of hip, vertebral and non-vertebral fractures. treatment of osteoporosis in patients over 50 years of age with a history of at least one low trauma hip fracture, to reduce the incidence of further fracture. to increase bone mineral density in men with osteoporosis. to increase bone mineral density in patients with osteoporosis associated with long term glucocorticoid use. to prevent glucocorticoid-induced bone mineral density loss. treatment of paget's disease of bone.",no,"treatment of osteoporosis in postmenopausal women to reduce the incidence of hip, vertebral and non-vertebral fractures. treatment of osteoporosis in patients over 50 years of age with a history of at least one low trauma hip fracture, to reduce the incidence of further fracture. to increase bone mineral density in men with osteoporosis. to increase bone mineral density in patients with osteoporosis associated with long term glucocorticoid use. to prevent glucocorticoid-induced bone mineral density loss. treatment of paget's disease of bone.","<osteoporosis>; <paget's disease, bone>",novartis australia pty ltd,novartis,134665 and 13466,zoledronic acid,yes,no,solution,pm-2010-01920-3-5,
inhalation,,,authorised,TGA,approved,18.03.2014,2014,diseases of the respiratory system,<chronic obstructive pulmonary disease>,auspar-aclidinium-bromide-140908.pdf,small molecule,bretaris genuair,long term maintenance bronchodilator treatment to relieve symptoms in adult patients with chronic obstructive pulmonary disease (copd).,no,long term maintenance bronchodilator treatment to relieve symptoms in adult patients with chronic obstructive pulmonary disease (copd).,<chronic obstructive pulmonary disease>,a menarini australia pty ltd,menarini,206071,aclidinium bromide,no,no,powder,pm-2012-04170-1-5,na
intravenous,,,authorised,TGA,approved,31.10.2011,2011,diseases of the musculoskeletal system and connective tissue,<systemic juvenile idiopathic arthritis>,auspar-actemra-111215.pdf,biologics,actemra,treatment of active systemic juvenile idiopathic arthritis in patients 2 years of age and older.,yes,treatment of active systemic juvenile idiopathic arthritis in patients 2 years of age and older.,<systemic juvenile idiopathic arthritis>,roche products pty ltd,roche,"149402, 149403, 149404",tocilizumab,yes,no,solution,pm-2010-03070-3-3,
intravenous,,,authorised,TGA,approved,13.01.2011,2011,diseases of the musculoskeletal system and connective tissue,<rheumatoid arthritis>,auspar-actemra.pdf,biologics,actemra,for the treatment of moderate to severe active rheumatoid arthritis (ra) in adult patients,yes,for the treatment of moderate to severe active rheumatoid arthritis (ra) in adult patients,<rheumatoid arthritis>,roche products pty ltd,roche,"149402, 149403, 149404",tocilizumab,yes,no,solution,pm-2009-03295-3-3,
intravenous,,,authorised,TGA,approved,22.09.2010,2010,diseases of the circulatory system,<ischemic stroke>,auspar-actilyse.pdf,biologics,actilyse,thrombolytic treatment of acute ischaemic stroke. treatment must be started as early as possible within 4.5 hours after onset of stroke symptoms and after exclusion of intracranial haemorrhage by appropriate imaging techniques.,yes,thrombolytic treatment of acute ischaemic stroke with an extended treatment window from 0-3 hours to 0-4.5 hours after onset of symptoms.,"<stroke, ischemic>",boehringer ingelheim pty ltd,boehringer ingelheim,"64240 (10 mg), 43375 (20 mg), 17905 (50 mg)",alteplase,yes,no,powder,pm-2009-2549-3-3,
intramuscular,01.12.2020,2020,authorised (under additional monitoring),TGA,approved,25.06.2021,2021,infectious and parasitic diseases,<covid-19>,auspar-ad26-cov2-s-210625.pdf,vaccine,covid-19 vaccine janssen,active immunisation to prevent covid-19 caused by sars-cov-2 in individuals 18 years of age and older.,no,active immunisation for the prevention of coronavirus disease-2019 (covid-19) in adults greater than or equal to 18 years of age.,<coronavirus infections>,janssen-cilag pty ltd,janssen-cilag,350150,adenovirus serotype 26 encoding the sars-cov-2 spike glycoprotein,no,no,suspension,pm-2020-06173-1-2,na
subcutaneous,,,authorised,TGA,approved,16.07.2013,2013,diseases of the digestive system,<ulcerative colitis>,auspar-adalimumab-131025.pdf,biologics,humira,treatment of moderate to severe ulcerative colitis in adult patients who have had an inadequate response to conventional therapy or who are intolerant to or have medical contraindications for such therapies.,yes,treatment of moderate to severe ulcerative colitis in patients who have had an inadequate response to conventional therapy or who are intolerant to or have medical contraindications for such therapies.,<ulcerative colitis>,abbvie pty ltd,abbvie,"95779, 95780, 127116, 155315, 199410, 199411, 199412",adalimumab,yes,no,solution,pm-2012-01954-3-1,
subcutaneous,,,withdrawn,TGA,withdrawn,19.08.2013,2013,diseases of the musculoskeletal system and connective tissue,not reported,auspar-adalimumab-140122.pdf,biologics,humira,na,yes,non-radiographic axial spondyloarthritis,"<arthritis, spondylarthritis>",abbvie pty ltd,abbvie,,adalimumab,yes,no,solution,pm-2012-02255-3-3,
subcutaneous,20.05.2013,2013,authorised,TGA,approved,02.06.2014,2014,diseases of the digestive system,<crohn disease>,auspar-adalimumab-140805.pdf,biologics,humira,crohn’s disease in adults and children (greater than or equal to 6 years),yes,crohn’s disease in adults and children (greater than or equal to 6 years),<crohn disease>,abbvie pty ltd,abbvie,"216038, 127116, 155315, 199410, 199411, 199412, 95779, 95780",adalimumab,yes,yes,solution,pm-2013-01154-1-1,
subcutaneous,,,authorised,TGA,approved,07.07.2016,2016,diseases of the musculoskeletal system and connective tissue; diseases of the skin,"<arthritis, juvenile>; <psoriasis>",auspar-adalimumab-170320.pdf,biologics,humira,enthesitis-related arthritis; psoriasis in adults and children,yes,enthesitis-related arthritis; psoriasis in adults and children,"<arthritis, juvenile>; <psoriasis>",abbvie pty ltd,abbvie,"199410, 199411, 199412, 216038, 238700, 95779",adalimumab,yes,no,solution,pm-2015-01149-1-3,
subcutaneous,03.05.2016,2016,authorised,TGA,approved,18.10.2017,2017,diseases of the musculoskeletal system and connective tissue; diseases of the digestive system; diseases of the skin; diseases of the eye and adnexa,"<rheumatoid arthritis>; <arthritis, juvenile>; <arthritis, psoriatic>; <spondylitis, ankylosing>; <crohn disease>; <colitis, ulcerative>; <psoriasis>; <hidradenitis suppurativa>; <uveitis>",auspar-adalimumab-180625.pdf,biologics,amgevita,"rheumatoid arthritis, polyarticular juvenile idiopathic arthritis, psoriatic arthritis, ankylosing spondylitis, crohn’s disease in adults and children (≥6 years), ulcerative colitis, psoriasis, hidradenitis suppurativa, uveitis",no,"rheumatoid arthritis, polyarticular juvenile idiopathic arthritis, psoriatic arthritis, ankylosing spondylitis, crohn’s disease in adults and children (≥6 years), ulcerative colitis, psoriasis, hidradenitis suppurativa, uveitis","<rheumatoid arthritis>; <arthritis, juvenile>; <arthritis, psoriatic>; <spondylitis, ankylosing>; <crohn disease>; <colitis, ulcerative>; <psoriasis>; <hidradenitis suppurativa>; <uveitis>",amgen australia pty ltd,amgen,"273536, 278701, 278702",adalimumab,no,no,pre-filled syringe,pm-2016-00845-1-1,na
subcutaneous,03.01.2017,2017,authorised,TGA,approved,18.01.2018,2018,diseases of the musculoskeletal system and connective tissue,<rheumatoid arthritis>,auspar-adalimumab-190313.pdf,biologics,hadlima,rheumatoid arthritis,no,rheumatoid arthritis,<rheumatoid arthritis>,samsung bioepis au pty ltd,samsung,"284248, 284249",adalimumab,no,no,solution,pm-2016-03547-1-3,na
subcutaneous,02.09.2019,2019,authorised,TGA,approved,15.06.2020,2020,diseases of the musculoskeletal system and connective tissue; diseases of the digestive system; diseases of the skin; diseases of the eye and adnexa,"<rheumatoid arthritis>; <arthritis, juvenile>; <arthritis>; <psoriatic arthritis>; <spondylitis, ankylosing>; <crohn disease>; <colitis, ulcerative>; <psoriasis>; <hidradenitis suppurativa>; <uveitis>",auspar-adalimumab-200917.pdf,biologics,idacio,rheumatoid arthritis; juvenile idiopathic arthritis; enthesitis-related arthritis; psoriatic arthritis; ankylosing spondylitis; crohn’s disease in adults and children (≥ 6 years); ulcerative colitis; psoriasis in adults and children; hidradenitis suppurativa in adults and adolescents (from 12 years of age); uveitis,no,rheumatoid arthritis; juvenile idiopathic arthritis; enthesitis-related arthritis; psoriatic arthritis; ankylosing spondylitis; crohn’s disease in adults and children (≥ 6 years); ulcerative colitis; psoriasis in adults and children; hidradenitis suppurativa in adults and adolescents (from 12 years of age); uveitis,"<rheumatoid arthritis>; <arthritis, juvenile>; <arthritis, psoriatic>; <spondylitis, ankylosing>; <crohn disease>; <colitis, ulcerative>; <psoriasis>; <hidradenitis suppurativa>; <uveitis>",fresenius kabi australia pty ltd,fresenius,"320241, 320242, 320243",adalimumab,no,no,solution,pm-2019-03192-1-1,na
subcutaneous,02.06.2020,2020,authorised,TGA,approved,08.02.2021,2021,diseases of the musculoskeletal system and connective tissue; diseases of the digestive system; diseases of the skin; diseases of the eye and adnexa,"<rheumatoid arthritis>; <arthritis, juvenile>; <arthritis, psoriatic>; <spondylitis, ankylosing>; <crohn disease>; <colitis, ulcerative>; <psoriasis>; <hidradenitis suppurativa>; <uveitis>",auspar-adalimumab-210412.pdf,biologics,abrilada,rheumatoid arthritis; juvenile idiopathic arthritis; enthesitis-related arthritis; psoriatic arthritis; ankylosing spondylitis; crohn's disease; ulcerative colitis; psoriasis; hidradenitis suppurativa; uveitis,no,rheumatoid arthritis; juvenile idiopathic arthritis; enthesitis-related arthritis; psoriatic arthritis; ankylosing spondylitis; crohn's disease; ulcerative colitis; psoriasis; hidradenitis suppurativa; uveitis,"<rheumatoid arthritis>; <arthritis, juvenile>; <arthritis, psoriatic>; <spondylitis, ankylosing>; <crohn disease>; <colitis, ulcerative>; <psoriasis>; <hidradenitis suppurativa>; <uveitis>",pfizer australia pty ltd,pfizer,"334496, 334497, 334498 and 334499",adalimumab,no,no,solution,pm-2020-01818-1-3,na
subcutaneous,02.06.2020,2020,authorised,TGA,approved,07.04.2021,2021,diseases of the musculoskeletal system and connective tissue; diseases of the digestive system; diseases of the skin; diseases of the eye and adnexa,"<rheumatoid arthritis>; <arthritis, juvenile>; <arthritis, psoriatic>; <spondylitis, ankylosing>; <crohn disease>; <colitis, ulcerative>; <psoriasis>; <hidradenitis suppurativa>; <uveitis>",auspar-adalimumab-211122.pdf,biologics,hulio,rheumatoid arthritis; juvenile idiopathic arthritis; enthesitis-related arthritis; psoriatic arthritis; ankylosing spondylitis; crohn’s disease; ulcerative colitis; psoriasis; hidradenitis suppurativa; uveitis,no,rheumatoid arthritis; juvenile idiopathic arthritis; enthesitis-related arthritis; psoriatic arthritis; ankylosing spondylitis; crohn’s disease; ulcerative colitis; psoriasis; hidradenitis suppurativa; uveitis,"<rheumatoid arthritis>; <arthritis, juvenile>; <arthritis, psoriatic>; <spondylitis, ankylosing>; <crohn disease>; <colitis, ulcerative>; <psoriasis>; <hidradenitis suppurativa>; <uveitis>",alphapharm pty ltd,alphapharm,"334800, 334801, 334802",adalimumab,no,no,solution,pm-2020-01807-1-3,na
subcutaneous,,,authorised,TGA,approved,14.05.2015,2015,diseases of the musculoskeletal system and connective tissue,"<arthritis, juvenile>",auspar-adalimumab-rch-151210.pdf,biologics,humira,polyarticular juvenile idiopathic arthritis in patients aged 2 years and older,yes,polyarticular juvenile idiopathic arthritis in patients aged 2 years and older,"<arthritis, juvenile>",abbvie pty ltd,abbvie,"95779, 95780, 127116, 155315, 199410, 199411, 199412 and 216038",adalimumab,yes,no,solution,pm-2014-01048-1-3,
subcutaneous,,,authorised,TGA,approved,06.04.2016,2016,diseases of the skin,<hidradenitis suppurativa>,auspar-adalimumab-rch-160712.pdf,biologics,humira,treatment of active moderate to severe hidradenitis suppurativa (acne inversa) in adult patients with an inadequate response to conventional systemic hidradenitis suppurativa therapy.,yes,"treatment of active moderate to severe hidradenitis suppurativa (acne inversa) in adult patients, including treatment of inflammatory lesions and prevention of worsening of abscesses and draining fistulas.",<hidradenitis suppurativa>,abbvie pty ltd,abbvie,"238700, 216038, 199412, 199411, 199410, 95779",adalimumab,yes,no,solution,pm–2014-04326-1-4,
injection,31.01.2023,2023,authorised,TGA,approved,08.01.2024,2024,neoplasms; diseases of the blood and blood-forming organs,<hodgkin disease>,auspar-adcetris-240507.pdf,biologics,adcetris,"treatment of patients with previously untreated cd30+ stage iii or stage iv hodgkin lymphoma (hl) in combination with doxorubicin, vinblastine, and dacarbazine (avd).",yes,"treatment of adult patients with previously untreated cd30+ advanced hodgkin lymphoma (hl) in combination with doxorubicin, vinblastine, and dacarbazine (avd).",<hodgkin lymphoma>,takeda pharmaceuticals australia pty ltd,takeda,203372,brentuximab vedotin,no,no,powder,pm-2022-04918-1-6,na
