Administration_route,Application_date,Application_year,Current_status,Dataset,Decision,Decision_date,Decision_year,Disease_class(es),Disease_name(s),Document_name,Drug_class,Drug_name,Indication_approved,Indication_extended,Indication_requested,Indication_requested_extracted,Marketing_authorisation_holder,Marketing_authorisation_holder_extracted,Marketing_authorisation_number,Non_proprietary_name,Nonclinical_abridged,Orphan_drug_status,Pharmaceutical_form,Procedure_number,Referral_body
subcutaneous,03.06.2013,2013,authorised,EMA,approved,26.06.2014,2014,"endocrine, nutritional, and metabolic diseases",<diabetes mellitus>,abasria-epar-public-assessment-report_en.pdf,biologics,abasria,"treatment of diabetes mellitus in adults, adolescents and children aged 2 years and above.",no,"treatment of diabetes mellitus in adults, adolescents and children aged 2 years and above.",<diabetes mellitus>,eli lilly regional operations gmbh,eli lilly,ema/chmp/340840/2014,insulin glargine,no,no,solution,emea/h/c/002835/0000,na
intravenous,30.04.2020,2020,authorised,EMA,approved,24.06.2021,2021,neoplasms; diseases of the blood and blood-forming organs,<multiple myeloma>,abecma-epar-public-assessment-report_en.pdf,cell and gene therapy,abecma,"treatment of adult patients with multiple myeloma who have received at least three prior therapies, including an immunomodulatory agent, a proteasome inhibitor, and an anti-cd38 antibody",no,"treatment of adult patients with multiple myeloma who have received at least three prior therapies, including an immunomodulatory agent, a proteasome inhibitor, and an anti-cd38 antibody",<multiple myeloma>,celgene europe bv,celgene,ema/409800/2021,idecabtagene vicleucel,no,yes,dispersion,emea/h/c/004662/0000,na
intramuscular,30.11.2012,2012,authorised,EMA,approved,19.09.2013,2013,mental and behavioural disorders,<schizophrenia>,abilify-maintena-epar-public-assessment-report_en.pdf,small molecule,abilify maintena,maintenance treatment of schizophrenia in adult patients stabilized with oral aripiprazole,yes,maintenance treatment of schizophrenia in adults,<schizophrenia>,otsuka pharmaceutical europe ltd,otsuka,ema/737723/2013,aripiprazole,no,no,powder; solvent,emea/h/c/002755/0000,na
oral,12.09.2019,2019,authorised,EMA,approved,25.02.2021,2021,neoplasms,<prostatic neoplasms>,abiraterone-accord-epar-public-assessment-report_en.pdf,small molecule,abiraterone accord,treatment of newly diagnosed high risk metastatic hormone sensitive prostate cancer (mhspc) in adult men in combination with androgen deprivation therapy (adt); treatment of metastatic castration resistant prostate cancer (mcrpc) in adult men who are asymptomatic or mildly symptomatic after failure of androgen deprivation therapy in whom chemotherapy is not yet clinically indicated; treatment of mcrpc in adult men whose disease has progressed on or after a docetaxel-based chemotherapy regimen.,no,treatment of newly diagnosed high risk metastatic hormone sensitive prostate cancer (mhspc) in adult men in combination with androgen deprivation therapy (adt); treatment of metastatic castration resistant prostate cancer (mcrpc) in adult men who are asymptomatic or mildly symptomatic after failure of androgen deprivation therapy in whom chemotherapy is not yet clinically indicated; treatment of mcrpc in adult men whose disease has progressed on or after a docetaxel-based chemotherapy regimen.,<prostatic neoplasms>,accord healthcare s.l.u.,accord,ema/174959/2021,abiraterone acetate,yes,no,tablet,emea/h/c/005408/0000,
oral,29.06.2020,2020,authorised,EMA,approved,22.04.2021,2021,neoplasms,<prostatic neoplasms>,abiraterone-krka-epar-public-assessment-report_en.pdf,small molecule,abiraterone krka,treatment of newly diagnosed high risk metastatic hormone sensitive prostate cancer (mhspc) in adult men in combination with androgen deprivation therapy (adt); treatment of metastatic castration resistant prostate cancer (mcrpc) in adult men who are asymptomatic or mildly symptomatic after failure of androgen deprivation therapy in whom chemotherapy is not yet clinically indicated; treatment of mcrpc in adult men whose disease has progressed on or after a docetaxel-based chemotherapy regimen.,no,treatment of newly diagnosed high risk metastatic hormone sensitive prostate cancer (mhspc) in adult men in combination with androgen deprivation therapy (adt); treatment of metastatic castration resistant prostate cancer (mcrpc) in adult men who are asymptomatic or mildly symptomatic after failure of androgen deprivation therapy in whom chemotherapy is not yet clinically indicated; treatment of mcrpc in adult men whose disease has progressed on or after a docetaxel-based chemotherapy regimen.,<prostatic neoplasms>,"krka, d.d., novo mesto",krka,ema/653711/2021,abiraterone acetate,yes,no,tablet,emea/h/c/005649/0000,
oral,09.03.2020,2020,authorised,EMA,approved,22.04.2021,2021,neoplasms,<prostatic neoplasms>,abiraterone-mylan-epar-public-assessment-report_en.pdf,small molecule,abiraterone mylan,treatment of newly diagnosed high risk metastatic hormone sensitive prostate cancer (mhspc) in adult men in combination with androgen deprivation therapy (adt); treatment of metastatic castration resistant prostate cancer (mcrpc) in adult men who are asymptomatic or mildly symptomatic after failure of androgen deprivation therapy in whom chemotherapy is not yet clinically indicated; treatment of mcrpc in adult men whose disease has progressed on or after a docetaxel-based chemotherapy regimen.,no,treatment of newly diagnosed high risk metastatic hormone sensitive prostate cancer (mhspc) in adult men in combination with androgen deprivation therapy (adt); treatment of metastatic castration resistant prostate cancer (mcrpc) in adult men who are asymptomatic or mildly symptomatic after failure of androgen deprivation therapy in whom chemotherapy is not yet clinically indicated; treatment of mcrpc in adult men whose disease has progressed on or after a docetaxel-based chemotherapy regimen.,<prostatic neoplasms>,mylan ireland limited,mylan,ema/444189/2021,abiraterone acetate,yes,no,tablet,emea/h/c/005368/0000,
intravenous,25.08.2006,2006,authorised,EMA,approved,11.01.2008,2008,neoplasms,<breast neoplasms>,abraxane-epar-public-assessment-report_en.pdf,biologics,abraxane,"metastatic carcinoma of the breast in patients who have failed, or are not candidates for standard, anthracycline containing therapy",no,metastatic breast carcinoma,<breast neoplasms>,abraxis biosciences ltd.,abraxis,ema/47053/2008,paclitaxel,no,no,lyophilisate,emea/h/c/778,na
intramuscular,22.12.2022,2022,authorised,EMA,approved,20.07.2023,2023,infectious and parasitic diseases; diseases of the respiratory system,<respiratory tract diseases>,abrysvo-epar-public-assessment-report_en.pdf,vaccine,abrysvo,prevention of lower respiratory tract disease and severe lower respiratory tract disease caused by respiratory syncytial virus (rsv) in infants from birth through 6 months of age by active immunisation of pregnant individuals; prevention of acute respiratory disease and lower respiratory tract disease caused by rsv in individuals 60 years of age and older by active immunisation,no,prevention of lower respiratory tract disease and severe lower respiratory tract disease caused by respiratory syncytial virus (rsv) in infants from birth through 6 months of age by active immunisation of pregnant individuals; prevention of acute respiratory disease and lower respiratory tract disease caused by rsv in individuals 60 years of age and older by active immunisation,<respiratory tract infections>,pfizer europe ma eeig,pfizer,ema/351226/2023,"respiratory syncytial virus vaccine (bivalent, recombinant)",no,no,powder; solvent,emea/h/c/006027/0000,na
subcutaneous,05.04.2024,2024,authorised,EMA,approved,17.10.2024,2024,diseases of the skin; diseases of the musculoskeletal system and connective tissue; diseases of the digestive system,<psoriasis>; <psoriatic arthritis>; <crohn disease>; <ulcerative colitis>,absimky-epar-public-assessment-report_en.pdf,biologics,absimky,plaque psoriasis; paediatric plaque psoriasis; psoriatic arthritis; crohn’s disease; ulcerative colitis,yes,plaque psoriasis; paediatric plaque psoriasis; psoriatic arthritis; crohn’s disease; ulcerative colitis,"<psoriasis>; <psoriatic arthritis>; <crohn disease>; <colitis, ulcerative>",accord healthcare s.l.u.,accord,ema/511029/2024,ustekinumab,yes,no,solution,emea/h/c/006585/0000,
intravenous; subcutaneous,24.03.2014,2014,authorised,EMA,approved,24.07.2014,2014,neoplasms; diseases of the blood and blood-forming organs; infectious and parasitic diseases,<neutropenia>; <febrile neutropenia>; <malignant neoplasms>; <chronic myeloid leukemia>; <myelodysplastic syndromes>; <severe congenital neutropenia>; <cyclic neutropenia>; <idiopathic neutropenia>; <hiv infections>,accofil-epar-public-assessment-report_en.pdf,biologics,accofil,"for the reduction in the duration of neutropenia and the incidence of febrile neutropenia in patients treated with established cytotoxic chemotherapy for malignancy (with the exception of chronic myeloid leukaemia and myelodysplastic syndromes) and for the reduction in the duration of neutropenia in patients undergoing myeloablative therapy followed by bone marrow transplantation considered to be at increased risk of prolonged severe neutropenia; for the mobilisation of peripheral blood progenitor cells (pbpcs); in patients, children or adults with severe congenital, cyclic, or idiopathic neutropenia with an absolute neutrophil count (anc) of ≤ 0.5 x 109/l, and a history of severe or recurrent infections, long term administration of accofil is indicated to increase neutrophil counts and to reduce the incidence and duration of infection-related events; for the treatment of persistent neutropenia (anc less than or equal to 1.0 x 109/l) in patients with advanced hiv infection, in order to reduce the risk of bacterial infections when other options to manage neutropenia are inappropriate.",no,"for the reduction in the duration of neutropenia and the incidence of febrile neutropenia in patients treated with established cytotoxic chemotherapy for malignancy (with the exception of chronic myeloid leukaemia and myelodysplastic syndromes) and for the reduction in the duration of neutropenia in patients undergoing myeloablative therapy followed by bone marrow transplantation considered to be at increased risk of prolonged severe neutropenia; for the mobilisation of peripheral blood progenitor cells (pbpcs); in patients, children or adults with severe congenital, cyclic, or idiopathic neutropenia with an absolute neutrophil count (anc) of ≤ 0.5 x 109/l, and a history of severe or recurrent infections, long term administration of accofil is indicated to increase neutrophil counts and to reduce the incidence and duration of infection-related events; for the treatment of persistent neutropenia (anc less than or equal to 1.0 x 109/l) in patients with advanced hiv infection, in order to reduce the risk of bacterial infections when other options to manage neutropenia are inappropriate.",<neutropenia>; <febrile neutropenia>; <malignant neoplasms>; <chronic myeloid leukemia>; <myelodysplastic syndromes>; <severe congenital neutropenia>; <cyclic neutropenia>; <idiopathic neutropenia>; <hiv infections>,accord healthcare ltd,accord,ema/chmp/603430/2014,filgrastim,no,no,solution,emea/h/c/003956,na
