Marketing_authorisation_number,Indications_and_usage,Origin,Drug_name,Non_proprietary_name,Marketing_authorisation_holder,Pharmaceutical_form,Administration_route,Decision,Decision_date,Decision_year,Current_status,Nonclinical_abridged,Referral,Orphan_drug_status,Marketing_authorisation_holder_extracted,Drug_class,Disease_class(es),Disease_name(s),Agency
anda020167,,fda,estradiol,estradiol,mylan pharms inc,system,transdermal,approved,19.12.2014,2014,authorised,yes,tbd,no,mylan,small molecule,,,FDA
anda020345,,fda,aminosyn-hf 8%,amino acids,icu medical inc,injection,injection,approved,04.04.1996,1996,discontinued,yes,no,no,icu,peptides and proteins,,,FDA
anda020360,,fda,hepatasol 8%,amino acids,baxter hlthcare,injection,injection,approved,04.04.1996,1996,discontinued,yes,no,no,baxter,peptides and proteins,,,FDA
anda020512,,fda,clinisol 15% sulfite free in plastic container,amino acids,baxter hlthcare,injection,injection,approved,30.08.1996,1996,authorised,yes,no,no,baxter,peptides and proteins,,,FDA
anda040007,,fda,heparin sodium,heparin sodium,dr reddys,injection,injection,approved,07.06.1996,1996,discontinued,yes,no,no,dr reddys,peptides and proteins,,,FDA
anda040008,,fda,heparin sodium,heparin sodium,watson labs inc,injection,injection,approved,10.10.1995,1995,discontinued,yes,no,no,watson,peptides and proteins,,,FDA
anda040009,,fda,isosorbide dinitrate,isosorbide dinitrate,sun pharm inds inc,tablet,oral,approved,30.12.1998,1998,discontinued,yes,no,no,sun,small molecule,,,FDA
anda040011,,fda,methazolamide,methazolamide,applied anal,tablet,oral,approved,17.07.1997,1997,discontinued,yes,no,no,applied,small molecule,,,FDA
anda040013,,fda,lidocaine hydrochloride,lidocaine hydrochloride,hospira,injection,injection,approved,23.06.1995,1995,discontinued,yes,no,no,hospira,small molecule,,,FDA
anda040014,"indications and usage lidocaine hydrochloride oral topical solution, usp (viscous) 2% is indicated for the production of topical anesthesia of irritated or inflamed mucous membranes of the mouth and pharynx. it is also useful for reducing gagging during the taking of x-ray pictures and dental impressions.",fda,lidocaine hydrochloride,lidocaine hydrochloride,hikma,solution,oral,approved,10.07.1995,1995,discontinued,yes,no,no,hikma,small molecule,diseases of the digestive system,not reported,FDA
