Administration_route,Application_date,Application_year,Current_status,Dataset,Decision,Decision_date,Decision_year,Disease_class(es),Disease_name(s),Document_name,Drug_class,Drug_name,Indication_approved,Indication_extended,Indication_requested,Indication_requested_extracted,Marketing_authorisation_holder,Marketing_authorisation_holder_extracted,Marketing_authorisation_number,Non_proprietary_name,Nonclinical_abridged,Orphan_drug_status,Pharmaceutical_form,Procedure_number,Referral_body
subretinal,10.05.2019,2019,authorised,Swissmedic,approved,14.02.2020,2020,diseases of the eye and adnexa,<retinal dystrophies>,2020-04-15_swisspar_luxturna-final.pdf,cell and gene therapy,luxturna,luxturna is used for the treatment of adult and paediatric patients with vision loss due to inherited retinal dystrophy caused by confirmed biallelic rpe65 mutations and who have sufficient viable retinal cells.,no,luxturna is used for the treatment of adult and paediatric patients with vision loss due to inherited retinal dystrophy caused by confirmed biallelic rpe65 mutations and who have sufficient viable retinal cells.,<retinal dystrophies>,novartis pharma schweiz ag,novartis,67371,voretigene neparvovec,no,yes,concentrate; solvent,,na
oral,06.01.2020,2020,authorised,Swissmedic,approved,07.05.2020,2020,neoplasms,<breast neoplasms>,20200602_swisspar_tukysa.pdf,small molecule,tukysa,"tukysa in combination with trastuzumab and capecitabine is indicated for the treatment of patients with metastatic her2-positive breast cancer, who have previously received 2 or more anti-her2 regimens in any setting, including trastuzumab, pertuzumab and trastuzumab-emtansine (t–dm1).",no,"tukysa is indicated in combination with trastuzumab and capecitabine for the treatment of patients with locally advanced unresectable or metastatic her2-positive breast cancer, including patients with brain metastases, who have received at least 2 prior anti-her2 treatment regimens.",<breast neoplasms>; <brain neoplasms>,sfl regulatory affairs & scientific communication gmbh,sfl,67798,tucatinibum,no,no,tablet,,na
subcutaneous,25.10.2019,2019,authorised (under additional monitoring),Swissmedic,approved,13.07.2020,2020,diseases of the nervous system,<neuromyelitis optica spectrum disorder>,20200827_swisspar_enspryng_final.pdf,biologics,enspryng,enspryng is used as a monotherapy or in combination with immunosuppressive therapy (ist) for the treatment of neuromyelitis optica spectrum disorders (nmosd) in adult and adolescents in whom aquaporin-4 igg antibodies are detected (i.e. who are aqp4 igg seropositive).,no,enspryng is indicated as monotherapy or in combination with immunosuppressive therapy (ist) for the treatment of adult and adolescent patients with neuromyelitis optica spectrum disorders (nmosd).,<neuromyelitis optica spectrum disorder>,roche pharma (schweiz) ag,roche,67617,satralizumabum,no,yes,solution,,na
intramuscular,16.10.2020,2020,authorised (under additional monitoring),Swissmedic,approved,19.12.2020,2020,infectious and parasitic diseases,<covid-19>,20210430_swisspar_comirnaty.pdf,vaccine,comirnaty,"comirnaty is indicated for active immunisation to prevent covid-19 caused by sars-cov-2 virus, in individuals 16 years of age and older.",no,"active immunisation to prevent covid-19 disease caused by sars-cov-2 virus, in individuals 16 years of age and older.",<covid-19>,"pfizer ag, zurich",pfizer,68225,tozinameranum,yes,no,concentrate,,na
intramuscular,12.11.2020,2020,authorised,Swissmedic,approved,12.01.2021,2021,infectious and parasitic diseases,<coronavirus disease 2019>,20211203_swisspar-spikevax.pdf,vaccine,spikevax,covid-19 vaccine moderna is indicated for active immunisation to prevent coronavirus disease 2019 (covid-19) caused by the sars-cov-2 virus in individuals 18 years of age and older.,no,covid-19 vaccine moderna is indicated for active immunisation to prevent coronavirus disease 2019 (covid-19) caused by the sars-cov-2 virus in individuals 18 years of age and older.,<coronavirus disease 2019>,moderna switzerland gmbh,moderna,68267,cx-024414,yes,no,dispersion,,na
subcutaneous,01.11.2022,2022,authorised (under additional monitoring),Swissmedic,approved,23.06.2023,2023,"endocrine, nutritional, and metabolic diseases; diseases of the nervous system",<transthyretin amyloidosis>,2024-04-23_final_assessment_report_swisspar_amvuttra_mit_fi_engl.pdf,small molecule,amvuttra,treatment of hereditary transthyretin-mediated amyloidosis (hattr amyloidosis) in adult patients with stage 1 or stage 2 polyneuropathy,no,treatment of hereditary transthyretin-mediated amyloidosis (hattr amyloidosis) in adult patients with stage 1 or stage 2 polyneuropathy,<transthyretin amyloidosis>,alnylam switzerland gmbh,alnylam,69074,vutrisiran sodium,yes,yes,solution,,ema
autologous; intravenous,30.10.2020,2020,authorised,Swissmedic,approved,28.03.2022,2022,neoplasms; diseases of the blood and blood-forming organs,<diffuse large b-cell lymphoma>; <primary mediastinal large b-cell lymphoma>,2024-07-22_final_swisspar_breyanzi_mit_fi.pdf,cell and gene therapy,breyanzi,treatment of adult patients with relapsed or refractory diffuse large b-cell lymphoma (dlbcl) and primary mediastinal large b-cell lymphoma (pmbcl) after at least 2 prior therapies.,no,"treatment of adult patients with relapsed or refractory diffuse large b-cell lymphoma (dlbcl), primary mediastinal large b-cell lymphoma (pmbcl), and follicular lymphoma grade 3b (fl3b) after at least 2 prior therapies.",<diffuse large b-cell lymphoma>; <primary mediastinal large b-cell lymphoma>; <follicular lymphoma>,bristol-myers squibb sa,bristol-myers squibb,67469,lisocabtagene maraleucel,no,yes,dispersion,,na
intravenous,27.12.2022,2022,authorised,Swissmedic,approved,03.05.2024,2024,neoplasms; diseases of the blood and blood-forming organs,<epstein-barr virus-associated post-transplant lymphoproliferative disorder>,2024-07-30_swisspar_und_fi_engl.pdf,cell and gene therapy,ebvallo,"ebvallo is indicated as monotherapy for treatment of adult and paediatric patients 2 years of age and older with relapsed or refractory epstein-barr virus positive post-transplant lymphoproliferative disease (ebv+ ptld) who have received at least one prior therapy. for solid organ transplant patients, prior therapy includes chemotherapy unless chemotherapy is inappropriate.",no,"ebvallo is indicated as monotherapy for treatment of adult and paediatric patients 2 years of age and older with relapsed or refractory epstein-barr virus positive post-transplant lymphoproliferative disease (ebv+ ptld) who have received at least one prior therapy. for solid organ transplant patients, prior therapy includes chemotherapy unless chemotherapy is inappropriate.",<epstein-barr virus-associated post-transplant lymphoproliferative disorder>,pierre fabre pharma sa,pierre fabre,69052,tabelecleucel,yes,yes,dispersion,emea/h/c/004577/0000,ema
intravenous,27.10.2022,2022,authorised (under additional monitoring),Swissmedic,approved,07.12.2023,2023,diseases of the nervous system,"<leukodystrophy, metachromatic>",2024-08-07_final_swisspar_libmeldy_fi_engl.pdf,cell and gene therapy,libmeldy,"libmeldy is indicated for the treatment of metachromatic leukodystrophy (mld) characterised by biallelic mutations in the arylsulfatase a (arsa) gene leading to a reduction of the arsa enzymatic activity: in children with late infantile or early juvenile forms, without clinical manifestations of the disease, in children with the early juvenile form, with early clinical manifestations of the disease, who still have the ability to walk independently, and before the onset of cognitive decline.",no,"libmeldy is indicated for the treatment of metachromatic leukodystrophy (mld) characterised by biallelic mutations in the arylsulfatase a (arsa) gene leading to a reduction of the arsa enzymatic activity: in children with late infantile or early juvenile forms, without clinical manifestations of the disease, in children with the early juvenile form, with early clinical manifestations of the disease, who still have the ability to walk independently, and before the onset of cognitive decline.","<leukodystrophy, metachromatic>",sfl pharma gmbh,sfl,68236,atidarsagene autotemcel,yes,yes,dispersion,,ema
subcutaneous,26.02.2021,2021,authorised (under additional monitoring),Swissmedic,approved,01.12.2021,2021,"endocrine, nutritional, and metabolic diseases",<primary hyperoxaluria type 1>,2024-08-07_final_swisspar_oxlumo_fi_engl.pdf,small molecule,oxlumo,oxlumo is indicated for the treatment of primary hyperoxaluria type 1 (ph1) in all age groups.,no,oxlumo is indicated for the treatment of primary hyperoxaluria type 1 (ph1) in all age groups.,<primary hyperoxaluria type 1>,alnylam switzerland gmbh,alnylam,68239,lumasiran,yes,yes,solution,emea/h/c/005040/0000,ema
