,Marketing_authorisation_number,Drug_name,Non_proprietary_name,Marketing_authorisation_holder,Pharmaceutical_form,Administration_route,Decision,Decision_date,Decision_year,Current_status,Nonclinical_abridged,Orphan_drug_status,Marketing_authorisation_holder_extracted,Drug_class,Disease_class(es),Disease_name(s),Indication_approved_extracted,Application_date,Application_year,Document_name,Indication_approved,Indication_requested,Indication_requested_extracted,Procedure_number,Referral_body,Dataset
0,ANDA018659,ALLOPURINOL,ALLOPURINOL,MYLAN,TABLET,ORAL,Approved,24.10.1986,1986.0,authorised,yes,No,Mylan,Small molecule,,,,,,,,,,,No,FDA
1,ANDA020167,ESTRADIOL,ESTRADIOL,MYLAN PHARMS INC,SYSTEM,TRANSDERMAL,Approved,19.12.2014,2014.0,authorised,yes,No,Mylan,Small molecule,,,,,,,,,,,TBD,FDA
2,ANDA020345,AMINOSYN-HF 8%,AMINO ACIDS,ICU MEDICAL INC,INJECTABLE,INJECTION,Approved,04.04.1996,1996.0,Discontinued,yes,No,ICU,Peptides and proteins,,,,,,,,,,,No,FDA
3,ANDA020360,HEPATASOL 8%,AMINO ACIDS,BAXTER HLTHCARE,INJECTABLE,INJECTION,Approved,04.04.1996,1996.0,Discontinued,yes,No,Baxter,Peptides and proteins,,,,,,,,,,,No,FDA
4,ANDA020374,INPERSOL-LC/LM W/ DEXTROSE 1.5% IN PLASTIC CONTAINER; INPERSOL-LC/LM W/ DEXTROSE 2.5% IN PLASTIC CONTAINER; INPERSOL-LC/LM W/ DEXTROSE 3.5% IN PLASTIC CONTAINER; INPERSOL-LC/LM W/ DEXTROSE 4.25% IN PLASTIC CONTAINER,CALCIUM CHLORIDE,FRESENIUS,SOLUTION,INTRAPERITONEAL,Approved,13.06.1994,1994.0,Discontinued,yes,No,Fresenius,Small molecule,,,,,,,,,,,No,FDA
5,ANDA020512,CLINISOL 15% SULFITE FREE IN PLASTIC CONTAINER,AMINO ACIDS,BAXTER HLTHCARE,INJECTABLE,INJECTION,Approved,30.08.1996,1996.0,authorised,yes,No,Baxter,Peptides and proteins,,,,,,,,,,,No,FDA
6,ANDA021206,,,PLIVA HRVATSKA DOO,,,,,,,yes,No,PLIVA,,,,,,,,,,,,,FDA
7,ANDA040001,METHAZOLAMIDE,METHAZOLAMIDE,ANI PHARMS,TABLET,ORAL,Approved,30.06.1993,1993.0,authorised,yes,No,ANI,Small molecule,Diseases of the eye and adnexa,<Glaucoma>,<Glaucoma>,,,,"INDICATIONS AND USAGE Methazolamide Tablets are indicated in the treatment of ocular conditions where lowering intraocular pressure is likely to be of therapeutic benefit, such as chronic open-angle glaucoma, secondary glaucoma, and preoperatively in acute angle-closure glaucoma where lowering the intraocular pressure is desired before surgery.",,,,No,FDA
8,ANDA040007,HEPARIN SODIUM,HEPARIN SODIUM,DR REDDYS,INJECTABLE,INJECTION,Approved,07.06.1996,1996.0,Discontinued,yes,No,Dr Reddys,Peptides and proteins,,,,,,,,,,,No,FDA
9,ANDA040008,HEPARIN SODIUM,HEPARIN SODIUM,WATSON LABS INC,INJECTABLE,INJECTION,Approved,10.10.1995,1995.0,Discontinued,yes,No,Watson,Peptides and proteins,,,,,,,,,,,No,FDA
10,ANDA040009,ISOSORBIDE DINITRATE,ISOSORBIDE DINITRATE,SUN PHARM INDS INC,tablet,ORAL,Approved,30.12.1998,1998.0,Discontinued,yes,No,SUN,Small molecule,,,,,,,,,,,No,FDA
11,ANDA040010,HYDROXYZINE HYDROCHLORIDE,HYDROXYZINE HYDROCHLORIDE,HIKMA,SYRUP,ORAL,Approved,28.10.1994,1994.0,Discontinued,yes,No,Hikma,Small molecule,,,,,,,,,,,No,FDA
12,ANDA040011,METHAZOLAMIDE,METHAZOLAMIDE,APPLIED ANAL,TABLET,ORAL,Approved,17.07.1997,1997.0,Discontinued,yes,No,APPLIED,Small molecule,,,,,,,,,,,No,FDA
13,ANDA040013,LIDOCAINE HYDROCHLORIDE,LIDOCAINE HYDROCHLORIDE,HOSPIRA,INJECTABLE,INJECTION,Approved,23.06.1995,1995.0,Discontinued,yes,No,Hospira,Small molecule,,,,,,,,,,,No,FDA
14,ANDA040014,LIDOCAINE HYDROCHLORIDE,LIDOCAINE HYDROCHLORIDE,HIKMA,SOLUTION,ORAL,Approved,10.07.1995,1995.0,Discontinued,yes,No,Hikma,Small molecule,Diseases of the digestive system,Not Reported,Not Reported,,,,"INDICATIONS AND USAGE Lidocaine Hydrochloride Oral Topical Solution, USP (Viscous) 2% is indicated for the production of topical anesthesia of irritated or inflamed mucous membranes of the mouth and pharynx. It is also useful for reducing gagging during the taking of X-ray pictures and dental impressions.",,,,No,FDA
15,ANDA040015,NEOSAR,CYCLOPHOSPHAMIDE,TEVA PARENTERAL,INJECTABLE,INJECTION,Approved,29.04.1993,1993.0,Discontinued,yes,No,Teva,Small molecule,,,,,,,,,,,No,FDA
16,ANDA040023,ADRUCIL,FLUOROURACIL,TEVA PARENTERAL,INJECTABLE,INJECTION,Approved,18.10.1991,1991.0,Discontinued,yes,No,Teva,Small molecule,,,,,,,,,,,No,FDA
17,ANDA040026,PROMETHAZINE HYDROCHLORIDE,PROMETHAZINE HYDROCHLORIDE,CHARTWELL RX,SYRUP,ORAL,Approved,25.09.1998,1998.0,authorised,yes,No,Chartwell,Small molecule,,,,,,,,,,,No,FDA
