Administration_route,Application_date,Application_year,Current_status,Dataset,Decision,Decision_date,Decision_year,Disease_class(es),Document_name,Drug_class,Drug_name,Indication_approved,Disease_name(s),Indication_extended,Indication_requested,Indication_requested_extracted,Marketing_authorisation_holder,Marketing_authorisation_holder_extracted,Marketing_authorisation_number,Non_proprietary_name,Nonclinical_abridged,Orphan_drug_status,Pharmaceutical_form,Procedure_number,Referral_body
oral,28.02.2020,2020,authorised,PMDA,approved,04.09.2020,2020,Neoplasms; Diseases of the genitourinary system,000245811.pdf,Small molecule,Zejula,Maintenance treatment of ovarian cancer after the initial chemotherapy; Maintenance treatment of platinum-sensitive recurrent ovarian cancer; Treatment of platinum-sensitive recurrent ovarian cancer with homologous recombination deficiency,<Ovarian Neoplasms>; <Recurrent Ovarian Cancer>,no,Maintenance treatment of ovarian cancer after the initial chemotherapy; Maintenance treatment of platinum-sensitive recurrent ovarian cancer; Treatment of platinum-sensitive recurrent ovarian cancer with homologous recombination deficiency,<Ovarian Neoplasms>,Takeda Pharmaceutical Company Limited,Takeda,000245811,Niraparib,no,no,Capsule,Not reported,NA
oral,26.09.2014,2014,authorised,PMDA,approved,28.05.2015,2015,Neoplasms; Diseases of the blood and blood-forming organs,000212785.pdf,Small molecule,Farydak,Relapsed or refractory multiple myeloma,<Multiple Myeloma>,no,Relapsed or refractory multiple myeloma,<Multiple Myeloma>,Novartis Pharma K.K.,Novartis,000212785,Panobinostat,no,yes,capsule,Not reported,NA
inhalation,10.07.2018,2018,authorised,PMDA,approved,19.04.2019,2019,Infectious and parasitic diseases,000239716.pdf,Small molecule,Inavir,Treatment of influenza A or B virus infection,<Influenza>,no,Treatment of influenza A or B virus infection,<Influenza>,"Daiichi Sankyo Company, Limited",Daiichi Sankyo,000239716,Laninamivir Octanoate Hydrate,yes,no,suspension,Not reported,Not reported
oral,07.08.2014,2014,authorised,PMDA,approved,05.06.2015,2015,"Endocrine, nutritional, and metabolic diseases",000221617.pdf,Small molecule,Livalo,"Hypercholesterolemia, familial hypercholesterolemia",<Hypercholesterolemia>; <Familial Hypercholesterolemia>,yes,Familial hypercholesterolemia in pediatric patients,<Familial Hypercholesterolemia>,"Kowa Company, Ltd.",Kowa,000221617,Pitavastatin Calcium Hydrate,yes,no,tablet,Not reported,Not reported
subcutaneous,10.08.2023,2023,authorised,PMDA,approved,31.05.2024,2024,"Endocrine, nutritional, and metabolic diseases",000274762.pdf,Peptides and proteins,Awiqli,Diabetes mellitus where treatment with insulin is required,<Diabetes Mellitus>,no,Diabetes mellitus where treatment with insulin is required,<Diabetes Mellitus>,Novo Nordisk Pharma Ltd.,Novo Nordisk,000274762,Insulin Icodec,no,no,solution,Not reported,NA
intravenous,13.06.2023,2023,authorised,PMDA,approved,29.02.2024,2024,Diseases of the blood and blood-forming organs,000273743.pdf,Biologics,Vyvgart,Generalized myasthenia gravis; Chronic idiopathic thrombocytopenic purpura,"<Generalized Myasthenia Gravis>; <Thrombocytopenic Purpura, Chronic>",yes,Generalized myasthenia gravis; Primary immune thrombocytopenia,<Generalized Myasthenia Gravis>; <Primary Immune Thrombocytopenia>,Argenx Japan K.K.,Argenx,000273743,Efgartigimod Alfa,yes,yes,injection,Not reported,Not reported
intravenous,14.01.2016,2016,authorised,PMDA,approved,31.10.2016,2016,"Endocrine, nutritional, and metabolic diseases",000227138.pdf,Peptides and proteins,Parsabiv,Secondary hyperparathyroidism in patients on hemodialysis,"<Hyperparathyroidism, Secondary>",no,Secondary hyperparathyroidism in patients on hemodialysis,"<Hyperparathyroidism, Secondary>","Ono Pharmaceutical Co., Ltd.",Ono,000227138,Etelcalcetide,no,no,solution,Not reported,NA
oral,28.07.2004,2004,authorised,PMDA,approved,27.04.2007,2007,Diseases of the nervous system,000153173.pdf,Small molecule,Topina,Concomitant therapy with other antiepileptic drugs for partial seizures (including secondary generalized seizures) in patients who fail to show satisfactory response to other antiepileptic drugs,<Seizures>,no,Concomitant therapy with other antiepileptic drugs for partial seizures (including secondary generalized seizures) in patients who fail to show satisfactory response to other antiepileptic drugs,<Seizures>,"Kyowa Hakko Kogyo Co., Ltd.",Kyowa Hakko Kogyo,000153173,Topiramate,no,no,tablet,Not reported,NA
oral,28.09.2018,2018,authorised,PMDA,approved,29.08.2019,2019,Diseases of the blood and blood-forming organs,000234811.pdf,Small molecule,Evrenzo,Renal anemia in patients on dialysis,<Anemia>,no,Renal anemia in patients on dialysis,<Anemia>,Astellas Pharma Inc.,Astellas,000234811,Roxadustat,no,no,tablet,Not reported,NA
intramuscular,30.09.2014,2014,authorised,PMDA,approved,26.02.2015,2015,Infectious and parasitic diseases; Diseases of the respiratory system,000213511.pdf,Vaccine,Emulsion-adjuvanted Cell-culture Derived Influenza HA Vaccine,Prophylaxis of pandemic influenza,<Influenza>,no,Prophylaxis of pandemic influenza,<Influenza>,The Chemo-Sero-Therapeutic Research Institute (KAKETSUKEN),Chemo-Sero-Therapeutic Research Institute,000213511,Emulsion-adjuvanted Cell-culture Derived Influenza HA Vaccine,yes,yes,emulsion,Not reported,Not reported
