Administration_route,Application_date,Application_year,Current_status,Dataset,Decision,Decision_date,Decision_year,Disease_class(es),Document_name,Drug_class,Drug_name,Indication_approved,Disease_name(s),Indication_extended,Indication_requested,Indication_requested_extracted,Marketing_authorisation_holder,Marketing_authorisation_holder_extracted,Marketing_authorisation_number,Non_proprietary_name,Nonclinical_abridged,Orphan_drug_status,Pharmaceutical_form,Procedure_number,Referral_body
oral,22.07.2021,2021,authorised,SWISSMEDIC,approved,07.06.2022,2022,Diseases of the blood and blood-forming organs,swisspar_orladeyo.pdf,Small molecule,Orladeyo,Routine prevention of recurrent attacks of hereditary angioedema (HAE) in adult and adolescent patients aged 12 years and older.,"<Angioedema, Hereditary>",no,Routine prevention of recurrent attacks of hereditary angioedema (HAE) in adult and adolescent patients aged 12 years and older.,"<Angioedema, Hereditary>",BioCryst Schweiz GmbH,BioCryst,68464,berotralstat,yes,yes,capsule,EMEA/H/C/005138/0000,European Medicines Agency (EMA)
oral,20.05.2019,2019,authorised (under additional monitoring),SWISSMEDIC,approved,05.11.2020,2020,Neoplasms; Diseases of the respiratory system,swisspar_rozlytrek_final.pdf,Small molecule,ROZLYTREK,Solid tumours with NTRK fusion-positive and ROS1-positive advanced non-small cell lung cancer (NSCLC),<Solid Tumors>; <Lung Neoplasms>,no,Solid tumours with NTRK fusion-positive and ROS1-positive advanced non-small cell lung cancer (NSCLC),<Solid Tumors>; <Lung Neoplasms>,Roche Pharma (Schweiz) AG,Roche,67280,entrectinib,no,yes,capsule,Not reported,NA
subcutaneous,12.12.2022,2022,authorised,SWISSMEDIC,approved,07.03.2024,2024,Diseases of the musculoskeletal system and connective tissue,swisspar_tymlos.pdf,Peptides and proteins,Tymlos,Treatment of osteoporosis in postmenopausal women at high risk of fracture.,<Osteoporosis>,no,Treatment of osteoporosis in postmenopausal women at increased risk of fracture.,<Osteoporosis>,Labatec Pharma SA,Labatec,69246,abaloparatide,yes,no,solution,Not reported,EMA
subcutaneous,14.08.2023,2023,authorised (under additional monitoring),SWISSMEDIC,approved,29.07.2024,2024,Diseases of the musculoskeletal system and connective tissue,swisspar_bimzelx_ie_axial_spondyloarthritis.pdf,Biologics,Bimzelx,"Axial spondyloarthritis; Non-radiographic axial spondyloarthritis (nr-axSpA); Ankylosing spondylitis (AS, radiographic axial spondyloarthritis)",<Axial Spondyloarthritis>; <Ankylosing Spondylitis>,yes,"Axial spondyloarthritis; Non-radiographic axial spondyloarthritis (nr-axSpA); Ankylosing spondylitis (AS, radiographic axial spondyloarthritis)",<Axial Spondyloarthritis>; <Ankylosing Spondylitis>,UCB-Pharma SA,UCB,68548,bimekizumab,no,no,solution,Not reported,NA
intravenous; subcutaneous,05.03.2021,2021,authorised,SWISSMEDIC,approved,23.12.2021,2021,Infectious and parasitic diseases,swisspar_ronapreve_final.pdf,Biologics,Ronapreve,Treatment of confirmed COVID-19 in adults and adolescents (12 years of age and older and weighing at least 40 kg) who do not require supplemental oxygen or hospitalisation for COVID-19 and who are at high risk of developing severe COVID-19. Prevention of COVID-19 in adults and adolescents (12 years of age and older and weighing at least 40 kg) who cannot produce an adequate immune response to the SARS-CoV-2 vaccination.,<COVID-19>,no,Treatment of confirmed COVID-19 infection in patients aged 12 years and older and weighing at least 40 kg that do not require supplemental oxygen for COVID-19 and who are at high risk of progressing to severe COVID-19. Prevention of COVID-19 in individuals aged 12 years and older and weighing at least 40 kg who meet certain criteria.,<COVID-19>,Roche Pharma (Schweiz) AG,Roche,68329,"casirivimab, imdevimab",no,no,solution,Not reported,NA
oral,28.02.2023,2023,authorised (under additional monitoring),SWISSMEDIC,approved,13.06.2024,2024,"Diseases of the respiratory system; Endocrine, nutritional, and metabolic diseases",swisspar_trikafta_ie.pd.pdf,Small molecule,Trikafta,Trikafta is indicated for the treatment of cystic fibrosis (CF) in patients aged 2 years and older who have at least one F508del mutation in the cystic fibrosis transmembrane conductance regulator (CFTR) gene,<Cystic Fibrosis>,yes,Trikafta is indicated for the treatment of cystic fibrosis (CF) in patients aged 2 years and older who have at least one F508del mutation in the cystic fibrosis transmembrane conductance regulator (CFTR) gene,<Cystic Fibrosis>,Vertex Pharmaceuticals (CH) GmbH,Vertex,69212,"elexacaftor, ivacaftor, tezacaftor",no,yes,granules,Not reported,NA
subcutaneous,23.12.2022,2022,authorised (under additional monitoring),SWISSMEDIC,approved,01.03.2024,2024,Infectious and parasitic diseases,swisspar_jynneos_final.pdf,Vaccine,JYNNEOS,"Active immunisation against disease caused by smallpox, monkeypox, and vaccinia viruses in adults 18 years of age and older",<Smallpox>; <Monkeypox>,no,"Active immunisation against disease caused by smallpox, monkeypox, and vaccinia virus in adults",<Smallpox>; <Monkeypox>,Bavarian Nordic Switzerland AG,Bavarian Nordic,69173,"modified vaccinia Ankara virus, live attenuated",yes,no,suspension,Not reported,EMA
oral,30.04.2019,2019,authorised,SWISSMEDIC,approved,19.02.2020,2020,Infectious and parasitic diseases,swisspar_xofluza_final.pdf,Small molecule,Xofluza,treatment of uncomplicated influenza in patients aged 12 years and older who have been symptomatic for no more than 48 hours and who are otherwise healthy or at high risk of developing influenza-related complications,<Influenza>,no,treatment of influenza in patients aged 12 years and older who have been symptomatic for no more than 48 hours and who are at high risk of developing influenza-related complications,<Influenza>,Roche Pharma (Schweiz) AG,Roche,67426,baloxavir marboxil,no,no,tablet,Not reported,NA
oral,01.10.2020,2020,authorised (under additional monitoring),SWISSMEDIC,conditional marketing authorisation,29.07.2022,2022,Neoplasms; Other,swisspar_koselugo.pdf,Small molecule,Koselugo,"Koselugo is indicated for the treatment of children and adolescent patients aged 3 years and above with neurofibromatosis type 1 (NF1) and symptomatic, inoperable plexiform neurofibromas (PN).",<Neurofibromatosis 1>,no,"Koselugo is indicated for the treatment of children and adolescents aged 3 years and above with neurofibromatosis type 1 (NF1) and symptomatic, inoperable plexiform neurofibromas (PN).",<Neurofibromatosis 1>,AstraZeneca AG,AstraZeneca,67410,selumetinib,yes,yes,capsule,Not reported,FDA
intramuscular,20.02.2023,2023,authorised (under additional monitoring),SWISSMEDIC,approved,09.01.2024,2024,Infectious and parasitic diseases; Diseases of the respiratory system,swisspar_vaxneuvance_ie.pdf,Vaccine,Vaxneuvance,"Active immunisation for the prevention of invasive disease, pneumonia, and acute otitis media caused by Streptococcus pneumoniae in infants and children from 6 weeks to 5 years of age.",<Streptococcal Infections>; <Pneumonia>; <Otitis Media>,yes,"Active immunisation for the prevention of invasive disease, pneumonia, and acute otitis media caused by Streptococcus pneumoniae in infants, children, and adolescents from 6 weeks to less than 18 years of age.",<Invasive Pneumococcal Disease>; <Pneumonia>; <Otitis Media>,MSD Merck Sharp & Dohme AG,Merck Sharp & Dohme,68752,Streptococcus pneumoniae serotypes 1 / 3 / 4 / 5 / 6A / 6B / 7F / 9V / 14 / 18C / 19A / 19F / 22F / 23F / 33F polysaccharide conjugated to Corynebacterium diphtheriae CRM 197 protein,yes,no,suspension,Not reported,EMA
