Administration_route,Application_date,Application_year,Current_status,Decision,Decision_date,Decision_year,Disease_class(es),Document_name,Drug_class,Drug_name,Indication_approved,Indication_extended,Indication_requested,Marketing_authorisation_holder,Marketing_authorisation_holder_extracted,Marketing_authorisation_number,Non_proprietary_name,Nonclinical_abridged,Orphan_drug_status,Pharmaceutical_form,Procedure_number,Referral_body
oral,28.02.2020,2020,authorised,approved,04.09.2020,2020,Neoplasms; Diseases of the genitourinary system,000245811.pdf,Small molecule,Zejula,Maintenance treatment of ovarian cancer after the initial chemotherapy; Maintenance treatment of platinum-sensitive recurrent ovarian cancer; Treatment of platinum-sensitive recurrent ovarian cancer with homologous recombination deficiency,no,Maintenance treatment of ovarian cancer after the initial chemotherapy; Maintenance treatment of platinum-sensitive recurrent ovarian cancer; Treatment of platinum-sensitive recurrent ovarian cancer with homologous recombination deficiency,Takeda Pharmaceutical Company Limited,Takeda,Not reported,Niraparib,no,no,Capsule,Not reported,NA
oral,26.09.2014,2014,authorised,approved,28.05.2015,2015,Neoplasms; Diseases of the blood and blood-forming organs,000212785.pdf,Small molecule,Farydak,Relapsed or refractory multiple myeloma,no,Relapsed or refractory multiple myeloma,Novartis Pharma K.K.,Novartis,Not reported,Panobinostat,no,yes,capsule,Not reported,NA
inhalation,10.07.2018,2018,authorised,approved,19.04.2019,2019,Infectious and parasitic diseases,000239716.pdf,Small molecule,Inavir,Treatment of influenza A or B virus infection,no,Treatment of influenza A or B virus infection,"Daiichi Sankyo Company, Limited",Daiichi Sankyo,Not reported,Laninamivir Octanoate Hydrate,yes,no,suspension,Not reported,Not reported
oral,07.08.2014,2014,authorised,approved,05.06.2015,2015,"Endocrine, nutritional, and metabolic diseases",000221617.pdf,Small molecule,Livalo,"Hypercholesterolemia, familial hypercholesterolemia",yes,Familial hypercholesterolemia in pediatric patients,"Kowa Company, Ltd.",Kowa,Not reported,Pitavastatin Calcium Hydrate,yes,no,tablet,Not reported,Not reported
subcutaneous,10.08.2023,2023,authorised,approved,31.05.2024,2024,"Endocrine, nutritional, and metabolic diseases",000274762.pdf,Peptides and proteins,Awiqli,Diabetes mellitus where treatment with insulin is required,no,Diabetes mellitus where treatment with insulin is required,Novo Nordisk Pharma Ltd.,Novo Nordisk,Not reported,Insulin Icodec,no,no,solution,Not reported,NA
intravenous,13.06.2023,2023,authorised,approved,29.02.2024,2024,Diseases of the blood and blood-forming organs,000273743.pdf,Biologics,Vyvgart,Generalized myasthenia gravis; Chronic idiopathic thrombocytopenic purpura,yes,Generalized myasthenia gravis; Primary immune thrombocytopenia,Argenx Japan K.K.,Argenx,Not reported,Efgartigimod Alfa,yes,yes,injection,Not reported,Not reported
intravenous,14.01.2016,2016,authorised,approved,31.10.2016,2016,"Endocrine, nutritional, and metabolic diseases",000227138.pdf,Peptides and proteins,Parsabiv,Secondary hyperparathyroidism in patients on hemodialysis,no,Secondary hyperparathyroidism in patients on hemodialysis,"Ono Pharmaceutical Co., Ltd.",Ono,Not reported,Etelcalcetide,no,no,solution,Not reported,NA
oral,28.07.2004,2004,authorised,approved,27.04.2007,2007,Diseases of the nervous system,000153173.pdf,Small molecule,Topina,Concomitant therapy with other antiepileptic drugs for partial seizures (including secondary generalized seizures) in patients who fail to show satisfactory response to other antiepileptic drugs,no,Concomitant therapy with other antiepileptic drugs for partial seizures (including secondary generalized seizures) in patients who fail to show satisfactory response to other antiepileptic drugs,"Kyowa Hakko Kogyo Co., Ltd.",Kyowa Hakko Kogyo,Not reported,Topiramate,no,no,tablet,Not reported,NA
oral,28.09.2018,2018,authorised,approved,29.08.2019,2019,Diseases of the blood and blood-forming organs,000234811.pdf,Small molecule,Evrenzo,Renal anemia in patients on dialysis,no,Renal anemia in patients on dialysis,Astellas Pharma Inc.,Astellas,Not reported,Roxadustat,no,no,tablet,Not reported,NA
intramuscular,30.09.2014,2014,authorised,approved,26.02.2015,2015,Infectious and parasitic diseases; Diseases of the respiratory system,000213511.pdf,Vaccine,Emulsion-adjuvanted Cell-culture Derived Influenza HA Vaccine,Prophylaxis of pandemic influenza,no,Prophylaxis of pandemic influenza,The Chemo-Sero-Therapeutic Research Institute (KAKETSUKEN),Kaketsuken,Not reported,Emulsion-adjuvanted Cell-culture Derived Influenza HA Vaccine,yes,yes,emulsion,Not reported,Not reported
intravenous,30.10.2009,2009,authorised,approved,26.12.2009,2009,Infectious and parasitic diseases,000153628.pdf,Small molecule,Rapiacta,Influenza A or B virus infection,no,Influenza A or B virus infection,"Shionogi & Co., Ltd.",Shionogi,Not reported,Peramivir,no,no,solution,Not reported,NA
subcutaneous,25.05.2018,2018,authorised,approved,22.02.2019,2019,Diseases of the skin; Diseases of the musculoskeletal system and connective tissue,000239461.pdf,Biologics,Skyrizi,"Treatment of psoriasis vulgaris, psoriatic arthritis, pustular psoriasis, and erythrodermic psoriasis in patients with inadequate response to conventional therapies",no,"Treatment of psoriasis vulgaris, psoriatic arthritis, pustular psoriasis, and erythrodermic psoriasis in patients with inadequate response to conventional therapies",AbbVie GK,AbbVie,Not reported,Risankizumab,no,no,solution,Not reported,NA
