Administration_route,Application_date,Application_year,Current_status,Dataset,Decision,Decision_date,Decision_year,Disease_class(es),Document_name,Drug_class,Drug_name,Indication_approved,Indication_approved_extracted,Indication_extended,Indication_requested,Indication_requested_extracted,Marketing_authorisation_holder,Marketing_authorisation_holder_extracted,Marketing_authorisation_number,Non_proprietary_name,Nonclinical_abridged,Orphan_drug_status,Pharmaceutical_form,Procedure_number,Referral_body,Agency
intravenous,31.03.2009,2009,authorised,japan,approved,26.02.2010,2010,diseases of the blood and blood-forming organs,000153009.pdf,biologics,soliris,reduction of hemolysis in patients with paroxysmal nocturnal hemoglobinuria,<paroxysmal nocturnal hemoglobinuria>,no,paroxysmal nocturnal hemoglobinuria,<paroxysmal nocturnal hemoglobinuria>,alexion pharma k.k.,alexion,,eculizumab,yes,yes,solution,,,PMDA
oral,29.02.2008,2008,authorised,japan,approved,29.01.2010,2010,mental and behavioural disorders,000153012.pdf,small molecule,rozerem,improvement of sleep-onset insomnia,<insomnia>,no,insomnia,<insomnia>,takeda pharmaceutical company limited,takeda,,ramelteon,no,no,tablet,,na,PMDA
intravenous,26.02.2008,2008,authorised,japan,approved,31.08.2009,2009,neoplasms; diseases of the blood and blood-forming organs,000153036.pdf,biologics,rasuritek,hyperuricemia associated with cancer chemotherapy,<hyperuricemia>,no,treatment and prophylaxis of acute hyperuricemia associated with the treatment of hematological malignancies,<hyperuricemia>; <hematologic neoplasms>,sanofi-aventis k.k.,sanofi-aventis,,rasburicase,no,no,injection,,na,PMDA
intravenous,26.04.2011,2011,authorised,japan,approved,01.02.2012,2012,neoplasms; diseases of the blood and blood-forming organs,000153052.pdf,biologics,poteligeo,relapsed or refractory ccr4-positive adult t-cell leukemia lymphoma,<adult t-cell leukemia-lymphoma>,no,recurrent/relapsed ccr4-positive adult t-cell leukemia lymphoma,<adult t-cell leukemia-lymphoma>,"kyowa hakko kirin co., ltd.",kyowa hakko kirin,,mogamulizumab,no,yes,solution,,na,PMDA
intravitreous,30.03.2007,2007,authorised,japan,approved,25.04.2008,2008,diseases of the eye and adnexa,000153104.pdf,peptides and proteins,macugen,subfoveal choroidal neovascularization secondary to age-related macular degeneration,<macular degeneration>,no,subfoveal choroidal neovascularization secondary to age-related macular degeneration,<choroidal neovascularization>; <macular degeneration>,pfizer japan inc.,pfizer,,pegaptanib sodium,no,yes,solution,,na,PMDA
oral,30.05.2006,2006,authorised,japan,approved,30.05.2007,2007,infectious and parasitic diseases; diseases of the respiratory system,000153135.pdf,small molecule,geninax,"laryngopharyngitis, tonsillitis, acute bronchitis, pneumonia, secondary infection of chronic respiratory disease, otitis media, sinusitis",<laryngopharyngitis>; <tonsillitis>; <bronchitis>; <pneumonia>; <respiratory tract infections>; <otitis media>; <sinusitis>,no,"laryngopharyngitis, tonsillitis, acute bronchitis, pneumonia, secondary infection of chronic respiratory disease, otitis media, sinusitis",<laryngopharyngitis>; <tonsillitis>; <bronchitis>; <pneumonia>; <respiratory tract infections>; <otitis media>; <sinusitis>,"toyama chemical co., ltd.",toyama,,garenoxacin mesilate hydrate,no,no,tablet,,na,PMDA
oral,28.07.2004,2004,authorised,japan,approved,27.04.2007,2007,diseases of the nervous system,000153173.pdf,small molecule,topina,concomitant therapy with other antiepileptic drugs for partial seizures (including secondary generalized seizures) in patients who fail to show satisfactory response to other antiepileptic drugs,<seizures>,no,concomitant therapy with other antiepileptic drugs for partial seizures (including secondary generalized seizures) in patients who fail to show satisfactory response to other antiepileptic drugs,<seizures>,"kyowa hakko kogyo co., ltd.",kyowa hakko kogyo,,topiramate,no,no,tablet,,na,PMDA
oral,10.12.2007,2007,authorised,japan,approved,24.07.2009,2009,"endocrine, nutritional, and metabolic diseases",000153174.pdf,small molecule,januvia,type 2 diabetes mellitus,<type 2 diabetes mellitus>,no,improvement of post-prandial hyperglycemia in type 2 diabetes mellitus,<type 2 diabetes mellitus>,"banyu pharmaceutical co., ltd.; ono pharmaceutical co., ltd.",banyu; ono,,sitagliptin,no,no,tablet,,na,PMDA
subcutaneous,14.07.2008,2008,authorised,japan,approved,27.11.2009,2009,"endocrine, nutritional, and metabolic diseases",000153180.pdf,peptides and proteins,victoza,type 2 diabetes mellitus,<type 2 diabetes mellitus>,no,type 2 diabetes mellitus,<type 2 diabetes mellitus>,novo nordisk pharma ltd.,novo nordisk,,liraglutide,no,no,solution,,na,PMDA
intramuscular,26.09.2007,2007,authorised,japan,approved,31.08.2009,2009,neoplasms; infectious and parasitic diseases,000153196.pdf,vaccine,cervarix,prevention of cervical cancer (squamous-cell carcinoma and adenocarcinoma) and its precursor lesions (cervical intraepithelial neoplasia [cin] grades 2 and 3) caused by infection with human papillomavirus (hpv) types 16 and 18.,<cervical cancer>; <cervical intraepithelial neoplasia>,no,prevention of cervical cancer (squamous-cell carcinoma and adenocarcinoma) and its precursor lesions (cervical intraepithelial neoplasia [cin] grades 2 and 3) caused by infection with human papillomavirus (hpv) types 16 and 18.,<cervical cancer>; <cervical intraepithelial neoplasia>,glaxosmithkline k.k.,glaxosmithkline,,recombinant adsorbed bivalent human papillomavirus-like particle vaccine,no,no,injection,,na,PMDA
