Administration_route,Application_date,Application_year,Current_status,Decision,Decision_date,Decision_year,Disease_class(es),Document_name,Drug_class,Drug_name,Indication_approved,Indication_approved_extracted,Indication_extended,Indication_requested,Indication_requested_extracted,Marketing_authorisation_holder,Marketing_authorisation_holder_extracted,Marketing_authorisation_number,Non_proprietary_name,Nonclinical_abridged,Orphan_drug_status,Pharmaceutical_form,Procedure_number,Referral_body
oral,22.12.2021,2021,authorised,approved,12.12.2022,2022,Diseases of the nervous system,swisspar_evrysdi_final.pdf,Small molecule,Evrysdi,treatment of 5q-associated spinal muscular atrophy (SMA) in paediatric and adult patients,<Spinal Muscular Atrophy>,yes,treatment of 5q spinal muscular atrophy (SMA),<Spinal Muscular Atrophies of Childhood>,Roche Pharma (Schweiz) AG,Roche,67251,risdiplam,yes,yes,powder for oral solution,Not reported,
oral,01.06.2011,2011,withdrawn,approved,19.01.2012,2012,"Endocrine, nutritional, and metabolic diseases",pioglitazone-actavis-group-epar-public-assessment-report_en.pdf,Small molecule,Pioglitazone Actavis Group,"Pioglitazone is indicated as second or third line treatment of type 2 diabetes mellitus as described below: as monotherapy in adult patients (particularly overweight patients) inadequately controlled by diet and exercise for whom metformin is inappropriate because of contraindications or intolerance, as dual oral therapy in combination with metformin, in adult patients (particularly overweight patients) with insufficient glycaemic control despite maximal tolerated dose of monotherapy with metformin, a sulphonylurea, only in adult patients who show intolerance to metformin or for whom metformin is contraindicated, with insufficient glycaemic control despite maximal tolerated dose of monotherapy with a sulphonylurea, as triple oral therapy in combination with metformin and a sulphonylurea, in adult patients (particularly overweight patients) with insufficient glycaemic control despite dual oral therapy. Pioglitazone is also indicated for combination with insulin in type 2 diabetes mellitus adult patients with insufficient glycaemic control on insulin for whom metformin is inappropriate because of contraindications or intolerance.",<Type 2 Diabetes Mellitus>,no,"Pioglitazone is indicated as second or third line treatment of type 2 diabetes mellitus as described below: as monotherapy in adult patients (particularly overweight patients) inadequately controlled by diet and exercise for whom metformin is inappropriate because of contraindications or intolerance, as dual oral therapy in combination with metformin, in adult patients (particularly overweight patients) with insufficient glycaemic control despite maximal tolerated dose of monotherapy with metformin, a sulphonylurea, only in adult patients who show intolerance to metformin or for whom metformin is contraindicated, with insufficient glycaemic control despite maximal tolerated dose of monotherapy with a sulphonylurea, as triple oral therapy in combination with metformin and a sulphonylurea, in adult patients (particularly overweight patients) with insufficient glycaemic control despite dual oral therapy. Pioglitazone is also indicated for combination with insulin in type 2 diabetes mellitus adult patients with insufficient glycaemic control on insulin for whom metformin is inappropriate because of contraindications or intolerance.",<Type 2 Diabetes Mellitus>,Actavis Group PTC ehf,Actavis,EMA/207946/2012,Pioglitazone,yes,no,tablet,EMEA/H/C/2558,Not reported
intravenous,Not reported,Not reported,withdrawn,withdrawn,25.05.2023,2023,Other,withdrawal-assessment-report-sugammadex-lorien_en.pdf,Other,Sugammadex Lorien,,Not Reported,no,Reversal of neuromuscular blockage induced by rocuronium or vecuronium in adults; routine reversal of rocuronium induced blockage in children and adolescents aged 2 to 17 years,Not Reported,Not reported,Not Reported,EMA/230066/2023,sugammadex,yes,no,solution for injection,EMEA/H/C/006115/0000,Not reported
oral,Not reported,Not reported,authorised,approved,Not reported,Not reported,Infectious and parasitic diseases,rotarix-epar-scientific-discussion_en.pdf,Vaccine,Rotarix,prevention of gastro-enteritis due to rotavirus infection,<Rotavirus Infections>,no,prevention of gastro-enteritis due to rotavirus infection,<Rotavirus Infections>,GlaxoSmithKline Biologicals,GlaxoSmithKline,Not reported,"human rotavirus, live, attenuated",no,no,powder and solvent for suspension for oral use,EMEA/H/C/000639,
subcutaneous,12.01.2018,2018,authorised,approved,31.01.2019,2019,Diseases of the nervous system,ajovy-epar-public-assessment-report_en.pdf,Biologics,AJOVY,treatment of episodic and chronic migraine in adults,<Migraine Disorders>,no,treatment of episodic and chronic migraine in adults,<Migraine Disorders>,TEVA GmbH,TEVA,EMA/118499/2019,fremanezumab,no,no,solution for injection,EMEA/H/C/004833/0000,
Oral,Not reported,2011,authorised,approved,Not reported,2012,Neoplasms,auspar-vemurafenib-121217.pdf,Small molecule,Zelboraf,treatment of unresectable Stage IIIC or Stage IV metastatic melanoma positive for a BRAF V600 mutation,<Melanoma>,no,treatment of unresectable Stage IIIC or Stage IV metastatic melanoma positive for a BRAF V600 mutation,<Melanoma>,Roche Products Pty Limited,Roche,183674,Vemurafenib,no,yes,Tablet,PM-2011-00795-3-4,
oral,05.06.2008,2008,,refused,23.07.2009,2009,Diseases of the musculoskeletal system and connective tissue,impulsor-epar-refusal-public-assessment-report_en.pdf,Small molecule,Impulsor,,Not Reported,no,treatment of Fibromyalgia syndrome,<Fibromyalgia>,Pierre Fabre Médicament,Pierre Fabre,Not reported,milnacipran,no,no,hard capsules,EMEA/H/C/001122,
oral,08.01.2008,2008,authorised,approved,16.07.2008,2008,Diseases of the circulatory system,clopidogrel-winthrop-epar-public-assessment-report_en.pdf,Small molecule,Clopidogrel Winthrop,Prevention of atherothrombotic events in adults,<Arteriosclerosis>,yes,Prevention of atherothrombotic events in adults,<Arteriosclerosis>,Sanofi Pharma Bristol-Myers Squibb SNC,Sanofi Bristol-Myers Squibb,Not reported,clopidogrel,yes,no,Not reported,EMEA/H/C/000975,Not reported
Not reported,Not reported,Not reported,authorised,approved,Not reported,Not reported,Diseases of the circulatory system,irbesartan-hydrochlorothiazide-winthrop-epar-scientific-discussion_en.pdf,Small molecule,IRBESARTAN HYDROCHLOROTHIAZIDE WINTHROP,Treatment of essential hypertension. This fixed dose combination is indicated in patients whose blood pressure is not adequately controlled on Irbesartan or Hydrochlorothiazide alone.,<Hypertension>,yes,Treatment of essential hypertension. This fixed dose combination is indicated in patients whose blood pressure is not adequately controlled on Irbesartan or Hydrochlorothiazide alone.,<Hypertension>,Not reported,Not Reported,Not reported,Not reported,yes,no,Not reported,Not reported,Not reported
oral,21.12.2011,2011,authorised,approved,30.11.2012,2012,Diseases of the circulatory system,000208682.pdf,Small molecule,Eliquis,Reduction of the risk of ischemic stroke and systemic embolism in patients with nonvalvular atrial fibrillation,<Ischemic Stroke>; <Embolism>; <Atrial Fibrillation>,no,Reduction of the risk of stroke and systemic embolism in patients with nonvalvular atrial fibrillation,<Stroke>; <Embolism>; <Atrial Fibrillation>,Bristol-Myers K.K.,Bristol-Myers,Not reported,Apixaban,no,no,Film-coated tablets,Not reported,
Intravenous,13.04.2021,2021,authorised,approved,01.11.2021,2021,Neoplasms,auspar-glu-urea-lys-ahx-hbed-cc-220624.pdf,Peptides and proteins,Illuccix,Radioactive diagnostic agent for use with PET imaging in patients with prostate cancer who are at risk of metastasis and who are suitable for initial definitive therapy or who have suspected recurrence based on elevated serum PSA level,<Prostatic Neoplasms>,no,Radioactive diagnostic agent for use with PET imaging for the evaluation of prostate cancer,<Prostatic Neoplasms>,Telix Pharmaceuticals (ANZ) Pty Ltd,Telix,356332 and 356333,Glu-urea-Lys(ahx)-hbed-CC,yes,no,Powder and diluent for injection,PM-2021-00851-1-4,Not reported
inhalation,04.09.2009,2009,authorised,approved,10.10.2011,2011,Infectious and parasitic diseases; Diseases of the respiratory system,colobreathe-epar-public-assessment-report_en.pdf,Peptides and proteins,Colobreathe,The management of chronic pulmonary infections due to Pseudomonas aeruginosa in patients with cystic fibrosis (CF) aged 6 years and older.,<Chronic Pulmonary Infection>; <Cystic Fibrosis>,no,The treatment of Pseudomonas aeruginosa pulmonary infection in patients aged 6 years and over with cystic fibrosis.,<Pseudomonas Infections>; <Cystic Fibrosis>,Forest Laboratories UK Ltd.,Forest,EMA/913717/2011,colistimethate sodium,no,no,inhalation powder,EMEA/H/C/001225,
intravenous,03.05.2023,2023,authorised (under additional monitoring),approved,03.10.2024,2024,Diseases of the nervous system,swisspar-vyvgart.pdf,Biologics,Vyvgart,Vyvgart is indicated as an add-on to standard therapy for the treatment of adult patients with generalised Myasthenia Gravis (gMG) who are anti-acetylcholine receptor (AChR) antibody positive.,<Myasthenia Gravis>,no,Vyvgart is indicated as an add-on to standard therapy for the treatment of adult patients with generalised Myasthenia Gravis (gMG) who are anti-acetylcholine receptor (AChR) antibody positive.,<Myasthenia Gravis>,argenx Switzerland SA,argenx,69286,efgartigimod alfa,yes,yes,concentrate for solution for infusion,EMEA/H/C/005849/0000,European Medicines Agency (EMA)
Intramuscular,01.03.2019,2019,authorised,approved,24.09.2019,2019,Infectious and parasitic diseases,auspar-influenza-virus-haemagglutinin.pdf,Vaccine,Fluad Quad,Active immunisation against influenza in persons 65 years of age and older.,<Influenza>,no,Active immunisation against influenza in persons 65 years of age and older.,<Influenza>,Seqirus Pty Ltd,Seqirus,"316323, 313724",Influenza virus haemagglutinin,no,no,"Injection, suspension",PM-2019-00120-1-2,
intravenous,27.06.2022,2022,authorised (under additional monitoring),approved,30.11.2023,2023,Diseases of the digestive system,swisspar_omvoh_final.pdf,Biologics,Omvoh,"treatment of adult patients with moderately to severely active ulcerative colitis who have had an inadequate response with, lost response to, or were intolerant to either conventional therapy or a biologic treatment, or have medical contraindications to such therapies.",<Ulcerative Colitis>,no,"treatment of adult patients with moderately to severely active ulcerative colitis who have had an inadequate response with, lost response to, or were intolerant to conventional therapy or a biologic treatment or a Janus kinase (JAK) inhibitor, or have medical contraindications to such therapies.",<Ulcerative Colitis>,Eli Lilly (Suisse) SA,Eli Lilly,68950,mirikizumab,yes,no,concentrate for solution for infusion,Not reported,Not reported
Intramuscular,23.08.2023,2023,authorised (under additional monitoring),approved,06.10.2023,2023,Infectious and parasitic diseases,auspar-spikevax-xbb.1.5-231012.pdf,Vaccine,Spikevax XBB.1.5,Active immunisation to prevent coronavirus disease 2019 (COVID-19) caused by SARS-CoV-2 in individuals 12 years of age and older.,<Coronavirus Disease 2019>,no,Active immunisation to prevent coronavirus disease 2019 (COVID-19) caused by SARS-CoV-2 in individuals 12 years of age and older.,<Coronavirus Disease 2019>,Moderna Australia Pty Ltd,Moderna,418910 and 418911,Andusomeran,yes,no,Suspension for injection,PM-2023-03611-1-2,Not reported
oral,29.11.2021,2021,authorised,approved,26.01.2023,2023,"Endocrine, nutritional, and metabolic diseases",tolvaptan-accord-epar-public-assessment-report_en.pdf,Small molecule,Tolvaptan Accord,Tolvaptan is indicated in adults for the treatment of hyponatremia secondary to the syndrome of inappropriate antidiuretic hormone secretion (SIADH).,<Syndrome of Inappropriate Antidiuretic Hormone Secretion>,no,Tolvaptan is indicated in adults for the treatment of hyponatremia secondary to the syndrome of inappropriate antidiuretic hormone secretion (SIADH).,<Hyponatremia>; <Syndrome of Inappropriate Antidiuretic Hormone Secretion>,Accord Healthcare S.L.U.,Accord,EMA/369354/2023,tolvaptan,yes,no,tablet,EMEA/H/C/005961/0000,Not reported
Intravenous,Not reported,Not reported,authorised,approved,02.12.2014,2014,Diseases of the musculoskeletal system and connective tissue; Diseases of the respiratory system,auspar-elosulfase-alfa-rch-150408.pdf,Biologics,Vimizim,treatment of mucopolysaccharidosis type IVA (MPS IVA; Morquio A syndrome),<Mucopolysaccharidoses>,no,treatment of mucopolysaccharidosis type IVA (MPS IVA; Morquio A syndrome),<Mucopolysaccharidoses>,BioMarin Pharmaceutical Australia Pty Ltd,BioMarin,215523,Elosulfase alfa,no,yes,Concentrate for solution for Infusion,PM-2013-02807-1-3,
Oral,Not reported,Not reported,withdrawn,withdrawn,22.01.2009,2009,Mental and behavioural disorders,ellefore-withdrawal-assessment-report_en.pdf,Small molecule,Ellefore,,Not Reported,no,Treatment of major depressive disorder,"<Depressive Disorder, Major>",Wyeth Europa Limited,Wyeth,EMA/45054/2009,Desvenlafaxine,no,no,Prolonged release oral formulation,EMEA/H/C/932,
Oral,Not reported,Not reported,authorised,approved,18.06.2014,2014,"Endocrine, nutritional, and metabolic diseases",auspar-febuxostat-150108.pdf,Small molecule,Adenuric,Treatment of chronic symptomatic hyperuricaemia in conditions where urate deposition has already occurred (gouty arthritis and/or tophus formation) in adults with gout.,<Gout>,no,"Treatment of chronic hyperuricaemia in conditions where urate deposition has already occurred (including a history, or presence of, tophus and/or gouty arthritis).",<Hyperuricemia>; <Gout>,A Menarini Australia Pty Ltd,Menarini,AUST R 205556,Febuxostat,no,no,Film-coated tablets,PM-2012-03425-1-3,
inhalation,Not reported,Not reported,authorised,approved,27.07.2015,2015,Diseases of the circulatory system; Congenital malformations and chromosomal abnormalities,auspar-nitric-oxide-170515.pdf,Small molecule,INOmax,"Treatment of peri- and post-operative pulmonary hypertension in newborn infants, infants and toddlers, children and adolescents, ages 0-17 years in conjunction with heart surgery.",<Pulmonary Hypertension>,yes,"Treatment of peri- and post-operative pulmonary hypertension in newborn infants, infants and toddlers, children and adolescents, ages 0-17 years in conjunction with heart surgery.",<Pulmonary Hypertension>,Ikaria Australia Pty Ltd,Ikaria,128136,Nitric oxide,no,yes,Medicinal gas,PM-2014-01399-1-3,
oral,07.01.2019,2019,authorised,approved,28.05.2020,2020,Neoplasms; Diseases of the respiratory system,rozlytrek-epar-public-assessment-report_en.pdf,Small molecule,Rozlytrek,"treatment of adult and paediatric patients 12 years of age and older, with solid tumours that have a neurotrophic tyrosine receptor kinase (NTRK) gene fusion, who have a disease that is locally advanced, metastatic or where surgical resection is likely to result in severe morbidity, and who have not received a prior NTRK inhibitor and who have no satisfactory treatment options; treatment of adult patients with ROS1-positive, advanced non-small cell lung cancer (NSCLC) not previously treated with ROS1 inhibitors.",<Solid Tumors>; <Non-Small Cell Lung Cancer>,no,"treatment of adult and paediatric patients with neurotrophic tyrosine receptor kinase (NTRK) fusion-positive locally advanced or metastatic solid tumours, who have progressed following prior therapies or as initial therapy when there are no acceptable standard therapies; treatment of patients with ROS1-positive, advanced non-small cell lung cancer (NSCLC).",<Solid Tumors>; <Non-Small Cell Lung Carcinoma>,Roche Registration GmbH,Roche,EMA/379739/2020,entrectinib,no,yes,hard capsule,EMEA/H/C/004936/0000,
Intramuscular,30.06.2022,2022,authorised,approved,28.07.2023,2023,Infectious and parasitic diseases,auspar-flucelvax-quad-231101.pdf,Vaccine,Flucelvax Quad,"For the prevention of influenza caused by Influenza Virus, Types A and B contained in the vaccine. The vaccine is indicated for use in children 6 months to 2 years of age.",<Influenza>,yes,"For the prevention of influenza caused by Influenza Virus, Types A and B contained in the vaccine. The vaccine is indicated for use in adults and children 6 months of age and older.",<Influenza>,Seqirus Pty Ltd,Seqirus,319093 and 341450,Influenza virus haemagglutinin,yes,no,Suspension for injection,PM-2022-01977-1-2,Not reported
Subcutaneous,Not reported,Not reported,authorised,approved,29.08.2011,2011,Neoplasms; Diseases of the musculoskeletal system and connective tissue,auspar-xgeva.pdf,Biologics,Xgeva,Prevention of skeletal related events in patients with bone metastases from solid tumours,<Neoplasm Metastasis>,yes,Prevention of skeletal related events in adults with advanced malignancies involving bone,<Neoplasms>,Amgen Australia Pty Ltd,Amgen,175041,Denosumab,no,no,Solution for Injection,PM-2010-02051-3-4,
Subcutaneous,Not reported,Not reported,authorised,approved,26.10.2010,2010,"Endocrine, nutritional, and metabolic diseases",auspar-prolia.pdf,Biologics,Prolia,The treatment of osteoporosis in postmenopausal women,<Osteoporosis>,no,Treatment of osteoporosis in postmenopausal women; Treatment of bone loss associated with hormone ablation in men with prostate cancer,<Osteoporosis>; <Prostatic Neoplasms>,Amgen Australia Pty Ltd,Amgen,"159322, 159323, 159324",Denosumab,no,no,Solution for injection,PM-2009-00390-3-5,
Intravitreal,23.11.2023,2023,authorised,approved,12.12.2024,2024,"Diseases of the eye and adnexa; Endocrine, nutritional, and metabolic diseases",eydenzelt-epar-public-assessment-report_en.pdf,Biologics,Eydenzelt,neovascular (wet) age-related macular degeneration (AMD); visual impairment due to macular oedema secondary to retinal vein occlusion (branch RVO or central RVO); visual impairment due to diabetic macular oedema (DME); visual impairment due to myopic choroidal neovascularisation (myopic CNV),<Macular Degeneration>; <Retinal Vein Occlusion>; <Diabetic Macular Edema>; <Myopia>,no,neovascular (wet) age-related macular degeneration (AMD); visual impairment due to macular oedema secondary to retinal vein occlusion (branch RVO or central RVO); visual impairment due to diabetic macular oedema (DME); visual impairment due to myopic choroidal neovascularisation (myopic CNV),<Macular Degeneration>; <Retinal Vein Occlusion>; <Diabetic Macular Edema>; <Myopia>,Celltrion Healthcare Hungary Kft.,Celltrion,EMA/1268/2025,aflibercept,no,no,Solution for injection,EMEA/H/C/005899/0000,
oral,Not reported,Not reported,withdrawn,withdrawn,29.05.2019,2019,"Diseases of the nervous system; Endocrine, nutritional, and metabolic diseases",ekesivy-withdrawal-assessment-report_en.pdf,Small molecule,Ekesivy,,Not Reported,no,treatment of periodic paralysis,<Periodic Paralysis>,Not reported,Not Reported,EMA/603042/2019,diclofenamide,yes,yes,tablet,EMEA/H/C/005141/0000,Not reported
oral,17.05.2013,2013,authorised,approved,29.11.2013,2013,Diseases of the circulatory system,000207309.pdf,Small molecule,Adempas,Inoperable chronic thromboembolic pulmonary hypertension (CTEPH) or postoperative persistent or recurrent CTEPH,"<Hypertension, Pulmonary>",no,Inoperable chronic thromboembolic pulmonary hypertension (CTEPH) or postoperative persistent or recurrent CTEPH,"<Hypertension, Pulmonary>","Bayer Yakuhin, Ltd.",Bayer,Not reported,Riociguat,no,yes,tablet,Not reported,
oral,Not reported,Not reported,authorised,approved,Not reported,Not reported,Infectious and parasitic diseases,stocrin-epar-scientific-discussion_en.pdf,Small molecule,Stocrin,"antiviral combination treatment of HIV-1 infected adults, adolescents and children of 3 years of age and older",<HIV Infections>,no,"antiviral combination treatment of HIV-1 infected adults, adolescents and children of 3 years of age and older",<Human Immunodeficiency Virus>,Not reported,Not Reported,Not reported,efavirenz,no,no,hard capsules; oral solution; film-coated tablets,EMEA/H/C/000249,
oral,05.06.2020,2020,authorised,approved,28.04.2021,2021,Diseases of the circulatory system,000250274.pdf,Small molecule,Verquvo,Chronic heart failure (only in patients who are receiving standard treatment for chronic heart failure),<Heart Failure>,no,Chronic heart failure (only in patients who are receiving standard treatment for chronic heart failure),<Heart Failure>,"Bayer Yakuhin, Ltd.",Bayer,Not reported,Vericiguat,no,no,tablet,Not reported,
subcutaneous,23.05.2017,2017,authorised,approved,31.05.2018,2018,Diseases of the nervous system,aimovig-epar-public-assessment-report_en.pdf,Biologics,Aimovig,prophylaxis of migraine in adults who have at least 4 migraine days per month,<Migraine Disorders>,no,prophylaxis of migraine in adults who have at least 4 migraine days per month,<Migraine Disorders>,Novartis Europharm Ltd,Novartis,EMA/CHMP/413393/2018,erenumab,no,no,solution for subcutaneous injection,EMEA/H/C/004447/0000,
Oral,Not reported,Not reported,authorised,approved,07.03.2011,2011,"Endocrine, nutritional, and metabolic diseases",auspar-onglyza.pdf,Small molecule,Onglyza,"Add-on combination - Onglyza is indicated in patients with type 2 diabetes mellitus, to improve glycaemic control, in combination with metformin, a sulfonylurea, or a thiazolidinedione, as an adjunct to diet and exercise, when the single agent alone does not provide adequate glycaemic control.",<Type 2 Diabetes Mellitus>,no,"Onglyza is indicated in patients with type 2 diabetes mellitus, to improve glycaemic control, as an adjunct to diet and exercise.",<Type 2 Diabetes Mellitus>,Bristol-Myers Squibb Australia Pty Ltd,Bristol-Myers Squibb,157907,Saxagliptin,no,no,Film coated tablets,Not reported,
oral,01.03.2017,2017,authorised,approved,13.12.2018,2018,Diseases of the digestive system,rizmoic-epar-public-assessment-report_en.pdf,Small molecule,Rizmoic,treatment of opioid-induced constipation (OIC) in adult patients who have previously been treated with a laxative,<Constipation>,no,treatment of opioid-induced constipation (OIC) in adult patients,<Constipation>,Shionogi B.V.,Shionogi,EMA/466/2019,naldemedine,no,no,film-coated tablet,EMEA/H/C/004256/0000,
Oral,Not reported,Not reported,authorised,approved,04.05.2015,2015,Neoplasms,auspar-netupitant-161028.pdf,Small molecule,Akynzeo,Prevention of acute and delayed nausea and vomiting associated with initial and repeat courses of highly and moderately emetogenic cancer chemotherapy.,<Neoplasms>,no,Prevention of acute and delayed nausea and vomiting associated with initial and repeat courses of highly and moderately emetogenic cancer chemotherapy.,<Neoplasms>,Mundipharma Pty Ltd,Mundipharma,222237,Netupitant/palonosetron,no,no,Capsule,PM-2014-00341-1-4,
subcutaneous,Not reported,Not reported,authorised,approved,Not reported,Not reported,Diseases of the musculoskeletal system and connective tissue,forsteo-epar-scientific-discussion_en.pdf,Peptides and proteins,Forsteo,treatment of established osteoporosis in postmenopausal women,<Osteoporosis>,no,treatment of established osteoporosis in postmenopausal women,<Osteoporosis>,Eli Lilly and Company,Eli Lilly,Not reported,teriparatide,no,no,solution for injection,Not reported,
intralesional,28.08.2014,2014,authorised,approved,22.10.2015,2015,Neoplasms,imlygic-epar-public-assessment-report_en.pdf,Biologics,Imlygic,"treatment of adults with unresectable melanoma that is regionally or distantly metastatic (Stage IIIB, IIIC and IVM1a) with no bone, brain, lung or other visceral disease",<Melanoma>,no,treatment of adults with melanoma that is regionally or distantly metastatic,<Melanoma>,Amgen Europe B.V.,Amgen,EMA/734400/2015,talimogene laherparepvec,no,no,solution for intralesional injection,EMEA/H/C/002771/0000,
Injection,Not reported,Not reported,authorised,approved,17.03.2014,2014,Diseases of the nervous system; Diseases of the musculoskeletal system and connective tissue,auspar-botulinum-toxin-type-a-150915.pdf,Biologics,Xeomin,Cervical dystonia in adults; Blepharospasm in adults; Post-stroke spasticity of the upper limb in adults; Glabellar frown lines in adults,<Cervical Dystonia>; <Blepharospasm>; <Stroke>; <Facial Dermatoses>,no,Cervical dystonia in adults; Blepharospasm in adults; Post-stroke spasticity of the upper limb in adults; Glabellar frown lines in adults,<Cervical Dystonia>; <Blepharospasm>; <Stroke>,Merz Australia Pty Ltd,Merz,205507 and 205508,Botulinum toxin type A,no,no,Powder for injection,PM-2012-04159-1-1,
