Vizamyl	EMEA/H/C/002557
Pepaxti	EMEA/H/C/005681
Tandemact	EMEA/H/C/000680
Vyvgart	EMEA/H/C/005849
Adzynma	EMEA/H/C/006198
Revasc	EMEA/H/C/000104
Truvada	EMEA/H/C/000594
Zynquista	EMEA/H/C/004889
Rezolsta	EMEA/H/C/002819
Loargys	EMEA/H/C/005484
Thorinane	EMEA/H/C/003795
Qaialdo	EMEA/H/C/005535
Vibativ	EMEA/H/C/000864
Allex	EMEA/H/C/000312
ViraferonPeg	EMEA/H/C/000329
Cimzia	EMEA/H/C/000740
Prandin	EMEA/H/C/000362
Evotopin	EMEA/H/C/000124
Pirfenidone axunio (previously Pirfenidone AET)	EMEA/H/C/005873
Arxxant	EMEA/H/C/000753
