Administration_route_human,Administration_route_llm,Administration_route_verdict_human,Application_date_human,Application_date_llm,Application_date_verdict_human,Application_year_human,Application_year_llm,Application_year_verdict_human,Current_status_human,Current_status_llm,Current_status_verdict_human,Decision_date_human,Decision_date_llm,Decision_date_verdict_human,Decision_human,Decision_llm,Decision_verdict_human,Decision_year_human,Decision_year_llm,Decision_year_verdict_human,Disease_class(es)_human,Disease_class(es)_llm,Disease_class(es)_verdict_human,Document_name_human,Document_name_llm,Document_name_verdict_human,Drug_class_human,Drug_class_llm,Drug_class_verdict_human,Drug_name_human,Drug_name_llm,Drug_name_verdict_human,Indication_approved_human,Indication_approved_llm,Indication_approved_verdict_human,Indication_extended_human,Indication_extended_llm,Indication_extended_verdict_human,Indication_requested_human,Indication_requested_llm,Indication_requested_verdict_human,Marketing_authorisation_holder_human,Marketing_authorisation_holder_llm,Marketing_authorisation_holder_verdict_human,Marketing_authorisation_number_human,Marketing_authorisation_number_llm,Marketing_authorisation_number_verdict_human,Non_proprietary_name_human,Non_proprietary_name_llm,Non_proprietary_name_verdict_human,Nonclinical_abridged_human,Nonclinical_abridged_llm,Nonclinical_abridged_verdict_human,Orphan_drug_status_human,Orphan_drug_status_llm,Orphan_drug_status_verdict_human,Pharmaceutical_form_human,Pharmaceutical_form_llm,Pharmaceutical_form_verdict_human,Referral_body_human,Referral_body_llm,Referral_body_verdict_human
subcutaneous,subcutaneous,match,18.05.2020,18.05.2020,match,2020,2020,match,authorised,authorised,match,09.09.2021,09.09.2021,match,approved,approved,match,2021.0,2021,,"""endocrine, nutritional, and metabolic diseases"", diseases of the blood and blood-forming organs, diseases of the digestive system","endocrine, nutritional, and metabolic diseases; diseases of the circulatory system",,2024-09-13_swisspar_leqvio_fi_engl.pdf,2024-09-13_swisspar_leqvio_fi_engl.pdf,match,small molecule,small molecule,match,leqvio,leqvio,match,same,hypercholesterolaemia and mixed dyslipidaemia,,no,no,match,"hypercholesterolaemia (including heterozygous familial hypercholesterolaemia) or mixed dyslipidaemia,","inclisiran is intended for use in adults with hypercholesterolaemia (including heterozygous familial hypercholesterolaemia) or mixed dyslipidaemia, as an adjunct to diet.",,novartis pharma schweiz ag,novartis pharma schweiz ag,match,67836,67836,match,inclisiran,inclisiran,match,no,no,match,no,no,match,solution for injection in pre-filled syringe,solution for injection in pre-filled syringe,match,,na,
subretinal,subretinal,match,10.05.2019,10.05.2019,match,2019,2019,match,authorised,authorised,match,14.02.2020,14.02.2020,match,approved,approved,match,2020.0,2020,,"diseases of the eye and adnexa, congenital malformations and chomosomal abnormalities",diseases of the eye and adnexa,,2020-04-15_swisspar_luxturna-final.pdf,2020-04-15_swisspar_luxturna-final.pdf,match,cell and gene therapy,cell and gene therapy,match,luxturna,luxturna,match,same,luxturna is used for the treatment of adult and paediatric patients with vision loss due to inherited retinal dystrophy caused by confirmed biallelic rpe65 mutations and who have sufficient viable retinal cells.,,no,no,match,inherited retinal dystrophy with biallelic rpe65 mutations (adults and pediatric patients),luxturna is used for the treatment of adult and paediatric patients with vision loss due to inherited retinal dystrophy caused by confirmed biallelic rpe65 mutations and who have sufficient viable retinal cells.,,novartis pharma schweiz ag,novartis pharma schweiz ag,match,67371,67371,match,voretigene neparvovec,voretigene neparvovec,match,no,no,match,yes,yes,match,"concentrate for solution for injection, solvent for solution for injection",concentrate and solvent for solution for injection,,,na,
subcutaneous,subcutaneous,match,01.11.2022,01.11.2022,match,2022,2022,match,authorised,authorised (under additional monitoring),,23.06.2023,23.06.2023,match,approved,approved,match,2023.0,2023,,"diseases of the nervous system, ""endocrine, nutritional, and metabolic diseases"", congenital malformations and chomosomal abnormalities","endocrine, nutritional, and metabolic diseases; diseases of the nervous system",,2024-04-23_final_assessment_report_swisspar_amvuttra_mit_fi_engl.pdf,2024-04-23_final_assessment_report_swisspar_amvuttra_mit_fi_engl.pdf,match,cell and gene therapy,small molecule,,amvuttra,amvuttra,match,same,treatment of hereditary transthyretin-mediated amyloidosis (hattr amyloidosis) in adult patients with stage 1 or stage 2 polyneuropathy,,no,no,match,hereditary transthyretin-mediated amyloidosis (hattr amyloidosis) in adult patients with polyneuropathy (stage 1 or 2),treatment of hereditary transthyretin-mediated amyloidosis (hattr amyloidosis) in adult patients with stage 1 or stage 2 polyneuropathy,,alnylam switzerland gmbh,alnylam switzerland gmbh,match,69074,69074,match,vutrisiran sodium,vutrisiran sodium,match,yes,yes,match,yes,yes,match,solution for injection in pre-filled syringe,solution for injection in pre-filled syringe,match,ema,ema,match
"autologous, intravenous",autologous and intravenous,,30.10.2020,30.10.2020,match,2020,2020,match,authorised,authorised,match,28.03.2022,28.03.2022,match,approved,approved,match,2022.0,2022,,"neoplasms, diseases of the blood and blood-forming organs",neoplasms; diseases of the blood and blood-forming organs,,2024-07-22_final_swisspar_breyanzi_mit_fi.pdf,2024-07-22_final_swisspar_breyanzi_mit_fi.pdf,match,biologics,cell and gene therapy,,breyanzi,breyanzi,match,relapsed or refractory diffuse large b-cell lymphoma (dlbcl) and primary mediastinal large b-cell lymphoma (pmbcl) after at least 2 prior therapies.,treatment of adult patients with relapsed or refractory diffuse large b-cell lymphoma (dlbcl) and primary mediastinal large b-cell lymphoma (pmbcl) after at least 2 prior therapies.,,no,no,match,"elapsed or refractory diffuse large b-cell lymphoma (dlbcl), primary mediastinal large b-cell lymphoma (pmbcl), and follicular lymphoma grade 3b (fl3b) after at least 2 prior therapies.","treatment of adult patients with relapsed or refractory diffuse large b-cell lymphoma (dlbcl), primary mediastinal large b-cell lymphoma (pmbcl), and follicular lymphoma grade 3b (fl3b) after at least 2 prior therapies.",,"bristol-myers squibb sa, steinhausen",bristol-myers squibb sa,,67469,67469,match,lisocabtagene maraleucel,lisocabtagene maraleucel,match,no,no,match,yes,yes,match,dispersion for injection,dispersion for infusion,,,na,
intravenous,intravenous,match,27.12.2022,27.12.2022,match,2022,2022,match,authorised,authorised,match,03.09.2024,03.05.2024,,approved,approved,match,2024.0,2024,,"neoplasms, diseases of the blood and blood-forming organs, infectious and parasitic diseases",neoplasms; diseases of the blood and blood-forming organs,,2024-07-30_swisspar_und_fi_engl.pdf,2024-07-30_swisspar_und_fi_engl.pdf,match,biologics,cell and gene therapy,,ebvallo,ebvallo,match,same,"ebvallo is indicated as monotherapy for treatment of adult and paediatric patients 2 years of age and older with relapsed or refractory epstein-barr virus positive post-transplant lymphoproliferative disease (ebv+ ptld) who have received at least one prior therapy. for solid organ transplant patients, prior therapy includes chemotherapy unless chemotherapy is inappropriate.",,no,no,match,adult and paediatric patients 2 years of age and older with relapsed or refractory epstein-barr virus positive post-transplant lymphoproliferative disease (ebv+ ptld) who have received at least one prior therapy,"ebvallo is indicated as monotherapy for treatment of adult and paediatric patients 2 years of age and older with relapsed or refractory epstein-barr virus positive post-transplant lymphoproliferative disease (ebv+ ptld) who have received at least one prior therapy. for solid organ transplant patients, prior therapy includes chemotherapy unless chemotherapy is inappropriate.",,pierre fabre pharma sa,pierre fabre pharma sa,match,69052,69052,match,tabelecleucel,tabelecleucel,match,yes,yes,match,yes,yes,match,dispersion for injection,dispersion for injection,match,ema,ema,match
intravenous,intravenous,match,27.10.2022,27.10.2022,match,2022,2022,match,authorised,authorised (under additional monitoring),,07.12.2023,07.12.2023,match,approved,approved,match,2023.0,2023,,"""endocrine, nutritional, and metabolic diseases"", diseases of the nervous system, congenital malformations and chomosomal abnormalities",diseases of the nervous system,,2024-08-07_final_swisspar_libmeldy_fi_engl.pdf,2024-08-07_final_swisspar_libmeldy_fi_engl.pdf,match,biologics,cell and gene therapy,,libmeldy,libmeldy,match,same,"libmeldy is indicated for the treatment of metachromatic leukodystrophy (mld) characterised by biallelic mutations in the arylsulfatase a (arsa) gene leading to a reduction of the arsa enzymatic activity: in children with late infantile or early juvenile forms, without clinical manifestations of the disease, in children with the early juvenile form, with early clinical manifestations of the disease, who still have the ability to walk independently, and before the onset of cognitive decline.",,no,no,match,metachromatic leukodystrophy (mld) arylsulfatase a (arsa) gene leading to a reduction of the arsa enzymatic activity (…),"libmeldy is indicated for the treatment of metachromatic leukodystrophy (mld) characterised by biallelic mutations in the arylsulfatase a (arsa) gene leading to a reduction of the arsa enzymatic activity: in children with late infantile or early juvenile forms, without clinical manifestations of the disease, in children with the early juvenile form, with early clinical manifestations of the disease, who still have the ability to walk independently, and before the onset of cognitive decline.",,sfl pharma gmbh,sfl pharma gmbh,match,68236,68236,match,atidarsagene autotemcel,atidarsagene autotemcel,match,yes,yes,match,yes,yes,match,dispersion for infusion,dispersion for infusion,match,ema,ema,match
subcutaneous,subcutaneous,match,26.02.2021,26.02.2021,match,2021,2021,match,authorised,authorised (under additional monitoring),,01.12.2021,01.12.2021,match,approved,approved,match,2021.0,2021,,"diseases of the genitourinary system, congenital malformations and chomosomal abnormalities, ""endocrine, nutritional, and metabolic diseases""","endocrine, nutritional, and metabolic diseases",,2024-08-07_final_swisspar_oxlumo_fi_engl.pdf,2024-08-07_final_swisspar_oxlumo_fi_engl.pdf,match,small molecule,small molecule,match,oxlumo®,oxlumo,,same,oxlumo is indicated for the treatment of primary hyperoxaluria type 1 (ph1) in all age groups.,,no,no,match,primary hyperoxaluria type 1 (ph1) all age groups,oxlumo is indicated for the treatment of primary hyperoxaluria type 1 (ph1) in all age groups.,,alnylam switzerland gmbh,alnylam switzerland gmbh,match,68239,68239,match,lumasiran,lumasiran,match,yes,yes,match,yes,yes,match,solution for injection,solution for injection,match,ema,ema,match
subcutaneous,subcutaneous,match,02.07.202,02.06.2020,,202,2020,,authorised,authorised (under additional monitoring),,29.03.2021,29.03.2021,match,approved,approved,match,2021.0,2021,,"congenital malformations and chomosomal abnormalities, diseases of the digestive system, diseases of the nervous system","endocrine, nutritional, and metabolic diseases",,2024-09-13_swisspar_givlaari_fi_engl-1.pdf,2024-09-13_swisspar_givlaari_fi_engl-1.pdf,match,small molecule,small molecule,match,givlaari,givlaari,match,same,treatment of acute hepatic porphyria in adults and adolescents aged 12 years and older.,,no,no,match,acute hepatic porphyria (ahp) in adults and adolescents aged 12 years or older,treatment of acute hepatic porphyria in adults and adolescents aged 12 years and older.,,alnylam switzerland gmbh,alnylam switzerland gmbh,match,67895,67895,match,"givosiran, givosiran sodium",givosiran,,yes,yes,match,yes,yes,match,solution for injection,solution for injection,match,ema,ema,match
intramuscular,intramuscular,match,21.01.2021,21.01.2021,match,2021,2021,match,authorised,authorised (under additional monitoring),,10.11.2021,10.11.2021,match,approved,approved,match,2021.0,2021,,infectious and parasitic diseases,infectious and parasitic diseases,match,2024-09-16_swisspar_ervebo_fi_engl.pdf,2024-09-16_swisspar_ervebo_fi_engl.pdf,match,vaccine,vaccine,match,ervebo,ervebo,match,same,active immunisation of individuals 18 years of age or older to protect against ebola virus disease (evd) caused by zaire ebola virus.,,no,no,match,ebola virus disease (evd) in patients aged 18 years or older,active immunisation of individuals 18 years of age or older to protect against ebola virus disease (evd) caused by zaire ebola virus.,,msd merck sharp & dohme ag,msd merck sharp & dohme ag,match,68358,68358,match,"ebola zaire vaccine (rvsvδg-zebov- gp, live)","ebola zaire vaccine (rvsv δg-zebov-gp, live)",,yes,yes,match,no,no,match,solution for injection,solution for injection,match,ema,ema,match
"autologous, intravenous",autologous and intravenous,,03.12.2021,03.12.2021,match,2021,2021,match,authorised,authorised (under additional monitoring),,12.01.2023,12.01.2023,match,approved,approved,match,2023.0,2023,,"diseases of the blood and blood-forming organs, neoplasms",neoplasms; diseases of the blood and blood-forming organs,,2024-09-26_final_swisspar_tecartus_rrall_fi_engl.pdf,2024-09-26_final_swisspar_tecartus_rrall_fi_engl.pdf,match,biologics,cell and gene therapy,,tecartus,tecartus,match,relapsed or refractory b-cell precursor acute lymphoblastic leukaemia (all) after 2 or more systemic therapies,tecartus is indicated for the treatment of adult patients with relapsed or refractory b-cell precursor acute lymphoblastic leukaemia (all) after 2 or more systemic therapies.,,yes,yes,match,relapsed or refractory b-cell precursor acute lymphoblastic leukaemia (all),tecartus is indicated for the treatment of adult patients with relapsed or refractory b-cell precursor acute lymphoblastic leukaemia (all).,,gilead sciences switzerland sàrl,gilead sciences switzerland sàrl,match,67884,67884,match,brexucaptagene autoleucel,brexucaptagene autoleucel,match,no,yes,,yes,yes,match,dispersion for infusion,dispersion for infusion,match,???,na,
