Administration_route_human,Administration_route_llm,Administration_route_verdict_human,Application_date_human,Application_date_llm,Application_date_verdict_human,Application_year_human,Application_year_llm,Application_year_verdict_human,Current_status_human,Current_status_llm,Current_status_verdict_human,Decision_date_human,Decision_date_llm,Decision_date_verdict_human,Decision_human,Decision_llm,Decision_verdict_human,Decision_year_human,Decision_year_llm,Decision_year_verdict_human,Disease_class(es)_human,Disease_class(es)_llm,Disease_class(es)_verdict_human,Document_name_human,Document_name_llm,Document_name_verdict_human,Drug_class_human,Drug_class_llm,Drug_class_verdict_human,Drug_name_human,Drug_name_llm,Drug_name_verdict_human,Indication_approved_human,Indication_approved_llm,Indication_approved_verdict_human,Indication_extended_human,Indication_extended_llm,Indication_extended_verdict_human,Indication_requested_human,Indication_requested_llm,Indication_requested_verdict_human,Marketing_authorisation_holder_human,Marketing_authorisation_holder_llm,Marketing_authorisation_holder_verdict_human,Marketing_authorisation_number_human,Marketing_authorisation_number_llm,Marketing_authorisation_number_verdict_human,Non_proprietary_name_human,Non_proprietary_name_llm,Non_proprietary_name_verdict_human,Nonclinical_abridged_human,Nonclinical_abridged_llm,Nonclinical_abridged_verdict_human,Orphan_drug_status_human,Orphan_drug_status_llm,Orphan_drug_status_verdict_human,Pharmaceutical_form_human,Pharmaceutical_form_llm,Pharmaceutical_form_verdict_human,Referral_body_human,Referral_body_llm,Referral_body_verdict_human
oral,oral,match,30.11.2021,30.11.2021,match,2021,2021,match,authorised,authorised (under additional monitoring),,23.01.2023,23.01.2023,match,approved,approved,match,2023.0,2023,,diseases of the musculoskeletal system and connective tissue,diseases of the musculoskeletal system and connective tissue; neoplasms,,auspar-xeljanz-240828.pdf,auspar-xeljanz-240828.pdf,match,small molecule,small molecule,match,xeljanz,xeljanz,match,same,ankylosing spondylitis (as); juvenile idiopathic arthritis (jia),,yes,yes,match,"ankylosing spondylitis (as): xeljanz is indicated for the treatment of adult patients with active ankylosing spondylitis who have responded inadequately to conventional therapy, juvenile idiopathic arthritis (jia): xeljanz is indicated for the treatment of active polyarticular course juvenile idiopathic arthritis and juvenile psoriatic arthritis in patients 2 years of age and older.",ankylosing spondylitis (as); juvenile idiopathic arthritis (jia),,pfizer australia pty ltd,pfizer australia pty ltd,match,"196987, 233439, 298307, 381790, 381810, 386772","196987, 233439, 298307, 381790, 381810, 386772",match,tofacitinib,tofacitinib,match,yes,yes,match,no,no,match,film-coated tablets,"tablets, film-coated or extended release; oral solution",,australia,not reported,
intravenous,intravenous,match,21.02.2019,31.07.2019,,2019,2019,match,authorised,authorised (under additional monitoring),,15.07.2020,15.07.2020,match,approved,approved,match,2020.0,2020,,"diseases of the circulatory system, diseases of the blood and blood-forming organs",diseases of the blood and blood-forming organs,,auspar-defibrotide-201203.pdf,auspar-defibrotide-201203.pdf,match,small molecule,biologics,,defitelio,defitelio,match,same,treatment of severe hepatic veno-occlusive disease (vod) also known as sinusoidal obstruction syndrome (sos) in haematopoietic stem-cell transplantation (hsct) therapy.,,no,no,match,"defitelio is indicated for the treatment of severe hepatic veno-occlusive disease (vod) also known as sinusoidal obstruction syndrome (sos) in haematopoietic stem-cell transplantation (hsct) therapy. it is indicated in adults and in adolescents, children and infants of 1 month of age and above.",treatment of severe hepatic veno-occlusive disease (vod) also known as sinusoidal obstruction syndrome (sos) in haematopoietic stem-cell transplantation (hsct) therapy.,,link medical products pty ltd,link medical products pty ltd,match,319221,319221,match,defibrotide,defibrotide,match,no,no,match,yes,yes,match,concentrated solution for infusion,concentrated solution for infusion,match,,na,
oral,oral,match,not reported,not reported,match,not reported,not reported,match,authorised,authorised,match,13.12.2016,13.12.2016,match,approved,approved,match,2016.0,2016,,infectious and parasitic diseases,infectious and parasitic diseases,match,auspar-sofosbuvir-velpatasvir-171108.pdf,auspar-sofosbuvir-velpatasvir-171108.pdf,match,small molecule,small molecule,match,epclusa,epclusa,match,same,"treatment of chronic hepatitis c virus (hcv) infection (genotype 1, 2, 3, 4, 5 or 6) in adults",,no,no,match,epclusa (sofosbuvir/velpatasvir fixed dose combination) is indicated for the treatment of chronic hepatitis c virus (hcv) infection in adults.,treatment of chronic hepatitis c virus (hcv) infection in adults,,gilead sciences pty ltd,gilead sciences pty ltd,match,266823,266823,match,sofosbuvir / velpatasvir,sofosbuvir / velpatasvir,match,no,no,match,no,no,match,film-coated tablets,film coated tablet,,,na,
oral,oral,match,31.01.2019,31.01.2019,match,2019,2019,match,authorised,authorised (under additional monitoring),,"28.01.2020, 05.02.2020",28.01.2020,,approved,approved,match,2020.0,2020,,"neoplasms, diseases of the blood and blood-forming organs",neoplasms; diseases of the blood and blood-forming organs,,auspar-venetoclax-200924.pdf,auspar-venetoclax-200924.pdf,match,small molecule,small molecule,match,venclexta,venclexta,match,"acute myeloid leukaemia: venclexta, as part of combination therapy, is indicated for the treatment of newly diagnosed adult patients with acute myeloid leukaemia (aml) who are ineligible for intensive chemotherapy. this medicine has provisional approval in australia for the treatment of newly diagnosed patients with aml who are ineligible for intensive chemotherapy. the decision to approve this indication has been made on the basis of interim data (overall response rate and duration of response). continued approval of this indication depends on verification and description of benefit in confirmatory trials.",treatment of newly diagnosed patients with acute myeloid leukaemia (aml) who are ineligible for intensive chemotherapy.,,yes,yes,match,venclexta is indicated for the treatment of newly diagnosed patients with acute myeloid leukaemia (aml) who are ineligible for intensive chemotherapy.,treatment of newly diagnosed patients with acute myeloid leukaemia (aml) who are ineligible for intensive chemotherapy.,,abbvie pty ltd,abbvie pty ltd,match,"267441, 267442, 267443, 267444, 267445","267441, 267442, 267443, 267444, 267445",match,venetoclax,venetoclax,match,yes,yes,match,yes,yes,match,film-coated tablets,film coated tablet,,australia,not reported,
intravenous,intravenous,match,not reported,not reported,match,not reported,not reported,match,authorised,authorised,match,15.03.2010,15.03.2010,match,approved,approved,match,2010.0,2010,,diseases of the digestive system,"endocrine, nutritional, and metabolic diseases",,auspar-smoflipid.pdf,auspar-smoflipid.pdf,match,other,other,match,smoflipid,smoflipid,match,same,"supply of energy and essential fatty acids to patients, as part of a parenteral nutrition regimen, when oral or enteral nutrition is impossible, insufficient or contraindicated.",,no,no,match,"supply of energy and essential fatty acids and omega-3 fatty acids to patients, as part of a parenteral nutrition regimen, when oral or enteral nutrition is impossible, insufficient or contraindicated.","supply of energy and essential fatty acids and omega-3 fatty acids to patients, as part of a parenteral nutrition regimen, when oral or enteral nutrition is impossible, insufficient or contra-indicated.",,fresenius kabi australia pty ltd,fresenius kabi australia pty ltd,match,156359,156359,match,"soya oil, medium chain triglycerides, olive oil, fish oil","soya oil, medium chain triglycerides, olive oil, fish oil",match,no,no,match,no,no,match,emulsion for intravenous infusion,emulsion for intravenous infusion,match,,na,
intravenous,intravenous,match,30.04.2015,30.04.2015,match,2015,2015,match,authorised,authorised,match,01.04.2016,23.03.2016,,approved,approved,match,2016.0,2016,,diseases of the blood and blood-forming organs,diseases of the blood and blood-forming organs,match,auspar-octocog-alfa-bhk-190423.pdf,auspar-octocog-alfa-bhk-190423.pdf,match,peptides and proteins,biologics,,kovaltry,kovaltry,match,same,treatment and prophylaxis of bleeding in patients with haemophilia a (congenital factor viii deficiency).,,no,no,match,kovaltry is indicated for the treatment and prophylaxis of bleeding in subjects with haemophilia a (congenital factor viii deficiency). kovaltry can be used for all age groups. (see clinical trials section). kovaltry does not contain von willebrand factor and is not indicated in von willebrand disease.,treatment and prophylaxis of bleeding in patients with haemophilia a (congenital factor viii deficiency).,,bayer australia pty ltd,bayer australia pty ltd,match,"246796, 246795, 246794 246793, 236280","246796, 246795, 246794, 246793, 236280",,octocog alfa,octocog alfa,match,no,no,match,no,no,match,powder for injection with diluent,powder for injection with diluent,match,,na,
intravenous,intravenous,match,01.04.2021,01.04.2021,match,2021,2021,match,authorised,authorised (under additional monitoring),,30.06.2022,30.06.2022,match,approved,approved,match,2022.0,2022,,"neoplasms, diseases of the genitourinary system",neoplasms; diseases of the genitourinary system,,auspar-padcev-230227.pdf,auspar-padcev-230227.pdf,match,biologics,biologics,match,padcev,padcev,match,padcev as monotherapy is indicated for the treatment of adult patients with locally advanced or metastatic urothelial cancer who have previously received a platinum-containing chemotherapy and a programmed receptor-1 or programmed death-ligand-1 inhibitor.,treatment of adult patients with locally advanced or metastatic urothelial cancer who have previously received a platinum-containing chemotherapy and a programmed receptor-1 or programmed death-ligand-1 inhibitor.,,no,no,match,"padcev is indicated for the treatment of adult patients with locally advanced (la) or metastatic urothelial cancer (muc) who have received a programmed death receptor-1 (pd-1) or programmed death-ligand 1 (pd-l1) inhibitor and who: have received a platinum-containing chemotherapy in the neoadjuvant/adjuvant, la or metastatic setting or are not eligible for cisplatin-containing chemotherapy.",treatment of adult patients with locally advanced or metastatic urothelial cancer who have received a pd-1 or pd-l1 inhibitor and a platinum-containing chemotherapy.,,astellas pharma australia pty ltd,astellas pharma australia pty ltd,match,"355870, 367410","355870, 367410",match,enfortumab vedotin,enfortumab vedotin,match,no,no,match,no,no,match,powder for injection,powder for injection,match,,na,
oral,oral,match,??.05.2015,not reported,,2015,2015,match,authorised,authorised,match,16.05.2016,16.05.2016,match,approved,approved,match,2016.0,2016,,diseases of the musculoskeletal system and connective tissue,"endocrine, nutritional, and metabolic diseases",,auspar-lesinurad-160920.pdf,auspar-lesinurad-160920.pdf,match,small molecule,small molecule,match,zurampic,zurampic,match,zurampic is indicated in combination with a xanthine oxidase inhibitor for the treatment of hyperuricaemia associated with gout in patients who have not achieved target serum uric acid levels with an adequate dose of a xanthine oxidase inhibitor alone,for the treatment of hyperuricaemia associated with gout in combination with a xanthine oxidase inhibitor for patients who have not achieved target serum uric acid levels with an adequate dose of a xanthine oxidase inhibitor alone.,,no,no,match,[f]or the treatment of hyperuricaemia associated with gout in combination with a xanthine oxidase inhibitor.,for the treatment of hyperuricaemia associated with gout in combination with a xanthine oxidase inhibitor.,,astrazeneca pty ltd,astrazeneca pty ltd,match,236961,236961,match,lesinurad,lesinurad,match,no,no,match,no,no,match,film-coated tablets,"immediate release, film coated oral tablet",,,na,
intramuscular,intramuscular,match,02.12.2019,02.12.2019,match,2019,2019,match,authorised,authorised,match,12.05.2021,12.05.2021,match,approved,approved,match,2021.0,2021,,infectious and parasitic diseases,infectious and parasitic diseases; diseases of the respiratory system,,auspar-influenza-haemagglutinin-recombinant-210708.pdf,auspar-influenza-haemagglutinin-recombinant-210708.pdf,match,vaccine,vaccine,match,flublok quadrivalent,flublok quadrivalent,match,same,active immunisation for the prevention of influenza disease caused by influenza virus types a and b contained in the vaccine.,,no,no,match,flublok quadrivalent is indicated for active immunisation for the prevention of influenza disease caused by influenza. flublok quadrivalent is approved for use in persons 18 years of age and older.,active immunisation for the prevention of influenza disease caused by influenza virus types a and b contained in the vaccine.,,sanofi-aventis australia pty ltd,sanofi-aventis australia pty ltd,match,325683,325683,match,influenza haemagglutinin recombinant,influenza haemagglutinin recombinant,match,yes,yes,match,no,no,match,solution for injection,solution for injection,match,australia,not reported,
"oral, subcutaneous",subcutaneous; oral,,02.05.2022,02.05.2022,match,2022,2022,match,authorised,authorised (under additional monitoring),,23.03.2023,23.03.2023,match,approved,approved,match,2023.0,2023,,infectious and parasitic diseases,infectious and parasitic diseases,match,auspar-sunlenca-240123.pdf,auspar-sunlenca-240123.pdf,match,small molecule,small molecule,match,sunlenca,sunlenca,match,same,treatment of adults with multidrug resistant hiv-1 infection for whom it is otherwise not possible to construct a suppressive anti-viral regimen.,,no,no,match,"sunlenca, in combination with other antiretroviral(s), is indicated for the treatment of human immunodeficiency virus type 1 (hiv-1) infection in adults and paediatric patients weighing at least 35 kg with multidrug resistant hiv-1 infection failing their current antiretroviral regimen due to resistance, intolerance, or safety considerations.","treatment of human immunodeficiency virus type 1 (hiv-1) infection in adults and paediatric patients weighing at least 35 kg with multidrug resistant hiv-1 infection failing their current antiretroviral regimen due to resistance, intolerance, or safety considerations.",,gilead sciences pty ltd,gilead sciences pty ltd,match,"386895, 392350",386895; 392350,,lenacapavir sodium,lenacapavir sodium,match,no,no,match,no,no,match,"solution for injection, film-coated tablets",solution for injection; film coated tablets,,,na,
