File Name,Origin,Marketing_authorisation_number,Drug,Non_proprietary_name,Drug_class,Pharmaceutical_form,Administration_route,Decision,Current_status,Decision_date,Orphan_drug_status,Indication_requested,Indication_approved,Disease_class(es),Application_date,Nonclinical_pharmacology_species,Nonclinical_pharmacology_strain,Nonclinical_pharmacology_model,Nonclinical_pharmacokinetics_species,Nonclinical_pharmacokinetics_strain,Nonclinical_pharmacokinetics_model,Nonclinical_toxicology_species,Nonclinical_toxicology_strain,Nonclinical_toxicology_model
SwissPAR_Epidyolex_IE-1.pdf,Swissmedic,67590,Epidyolex,cannabidiol,Small molecule,oral solution,oral,approved,authorised,30.08.2022,no,adjunctive therapy of seizures associated with tuberous sclerosis complex (TSC) for patients 1 year of age and older,adjunctive therapy of tuberous sclerosis complex (TSC) in patients 2 years of age and older,Diseases of the nervous system,02.09.2021,"rat, mouse",Not reported,Not reported,"rat, mouse",Not reported,Not reported,"rat, mouse",Not reported,Not reported
SwissPAR_Exkivity.pdf,Swissmedic,68147,Exkivity,mobocertinib,Small molecule,hard capsules,oral,temporary authorisation,authorised (under additional monitoring),01.06.2022,yes,"treatment of adult patients with epidermal growth factor receptor (EGFR) exon 20 insertion mutation-positive locally advanced or metastatic non-small cell lung cancer (NSCLC), who have received prior platinum-based chemotherapy",same,Neoplasms,31.08.2021,mouse,Not reported,Not reported,mouse,Not reported,Not reported,mouse,Not reported,Not reported
SwissPAR_Jynneos_final.pdf,Swissmedic,69173,JYNNEOS,"modified vaccinia Ankara virus, live attenuated",Vaccine,suspension for injection,subcutaneous,approved,authorised,01.03.2024,no,"Active immunisation against disease caused by smallpox, monkeypox, and vaccinia virus in adults",same,Infectious and parasitic diseases,23.12.2022,"mouse, monkey",Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported
SwissPAR_Rinvoq_AS_final.pdf,Swissmedic,67257,Rinvoq,upadacitinib,Small molecule,prolonged-release tablet,oral,approved,authorised,23.03.2021,no,RINVOQ is used for the treatment of adults with active ankylosing spondylitis who responded inadequately to conventional therapy.,RINVOQ is indicated for the treatment of active ankylosing spondylitis in adult patients who have responded inadequately to non-steroidal anti-inflammatory drugs (NSAIDs).,Diseases of the musculoskeletal system and connective tissue,17.06.2020,"rat, mouse",not reported,Not reported,"rat, mouse",not reported,Not reported,"rat, mouse",not reported,Not reported
SwissPAR Rinvoq_morbus Crohn.pdf,Swissmedic,67257,Rinvoq,upadacitinib as upadacitinib hemihydrate,Small molecule,prolonged-release tablets,oral use,approved,authorised,07.06.2024,no,treatment of adult patients with moderately to severely active Crohn's disease,same,Diseases of the digestive system,01.11.2022,"rat, mouse",not reported,Not reported,"rat, mouse",not reported,Not reported,"rat, mouse",not reported,Not reported
SwissPAR_Aspaveli.pdf,Swissmedic,68674,Aspaveli,pegcetacoplan,Biologics,solution for infusion,subcutaneous use,approved,authorised,23.03.2023,yes,treatment of adult patients with paroxysmal nocturnal haemoglobinuria (PNH) previously treated with standard therapy,same,Diseases of the blood and blood-forming organs,06.01.2022,monkey,cynomolgus monkey,Not reported,monkey,cynomolgus monkey,Not reported,monkey,cynomolgus monkey,Not reported
SwissPAR Cablivi Indikationserweiterung.pdf,Swissmedic,66792,Cablivi,caplacizumab,Biologics,Powder and solvent for solution for injection,"Subcutaneous use, intravenous use",approved,authorised,08.07.2021,yes,"Cablivi is used for the treatment of adults and adolescents of 12 years and older weighing at least 40 kg suffering from an episode of acquired thrombotic thrombocytopenic purpura (aTTP), in combination with plasmapheresis and immunosuppression.",same,Diseases of the blood and blood-forming organs,27.05.2020,"guinea pig, monkey",Not reported,Not reported,"guinea pig, monkey",Not reported,Not reported,"guinea pig, monkey",Not reported,Not reported
SwissPAR_Bimzelx_final.pdf,Swissmedic,68548,Bimzelx,bimekizumab,Biologics,solution for injection in a pre-filled syringe,subcutaneous,approved,authorised,27.10.2022,no,treatment of moderate to severe plaque psoriasis in adults who are candidates for systemic therapy or phototherapy,same,Diseases of the skin,16.06.2021,hamster,CHO hamster,Not reported,hamster,CHO hamster,Not reported,monkey,cynomolgus monkey,Not reported
SwissPAR_Rinvoq_IE.pdf,Swissmedic,67257,Rinvoq,upadacitinib as upadacitinib hemihydrate,Small molecule,prolonged-release tablet,oral,approved,authorised,26.11.2021,no,moderate to severe atopic dermatitis in adults who are candidates for systemic therapy,same,Diseases of the skin,19.10.2020,"rat, mouse",Not reported,Not reported,"rat, mouse",Not reported,Not reported,"rat, mouse",Not reported,Not reported
SwissPAR_Defitelio-1.pdf,Swissmedic,67667,DEFITELIO,defibrotide,Biologics,concentrate for solution for infusion,intravenous use,approved,authorised,21.09.2020,yes,severe hepatic veno-occlusive disease (VOD) also known as sinusoidal obstruction syndrome (SOS) in haematopoietic stem-cell transplantation (HSCT),same,Diseases of the circulatory system,02.08.2019,"rat, mouse",Not reported,Not reported,"rat, mouse",Not reported,Not reported,"rat, mouse",Not reported,Not reported
SwissPAR_Nexviadyme.pdf,Swissmedic,67871,Nexviadyme,avalglucosidase alfa,Biologics,powder for concentrate for solution for infusion,intravenous use,approved,authorised,17.11.2021,yes,long-term enzyme replacement therapy for the treatment of patients with late-onset Pompe’s disease (LOPD),same,"Endocrine, nutritional, and metabolic diseases",21.10.2020,mouse,GAAKO mouse,Not reported,"mouse, monkey, rabbit","GAAKO mouse, cynomolgus monkey, CD-1 mouse",Not reported,"mouse, monkey, rabbit","GAAKO mouse, cynomolgus monkey, CD-1 mouse",Not reported
SwissPAR_Adtralza_final.pdf,Swissmedic,68229,ADTRALZA,tralokinumab,Biologics,solution for injection in pre-filled syringe,subcutaneous,approved,authorised,24.02.2022,no,treatment of moderate-to-severe atopic dermatitis in adult patients who are candidates for systemic therapy,same,Diseases of the skin,22.01.2021,"mouse, monkey","NS0 mouse, cynomolgus monkey",Not reported,monkey,cynomolgus monkey,Not reported,monkey,cynomolgus monkey,Not reported
SwissPAR_Rinvoq_final.pdf,Swissmedic,67257,Rinvoq,"upadacitinib, upadacitinib hemihydrate",Small molecule,prolonged-release tablet,oral,approved,authorised,20.01.2020,no,treatment of adults with moderately to severely active rheumatoid arthritis,same,Diseases of the musculoskeletal system and connective tissue,11.01.2019,"mouse, rat, dog","CByB6F1 mouse, Sprague Dawley rat, Beagle dog","acute concanavalin A-induced arthritis mouse, chronic adjuvant-induced arthritis rat","mouse, rat, rabbit, dog","CByB6F1 mouse, Sprague Dawley rat, Beagle dog",Not reported,"rat, dog","Sprague Dawley rat, Beagle dog",Not reported
SwissPAR Vabysmo G102701735.pdf,Swissmedic,68395,Vabysmo,faricimab,Biologics,solution for injection,intravitreal,approved,authorised,11.07.2024,no,Treatment of macular oedema due to retinal vein occlusion (branch retinal vein occlusion (BRVO) and central retinal vein occlusion (CRVO)).,same,Diseases of the eye and adnexa,24.08.2023,"rat, mouse",Not reported,Not reported,"rat, mouse",Not reported,Not reported,Not reported,Not reported,Not reported
SwissPAR_Pombiliti.pdf,Swissmedic,67804,Pombiliti,cipaglucosidase alfa,Biologics,powder for concentrate for solution for infusion,parenteral,approved,authorised,04.07.2024,yes,long-term enzyme replacement therapy for the treatment of adults with late-onset Pompe disease,same,"Endocrine, nutritional, and metabolic diseases",12.06.2023,hamster,CHO hamster,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported
SwissPAR_Elucirem-1.pdf,Swissmedic,68791,Elucirem,gadopiclenol,Small molecule,solution for injection,intravenous use,approved,authorised,21.12.2023,no,Magnetic resonance imaging (MRI) contrast media for central nervous system (CNS) diagnostics and other body regions.,same,Diseases of the nervous system,16.05.2022,"rat, mouse",Not reported,Not reported,"rat, dog",Not reported,Not reported,"rat, dog",Not reported,Not reported
SwissPAR_Epidyolex_final_zur Publikation.pdf,Swissmedic,67590,Epidyolex,cannabidiol,Small molecule,solution,oral,approved,authorised,10.02.2021,yes,adjunctive therapy of seizures associated with Lennox-Gastaut syndrome or Dravet syndrome in patients 2 years of age and older,same,Diseases of the nervous system,11.06.2019,"rat, mouse",Not reported,Not reported,"rat, mouse",Not reported,Not reported,"rat, mouse",Not reported,Not reported
SwissPAR_Spravato.pdf,Swissmedic,67103,Spravato,esketamine as esketamine hydrochloride,Small molecule,"Nasal spray, solution",nasal,approved,authorised,25.02.2020,no,treatment-resistant depression,same,Mental and behavioural disorders,03.01.2019,"rat, mouse, dog",Not reported,Not reported,"rat, dog, mouse, rabbit",Not reported,Not reported,"rat, dog",Not reported,Not reported
SwissPAR Trodelvy HR_HER2- Brustkrebs.pdf,Swissmedic,68179,Trodelvy,sacituzumab govitecan,Biologics,powder for concentrate for infusion,intravenous,approved,authorised,18.08.2023,no,"treatment of adult patients with unresectable locally advanced or metastatic hormone receptor (HR)-positive, human epidermal growth factor receptor 2 (HER2)-negative breast cancer",same,Neoplasms,31.01.2023,mouse,Not reported,Not reported,mouse,Not reported,Not reported,mouse,Not reported,Not reported
SwissPAR_Voydeya.pdf,Swissmedic,69301,Voydeya,danicopan,Small molecule,film-coated tablets,oral,approved,authorised,30.04.2024,yes,treatment of signs or symptoms of extravascular haemolysis (EVH) in adult patients with paroxysmal nocturnal haemoglobinuria (PNH),same,Diseases of the blood and blood-forming organs,17.05.2023,"dog, rabbit","beagle dog, New Zealand white rabbit",Not reported,"mouse, rat, rabbit, dog",Not reported,Not reported,"rat, dog",Not reported,Not reported
