Administration_route_human,Administration_route_llm,Administration_route_verdict_human,Application_date_human,Application_date_llm,Application_date_verdict_human,Application_year_human,Application_year_llm,Application_year_verdict_human,Current_status_human,Current_status_llm,Current_status_verdict_human,Decision_date_human,Decision_date_llm,Decision_date_verdict_human,Decision_human,Decision_llm,Decision_verdict_human,Decision_year_human,Decision_year_llm,Decision_year_verdict_human,Disease_class(es)_human,Disease_class(es)_llm,Disease_class(es)_verdict_human,Document_name_human,Document_name_llm,Document_name_verdict_human,Drug_class_human,Drug_class_llm,Drug_class_verdict_human,Drug_name_human,Drug_name_llm,Drug_name_verdict_human,Indication_approved_human,Indication_approved_llm,Indication_approved_verdict_human,Indication_extended_human,Indication_extended_llm,Indication_extended_verdict_human,Indication_requested_human,Indication_requested_llm,Indication_requested_verdict_human,Marketing_authorisation_holder_human,Marketing_authorisation_holder_llm,Marketing_authorisation_holder_verdict_human,Marketing_authorisation_number_human,Marketing_authorisation_number_llm,Marketing_authorisation_number_verdict_human,Non_proprietary_name_human,Non_proprietary_name_llm,Non_proprietary_name_verdict_human,Nonclinical_abridged_human,Nonclinical_abridged_llm,Nonclinical_abridged_verdict_human,Orphan_drug_status_human,Orphan_drug_status_llm,Orphan_drug_status_verdict_human,Pharmaceutical_form_human,Pharmaceutical_form_llm,Pharmaceutical_form_verdict_human,Referral_body_human,Referral_body_llm,Referral_body_verdict_human
subcutaneous,subcutaneous,match,03.06.2013,03.06.2013,match,2013,2013,match,authorised,authorised,match,26.06.2014,26.06.2014,match,approved,approved,match,2014.0,2014,match,"""endocrine, nutritional, and metabolic diseases""","endocrine, nutritional, and metabolic diseases",match,abasria-epar-public-assessment-report_en.pdf,abasria-epar-public-assessment-report_en.pdf,match,biologics,biologics,match,abasaglar (previously abasria),abasria,match,same,"treatment of diabetes mellitus in adults, adolescents and children aged 2 years and above.",match,no,no,match,adults and children over the age of two for the treatment of diabetes,"treatment of diabetes mellitus in adults, adolescents and children aged 2 years and above.",match,eli lilly regional operations gmbh,eli lilly regional operations gmbh,match,ema/chmp/340840/2014,ema/chmp/340840/2014,match,insulin glargine,insulin glargine,match,yes,no,no_match,no,no,match,solution for injection,solution for subcutaneous injection,match,ema,na,
intravenous,intravenous,match,30.04.2020,30.04.2020,match,2020,2020,match,authorised,authorised,match,24.06.2021,24.06.2021,match,approved,approved,match,2021.0,2021,match,"neoplasms, ""endocrine, nutritional, and metabolic diseases""",neoplasms; diseases of the blood and blood-forming organs,partial_0.5,abecma-epar-public-assessment-report_en.pdf,abecma-epar-public-assessment-report_en.pdf,match,cell and gene therapy,cell and gene therapy,match,abecma,abecma,match,"adult patients with relapsed or refractory multiple myeloma who have already received at least two prior therapies, including an immunomodulatory agent, a proteasome inhibitor and an anti-cd38 antibody","treatment of adult patients with multiple myeloma who have received at least three prior therapies, including an immunomodulatory agent, a proteasome inhibitor, and an anti-cd38 antibody",match,no,no,match,treatment of multiple myeloma,"treatment of adult patients with multiple myeloma who have received at least three prior therapies, including an immunomodulatory agent, a proteasome inhibitor, and an anti-cd38 antibody",match,celgene europe bv,celgene europe bv,match,ema/409800/2021,ema/409800/2021,match,idecabtagene vicleucel,idecabtagene vicleucel,match,no,no,match,yes,yes,match,dispersion for infusion,dispersion for infusion,match,,na,
oral,oral,match,not reported,not reported,match,not reported,not reported,match,authorised,authorised,match,not reported,not reported,match,approved,approved,match,not reported,not reported,match,"mental and behavioural disorders, diseases of the nervous system",mental and behavioural disorders,partial_0.5,abilify-epar-scientific-discussion_en.pdf,abilify-epar-scientific-discussion_en.pdf,match,small molecule,small molecule,match,abilify,abilify,match,"schizophrenia in adults and in adolescents aged 15 years and older, treatment of moderate to severe manic episodes in bipolar i disorder, 12 weeks of moderate to severe manic episodes in bipolar i disorder in adolescents aged 13 years and older",treatment of schizophrenia,partial_0.5,no,no,match,treatment of schizophrenia,treatment of schizophrenia,match,mylan ire healthcare limited,not reported,no_match,not reported,not reported,match,aripiprazole,aripiprazole,match,no,no,match,no,no,match,tablet,tablet,match,,na,
intramuscular,intramuscular,match,30.11.2012,30.11.2012,match,2012,2012,match,authorised,authorised,match,19.09.2013,19.09.2013,match,approved,approved,match,2013.0,2013,match,"mental and behavioural disorders, diseases of the nervous system",mental and behavioural disorders,partial_0.5,abilify-maintena-epar-public-assessment-report_en.pdf,abilify-maintena-epar-public-assessment-report_en.pdf,match,small molecule,small molecule,match,abilify maintena,abilify maintena,match,maintainance of treatment of schizophrenia in adult patients stabilised with oral aripiprazole,maintenance treatment of schizophrenia in adult patients stabilized with oral aripiprazole,match,yes,yes,match,maintenance treatment of schizophrenia in adults,maintenance treatment of schizophrenia in adults,match,otsuka pharmaceutical europe ltd,otsuka pharmaceutical europe ltd,match,ema/737723/2013,ema/737723/2013,match,aripiprazole,aripiprazole,match,yes,no,no_match,no,no,match,powder and solvent for prolonged-release suspension for injection,powder and solvent for prolonged-release suspension for injection,match,ema,na,
oral,oral,match,12.09.2019,12.09.2019,match,2019,2019,match,authorised,authorised,match,25.02.2021,25.02.2021,match,approved,approved,match,2021.0,2021,match,"neoplasms, diseases of the genitourinary system",neoplasms,partial_0.5,abiraterone-accord-epar-public-assessment-report_en.pdf,abiraterone-accord-epar-public-assessment-report_en.pdf,match,small molecule,small molecule,match,abiraterone accord,abiraterone accord,match,"newly diagnosed high risk metastatic hormone sensitive prostate cancer (mhspc) in adult men in combination with androgen deprivation therapy (adt), metastatic castration resistant prostate cancer (mcrpc) in adult men who are asymptomatic or mildly symptomatic after failure of androgen deprivation therapy in whom chemotherapy is not yet clinically indicated,  mcrpc in adult men whose disease has progressed on or after a docetaxel-based chemotherapy regimen",treatment of newly diagnosed high risk metastatic hormone sensitive prostate cancer (mhspc) in adult men in combination with androgen deprivation therapy (adt); treatment of metastatic castration resistant prostate cancer (mcrpc) in adult men who are asymptomatic or mildly symptomatic after failure of androgen deprivation therapy in whom chemotherapy is not yet clinically indicated; treatment of mcrpc in adult men whose disease has progressed on or after a docetaxel-based chemotherapy regimen.,match,no,no,match,"newly diagnosed high risk metastatic hormone sensitive prostate cancer (mhspc) in adult men in combination with androgen deprivation therapy (adt), metastatic castration resistant prostate cancer (mcrpc) in adult men who are asymptomatic or mildly symptomatic after failure of androgen deprivation therapy in whom chemotherapy is not yet clinically indicated,  mcrpc in adult men whose disease has progressed on or after a docetaxel-based chemotherapy regimen",treatment of newly diagnosed high risk metastatic hormone sensitive prostate cancer (mhspc) in adult men in combination with androgen deprivation therapy (adt); treatment of metastatic castration resistant prostate cancer (mcrpc) in adult men who are asymptomatic or mildly symptomatic after failure of androgen deprivation therapy in whom chemotherapy is not yet clinically indicated; treatment of mcrpc in adult men whose disease has progressed on or after a docetaxel-based chemotherapy regimen.,match,accord healthcare s.l.u.,accord healthcare s.l.u.,match,ema/174959/2021,ema/174959/2021,match,abiraterone,abiraterone acetate,match,yes,yes,match,no,no,match,tablet,tablet,match,???,not reported,
oral,oral,match,29.06.2020,29.06.2020,match,2020,2020,match,authorised,authorised,match,22.04.2021,22.04.2021,match,approved,approved,match,2021.0,2021,match,"neoplasms, diseases of the genitourinary system",neoplasms,partial_0.5,abiraterone-krka-epar-public-assessment-report_en.pdf,abiraterone-krka-epar-public-assessment-report_en.pdf,match,small molecule,small molecule,match,abiraterone krka,abiraterone krka,match,"newly diagnosed high risk metastatic hormone sensitive prostate cancer (mhspc) in adult men in combination with androgen deprivation therapy (adt), metastatic castration resistant prostate cancer (mcrpc) in adult men who are asymptomatic or mildly symptomatic after failure of androgen deprivation therapy in whom chemotherapy is not yet clinically indicated,  mcrpc in adult men whose disease has progressed on or after a docetaxel-based chemotherapy regimen.",treatment of newly diagnosed high risk metastatic hormone sensitive prostate cancer (mhspc) in adult men in combination with androgen deprivation therapy (adt); treatment of metastatic castration resistant prostate cancer (mcrpc) in adult men who are asymptomatic or mildly symptomatic after failure of androgen deprivation therapy in whom chemotherapy is not yet clinically indicated; treatment of mcrpc in adult men whose disease has progressed on or after a docetaxel-based chemotherapy regimen.,match,no,no,match,treatment of newly diagnosed high risk metastatic hormone sensitive prostate cancer (mhspc) in adult men in combination with androgen deprivation therapy (adt); treatment of metastatic castration resistant prostate cancer (mcrpc) in adult men who are asymptomatic or mildly symptomatic after failure of androgen deprivation therapy in whom chemotherapy is not yet clinically indicated; treatment of mcrpc in adult men whose disease has progressed on or after a docetaxel-based chemotherapy regimen.,treatment of newly diagnosed high risk metastatic hormone sensitive prostate cancer (mhspc) in adult men in combination with androgen deprivation therapy (adt); treatment of metastatic castration resistant prostate cancer (mcrpc) in adult men who are asymptomatic or mildly symptomatic after failure of androgen deprivation therapy in whom chemotherapy is not yet clinically indicated; treatment of mcrpc in adult men whose disease has progressed on or after a docetaxel-based chemotherapy regimen.,match,"krka, d.d., novo mesto","krka, d.d., novo mesto",match,ema/653711/2021,ema/653711/2021,match,abiraterone acetate,abiraterone acetate,match,yes,yes,match,no,no,match,tablet,film-coated tablet,match,???,not reported,
oral,oral,match,09.03.2020,09.03.2020,match,2020,2020,match,authorised,authorised,match,22.04.2021,22.04.2021,match,approved,approved,match,2021.0,2021,match,"neoplasms, diseases of the genitourinary system",neoplasms,partial_0.5,abiraterone-mylan-epar-public-assessment-report_en.pdf,abiraterone-mylan-epar-public-assessment-report_en.pdf,match,small molecule,small molecule,match,abiraterone mylan,abiraterone mylan,match,"newly diagnosed high risk metastatic hormone sensitive prostate cancer (mhspc) in adult men in combination with androgen deprivation therapy (adt), metastatic castration resistant prostate cancer (mcrpc) in adult men who are asymptomatic or mildly symptomatic after failure of androgen deprivation therapy in whom chemotherapy is not yet clinically indicated,  mcrpc in adult men whose disease has progressed on or after a docetaxel based chemotherapy regimen",treatment of newly diagnosed high risk metastatic hormone sensitive prostate cancer (mhspc) in adult men in combination with androgen deprivation therapy (adt); treatment of metastatic castration resistant prostate cancer (mcrpc) in adult men who are asymptomatic or mildly symptomatic after failure of androgen deprivation therapy in whom chemotherapy is not yet clinically indicated; treatment of mcrpc in adult men whose disease has progressed on or after a docetaxel-based chemotherapy regimen.,match,no,no,match,treatment of newly diagnosed high risk metastatic hormone sensitive prostate cancer (mhspc) in adult men in combination with androgen deprivation therapy (adt); treatment of metastatic castration resistant prostate cancer (mcrpc) in adult men who are asymptomatic or mildly symptomatic after failure of androgen deprivation therapy in whom chemotherapy is not yet clinically indicated; treatment of mcrpc in adult men whose disease has progressed on or after a docetaxel-based chemotherapy regimen.,treatment of newly diagnosed high risk metastatic hormone sensitive prostate cancer (mhspc) in adult men in combination with androgen deprivation therapy (adt); treatment of metastatic castration resistant prostate cancer (mcrpc) in adult men who are asymptomatic or mildly symptomatic after failure of androgen deprivation therapy in whom chemotherapy is not yet clinically indicated; treatment of mcrpc in adult men whose disease has progressed on or after a docetaxel-based chemotherapy regimen.,match,mylan ireland limited,mylan ireland limited,match,ema/444189/2021,ema/444189/2021,match,abiraterone acetate,abiraterone acetate,match,yes,yes,match,no,no,match,tablet,film-coated tablet,match,???,not reported,
intravenous,intravenous,match,??,not reported,match,not reported,not reported,match,withdrawn,withdrawn,match,not reported,not reported,match,approved,approved,match,not reported,not reported,match,"diseases of the circulatory system, other",diseases of the circulatory system,match,vasovist-epar-scientific-discussion_en.pdf,vasovist-epar-scientific-discussion_en.pdf,match,small molecule,small molecule,match,ablavar (previously vasovist),vasovist,match,"contrast-enhanced magnetic resonance angiography (ce-mra) for visualisation of abdominal or limb vessels in adults only, with suspected or known vascular disease",contrast-enhanced magnetic resonance angiography for visualization of abdominal or limb vessels in patients with suspected or known vascular disease,match,no,no,match,contrast-enhanced magnetic resonance angiography in patients with suspected or known vascular disease,contrast-enhanced magnetic resonance angiography in patients with suspected or known vascular disease,match,not reported,not reported,match,not reported,not reported,match,gadofosveset trisodium,gadofosveset trisodium,match,no,no,match,no,no,match,solution for injection,solution for injection,match,,na,
intravenous,intravenous,match,25.08.2006,25.08.2006,match,2006,2006,match,authorised,authorised,match,11.01.2008,11.01.2008,match,approved,approved,match,2008.0,2008,match,"neoplasms, diseases of the digestive system, diseases of the respiratory system",neoplasms,partial_0.3,abraxane-epar-public-assessment-report_en.pdf,abraxane-epar-public-assessment-report_en.pdf,match,other,biologics,no_match,abraxane,abraxane,match,"metastatic breast cancer in adult patients who have failed first-line treatment for metastatic disease and for whom standard, anthracycline containing therapy is not indicated. abraxane in combination with gemcitabine is indicated for the first-line treatment of adult patients with metastatic adenocarcinoma of the pancreas. abraxane in combination with carboplatin is indicated for the first-line treatment of non-small cell lung cancer in adult patients who are not candidates for potentially curative surgery and/or radiation therapy.","metastatic carcinoma of the breast in patients who have failed, or are not candidates for standard, anthracycline containing therapy",partial_0.3,no,no,match,metastatic breast carcinoma (260 mg/m2 administered intravenously over 30 minutes every 3 weeks) and adjuvant treatment of node-positive breast carcinoma following anthracycline and cyclophosphamide therapy (260 mg/m2 administered intravenously over 30 minutes every 3 weeks for 4 courses),metastatic breast carcinoma,partial_0.5,abraxis biosciences ltd.,abraxis biosciences ltd.,match,emea/47053/2008,ema/47053/2008,match,paclitaxel,paclitaxel,match,no,no,match,no,no,match,powder for dispersion for infusion,lyophilisate for suspension for injection,match,,na,
intramuscular,intramuscular,match,22.12.2022,22.12.2022,match,2022,2022,match,authorised,authorised,match,20.07.2023,20.07.2023,match,approved,approved,match,2023.0,2023,match,infectious and parasitic diseases; diseases of the respiratory system,infectious and parasitic diseases; diseases of the respiratory system,match,abrysvo-epar-public-assessment-report_en.pdf,abrysvo-epar-public-assessment-report_en.pdf,match,vaccine,vaccine,match,abrysvo,abrysvo,match,"passive protection against lower respiratory tract disease caused by respiratory syncytial virus (rsv) in infants from birth through 6 months of age following maternal immunisation during pregnancy, active immunisation of individuals 60 years of age and older for the prevention of lower respiratory tract disease caused by rsv",prevention of lower respiratory tract disease and severe lower respiratory tract disease caused by respiratory syncytial virus (rsv) in infants from birth through 6 months of age by active immunisation of pregnant individuals; prevention of acute respiratory disease and lower respiratory tract disease caused by rsv in individuals 60 years of age and older by active immunisation,match,no,no,match,prevention of lower respiratory tract disease and severe lower respiratory tract disease caused by respiratory syncytial virus (RSV) in infants from birth through 6 months of age by active immunisation of pregnant individuals. the prevention of acute respiratory disease and lower respiratory tract disease caused by RSV in individuals 60 years of age and older by active immunisation.,prevention of lower respiratory tract disease and severe lower respiratory tract disease caused by respiratory syncytial virus (rsv) in infants from birth through 6 months of age by active immunisation of pregnant individuals; prevention of acute respiratory disease and lower respiratory tract disease caused by rsv in individuals 60 years of age and older by active immunisation,match,pfizer europe ma eeig,pfizer europe ma eeig,match,ema/351226/2023,ema/351226/2023,match,"respiratory syncytial virus vaccine (bivalent, recombinant)","respiratory syncytial virus vaccine (bivalent, recombinant)",match,no,no,match,no,no,match,"solvent for solution for injection, powder for solution for injection",powder and solvent for solution for injection,match,,na,
