20250717_Japan_gpt-4o.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Administration_route_human,Administration_route_llm,Administration_route_verdict_human,Application_date_human,Application_date_llm,Application_date_verdict_human,Application_year_human,Application_year_llm,Application_year_verdict_human,Current_status_human,Current_status_llm,Current_status_verdict_human,Decision_date_human,Decision_date_llm,Decision_date_verdict_human,Decision_human,Decision_llm,Decision_verdict_human,Decision_year_human,Decision_year_llm,Decision_year_verdict_human,Disease_class(es)_human,Disease_class(es)_llm,Disease_class(es)_verdict_human,Document_name_human,Document_name_llm,Document_name_verdict_human,Drug_class_human,Drug_class_llm,Drug_class_verdict_human,Drug_name_human,Drug_name_llm,Drug_name_verdict_human,Indication_approved_human,Indication_approved_llm,Indication_approved_verdict_human,Indication_extended_human,Indication_extended_llm,Indication_extended_verdict_human,Indication_requested_human,Indication_requested_llm,Indication_requested_verdict_human,Marketing_authorisation_holder_human,Marketing_authorisation_holder_llm,Marketing_authorisation_holder_verdict_human,Marketing_authorisation_number_human,Marketing_authorisation_number_llm,Marketing_authorisation_number_verdict_human,Non_proprietary_name_human,Non_proprietary_name_llm,Non_proprietary_name_verdict_human,Nonclinical_abridged_human,Nonclinical_abridged_llm,Nonclinical_abridged_verdict_human,Orphan_drug_status_human,Orphan_drug_status_llm,Orphan_drug_status_verdict_human,Pharmaceutical_form_human,Pharmaceutical_form_llm,Pharmaceutical_form_verdict_human,Referral_body_human,Referral_body_llm,Referral_body_verdict_human
intravenous,intravenous,match,31.07.2014,31.07.2014,match,2014,2014,match,authorised,authorised,match,28.05.2015,28.05.2015,match,approved,approved,match,2015.0,2015,match,"diseases of the blood and blood-forming organs, congenital malformations and chomosomal abnormalities",diseases of the blood and blood-forming organs,partial_0.5,000216795.pdf,000216795.pdf,match,biologics,biologics,match,acoalan injection 600,acoalan,match,thrombophilia due to congenital antithrombin deficiency disseminated intravascular coagulation (dic) accompanied by a decrease in antithrombin,thrombophilia due to congenital antithrombin deficiency; disseminated intravascular coagulation (dic) accompanied by a decrease in antithrombin,match,no,no,match,not reported,thrombophilia due to congenital antithrombin deficiency; disseminated intravascular coagulation (dic) accompanied by a decrease in antithrombin,match,"kyowa hakko kirin co., ltd.","kyowa hakko kirin co., ltd.",match,216795,not reported,,antithrombin gamma (genetical recombination),antithrombin gamma,match,no,no,match,no,no,match,powder for solution for injection,lyophilized powder for solution for injection,match,,na,
intramuscular,intramuscular,match,10.11.2021,10.11.2021,match,2021,2021,match,authorised,authorised,match,15.12.2021,15.12.2021,match,approved,approved,match,2021.0,2021,match,infectious and parasitic diseases,infectious and parasitic diseases,match,000249129.pdf,000249129.pdf,match,vaccine,vaccine,match,covid-19 vaccine moderna intramuscular injection,covid-19 vaccine moderna,match,prevention of disease caused by sars-cov-2 infection (covid-19),prevention of disease caused by sars-cov-2 infection (covid-19),match,yes,yes,match,not reported,prevention of disease caused by sars-cov-2 infection (covid-19),match,takeda pharmaceutical company limited,takeda pharmaceutical company limited,match,249129,not reported,,coronavirus modified uridine rna vaccine (sars-cov-2),coronavirus modified uridine rna vaccine,match,yes,yes,match,no,no,match,suspension for injection,suspension for injection,match,???,not reported,
subcutaneous,subcutaneous,match,19.12.2016,19.12.2016,match,2016,2016,match,authorised,authorised,match,03.12.2018,03.12.2018,match,approved,approved,match,2018.0,2018,match,diseases of the musculoskeletal system and connective tissue,diseases of the musculoskeletal system and connective tissue,match,000232793.pdf,000232793.pdf,match,biologics,biologics,match,evenity subcutaneous injection 105 mg syringe,evenity,match,osteoporosis with a high risk of fracture,osteoporosis with a high risk of fracture,match,no,no,match,not reported,osteoporosis with a high risk of fracture,match,amgen astellas biopharma k.k.,amgen astellas biopharma k.k.,match,232793,not reported,,romosozumab (genetical recombination),romosozumab,match,no,no,match,no,no,match,solution for injection in pre-filled syringe,injection,partial,,na,
oral,oral,match,31.03.2016,31.03.2016,match,2016,2016,match,authorised,authorised,match,11.11.2016,11.11.2016,match,approved,approved,match,2016.0,2016,match,"infectious and parasitic diseases, diseases of the digestive system",infectious and parasitic diseases,partial_0.5,000222576.pdf,000222576.pdf,match,small molecule,small molecule,match,vemlidy tablets 25 mg,vemlidy,match,suppression of hepatitis b virus replication in chronic hepatitis b patients with evidence of viral replication and abnormal liver function,suppression of hepatitis b virus replication in chronic hepatitis b patients with evidence of viral replication and abnormal liver function,match,no,no,match,not reported,suppression of hepatitis b virus replication in chronic hepatitis b patients with evidence of viral replication and abnormal liver function,match,gilead sciences k.k.,gilead sciences k.k.,match,222576,not reported,,tenofovir alafenamide fumarate,tenofovir alafenamide fumarate,match,yes,no,no_match,no,no,match,tablet,tablet,match,japan,na,
oral,oral,match,26.03.2020,26.03.2020,match,2020,2020,match,authorised,authorised,match,27.01.2021,27.01.2021,match,approved,approved,match,2021.0,2021,match,"neoplasms, ""endocrine, nutritional, and metabolic diseases"", diseases of the nervous system, diseases of the skin","neoplasms; diseases of the blood and blood-forming organs; endocrine, nutritional, and metabolic diseases; diseases of the skin",partial_0.8,000252521.pdf,000252521.pdf,match,small molecule,small molecule,match,"thaled capsules 25, thaled capsules 50, thaled capsules 100",thaled,match,"relapsed or refractory multiple myeloma, erythema nodosum leprosum, crow-fukase (polyneuropathy, organomegaly, endocrinopathy, monoclonal gammopathy, and skin changes [poems]) syndrome",relapsed or refractory multiple myeloma; erythema nodosum leprosum; crow-fukase (poems) syndrome,match,yes,yes,match,not reported,crow-fukase (poems) syndrome,partial_0.3,fujimoto pharmaceutical corporation,fujimoto pharmaceutical corporation,match,252521,not reported,,thalidomide,thalidomide,match,yes,yes,match,yes,yes,match,hard capsules,capsules,match,japan,not reported,
intravenous,intravenous,match,11.12.2015,11.12.2015,match,2015,2015,match,authorised,authorised,match,05.08.2016,05.08.2016,match,approved,approved,match,2016,2016,match,"neoplasms, diseases of the respiratory system, diseases of the genitourinary system, diseases of the skin",neoplasms; diseases of the genitourinary system,partial_0.5,000223202.pdf,000223202.pdf,match,biologics,biologics,match,"opdivo intravenous infusion 20 mg, opdivo intravenous infusion 100 mg",opdivo,match,"treatment of unresectable malignant melanoma, treatment of unresectable, advanced or recurrent non-small cell lung cancer, treatment of unresectable or metastatic renal cell carcinoma",treatment of unresectable or metastatic renal cell carcinoma,partial_0.3,yes,yes,match,not reported,treatment of unresectable or metastatic renal cell carcinoma,partial_0.5,"ono pharmaceutical co., ltd.","ono pharmaceutical co., ltd.",match,223202,not reported,,nivolumab,nivolumab,match,yes,yes,match,no,no,match,solution for injection in a vial,injection,no_match,japan,not reported,
oral,oral,match,27.04.2016,27.04.2016,match,2016,2016,match,authorised,authorised,match,08.05.2017,30.05.2017,partial,approved,approved,match,2017.0,2017,match,"infectious and parasitic diseases, diseases of the nervous system, diseases of the skin",infectious and parasitic diseases; diseases of the nervous system,partial_0.8,000227731.pdf,000227731.pdf,match,small molecule,small molecule,match,amenalief tab. 200 mg,amenalief,match,herpes zoster,herpes zoster,match,no,no,match,not reported,herpes zoster,match,"maruho co., ltd.","maruho co., ltd.",match,227731,not reported,,amenamevir,amenamevir,match,no,no,match,no,no,match,tablet,tablet,match,,na,
oral,oral,match,20.10.2014,20.10.2014,match,2014,2014,match,authorised,authorised,match,10.07.2015,10.07.2015,match,approved,approved,match,2015.0,2015,match,"diseases of the blood and blood-forming organs, diseases of the genitourinary system",diseases of the circulatory system,no_match,000217011.pdf,000217011.pdf,match,small molecule,small molecule,match,"artist tablets 2.5 mg, artist tablets 10 mg, artist tablets 20 mg",artist,match,"patients with the following conditions who are receiving basic treatment with angiotensin-converting enzyme inhibitors, diuretics, digitalis preparations, etc. chronic heart failure caused by ischemic heart disease or dilated cardiomyopathy tachycardiac atrial fibrillation, essential hypertension (mild to moderate) renal parenchymal hypertension, angina pectoris, patients with the following conditions who are receiving basic treatment with angiotensin-converting, enzyme inhibitors, diuretics, digitalis preparations, etc. chronic heart failure caused by ischemic heart disease or dilated cardiomyopathy, tachycardiac atrial fibrillation, essential hypertension (mild to moderate), renal parenchymal hypertension, angina pectoris, tachycardiac atrial fibrillation",tachycardiac atrial fibrillation,partial_0.2,yes,yes,match,not reported,tachycardiac atrial fibrillation,partial_0.2,"daiichi sankyo company, limited","daiichi sankyo company, limited",match,217011,not reported,,carvedilol,carvedilol,match,yes,yes,match,no,no,match,tablet,tablet,match,japan,not reported,
sublingual,sublingual,match,24.04.2014,24.04.2014,match,2014,2014,match,authorised,authorised,match,21.01.2015,21.01.2015,match,approved,approved,match,2015.0,2015,match,other,diseases of the respiratory system,no_match,000213143.pdf,000213143.pdf,match,small molecule,other,no_match,"actair house dust mite sublingual tablets 100 units, actair house dust mite sublingual tablets 300 units",actair,match,desensitization therapy for house dust mite antigen-induced allergic rhinitis,desensitization therapy for house dust mite antigen-induced allergic rhinitis,match,no,no,match,not reported,house dust mite antigen-induced allergic rhinitis,match,"shionogi & co., ltd.","shionogi & co., ltd.",match,213143,not reported,,,none,match,no,yes,no_match,no,no,match,tablet,sublingual tablet,match,,not reported,
sublingual,sublingual,match,26.01.2015,26.01.2015,match,2015,2015,match,authorised,authorised,match,31.08.2015,31.08.2015,match,approved,approved,match,2015.0,2015,match,other,diseases of the respiratory system,no_match,000214453.pdf,000214453.pdf,match,small molecule,other,no_match,"miticure house dust mite sublingual tablets 3,300 jau;, miticure house dust mite sublingual tablets 10,000 jau",miticure,match,desensitization therapy for allergic rhinitis induced by mite allergens,desensitization therapy for allergic rhinitis induced by mite allergens,match,no,no,match,not reported,desensitization therapy for allergic rhinitis induced by mite allergens,match,"torii pharmaceutical co., ltd.","torii pharmaceutical co., ltd.",match,214453,not reported,,,none,match,yes,yes,match,no,no,match,tablet,sublingual tablet,match,japan,not reported,
