Administration_route_human,Administration_route_llm,Administration_route_verdict_human,Application_date_human,Application_date_llm,Application_date_verdict_human,Application_year_human,Application_year_llm,Application_year_verdict_human,Current_status_human,Current_status_llm,Current_status_verdict_human,Decision_date_human,Decision_date_llm,Decision_date_verdict_human,Decision_human,Decision_llm,Decision_verdict_human,Decision_year_human,Decision_year_llm,Decision_year_verdict_human,Disease_class(es)_human,Disease_class(es)_llm,Disease_class(es)_verdict_human,Document_name_human,Document_name_llm,Document_name_verdict_human,Drug_class_human,Drug_class_llm,Drug_class_verdict_human,Drug_name_human,Drug_name_llm,Drug_name_verdict_human,Indication_approved_human,Indication_approved_llm,Indication_approved_verdict_human,Indication_extended_human,Indication_extended_llm,Indication_extended_verdict_human,Indication_requested_human,Indication_requested_llm,Indication_requested_verdict_human,Marketing_authorisation_holder_human,Marketing_authorisation_holder_llm,Marketing_authorisation_holder_verdict_human,Marketing_authorisation_number_human,Marketing_authorisation_number_llm,Marketing_authorisation_number_verdict_human,Non_proprietary_name_human,Non_proprietary_name_llm,Non_proprietary_name_verdict_human,Nonclinical_abridged_human,Nonclinical_abridged_llm,Nonclinical_abridged_verdict_human,Orphan_drug_status_human,Orphan_drug_status_llm,Orphan_drug_status_verdict_human,Pharmaceutical_form_human,Pharmaceutical_form_llm,Pharmaceutical_form_verdict_human,Referral_body_human,Referral_body_llm,Referral_body_verdict_human
subcutaneous,subcutaneous,match,18.05.2020,18.05.2020,match,2020,2020,match,authorised,authorised,match,09.09.2021,09.09.2021,match,approved,approved,match,2021.0,2021,match,"""endocrine, nutritional, and metabolic diseases"", diseases of the circulatory system","endocrine, nutritional, and metabolic diseases; diseases of the circulatory system",match,2024-09-13_swisspar_leqvio_fi_engl.pdf,2024-09-13_swisspar_leqvio_fi_engl.pdf,match,small molecule,small molecule,match,leqvio,leqvio,match,same,hypercholesterolaemia and mixed dyslipidaemia,match,no,no,match,"hypercholesterolaemia (including heterozygous familial hypercholesterolaemia) or mixed dyslipidaemia,","inclisiran is intended for use in adults with hypercholesterolaemia (including heterozygous familial hypercholesterolaemia) or mixed dyslipidaemia, as an adjunct to diet.",match,novartis pharma schweiz ag,novartis pharma schweiz ag,match,67836,67836,match,inclisiran,inclisiran,match,no,no,match,no,no,match,solution for injection in pre-filled syringe,solution for injection in pre-filled syringe,match,,na,match
oral,oral,match,not reported,not reported,match,not reported,not reported,match,authorised,authorised,match,not reported,not reported,match,approved,approved,match,not reported,not reported,match,"mental and behavioural disorders, diseases of the nervous system",mental and behavioural disorders,partial_0.5,abilify-epar-scientific-discussion_en.pdf,abilify-epar-scientific-discussion_en.pdf,match,small molecule,small molecule,match,abilify,abilify,match,"schizophrenia in adults and in adolescents aged 15 years and older, treatment of moderate to severe manic episodes in bipolar i disorder, 12 weeks of moderate to severe manic episodes in bipolar i disorder in adolescents aged 13 years and older",treatment of schizophrenia,partial_0.5,no,no,match,treatment of schizophrenia,treatment of schizophrenia,match,mylan ire healthcare limited,not reported,no_match,not reported,not reported,match,aripiprazole,aripiprazole,match,no,no,match,no,no,match,tablet,tablet,match,,na,
"subcutaneous, intravenous",intravenous; subcutaneous,match,not reported,not reported,match,not reported,not reported,match,authorised,authorised,match,not reported,not reported,match,approved,approved,match,not reported,2007,no_match,"diseases of the blood and blood-forming organs, neoplasms, diseases of the genitourinary system",diseases of the blood and blood-forming organs; neoplasms,partial_0.7,retacrit-epar-scientific-discussion_en.pdf,retacrit-epar-scientific-discussion_en.pdf,match,biologics,biologics,match,retacrit,sb309,no_match,same,"treatment of anaemia associated with chronic renal failure in adult and paediatric patients on haemodialysis and adult patients on peritoneal dialysis; treatment of severe anaemia of renal origin accompanied by clinical symptoms in adult patients with renal insufficiency not yet undergoing dialysis; treatment of anaemia and reduction of transfusion requirements in adult patients receiving chemotherapy for solid tumours, malignant lymphoma or multiple myeloma, and at risk of transfusion as assessed by the patient's general status; increasing the yield of autologous blood from patients in a pre-donation programme.",match,no,no,match,"retacrit is indicated for the treatment of symptomatic anaemia associated with chronic renal failure (crf) in adults and paediatrics aged 1 to 18 years on haemodialysis and adult patients on peritoneal dialysis, in adults with renal insufficiency not yet undergoing dialysis for the treatment of severe anaemia of renal origin accompanied by clinical symptoms in patients","treatment of anaemia associated with chronic renal failure in adult and paediatric patients on haemodialysis and adult patients on peritoneal dialysis; treatment of severe anaemia of renal origin accompanied by clinical symptoms in adult patients with renal insufficiency not yet undergoing dialysis; treatment of anaemia and reduction of transfusion requirements in adult patients receiving chemotherapy for solid tumours, malignant lymphoma or multiple myeloma, and at risk of transfusion as assessed by the patient's general status; increasing the yield of autologous blood from patients in a pre-donation programme.",partial_0.5,norbitec gmbh,norbitec gmbh,match,not reported,ema/309/2007,no_match,epoetin zeta,epoetin zeta,match,no,no,match,no,no,match,solution for injection in pre-filled syringe,solution for injection,match,,na,
oral,oral,match,??,not reported,match,not reported,not reported,match,authorised,authorised,match,not reported,not reported,match,approved,approved,match,not reported,not reported,match,"""endocrine, nutritional, and metabolic diseases""","endocrine, nutritional, and metabolic diseases",match,actos-epar-scientific-discussion_en.pdf,actos-epar-scientific-discussion_en.pdf,match,small molecule,small molecule,match,actos,actos,match,"second or third line treatment of type 2 diabetes mellitus, combination with insulin in type 2 diabetes mellitus adult patients with insufficient glycaemic control on insulin for whom metformin is inappropriate because of contraindications or intolerance","type 2 diabetes mellitus, particularly in overweight patients inadequately controlled by diet and exercise for whom metformin is inappropriate because of contraindications or intolerance.",match,no,no,match,"pioglitazone is indicated as oral monotherapy in type 2 diabetes mellitus patients, particularly overweight patients, inadequately controlled by diet and exercise for whom metformin is inappropriate because of contraindications or intolerance, pioglitazone is also indicated for oral combination treatment in type 2 diabetes mellitus patients with insufficient glycaemic control despite maximal tolerated dose of oral monotherapy with either metformin or sulphonylurea: in combination with metformin particularly in overweight patients, in combination with a sulphonylurea only in patients who show intolerance to metformin or for whom metformin is contraindicated","type 2 diabetes mellitus, particularly in overweight patients inadequately controlled by diet and exercise for whom metformin is inappropriate because of contraindications or intolerance.",match,not reported,not reported,match,not reported,not reported,match,pioglitazone,pioglitazone,match,no,no,match,no,no,match,tablet,tablet,match,,na,
oral,oral,match,28.04.2008,28.04.2008,match,2008,2008,match,authorised,authorised,match,19.02.2009,19.02.2009,match,approved,approved,match,2009.0,2009,match,diseases of the digestive system,diseases of the digestive system,match,pantozol-control-epar-public-assessment-report_en.pdf,pantozol-control-epar-public-assessment-report_en.pdf,match,small molecule,small molecule,match,pantozol control,pantozol control,match,"pantozol control is indicated for short-term treatment of reflux symptoms (e.g. heartburn, acid regurgitation) in adults.","short-term treatment of reflux symptoms (e.g. heartburn, acid regurgitation) in adults.",match,no,yes,no_match,"treatment of reflux symptoms (e.g. heartburn, acid regurgitation)","treatment of reflux symptoms (e.g. heartburn, acid regurgitation)",match,nycomed gmbh,nycomed gmbh,match,emea/140486/2009,not reported,no_match,pantoprazole,pantoprazole,match,yes,yes,match,no,no,match,gastro-resistant tablets,gastro-resistant tablets,match,ema,na,
intravenous,intravenous,match,not reported,not reported,match,not reported,not reported,match,withdrawn,withdrawn,match,15.10.1996,15.10.1996,match,approved,approved,match,1996.0,1996,match,"diseases of the musculoskeletal system and connective tissue, infectious and parasitic diseases",infectious and parasitic diseases; diseases of the musculoskeletal system and connective tissue,match,leukoscan-epar-scientific-discussion_en.pdf,leukoscan-epar-scientific-discussion_en.pdf,match,biologics,biologics,match,leukoscan,leukoscan,match,"leukoscan is indicated for diagnostic imaging for determining the location and extent of infection/inflammation in bone in patients with suspected osteomyelitis, including patients with diabetic foot ulcers.","diagnostic imaging for determining the location and extent of infection/inflammation in bone in patients with suspected osteomyelitis, including patients with diabetic foot ulcers.",match,no,no,match,diagnosis of osteomyelitis complicating diabetic foot ulcers or various lesions in other long bones,"diagnostic imaging for determining the location and extent of infection/inflammation in bone in patients with suspected osteomyelitis, including patients with diabetic foot ulcers.",match,not reported,not reported,match,not reported,not reported,match,sulesomab,sulesomab,match,no,yes,no_match,no,no,match,powder for solution for injection,lyophilised powder,match,,not reported,
oral,oral,match,31.03.2016,31.03.2016,match,2016,2016,match,authorised,authorised,match,11.11.2016,11.11.2016,match,approved,approved,match,2016.0,2016,match,"infectious and parasitic diseases, diseases of the digestive system",infectious and parasitic diseases,partial_0.5,000222576.pdf,000222576.pdf,match,small molecule,small molecule,match,vemlidy tablets 25 mg,vemlidy,match,suppression of hepatitis b virus replication in chronic hepatitis b patients with evidence of viral replication and abnormal liver function,suppression of hepatitis b virus replication in chronic hepatitis b patients with evidence of viral replication and abnormal liver function,match,no,no,match,Suppression of hepatitis B virus replication in chronic hepatitis B patients with evidence of viral replication and abnormal liver function,suppression of hepatitis b virus replication in chronic hepatitis b patients with evidence of viral replication and abnormal liver function,match,gilead sciences k.k.,gilead sciences k.k.,match,222576,not reported,,tenofovir alafenamide fumarate,tenofovir alafenamide fumarate,match,yes,no,no_match,no,no,match,tablet,tablet,match,japan,na,
oral,oral,match,26.04.2016,26.04.2016,match,2016,2016,match,authorised,authorised,match,21.04.2017,21.04.2017,match,approved,approved,match,2017.0,2017,match,diseases of the musculoskeletal system and connective tissue,"endocrine, nutritional, and metabolic diseases; neoplasms; diseases of the blood and blood-forming organs",no_match,febuxostat-mylan-epar-public-assessment-report_en.pdf,febuxostat-mylan-epar-public-assessment-report_en.pdf,match,small molecule,small molecule,match,febuxostat viatris (previously febuxostat mylan),febuxostat mylan,match,"treatment of chronic hyperuricaemia in conditions where urate deposition has already occurred (including a history, or presence of, tophus and/or gouty arthritis). febuxostat viatris is indicated in adults.","treatment of chronic hyperuricaemia in conditions where urate deposition has already occurred (including a history, or presence of, tophus and/or gouty arthritis); prevention and treatment of hyperuricaemia in adult patients undergoing chemotherapy for haematologic malignancies at intermediate to high risk of tumor lysis syndrome (tls).",match,no,no,match,"treatment of chronic hyperuricaemia in conditions where urate deposition has already occurred (including a history, or presence of, tophus and/or gouty arthritis). prevention and treatment of hyperuricaemia in adult patients undergoing chemotherapy for haematologic malignancies at intermediate to high risk of tumor lysis syndrome (tls).","treatment of chronic hyperuricaemia in conditions where urate deposition has already occurred (including a history, or presence of, tophus and/or gouty arthritis); prevention and treatment of hyperuricaemia in adult patients undergoing chemotherapy for haematologic malignancies at intermediate to high risk of tumor lysis syndrome (tls).",match,mylan s.a.s,mylan s.a.s,match,ema/368110/2017,ema/368110/2017,match,febuxostat,febuxostat,match,yes,yes,match,no,no,match,film-coated tablets,film-coated tablet,match,ema,not reported,
oral,oral,match,28.09.2012,28.09.2012,match,2012,2012,match,withdrawn,withdrawn,match,02.08.2013,02.08.2013,match,approved,approved,match,2013.0,2013,match,"neoplasms, congenital malformations and chomosomal abnormalities, diseases of the blood and blood-forming organs",neoplasms; diseases of the blood and blood-forming organs,partial_0.7,imatinib-medac-epar-public-assessment-report_en.pdf,imatinib-medac-epar-public-assessment-report_en.pdf,match,small molecule,small molecule,match,imatinib medac,imatinib medac,match,same,"paediatric patients with newly diagnosed philadelphia chromosome (bcr-abl) positive (ph+) chronic myeloid leukaemia (cml) for whom bone marrow transplantation is not considered as the first line of treatment; paediatric patients with ph+ cml in chronic phase after failure of interferon-alpha therapy, or in accelerated phase; adult and paediatric patients with ph+ cml in blast crisis; adult patients with newly diagnosed philadelphia chromosome positive acute lymphoblastic leukaemia (ph+ all) integrated with chemotherapy; adult patients with relapsed or refractory ph+ all as monotherapy; adult patients with myelodysplastic/myeloproliferative diseases (mds/mpd) associated with platelet-derived growth factor receptor (pdgfr) gene re-arrangements; adult patients with advanced hypereosinophilic syndrome (hes) and/or chronic eosinophilic leukaemia (cel) with fip1l1-pdgfrα rearrangement; adult patients with unresectable dermatofibrosarcoma protuberans (dfsp) and adult patients with recurrent and/or metastatic dfsp who are not eligible for surgery.",match,no,no,match,"paediatric patients with newly diagnosed philadelphia chromosome (bcr-abl) positive (ph+) chronic myeloid leukaemia (cml) for whom bone marrow transplantation is not considered as the first line of treatment. paediatric patients with ph+ cml in chronic phase after failure of interferon-alpha therapy, or in accelerated phase. adult and paediatric patients with ph+ cml in blast crisis. adult patients with newly diagnosed philadelphia chromosome positive acute lymphoblastic leukaemia (ph+ all) integrated with chemotherapy. adult patients with relapsed or refractory ph+ all as monotherapy. adult patients with myelodysplastic/myeloproliferative diseases (mds/mpd) associated with platelet-derived growth factor receptor (pdgfr) gene re-arrangements. adult patients with advanced hypereosinophilic syndrome (hes) and/or chronic eosinophilic leukaemia (cel) with fip1l1-pdgfrα rearrangement. adult patients with unresectable dermatofibrosarcoma protuberans (dfsp) and adult patients with recurrent and/or metastatic dfsp who are not eligible for surgery.","paediatric patients with newly diagnosed philadelphia chromosome (bcr-abl) positive (ph+) chronic myeloid leukaemia (cml) for whom bone marrow transplantation is not considered as the first line of treatment; paediatric patients with ph+ cml in chronic phase after failure of interferon-alpha therapy, or in accelerated phase; adult and paediatric patients with ph+ cml in blast crisis; adult patients with newly diagnosed philadelphia chromosome positive acute lymphoblastic leukaemia (ph+ all) integrated with chemotherapy; adult patients with relapsed or refractory ph+ all as monotherapy; adult patients with myelodysplastic/myeloproliferative diseases (mds/mpd) associated with platelet-derived growth factor receptor (pdgfr) gene re-arrangements; adult patients with advanced hypereosinophilic syndrome (hes) and/or chronic eosinophilic leukaemia (cel) with fip1l1-pdgfrα rearrangement; adult patients with unresectable dermatofibrosarcoma protuberans (dfsp) and adult patients with recurrent and/or metastatic dfsp who are not eligible for surgery.",match,medac,medac,match,ema/622006/2013,ema/622006/2013,match,imatinib,imatinib,match,yes,yes,match,no,no,match,tablet,hard capsules,no_match,ema,not reported,
subcutaneous,subcutaneous,match,not reported,not reported,match,2001,not reported,match,authorised,authorised,match,not reported,not reported,match,approved,approved,match,not reported,not reported,match,"""endocrine, nutritional, and metabolic diseases""","endocrine, nutritional, and metabolic diseases",match,actrapid-epar-scientific-discussion_en.pdf,actrapid-epar-scientific-discussion_en.pdf,match,peptides and proteins,peptides and proteins,match,actrapid,actrapid,match,diabetes mellitus,treatment of diabetes mellitus,match,no,no,match,treatment of diabetes mellitus,treatment of diabetes mellitus,match,not reported,not reported,match,not reported,not reported,match,human insulin (rdna),human insulin,match,no,no,match,no,no,match,solution for injection,solution for injection,match,,na,
