Administration_route,Application_date,Application_year,Current_status,Dataset,Decision,Decision_date,Decision_year,Disease_class(es),Disease_name(s),Document_name,Drug_class,Drug_name,Indication_approved,Indication_approved_extracted,Indication_requested,Indication_requested_extracted,Marketing_authorisation_holder,Marketing_authorisation_holder_extracted,Marketing_authorisation_number,Non_proprietary_name,Nonclinical_abridged,Orphan_drug_status,Pharmaceutical_form,Procedure_number,Referral_body,Agency
transdermal,,,authorised,fda,approved,19.12.2014,2014,,,,small molecule,estradiol,,,,,mylan pharms inc,mylan,anda020167,estradiol,yes,no,system,,tbd,FDA
oral,,,discontinued,fda,approved,30.12.1998,1998,,,,small molecule,isosorbide dinitrate,,,,,sun pharm inds inc,sun,anda040009,isosorbide dinitrate,yes,no,tablet,,no,FDA
oral,,,discontinued,fda,approved,27.11.1996,1996,,,,small molecule,estropipate,,,,,barr,barr,anda040135,estropipate,yes,no,tablet,,no,FDA
injection,,,authorised,fda,approved,30.06.1997,1997,diseases of the circulatory system,<hypertension>,,small molecule,hydralazine hydrochloride,indications and usage severe essential hypertension when the drug cannot be given orally or when there is an urgent need to lower blood pressure.,,,,am regent,not reported,anda040136,hydralazine hydrochloride,yes,no,injectable,,no,FDA
oral,,,discontinued,fda,approved,09.08.1996,1996,,,,small molecule,chlorzoxazone,,,,,watson labs,watson,anda040137,chlorzoxazone,yes,no,tablet,,no,FDA
oral,,,discontinued,fda,approved,06.02.1998,1998,,,,small molecule,elixophyllin sr,,,,,forest labs,forest,anda086826,theophylline,yes,no,capsule,,no,FDA
oral,,,discontinued,fda,approved,30.01.1998,1998,,,,small molecule,estradiol,,,,,lannett co inc,lannett,anda040138,estradiol,yes,no,tablet,,no,FDA
oral,,,discontinued,fda,approved,07.06.1996,1996,,,,small molecule,dipyridamole,,,,,watson labs,watson,anda087160,dipyridamole,yes,no,tablet,,no,FDA
oral,,,discontinued,fda,approved,05.03.1997,1997,,,,small molecule,diphenoxylate hydrochloride and atropine sulfate,,,,,valeant pharm intl,valeant,anda087195,atropine sulfate,yes,no,tablet,,no,FDA
oral,,,discontinued,fda,approved,16.12.1996,1996,,,,small molecule,propoxyphene hydrochloride and acetaminophen,,,,,watson labs,watson,anda040139,acetaminophen,yes,no,tablet,,no,FDA
injection,,,discontinued,fda,approved,20.11.1998,1998,,,,small molecule,diphenhydramine hydrochloride,,,,,hospira,hospira,anda040140,diphenhydramine hydrochloride,yes,no,injectable,,no,FDA
oral,,,discontinued,fda,approved,22.09.1995,1995,,,,small molecule,procan sr,,,,,parkedale,not reported,anda087510,procainamide hydrochloride,yes,no,tablet,,yes,FDA
oral,,,discontinued,fda,approved,22.02.1996,1996,,,,small molecule,hydrocodone bitartrate and acetaminophen,,,,,vintage pharms,vintage,anda040143,acetaminophen,yes,no,tablet,,no,FDA
oral,,,discontinued,fda,approved,14.03.1997,1997,,,,small molecule,somophyllin-crt,,,,,graham dm,graham,anda087763,theophylline,yes,no,capsule,,no,FDA
oral,,,discontinued,fda,approved,22.02.1996,1996,,,,small molecule,hydrocodone bitartrate and acetaminophen,,,,,vintage pharms,vintage,anda040144,acetaminophen,yes,no,tablet,,no,FDA
oral,,,discontinued,fda,approved,26.03.1997,1997,,,,small molecule,warfarin sodium,,,,,barr,barr,anda040145,warfarin sodium,yes,no,tablet,,no,FDA
oral,,,discontinued,fda,approved,27.10.2005,2005,,,,small molecule,thalitone,,,,,monarch pharms,monarch,anda088051,chlorthalidone,yes,no,tablet,,no,FDA
