Marketing_authorisation_number,Procedure_number,Drug_name,Non_proprietary_name,Marketing_authorisation_holder,Drug_class,Pharmaceutical_form,Administration_route,Decision,Current_status,Decision_date,Decision_year,Orphan_drug_status,Indication_extended,Indication_requested,Indication_approved,Disease_class(es),Application_date,Application_year,Nonclinical_abridged,Referral_body,Document_name,Agency,Indications_and_usage,Origin,Referral,Marketing_authorisation_holder_extracted,Disease_name(s),DRUG_CODE
ema/515905/2024,emea/h/c/006295/0000,wainzua,eplontersen,astrazeneca ab,peptides and proteins,solution,subcutaneous,approved,authorised,30.01.2025,2025,yes,no,treatment of adult patients with polyneuropathy associated with hereditary transthyretin-mediated amyloidosis (attrv),treatment of hereditary transthyretin-mediated amyloidosis (attrv) in adult patients with stage 1 or stage 2 polyneuropathy,diseases of the nervous system; diseases of the circulatory system,05.10.2023,2023,no,na,wainzua-epar-public-assessment-report_en.pdf,EMA,,,,,,
ema/871459/2022,emea/h/c/005483/0000,pluvicto,lutetium (177lu) vipivotide tetraxetan,novartis europharm limited,other,solution,intravenous,approved,authorised,13.10.2022,2022,no,no,treatment of adult patients with prostate-specific membrane antigen (psma)-positive metastatic castration-resistant prostate cancer (mcrpc) who have been treated with androgen receptor (ar) pathway inhibition and taxane-based chemotherapy,treatment of adult patients with progressive prostate-specific membrane antigen (psma)-positive metastatic castration-resistant prostate cancer (mcrpc) who have been treated with ar pathway inhibition and taxane-based chemotherapy,neoplasms,30.09.2021,2021,no,na,pluvicto-epar-public-assessment-report_en.pdf,EMA,,,,,,
ema/549260/2023,emea/h/c/006101/0000,uzpruvo,ustekinumab,stada arzneimittel ag,biologics,solution,subcutaneous,approved,authorised,09.11.2023,2023,no,no,plaque psoriasis; paediatric plaque psoriasis; psoriatic arthritis; crohn’s disease,plaque psoriasis; paediatric plaque psoriasis; psoriatic arthritis; crohn’s disease,diseases of the skin; diseases of the musculoskeletal system and connective tissue; diseases of the digestive system,21.10.2022,2022,no,na,uzprovo-epar-public-assessment-report_en.pdf,EMA,,,,,,
ema/309145/2012,emea/h/c/002055,pixuvri,pixantrone,cti life sciences ltd.,small molecule,powder,intravenous,conditional marketing authorisation,withdrawn,16.02.2012,2012,,no,treatment of adult patients with multiply relapsed or refractory aggressive non hodgkin lymphomas (nhl),treatment in monotherapy of adult patients with multiply relapsed or refractory aggressive non hodgkin b cell lymphomas (nhl),neoplasms; diseases of the blood and blood-forming organs,28.10.2010,2010,no,na,pixuvri-epar-public-assessment-report_en.pdf,EMA,,,,,,
,,viraferon,interferon alfa-2b,sp europe,biologics,solution,intramuscular,approved,withdrawn,21.10.1999,1999,no,yes,treatment of chronic hepatitis b and chronic hepatitis c,"chronic hepatitis b: treatment of adult patients with chronic hepatitis b associated with evidence of hepatitis b viral replication (presence of hbv-dna and hbeag), elevated alt and histologically proven active liver inflammation and/or fibrosis. chronic hepatitis c: treatment of adult patients with chronic hepatitis c who have elevated transaminases without liver decompensation and who are positive for serum hcv-rna or anti-hcv.",infectious and parasitic diseases,,,no,na,viraferon-epar-scientific-discussion_en.pdf,EMA,,,,,,
ema/chmp/684236/2014,emea/h/c/003957,rasagiline ratiopharm,rasagiline,teva b.v.,small molecule,tablet,oral,approved,authorised,20.11.2014,2014,no,yes,treatment of idiopathic parkinson’s disease as monotherapy or as adjunct therapy in patients with end of dose fluctuations.,treatment of idiopathic parkinson’s disease as monotherapy or as adjunct therapy in patients with end of dose fluctuations.,diseases of the nervous system,28.08.2014,2014,yes,,rasagiline-ratiopharm-epar-public-assessment-report_en.pdf,EMA,,,,,,
ema/821709/2018,emea/h/c/004747/0000,pifeltro,doravirine,merck sharp & dohme b.v.,small molecule,tablet,oral,approved,authorised,20.09.2018,2018,no,no,"doravirine msd is indicated, in combination with other antiretroviral medicinal products, for the treatment of adults infected with hiv-1 without past or present evidence of viral resistance to doravirine.","doravirine msd is indicated, in combination with other antiretroviral medicinal products, for the treatment of adults infected with hiv-1 without past or present evidence of viral resistance to doravirine.",infectious and parasitic diseases,03.11.2017,2017,no,na,pifeltro-epar-public-assessment-report_en.pdf,EMA,,,,,,
ema/000400/2001,emea/h/c/000400,zometa,zoledronic acid,novartis,small molecule,powder,intravenous,approved,authorised,20.03.2001,2001,no,yes,tumour-induced hypercalcaemia,tumour-induced hypercalcaemia; prevention of skeletal related events in patients with advanced malignancies involving bone,neoplasms; diseases of the musculoskeletal system and connective tissue,,,no,na,zometa-epar-scientific-discussion_en.pdf,EMA,,,,,,
ema/664892/2009,emea/h/c/1012,resolor,prucalopride,movetis nv,small molecule,tablet,oral,approved,authorised,23.07.2009,2009,no,no,treatment of chronic constipation in adults in whom laxatives fail to provide adequate relief,symptomatic treatment of chronic constipation in women in whom laxatives fail to provide adequate relief,diseases of the digestive system,08.05.2008,2008,no,na,resolor-epar-public-assessment-report_en.pdf,EMA,,,,,,
ema/55567/2014,emea/h/c/002552,deltyba,delamanid,otsuka novel products gmbh,small molecule,tablet,oral,conditional marketing authorisation,authorised,21.11.2013,2013,yes,no,delamanid is indicated for the treatment of multidrug-resistant tuberculosis (mdr-tb) in combination with an optimised background regimen (obr) according to who guidelines in adult patients.,treatment of pulmonary infections due to multidrug-resistant mycobacterium tuberculosis as part of an appropriate combination regimen,infectious and parasitic diseases,25.11.2011,2011,no,na,deltyba-epar-public-assessment-report_en.pdf,EMA,,,,,,
ema/523618/2015,emea/h/c/004021/0000,aripiprazole accord,aripiprazole,accord healthcare ltd,small molecule,tablet,oral,approved,authorised,24.09.2015,2015,no,no,treatment of schizophrenia in adults and adolescents aged 15 years and older; treatment of moderate to severe manic episodes in bipolar i disorder and prevention of new manic episodes in adults; treatment up to 12 weeks of moderate to severe manic episodes in bipolar i disorder in adolescents aged 13 years and older.,treatment of schizophrenia in adults and adolescents aged 15 years and older; treatment of moderate to severe manic episodes in bipolar i disorder and prevention of new manic episodes in adults; treatment up to 12 weeks of moderate to severe manic episodes in bipolar i disorder in adolescents aged 13 years and older.,mental and behavioural disorders,01.08.2014,2014,yes,,aripiprazole-accord-epar-public-assessment-report_en.pdf,EMA,,,,,,
