Marketing_authorisation_number,Procedure_number,Drug_name,Non_proprietary_name,Marketing_authorisation_holder,Drug_class,Pharmaceutical_form,Administration_route,Decision,Current_status,Decision_date,Decision_year,Orphan_drug_status,Indication_extended,Indication_requested,Indication_approved,Disease_class(es),Application_date,Application_year,Nonclinical_abridged,Referral_body,Document_name,Agency
68464,emea/h/c/005138/0000,orladeyo,berotralstat,biocryst schweiz gmbh,small molecule,capsule,oral,approved,authorised,07.06.2022,2022,yes,no,routine prevention of recurrent attacks of hereditary angioedema (hae) in adult and adolescent patients aged 12 years and older.,routine prevention of recurrent attacks of hereditary angioedema (hae) in adult and adolescent patients aged 12 years and older.,diseases of the blood and blood-forming organs,22.07.2021,2021,yes,european medicines agency (ema),swisspar_orladeyo.pdf,Swissmedic
67280,,rozlytrek,entrectinib,roche pharma (schweiz) ag,small molecule,capsule,oral,approved,authorised (under additional monitoring),05.11.2020,2020,yes,no,solid tumours with ntrk fusion-positive and ros1-positive advanced non-small cell lung cancer (nsclc),solid tumours with ntrk fusion-positive and ros1-positive advanced non-small cell lung cancer (nsclc),neoplasms; diseases of the respiratory system,20.05.2019,2019,no,na,swisspar_rozlytrek_final.pdf,Swissmedic
69246,,tymlos,abaloparatide,labatec pharma sa,peptides and proteins,solution,subcutaneous,approved,authorised,07.03.2024,2024,no,no,treatment of osteoporosis in postmenopausal women at increased risk of fracture.,treatment of osteoporosis in postmenopausal women at high risk of fracture.,diseases of the musculoskeletal system and connective tissue,12.12.2022,2022,yes,ema,swisspar_tymlos.pdf,Swissmedic
68548,,bimzelx,bimekizumab,ucb-pharma sa,biologics,solution,subcutaneous,approved,authorised (under additional monitoring),29.07.2024,2024,no,yes,"axial spondyloarthritis; non-radiographic axial spondyloarthritis (nr-axspa); ankylosing spondylitis (as, radiographic axial spondyloarthritis)","axial spondyloarthritis; non-radiographic axial spondyloarthritis (nr-axspa); ankylosing spondylitis (as, radiographic axial spondyloarthritis)",diseases of the musculoskeletal system and connective tissue,14.08.2023,2023,no,na,swisspar_bimzelx_ie_axial_spondyloarthritis.pdf,Swissmedic
68329,,ronapreve,"casirivimab, imdevimab",roche pharma (schweiz) ag,biologics,solution,intravenous; subcutaneous,approved,authorised,23.12.2021,2021,no,no,treatment of confirmed covid-19 infection in patients aged 12 years and older and weighing at least 40 kg that do not require supplemental oxygen for covid-19 and who are at high risk of progressing to severe covid-19. prevention of covid-19 in individuals aged 12 years and older and weighing at least 40 kg who meet certain criteria.,treatment of confirmed covid-19 in adults and adolescents (12 years of age and older and weighing at least 40 kg) who do not require supplemental oxygen or hospitalisation for covid-19 and who are at high risk of developing severe covid-19. prevention of covid-19 in adults and adolescents (12 years of age and older and weighing at least 40 kg) who cannot produce an adequate immune response to the sars-cov-2 vaccination.,infectious and parasitic diseases,05.03.2021,2021,no,na,swisspar_ronapreve_final.pdf,Swissmedic
69212,,trikafta,"elexacaftor, ivacaftor, tezacaftor",vertex pharmaceuticals (ch) gmbh,small molecule,granules,oral,approved,authorised (under additional monitoring),13.06.2024,2024,yes,yes,trikafta is indicated for the treatment of cystic fibrosis (cf) in patients aged 2 years and older who have at least one f508del mutation in the cystic fibrosis transmembrane conductance regulator (cftr) gene,trikafta is indicated for the treatment of cystic fibrosis (cf) in patients aged 2 years and older who have at least one f508del mutation in the cystic fibrosis transmembrane conductance regulator (cftr) gene,"diseases of the respiratory system; endocrine, nutritional, and metabolic diseases",28.02.2023,2023,no,na,swisspar_trikafta_ie.pd.pdf,Swissmedic
69173,,jynneos,"modified vaccinia ankara virus, live attenuated",bavarian nordic switzerland ag,vaccine,suspension,subcutaneous,approved,authorised (under additional monitoring),01.03.2024,2024,no,no,"active immunisation against disease caused by smallpox, monkeypox, and vaccinia virus in adults","active immunisation against disease caused by smallpox, monkeypox, and vaccinia viruses in adults 18 years of age and older",infectious and parasitic diseases,23.12.2022,2022,yes,ema,swisspar_jynneos_final.pdf,Swissmedic
67426,,xofluza,baloxavir marboxil,roche pharma (schweiz) ag,small molecule,tablet,oral,approved,authorised,19.02.2020,2020,no,no,treatment of influenza in patients aged 12 years and older who have been symptomatic for no more than 48 hours and who are at high risk of developing influenza-related complications,treatment of uncomplicated influenza in patients aged 12 years and older who have been symptomatic for no more than 48 hours and who are otherwise healthy or at high risk of developing influenza-related complications,infectious and parasitic diseases,30.04.2019,2019,no,na,swisspar_xofluza_final.pdf,Swissmedic
67410,,koselugo,selumetinib,astrazeneca ag,small molecule,capsule,oral,conditional marketing authorisation,authorised (under additional monitoring),29.07.2022,2022,yes,no,"koselugo is indicated for the treatment of children and adolescents aged 3 years and above with neurofibromatosis type 1 (nf1) and symptomatic, inoperable plexiform neurofibromas (pn).","koselugo is indicated for the treatment of children and adolescent patients aged 3 years and above with neurofibromatosis type 1 (nf1) and symptomatic, inoperable plexiform neurofibromas (pn).",neoplasms; other,01.10.2020,2020,yes,fda,swisspar_koselugo.pdf,Swissmedic
68752,,vaxneuvance,streptococcus pneumoniae serotypes 1 / 3 / 4 / 5 / 6a / 6b / 7f / 9v / 14 / 18c / 19a / 19f / 22f / 23f / 33f polysaccharide conjugated to corynebacterium diphtheriae crm 197 protein,msd merck sharp & dohme ag,vaccine,suspension,intramuscular,approved,authorised (under additional monitoring),09.01.2024,2024,no,yes,"active immunisation for the prevention of invasive disease, pneumonia, and acute otitis media caused by streptococcus pneumoniae in infants, children, and adolescents from 6 weeks to less than 18 years of age.","active immunisation for the prevention of invasive disease, pneumonia, and acute otitis media caused by streptococcus pneumoniae in infants and children from 6 weeks to 5 years of age.",infectious and parasitic diseases; diseases of the respiratory system,20.02.2023,2023,yes,ema,swisspar_vaxneuvance_ie.pdf,Swissmedic
67426,,xofluza,baloxavirum marboxilum,roche pharma (schweiz) ag,small molecule,tablet,oral,approved,authorised,19.11.2021,2021,no,yes,prophylaxis of influenza,post-exposure prophylaxis of influenza in individuals aged 12 years and above,infectious and parasitic diseases; diseases of the respiratory system,01.07.2020,2020,no,na,swisspar_xofluza.pdf,Swissmedic
67648,,tabrecta,capmatinib,novartis pharma schweiz ag,small molecule,tablet,oral,approved,authorised (under additional monitoring),26.04.2021,2021,yes,no,tabrecta is indicated for the treatment of patients with locally advanced or metastatic non-small cell lung cancer (nsclc) with a met-exon-14-skipping mutation.,tabrecta is indicated for the treatment of adult patients with metastatic non-small cell lung cancer (nsclc) with a met exon 14 skipping mutation.,neoplasms; diseases of the respiratory system,16.07.2020,2020,yes,fda,swisspar_tabrecta.pdf,Swissmedic
