Marketing_authorisation_number,Procedure_number,Drug_name,Non_proprietary_name,Marketing_authorisation_holder,Drug_class,Pharmaceutical_form,Administration_route,Decision,Current_status,Decision_date,Decision_year,Orphan_drug_status,Indication_extended,Indication_requested,Indication_approved,Disease_class(es),Application_date,Application_year,Nonclinical_abridged,Referral_body,Document_name,Agency
138885,pm-2019-04825-1-1,soliris,eculizumab,alexion pharmaceuticals australasia pty ltd,biologics,solution,intravenous,approved,authorised (under additional monitoring),26.06.2020,2020,yes,yes,adult patients with neuromyelitis optica spectrum disorder (nmosd) who are anti-aquaporin-4 (aqp4) antibody-positive.,adult patients with neuromyelitis optica spectrum disorder (nmosd) who are anti-aquaporin-4 (aqp4) antibody-positive.,diseases of the nervous system,02.12.2019,2019,yes,health canada,auspar-eculizumab-201124.pdf,TGA
381094,pm-2021-05441-1-1,nuceiva,prabotulinum toxin a,ppd australia pty ltd,biologics,powder,intramuscular,approved,authorised (under additional monitoring),13.01.2023,2023,no,no,the temporary improvement in the appearance of moderate to severe glabellar lines associated with corrugator and/or procerus muscle activity in adult patients.,the temporary improvement in the appearance of moderate to severe glabellar lines in adult patients.,diseases of the skin,31.01.2022,2022,yes,,auspar-nuceiva-230919.pdf,TGA
82903; 154382,pm-2014-01870-1-2,valcyte,valganciclovir,roche products pty ltd,small molecule,tablet; powder,oral,approved,authorised,08.09.2015,2015,no,yes,prophylaxis of cmv disease in adult and paediatric solid organ transplantation (sot) patients who are at risk.,prophylaxis of cmv disease in adult and paediatric solid organ transplantation (sot) patients who are at risk.,infectious and parasitic diseases,,,yes,,auspar-valganciclovir-160105.pdf,TGA
"199410, 199411, 199412, 216038, 238700, 95779",pm-2015-01149-1-3,humira,adalimumab,abbvie pty ltd,biologics,solution,subcutaneous,approved,authorised,07.07.2016,2016,no,yes,enthesitis-related arthritis; psoriasis in adults and children,enthesitis-related arthritis; psoriasis in adults and children,diseases of the musculoskeletal system and connective tissue; diseases of the skin,,,yes,,auspar-adalimumab-170320.pdf,TGA
355338,pm-2021-00644-1-4,welireg,belzutifan,merck sharp & dohme (australia) pty ltd,small molecule,tablet,oral,approved,authorised (under additional monitoring),20.12.2022,2022,yes,yes,treatment of adult patients with von hippel-lindau (vhl) disease who require therapy for associated renal cell carcinoma not requiring immediate surgery,"treatment of adult patients with von hippel-lindau (vhl) disease who require therapy for associated renal cell carcinoma (rcc), central nervous system (cns) haemangioblastomas, or pancreatic neuroendocrine tumours (pnet), not requiring immediate surgery",neoplasms; diseases of the nervous system; diseases of the digestive system,31.03.2021,2021,no,na,auspar-welireg-230913.pdf,TGA
"158356, 158419 and 200121",pm-2012-01934-3-2,revolade,eltrombopag olamine,glaxosmithkline australia pty ltd,small molecule,tablet,oral,approved,authorised,27.08.2013,2013,no,yes,treatment of thrombocytopenia in adult patients with chronic hepatitis c virus (hcv) infection to enable the initiation of interferon-based therapy and during interferon-based therapy.,treatment of thrombocytopenia in patients with chronic hepatitis c to allow the initiation and maintenance of interferon-based therapy.,diseases of the blood and blood-forming organs; infectious and parasitic diseases,,,yes,,auspar-eltrombopag-olamine-131203.pdf,TGA
156226,pm-2008-2954-5,zomacton,somatropin,ferring pharmaceuticals pty ltd,peptides and proteins,powder,subcutaneous,approved,authorised,03.09.2010,2010,no,no,for the long term treatment of children who have growth failure due to inadequate secretion of growth hormone.,for the long term treatment of children who have growth failure due to inadequate secretion of growth hormone.,"endocrine, nutritional, and metabolic diseases",,,no,na,auspar-zomacton.pdf,TGA
312687,pm-2020-02479-1-3,rinvoq,upadacitinib,abbvie pty ltd,small molecule,tablet,oral,approved,authorised (under additional monitoring),06.05.2021,2021,no,yes,psoriatic arthritis; ankylosing spondylitis,psoriatic arthritis; ankylosing spondylitis,diseases of the musculoskeletal system and connective tissue; diseases of the skin,30.06.2020,2020,yes,,auspar-upadacitinib-210716.pdf,TGA
,pm-2013-00709-1-4,avastin,bevacizumab,roche products pty ltd,biologics,solution,intravenous,rejected,na,17.09.2014,2014,yes,yes,treatment of adult patients with newly diagnosed glioblastoma in combination with radiotherapy and temozolomide.,na,neoplasms; diseases of the nervous system,,,yes,,auspar-bevacizumab-141103.pdf,TGA
161 281 and 161 282,pm-2009-01084-4,votrient,pazopanib hydrochloride,glaxosmithkline australia pty ltd,small molecule,tablet,oral,approved,authorised,22.06.2010,2010,yes,no,treatment of advanced and/or metastatic renal cell carcinoma (rcc).,treatment of advanced and/or metastatic renal cell carcinoma (rcc).,neoplasms; diseases of the genitourinary system,,,no,na,auspar-votrient.pdf,TGA
"205919, 205917 and 200922, 200936",pm-2017-04434-1-4 and pm-2017-04435-1-4,mekinist and tafinlar,trametinib and dabrafenib,novartis pharmaceuticals australia pty limited,small molecule,tablet; capsule,oral,approved,authorised,06.06.2018,2018,no,yes,"adjuvant treatment of patients with stage iii melanoma with a braf v600 mutation, following complete resection.","adjuvant treatment of patients with stage iii melanoma with a braf v600 mutation, following complete resection.",neoplasms; diseases of the skin,16.01.2018,2018,yes,,auspar-trametinib-dabrafenib-181108.pdf,TGA
