Administration_route,Application_date,Application_year,Current_status,Decision,Decision_date,Decision_year,Disease_class(es),Document_name,Drug_class,Drug_name,Indication_approved,Indication_approved_extracted,Indication_extended,Indication_requested,Indication_requested_extracted,Marketing_authorisation_holder,Marketing_authorisation_holder_extracted,Marketing_authorisation_number,Non_proprietary_name,Nonclinical_abridged,Orphan_drug_status,Pharmaceutical_form,Procedure_number,Referral_body
Intravenous,02.12.2019,2019,authorised (under additional monitoring),approved,26.06.2020,2020,Diseases of the nervous system,auspar-eculizumab-201124.pdf,Biologics,Soliris,Adult patients with Neuromyelitis Optica Spectrum Disorder (NMOSD) who are anti-aquaporin-4 (AQP4) antibody-positive.,<Neuromyelitis Optica Spectrum Disorder>,yes,Adult patients with Neuromyelitis Optica Spectrum Disorder (NMOSD) who are anti-aquaporin-4 (AQP4) antibody-positive.,<Neuromyelitis Optica Spectrum Disorder>,Alexion Pharmaceuticals Australasia Pty Ltd,Alexion,138885,Eculizumab,yes,yes,Concentrated solution,PM-2019-04825-1-1,Health Canada
Intramuscular,31.01.2022,2022,authorised (under additional monitoring),approved,13.01.2023,2023,Diseases of the skin,auspar-nuceiva-230919.pdf,Biologics,Nuceiva,The temporary improvement in the appearance of moderate to severe glabellar lines in adult patients.,<Not Reported>,no,The temporary improvement in the appearance of moderate to severe glabellar lines associated with corrugator and/or procerus muscle activity in adult patients.,<Glabellar Lines>,PPD Australia Pty Ltd,PPD,381094,Prabotulinum toxin A,yes,no,Powder for solution for injection,PM-2021-05441-1-1,Not reported
Oral,Not reported,Not reported,authorised,approved,08.09.2015,2015,Infectious and parasitic diseases,auspar-valganciclovir-160105.pdf,Small molecule,Valcyte,Prophylaxis of CMV disease in adult and paediatric solid organ transplantation (SOT) patients who are at risk.,<CMV Infections>,yes,Prophylaxis of CMV disease in adult and paediatric solid organ transplantation (SOT) patients who are at risk.,<CMV Infections>,Roche Products Pty Ltd,Roche,82903; 154382,Valganciclovir,yes,no,Film coated tablet / powder for oral solution,PM-2014-01870-1-2,Not reported
Subcutaneous,Not reported,Not reported,authorised,approved,07.07.2016,2016,Diseases of the musculoskeletal system and connective tissue; Diseases of the skin,auspar-adalimumab-170320.pdf,Biologics,Humira,Enthesitis-Related Arthritis; Psoriasis in Adults and Children,"<Arthritis, Juvenile>; <Psoriasis>",yes,Enthesitis-Related Arthritis; Psoriasis in Adults and Children,"<Arthritis, Juvenile>; <Psoriasis>",AbbVie Pty Ltd,AbbVie,"199410, 199411, 199412, 216038, 238700, 95779",Adalimumab,yes,no,Solution for Injection,PM-2015-01149-1-3,Not reported
Oral,31.03.2021,2021,authorised (under additional monitoring),approved,20.12.2022,2022,Neoplasms; Diseases of the nervous system; Diseases of the digestive system,auspar-welireg-230913.pdf,Small molecule,Welireg,"treatment of adult patients with von Hippel-Lindau (VHL) disease who require therapy for associated renal cell carcinoma (RCC), central nervous system (CNS) haemangioblastomas, or pancreatic neuroendocrine tumours (pNET), not requiring immediate surgery",<Von Hippel-Lindau Disease>; <Renal Cell Carcinoma>; <Central Nervous System Neoplasms>; <Pancreatic Neuroendocrine Tumors>,yes,treatment of adult patients with von Hippel-Lindau (VHL) disease who require therapy for associated renal cell carcinoma not requiring immediate surgery,<Von Hippel-Lindau Disease>; <Renal Cell Carcinoma>,Merck Sharp & Dohme (Australia) Pty Ltd,Merck Sharp & Dohme,355338,Belzutifan,no,yes,Film-coated tablet,PM-2021-00644-1-4,NA
Oral,Not reported,Not reported,authorised,approved,27.08.2013,2013,Diseases of the blood and blood-forming organs; Infectious and parasitic diseases,auspar-eltrombopag-olamine-131203.pdf,Small molecule,Revolade,Treatment of thrombocytopenia in patients with chronic hepatitis C to allow the initiation and maintenance of interferon-based therapy.,"<Thrombocytopenia>; <Hepatitis C, Chronic>",yes,Treatment of thrombocytopenia in adult patients with chronic hepatitis C virus (HCV) infection to enable the initiation of interferon-based therapy and during interferon-based therapy.,<Thrombocytopenia>; <Hepatitis C>,GlaxoSmithKline Australia Pty Ltd,GlaxoSmithKline,"158356, 158419 and 200121",Eltrombopag Olamine,yes,no,Tablets,PM-2012-01934-3-2,Not reported
subcutaneous,Not reported,Not reported,authorised,approved,03.09.2010,2010,"Endocrine, nutritional, and metabolic diseases",auspar-zomacton.pdf,Peptides and proteins,Zomacton,For the long term treatment of children who have growth failure due to inadequate secretion of growth hormone.,<Growth Hormone Deficiency>,no,For the long term treatment of children who have growth failure due to inadequate secretion of growth hormone.,<Growth Hormone Deficiency>,Ferring Pharmaceuticals Pty Ltd,Ferring,156226,Somatropin,no,no,powder for injection,PM-2008-2954-5,NA
Oral,30.06.2020,2020,authorised (under additional monitoring),approved,06.05.2021,2021,Diseases of the musculoskeletal system and connective tissue; Diseases of the skin,auspar-upadacitinib-210716.pdf,Small molecule,Rinvoq,Psoriatic Arthritis; Ankylosing Spondylitis,<Psoriatic Arthritis>; <Ankylosing Spondylitis>,yes,Psoriatic Arthritis; Ankylosing Spondylitis,<Psoriatic Arthritis>; <Ankylosing Spondylitis>,AbbVie Pty Ltd,AbbVie,312687,Upadacitinib,yes,no,Modified release tablets,PM-2020-02479-1-3,Not reported
Intravenous,Not reported,Not reported,NA,rejected,17.09.2014,2014,Neoplasms; Diseases of the nervous system,auspar-bevacizumab-141103.pdf,Biologics,Avastin,NA,Not Reported,yes,Treatment of adult patients with newly diagnosed glioblastoma in combination with radiotherapy and temozolomide.,<Glioblastoma>,Roche Products Pty Ltd,Roche,Not reported,Bevacizumab,yes,yes,Solution for infusion,PM-2013-00709-1-4,Not reported
Oral,Not reported,Not reported,authorised,approved,22.06.2010,2010,Neoplasms; Diseases of the genitourinary system,auspar-votrient.pdf,Small molecule,Votrient,Treatment of advanced and/or metastatic renal cell carcinoma (RCC).,<Renal Cell Carcinoma>,no,Treatment of advanced and/or metastatic renal cell carcinoma (RCC).,<Renal Cell Carcinoma>,GlaxoSmithKline Australia Pty Ltd,GlaxoSmithKline,161 281 and 161 282,Pazopanib hydrochloride,no,yes,Film Coated Tablets,PM-2009-01084-4,NA
