Administration_route,Application_date,Application_year,Current_status,Decision,Decision_date,Decision_year,Disease_class(es),Document_name,Drug_class,Drug_name,Indication_approved,Indication_approved_extracted,Indication_extended,Indication_requested,Indication_requested_extracted,Marketing_authorisation_holder,Marketing_authorisation_holder_extracted,Marketing_authorisation_number,Non_proprietary_name,Nonclinical_abridged,Orphan_drug_status,Pharmaceutical_form,Procedure_number,Referral_body
oral,Not reported,Not reported,withdrawn,withdrawn,25.03.2022,2022,Neoplasms; Diseases of the digestive system,febseltiq-withdrawal-assessment-report_en.pdf,Small molecule,Febseltiq,NA,Not Reported,no,"treatment of adults with previously treated, unresectable locally advanced or metastatic cholangiocarcinoma with a fibroblast growth factor receptor 2 (FGFR2) fusion or other rearrangement",<Cholangiocarcinoma>,Not reported,Not Reported,EMA/939316/2022,infigratinib,no,yes,hard capsule,EMEA/H/C/005361/0000,NA
intravenous,Not reported,Not reported,withdrawn,Not reported,Not reported,Not reported,Neoplasms; Diseases of the blood and blood-forming organs,mabcampath-epar-scientific-discussion_en.pdf,Biologics,MabCampath,treatment of patients with chronic lymphocytic leukaemia (CLL) who have been treated with alkylating agents and who have failed to achieve a complete or partial response or achieved only a short remission (less than 6 months) following fludarabine phosphate therapy,"<Leukemia, Lymphocytic, Chronic, B-Cell>",no,treatment of patients with chronic lymphocytic leukaemia (CLL) who have been treated with alkylating agents and who have failed fludarabine phosphate therapy,"<Leukemia, Lymphocytic, Chronic, B-Cell>",Not reported,Not Reported,Not reported,alemtuzumab,yes,Not reported,solution for infusion,Not reported,CPMP
subcutaneous,05.10.2023,2023,authorised,approved,30.01.2025,2025,Diseases of the nervous system; Diseases of the circulatory system,wainzua-epar-public-assessment-report_en.pdf,Peptides and proteins,Wainzua,treatment of hereditary transthyretin-mediated amyloidosis (ATTRv) in adult patients with stage 1 or stage 2 polyneuropathy,<Transthyretin Amyloidosis>,no,treatment of adult patients with polyneuropathy associated with hereditary transthyretin-mediated amyloidosis (ATTRv),<Polyneuropathies>; <Amyloidosis>,AstraZeneca AB,AstraZeneca,EMA/515905/2024,eplontersen,no,yes,solution for injection,EMEA/H/C/006295/0000,NA
intravenous,30.09.2021,2021,authorised,approved,13.10.2022,2022,Neoplasms,pluvicto-epar-public-assessment-report_en.pdf,Other,Pluvicto,treatment of adult patients with progressive prostate-specific membrane antigen (PSMA)-positive metastatic castration-resistant prostate cancer (mCRPC) who have been treated with AR pathway inhibition and taxane-based chemotherapy,<Prostatic Neoplasms>,no,treatment of adult patients with prostate-specific membrane antigen (PSMA)-positive metastatic castration-resistant prostate cancer (mCRPC) who have been treated with androgen receptor (AR) pathway inhibition and taxane-based chemotherapy,<Prostatic Neoplasms>,Novartis Europharm Limited,Novartis,EMA/871459/2022,lutetium (177Lu) vipivotide tetraxetan,no,no,solution for injection,EMEA/H/C/005483/0000,NA
Subcutaneous,21.10.2022,2022,authorised,approved,09.11.2023,2023,Diseases of the skin; Diseases of the musculoskeletal system and connective tissue; Diseases of the digestive system,uzprovo-epar-public-assessment-report_en.pdf,Biologics,Uzpruvo,Plaque psoriasis; Paediatric plaque psoriasis; Psoriatic arthritis; Crohn’s Disease,<Plaque Psoriasis>; <Psoriatic Arthritis>; <Crohn Disease>,no,Plaque psoriasis; Paediatric plaque psoriasis; Psoriatic arthritis; Crohn’s Disease,"<Psoriasis>; <Arthritis, Psoriatic>; <Crohn Disease>",STADA Arzneimittel AG,STADA,EMA/549260/2023,ustekinumab,no,no,Solution for injection,EMEA/H/C/006101/0000,NA
Intravenous,28.10.2010,2010,withdrawn,conditional marketing authorisation,16.02.2012,2012,Neoplasms; Diseases of the blood and blood-forming organs,pixuvri-epar-public-assessment-report_en.pdf,Small molecule,Pixuvri,treatment in monotherapy of adult patients with multiply relapsed or refractory aggressive Non Hodgkin B cell Lymphomas (NHL),<Non-Hodgkin Lymphoma>,no,treatment of adult patients with multiply relapsed or refractory aggressive Non Hodgkin Lymphomas (NHL),<Non-Hodgkin Lymphoma>,CTI Life Sciences Ltd.,CTI,EMA/309145/2012,pixantrone,no,Not reported,Powder for concentrate for solution for infusion,EMEA/H/C/002055,NA
intramuscular,Not reported,Not reported,withdrawn,approved,21.10.1999,1999,Infectious and parasitic diseases,viraferon-epar-scientific-discussion_en.pdf,Biologics,Viraferon,"Chronic Hepatitis B: Treatment of adult patients with chronic hepatitis B associated with evidence of hepatitis B viral replication (presence of HBV-DNA and HBeAg), elevated ALT and histologically proven active liver inflammation and/or fibrosis. Chronic Hepatitis C: Treatment of adult patients with chronic hepatitis C who have elevated transaminases without liver decompensation and who are positive for serum HCV-RNA or anti-HCV.",<Chronic Hepatitis B>; <Chronic Hepatitis C>,yes,Treatment of Chronic Hepatitis B and Chronic Hepatitis C,<Chronic Hepatitis B>; <Chronic Hepatitis C>,SP Europe,Not Reported,Not reported,interferon alfa-2b,no,no,solution for injection,Not reported,NA
Oral,28.08.2014,2014,authorised,approved,20.11.2014,2014,Diseases of the nervous system,rasagiline-ratiopharm-epar-public-assessment-report_en.pdf,Small molecule,Rasagiline ratiopharm,Treatment of idiopathic Parkinson’s disease as monotherapy or as adjunct therapy in patients with end of dose fluctuations.,<Parkinson Disease>,yes,Treatment of idiopathic Parkinson’s disease as monotherapy or as adjunct therapy in patients with end of dose fluctuations.,<Parkinson Disease>,Teva B.V.,Teva,EMA/CHMP/684236/2014,Rasagiline,yes,no,Tablet,EMEA/H/C/003957,Not reported
oral,03.11.2017,2017,authorised,approved,20.09.2018,2018,Infectious and parasitic diseases,pifeltro-epar-public-assessment-report_en.pdf,Small molecule,Pifeltro,"Doravirine MSD is indicated, in combination with other antiretroviral medicinal products, for the treatment of adults infected with HIV-1 without past or present evidence of viral resistance to doravirine.",<HIV Infections>,no,"Doravirine MSD is indicated, in combination with other antiretroviral medicinal products, for the treatment of adults infected with HIV-1 without past or present evidence of viral resistance to doravirine.",<HIV Infections>,Merck Sharp & Dohme B.V.,Merck Sharp & Dohme,EMA/821709/2018,doravirine,no,no,film-coated tablet,EMEA/H/C/004747/0000,NA
intravenous,Not reported,Not reported,authorised,approved,20.03.2001,2001,Neoplasms; Diseases of the musculoskeletal system and connective tissue,zometa-epar-scientific-discussion_en.pdf,Small molecule,Zometa,Tumour-induced hypercalcaemia; Prevention of skeletal related events in patients with advanced malignancies involving bone,<Hypercalcemia>; <Neoplasms>,yes,Tumour-induced hypercalcaemia,<Hypercalcemia>,Novartis,Novartis,EMA/000400/2001,zoledronic acid,no,no,powder for solution for infusion,EMEA/H/C/000400,NA
intravenous,Not reported,Not reported,withdrawn,approved,Not reported,Not reported,Neoplasms; Diseases of the digestive system,photobarr-epar-scientific-discussion_en.pdf,Biologics,PhotoBarr,Ablation of high-grade dysplasia (HGD) in patients with Barrett's Oesophagus,<Barrett Esophagus>,yes,Ablation of high-grade dysplasia (HGD) in patients with Barrett's Oesophagus,<Barrett Esophagus>,Not reported,Not Reported,Not reported,porfimer sodium,no,no,powder for solution for injection,Not reported,NA
oral,08.05.2008,2008,authorised,approved,23.07.2009,2009,Diseases of the digestive system,resolor-epar-public-assessment-report_en.pdf,Small molecule,Resolor,symptomatic treatment of chronic constipation in women in whom laxatives fail to provide adequate relief,<Constipation>,no,treatment of chronic constipation in adults in whom laxatives fail to provide adequate relief,<Constipation>,Movetis NV,Movetis,EMA/664892/2009,Prucalopride,no,no,film-coated tablet,EMEA/H/C/1012,NA
oral,25.11.2011,2011,authorised,conditional marketing authorisation,21.11.2013,2013,Infectious and parasitic diseases,deltyba-epar-public-assessment-report_en.pdf,Small molecule,Deltyba,treatment of pulmonary infections due to multidrug-resistant Mycobacterium tuberculosis as part of an appropriate combination regimen,<Pulmonary Tuberculosis>,no,Delamanid is indicated for the treatment of multidrug-resistant tuberculosis (MDR-TB) in combination with an optimised background regimen (OBR) according to WHO guidelines in adult patients.,"<Tuberculosis, Multidrug-Resistant>",Otsuka Novel Products GmbH,Otsuka,EMA/55567/2014,delamanid,no,yes,film-coated tablet,EMEA/H/C/002552,NA
oral,01.08.2014,2014,authorised,approved,24.09.2015,2015,Mental and behavioural disorders,aripiprazole-accord-epar-public-assessment-report_en.pdf,Small molecule,Aripiprazole Accord,Treatment of schizophrenia in adults and adolescents aged 15 years and older; treatment of moderate to severe manic episodes in Bipolar I Disorder and prevention of new manic episodes in adults; treatment up to 12 weeks of moderate to severe manic episodes in Bipolar I Disorder in adolescents aged 13 years and older.,<Schizophrenia>; <Bipolar Disorder>,no,Treatment of schizophrenia in adults and adolescents aged 15 years and older; treatment of moderate to severe manic episodes in Bipolar I Disorder and prevention of new manic episodes in adults; treatment up to 12 weeks of moderate to severe manic episodes in Bipolar I Disorder in adolescents aged 13 years and older.,<Schizophrenia>; <Bipolar Disorder>,Accord Healthcare Ltd,Accord,EMA/523618/2015,aripiprazole,yes,no,tablet,EMEA/H/C/004021/0000,Not reported
subcutaneous; intravenous,29.01.2007,2007,withdrawn,approved,24.07.2008,2008,Neoplasms; Diseases of the blood and blood-forming organs,biograstim-epar-public-assessment-report_en.pdf,Biologics,Biograstim,Reduction in the duration of neutropenia and the incidence of febrile neutropenia in patients treated with established cytotoxic chemotherapy for malignancy and for the reduction in the duration of neutropenia in patients undergoing myeloablative therapy followed by bone marrow transplantation.,<Neutropenia>; <Febrile Neutropenia>,no,Reduction in the duration of neutropenia and the incidence of febrile neutropenia in patients treated with established cytotoxic chemotherapy for malignancy and for the reduction in the duration of neutropenia in patients undergoing myeloablative therapy followed by bone marrow transplantation.,<Neutropenia>; <Febrile Neutropenia>,CT Arzneimittel GmbH,CT Arzneimittel,EMA/494720/2008,filgrastim,no,no,solution for injection,EMEA/H/C/826,NA
intramuscular,24.11.2022,2022,authorised,approved,22.02.2024,2024,Infectious and parasitic diseases,incellipan-epar-public-assessment-report_en.pdf,Vaccine,Incellipan,Prophylaxis of influenza in an officially declared pandemic situation in persons 6 months and above.,<Influenza>,no,Prophylaxis of influenza in an officially declared pandemic situation in persons 6 months and above.,<Influenza>,Seqirus Netherlands B.V.,Seqirus,EMA/108199/2024,"Pandemic influenza vaccine (H5N1) (surface antigen, inactivated, adjuvanted, prepared in cell cultures)",no,no,suspension for injection,EMEA/H/C/006051/0000,NA
