File Name,Origin,Marketing_authorisation_number,Drug,Non_proprietary_name,Drug_class,Pharmaceutical_form,Administration_route,Decision,Current_status,Decision_date,Orphan_drug_status,Indication_requested,Indication_approved,Disease_class(es),Application_date,Nonclinical_pharmacology_species,Nonclinical_pharmacology_strain,Nonclinical_pharmacology_model,Nonclinical_pharmacokinetics_species,Nonclinical_pharmacokinetics_strain,Nonclinical_pharmacokinetics_model,Nonclinical_toxicology_species,Nonclinical_toxicology_strain,Nonclinical_toxicology_model
potactasol-epar-public-assessment-report_en.pdf,EMA,EMA/792855/2010,Potactasol,topotecan,Small molecule,powder for concentrate for solution for infusion,intravenous,approved,authorised,21.10.2010,no,treatment of patients with metastatic carcinoma of the ovary after failure of first-line or subsequent therapy and for the treatment of patients with relapsed small cell lung cancer (SCLC),same,Neoplasms,12.07.2010,"rat, mouse, dog",<N/A>,Not reported,"rat, mouse, dog",<N/A>,Not reported,"rat, mouse, dog",<N/A>,Not reported
iasibon-epar-public-assessment-report_en.pdf,EMA,EMA/801304/2010,Iasibon,ibandronic acid,Small molecule,"Film-coated Tablets, Concentrate for solution for infusion","oral, intravenous",approved,authorised,21.10.2010,no,"Prevention of skeletal events in patients with breast cancer and bone metastases, Treatment of tumour-induced hypercalcaemia",same,Neoplasms,11.12.2009,"rat, mouse",<N/A>,Not reported,"rat, mouse",<N/A>,Not reported,"rat, mouse",<N/A>,Not reported
gonal-f-epar-scientific-discussion_en.pdf,EMA,<N/A>,GONAL-f,follitropin alfa,Biologics,sterile powder for solution for injection,subcutaneous injection,approved,authorised,25.02.1999,no,Stimulation of multifollicular development in patients undergoing assisted reproductive treatment (ART),same,"Endocrine, nutritional, and metabolic diseases",December 1993,"rat, monkey",CHO cell line,Not reported,"rat, monkey",Not reported,Not reported,"rat, dog, monkey",Not reported,Not reported
oportuzumab-monatox-dlrc-pharma-services-withdrawal-assessment-report_en.pdf,EMA,EMA/CHMP/576523/2021,Oportuzumab monatox,oportuzumab monatox,Biologics,sterile concentrate for intravesical solution,intravesical,withdrawn,withdrawn,22.07.2021,no,the treatment and prevention of recurrence of carcinoma in situ (CIS) of the urinary bladder following transurethral resection in BCG-unresponsive patients.,same,Neoplasms,<N/A>,mouse,<N/A>,<N/A>,"rat, monkey",<N/A>,<N/A>,"rat, monkey",<N/A>,<N/A>
niapelf-epar-public-assessment-report_en.pdf,EMA,EMA/100717/2024,Niapelf,Paliperidone,Small molecule,prolonged release suspension for injection,intramuscular,approved,authorised,25.01.2024,no,maintenance treatment of schizophrenia in adult patients stabilised with paliperidone or risperidone,same,Mental and behavioural disorders,05.01.2023,"rat, mouse",N/A,Not reported,"rat, mouse",N/A,Not reported,"rat, mouse",N/A,Not reported
abecma-epar-public-assessment-report_en.pdf,EMA,EMA/409800/2021,Abecma,idecabtagene vicleucel,Cell and gene therapy,cell suspension for intravenous infusion,intravenous,approved,authorised,24.06.2021,yes,"treatment of adult patients with multiple myeloma who have received at least three prior therapies, including an immunomodulatory agent, a proteasome inhibitor and an anti-CD38 antibody",same,Neoplasms,30.04.2020,mouse,NSG mouse,Not reported,mouse,NSG mouse,Not reported,mouse,NSG mouse,Not reported
abevmy-epar-public-assessment-report_en.pdf,EMA,EMA/176217/2021,Abevmy,bevacizumab,Biologics,Concentrate for solution for infusion,Intravenous,approved,authorised,25.02.2021,no,Abevmy in combination with fluoropyrimidine-based chemotherapy is indicated for treatment of adult patients with metastatic carcinoma of the colon or rectum.,same,Neoplasms,20.02.2020,monkey,cynomolgus monkey,Not reported,monkey,cynomolgus monkey,Not reported,"mouse, rabbit","Swiss Albino mouse, New Zealand White rabbit",Not reported
abilify-epar-scientific-discussion_en.pdf,EMA,<N/A>,Abilify,aripiprazole,Small molecule,tablets,oral,approved,authorised,29.01.2005,no,treatment of schizophrenia,same,Mental and behavioural disorders,<N/A>,"mouse, rat, rabbit, dog, monkey",<N/A>,<N/A>,"mouse, rat, rabbit, dog, monkey",<N/A>,<N/A>,"rat, mouse, monkey",<N/A>,<N/A>
abilify-maintena-epar-public-assessment-report_en.pdf,EMA,EMA/737723/2013,Abilify Maintena,Aripiprazole,Small molecule,Powder and solvent for prolonged-release suspension for injection,Intramuscular,approved,authorised,19.09.2013,no,maintenance treatment of schizophrenia in adults,same,Mental and behavioural disorders,30.11.2012,"rat, mouse, dog",not reported,Not reported,"rat, mouse, dog",not reported,Not reported,"rat, mouse, dog",not reported,Not reported
abiraterone-accord-epar-public-assessment-report_en.pdf,EMA,EMA/174959/2021,Abiraterone Accord,abiraterone acetate,Small molecule,"tablet, film-coated tablet",oral,approved,authorised,25.02.2021,no,the treatment of newly diagnosed high risk metastatic hormone sensitive prostate cancer (mHSPC) in adult men in combination with androgen deprivation therapy (ADT); the treatment of metastatic castration resistant prostate cancer (mCRPC) in adult men who are asymptomatic or mildly symptomatic after failure of androgen deprivation therapy in whom chemotherapy is not yet clinically indicated; the treatment of mCRPC in adult men whose disease has progressed on or after a docetaxel-based chemotherapy regimen.,same,Neoplasms,12.09.2019,"rat, mouse",<N/A>,<N/A>,"rat, mouse",<N/A>,<N/A>,"rat, mouse",<N/A>,<N/A>
abiraterone-krka-epar-public-assessment-report_en.pdf,EMA,EMA/653711/2021,Abiraterone Krka,abiraterone acetate,Small molecule,film-coated tablet,oral,approved,authorised,22.04.2021,no,the treatment of newly diagnosed high risk metastatic hormone sensitive prostate cancer (mHSPC) in adult men in combination with androgen deprivation therapy (ADT); the treatment of metastatic castration resistant prostate cancer (mCRPC) in adult men who are asymptomatic or mildly symptomatic after failure of androgen deprivation therapy in whom chemotherapy is not yet clinically indicated; the treatment of mCRPC in adult men whose disease has progressed on or after a docetaxel-based chemotherapy regimen.,same,Neoplasms,29.06.2020,"rat, mouse",N/A,Not reported,"rat, mouse",N/A,Not reported,"rat, mouse",N/A,Not reported
abiraterone-mylan-epar-public-assessment-report_en.pdf,EMA,EMA/444189/2021,Abiraterone Mylan,abiraterone acetate,Small molecule,film-coated tablets,oral,approved,authorised,22.04.2021,no,the treatment of newly diagnosed high risk metastatic hormone sensitive prostate cancer (mHSPC) in adult men in combination with androgen deprivation therapy (ADT),same,Neoplasms,09.03.2020,"rat, mouse","S-D rat, CD-1 mouse",Not reported,"rat, mouse","S-D rat, CD-1 mouse",Not reported,"rat, mouse","S-D rat, CD-1 mouse",Not reported
abraxane-epar-public-assessment-report_en.pdf,EMA,EMEA/H/C/778,Abraxane,Paclitaxel,Small molecule,sterile lyophilisate for suspension for injection,intravenous,approved,authorised,18.10.2007,no,metastatic breast carcinoma,same,Neoplasms,25.08.2006,"mouse, rat",N/A,Not reported,"rat, rabbit, mouse",N/A,Not reported,"mouse, rat, dog, pig",N/A,Not reported
abrysvo-epar-public-assessment-report_en.pdf,EMA,EMA/351226/2023,Abrysvo,"respiratory syncytial virus vaccine (bivalent, recombinant)",Vaccine,lyophilised powder for injection,intramuscular,approved,authorised,20.07.2023,no,the prevention of lower respiratory tract disease and severe lower respiratory tract disease caused by respiratory syncytial virus (RSV) in infants from birth through 6 months of age by active immunisation of pregnant individuals.,same,Diseases of the respiratory system,22.12.2022,"mouse, rat",N/A,Not reported,N/A,N/A,Not reported,"rat, rabbit",N/A,Not reported
