<<<<<<< HEAD
<<<<<<< HEAD
File Name,Marketing_authorisation_number,Procedure_number,Drug_name,Non_proprietary_name,Marketing_authorisation_holder,Drug_class,Pharmaceutical_form,Administration_route,Decision,Current_status,Decision_date,Decision_year,Orphan_drug_status,Indication_extended,Indication_requested,Indication_approved,Disease_class(es),Application_date,Application_year,Nonclinical_abridged,Referral_body
auspar-xeljanz-240828.pdf,"196987, 233439, 298307, 381790, 381810, 386772",PM-2021-04843-1-3,Xeljanz,Tofacitinib,Pfizer Australia Pty Ltd,Small molecule,"Tablets, film-coated or extended release; Oral solution",Oral,approved,authorised,23.01.2023,2023,no,yes,Ankylosing Spondylitis (AS); Juvenile Idiopathic Arthritis (JIA),Ankylosing Spondylitis (AS); Juvenile Idiopathic Arthritis (JIA),Diseases of the musculoskeletal system and connective tissue,30.11.2021,2021,yes,Not reported
auspar-defibrotide-201203.pdf,319221,PM-2019-01763-1-3,Defitelio,Defibrotide,Link Medical Products Pty Ltd,Biologics,Concentrated solution for infusion,Intravenous,approved,authorised (under additional monitoring),15.07.2020,2020,yes,no,Treatment of severe hepatic veno-occlusive disease (VOD) in haematopoietic stem-cell transplantation (HSCT) therapy,Treatment of severe hepatic veno-occlusive disease (VOD) in haematopoietic stem-cell transplantation (HSCT) therapy,Diseases of the blood and blood-forming organs,31.07.2019,2019,yes,Not reported
auspar-sofosbuvir-velpatasvir-171108.pdf,266823,PM-2015-03984-1-2,Epclusa,Sofosbuvir / Velpatasvir,Gilead Sciences Pty Ltd,Small molecule,Film coated tablet,oral,approved,authorised,13.12.2016,2016,no,no,treatment of chronic hepatitis C virus (HCV) infection in adults,"treatment of chronic hepatitis C virus (HCV) infection (genotype 1, 2, 3, 4, 5 or 6) in adults",Infectious and parasitic diseases,Not reported,Not reported,no,NA
auspar-venetoclax-200924.pdf,Not reported,PM-2018-05208-1-6 and PM-2019-04393-1-6,Venclexta,Venetoclax,AbbVie Pty Ltd,Small molecule,Film coated tablet,Oral,approved,authorised (under additional monitoring),28.01.2020,2020,yes,yes,Treatment of newly diagnosed patients with Acute Myeloid Leukaemia (AML) who are ineligible for intensive chemotherapy,Treatment of newly diagnosed patients with Acute Myeloid Leukaemia (AML) who are ineligible for intensive chemotherapy,Neoplasms; Diseases of the blood and blood-forming organs,31.01.2019,2019,no,NA
auspar-digoxin-specific-140505.pdf,203623,PM-2012-03387-1-3,DigiFab,Digoxin-specific antibody fragment F(Ab) (Ovine),Phebra Pty Ltd,Biologics,Powder for injection,Intravenous,approved,authorised,12.02.2014,2014,yes,no,"Treatment of known or strongly suspected life-threatening digoxin toxicity associated with ventricular arrhythmias, progressive bradycardia, or second or third degree heart block not responsive to atropine.","Treatment of known or strongly suspected life-threatening digoxin toxicity associated with ventricular arrhythmias, progressive bradycardia, or second or third degree heart block not responsive to atropine.",Diseases of the circulatory system,Not reported,Not reported,yes,Not reported
=======
File Name,Marketing_authorisation_number,Procedure_number,Drug_name,Non_proprietary_name,Marketing_authorisation_holder,Drug_class,Pharmaceutical_form,Administration_route,Decision,Current_status,Decision_date,Decision_year,Orphan_drug_status,Indication_extended,Indication_requested,Indication_approved,Disease_class(es),Application_date,Application_year,Nonclinical_abridged,Referral_body
auspar-xeljanz-240828.pdf,Not reported,PM-2021-04843-1-3,Xeljanz,Tofacitinib,Pfizer Australia Pty Ltd,Small molecule,"Tablets, film-coated or extended release; Oral solution",Oral,approved,authorised,23.01.2023,2023,no,yes,Treatment of adult patients with active ankylosing spondylitis who have responded inadequately to conventional therapy; Treatment of active polyarticular course juvenile idiopathic arthritis and juvenile psoriatic arthritis in patients 2 years of age and older,Treatment of adult patients with active ankylosing spondylitis who have responded inadequately to conventional therapy; Treatment of active polyarticular course juvenile idiopathic arthritis and juvenile psoriatic arthritis in patients 2 years of age and older,Diseases of the musculoskeletal system and connective tissue,30.11.2021,2021,yes,Not reported
auspar-defibrotide-201203.pdf,319221,PM-2019-01763-1-3,Defitelio,Defibrotide,Link Medical Products Pty Ltd,Biologics,Concentrated solution for infusion,Intravenous,approved,authorised (under additional monitoring),15.07.2020,2020,yes,no,Treatment of severe hepatic veno-occlusive disease (VOD) in haematopoietic stem-cell transplantation (HSCT) therapy,Treatment of severe hepatic veno-occlusive disease (VOD) in haematopoietic stem-cell transplantation (HSCT) therapy,Diseases of the blood and blood-forming organs,21.02.2019,2019,yes,Not reported
auspar-sofosbuvir-velpatasvir-171108.pdf,266823,PM-2015-03984-1-2,Epclusa,Sofosbuvir / Velpatasvir,Gilead Sciences Pty Ltd,Small molecule,Film coated tablet,oral,approved,authorised,13.12.2016,2016,no,no,treatment of chronic hepatitis C virus (HCV) infection in adults,"treatment of chronic hepatitis C virus (HCV) infection (genotype 1, 2, 3, 4, 5 or 6) in adults",Infectious and parasitic diseases,Not reported,Not reported,no,NA
