<<<<<<< HEAD
File Name,Marketing_authorisation_number,Procedure_number,Drug_name,Non_proprietary_name,Marketing_authorisation_holder,Drug_class,Pharmaceutical_form,Administration_route,Decision,Current_status,Decision_date,Decision_year,Orphan_drug_status,Indication_extended,Indication_requested,Indication_approved,Disease_class(es),Application_date,Application_year,Nonclinical_abridged,Referral_body
000216795.pdf,Not reported,Not reported,Acoalan,Antithrombin Gamma,"Kyowa Hakko Kirin Co., Ltd.",Biologics,Lyophilized powder for solution for injection,intravenous,approved,authorised,28.05.2015,2015,no,no,Thrombophilia due to congenital antithrombin deficiency; Disseminated intravascular coagulation (DIC) accompanied by a decrease in antithrombin,Thrombophilia due to congenital antithrombin deficiency; Disseminated intravascular coagulation (DIC) accompanied by a decrease in antithrombin,Diseases of the blood and blood-forming organs,31.07.2014,2014,no,NA
000249129.pdf,Not reported,Not reported,COVID-19 Vaccine Moderna,Coronavirus Modified Uridine RNA Vaccine,Takeda Pharmaceutical Company Limited,Vaccine,suspension for injection,intramuscular,approved,authorised,15.12.2021,2021,no,yes,Prevention of disease caused by SARS-CoV-2 infection (COVID-19),Prevention of disease caused by SARS-CoV-2 infection (COVID-19),Infectious and parasitic diseases,10.11.2021,2021,yes,Not reported
000232793.pdf,Not reported,Not reported,Evenity,Romosozumab,Amgen Astellas BioPharma K.K.,Biologics,injection,subcutaneous,approved,authorised,03.12.2018,2018,no,no,Osteoporosis with a high risk of fracture,Osteoporosis with a high risk of fracture,Diseases of the musculoskeletal system and connective tissue,19.12.2016,2016,no,NA
000222576.pdf,Not reported,Not reported,Vemlidy,Tenofovir Alafenamide Fumarate,Gilead Sciences K.K.,Small molecule,tablet,oral,approved,authorised,11.11.2016,2016,no,no,Suppression of hepatitis B virus replication in chronic hepatitis B patients with evidence of viral replication and abnormal liver function,Suppression of hepatitis B virus replication in chronic hepatitis B patients with evidence of viral replication and abnormal liver function,Infectious and parasitic diseases,31.03.2016,2016,no,NA
000252521.pdf,Not reported,Not reported,Thaled,Thalidomide,Fujimoto Pharmaceutical Corporation,Small molecule,Capsules,Oral,approved,authorised,27.01.2021,2021,yes,yes,Crow-Fukase (POEMS) syndrome,Relapsed or refractory multiple myeloma; Erythema nodosum leprosum; Crow-Fukase (POEMS) syndrome,"Neoplasms; Diseases of the blood and blood-forming organs; Endocrine, nutritional, and metabolic diseases; Diseases of the skin",26.03.2020,2020,yes,Not reported
=======
Document_name,Marketing_authorisation_number,Procedure_number,Drug_name,Non_proprietary_name,Marketing_authorisation_holder,Drug_class,Pharmaceutical_form,Administration_route,Decision,Current_status,Decision_date,Decision_year,Orphan_drug_status,Indication_extended,Indication_requested,Indication_approved,Disease_class(es),Application_date,Application_year,Nonclinical_abridged,Referral_body
000216795.pdf,Not reported,Not reported,Acoalan,Antithrombin Gamma,"Kyowa Hakko Kirin Co., Ltd.",Biologics,Lyophilized powder for solution for injection,intravenous,approved,authorised,03.06.2015,2015,no,no,Thrombophilia due to congenital antithrombin deficiency; Disseminated intravascular coagulation (DIC) accompanied by a decrease in antithrombin,Thrombophilia due to congenital antithrombin deficiency; Disseminated intravascular coagulation (DIC) accompanied by a decrease in antithrombin,Diseases of the blood and blood-forming organs,31.07.2014,2014,yes,Not reported
000249129.pdf,Not reported,Not reported,COVID-19 Vaccine Moderna,Coronavirus Modified Uridine RNA Vaccine,Takeda Pharmaceutical Company Limited,Vaccine,suspension for injection,intramuscular,approved,authorised,15.12.2021,2021,no,yes,Prevention of disease caused by SARS-CoV-2 infection (COVID-19),Prevention of disease caused by SARS-CoV-2 infection (COVID-19),Infectious and parasitic diseases,10.11.2021,2021,yes,Not reported
000232793.pdf,Not reported,Not reported,Evenity,Romosozumab,Amgen Astellas BioPharma K.K.,Biologics,injection,subcutaneous,approved,authorised,03.12.2018,2018,no,no,Osteoporosis with a high risk of fracture,Osteoporosis with a high risk of fracture,Diseases of the musculoskeletal system and connective tissue,19.12.2016,2016,Not reported,NA
000222576.pdf,Not reported,Not reported,Vemlidy,Tenofovir Alafenamide Fumarate,Gilead Sciences K.K.,Small molecule,tablet,oral,approved,authorised,11.11.2016,2016,no,no,Suppression of hepatitis B virus replication in chronic hepatitis B patients with evidence of viral replication and abnormal liver function,Suppression of hepatitis B virus replication in chronic hepatitis B patients with evidence of viral replication and abnormal liver function,Infectious and parasitic diseases,31.03.2016,2016,yes,Not reported
000252521.pdf,Not reported,Not reported,Thaled,Thalidomide,Fujimoto Pharmaceutical Corporation,Small molecule,Capsules,oral,approved,authorised,08.02.2021,2021,yes,yes,Crow-Fukase (POEMS) syndrome,Relapsed or refractory multiple myeloma; Erythema nodosum leprosum; Crow-Fukase (POEMS) syndrome,Neoplasms; Diseases of the blood and blood-forming organs,26.03.2020,2020,yes,Not reported
>>>>>>> 0dc1a976d65ec07d26878e56df7d6a40df29cfe7
