Document_name,Marketing_authorisation_number,Procedure_number,Drug_name,Non_proprietary_name,Marketing_authorisation_holder,Drug_class,Pharmaceutical_form,Administration_route,Decision,Current_status,Decision_date,Decision_year,Orphan_drug_status,Indication_extended,Indication_requested,Indication_approved,Disease_class(es),Application_date,Application_year,Nonclinical_abridged,Referral_body
000216795.pdf,Not reported,Not reported,Acoalan,Antithrombin Gamma,"Kyowa Hakko Kirin Co., Ltd.",Biologics,Lyophilized powder for solution for injection,intravenous,approved,authorised,28.05.2015,2015,no,no,Thrombophilia due to congenital antithrombin deficiency; Disseminated intravascular coagulation (DIC) accompanied by a decrease in antithrombin,Thrombophilia due to congenital antithrombin deficiency; Disseminated intravascular coagulation (DIC) accompanied by a decrease in antithrombin,Diseases of the blood and blood-forming organs,31.07.2014,2014,no,NA
000249129.pdf,Not reported,Not reported,COVID-19 Vaccine Moderna,Coronavirus Modified Uridine RNA Vaccine,Takeda Pharmaceutical Company Limited,Vaccine,suspension for injection,intramuscular,approved,authorised,15.12.2021,2021,no,yes,Prevention of disease caused by SARS-CoV-2 infection (COVID-19),Prevention of disease caused by SARS-CoV-2 infection (COVID-19),Infectious and parasitic diseases,10.11.2021,2021,yes,Not reported
000232793.pdf,Not reported,Not reported,Evenity,Romosozumab,Amgen Astellas BioPharma K.K.,Biologics,injection,subcutaneous,approved,authorised,03.12.2018,2018,no,no,Osteoporosis with a high risk of fracture,Osteoporosis with a high risk of fracture,Diseases of the musculoskeletal system and connective tissue,19.12.2016,2016,no,NA
000222576.pdf,Not reported,Not reported,Vemlidy,Tenofovir Alafenamide Fumarate,Gilead Sciences K.K.,Small molecule,tablet,oral,approved,authorised,11.11.2016,2016,no,no,Suppression of hepatitis B virus replication in chronic hepatitis B patients with evidence of viral replication and abnormal liver function,Suppression of hepatitis B virus replication in chronic hepatitis B patients with evidence of viral replication and abnormal liver function,Infectious and parasitic diseases,31.03.2016,2016,no,NA
000252521.pdf,Not reported,Not reported,Thaled,Thalidomide,Fujimoto Pharmaceutical Corporation,Small molecule,Capsules,Oral,approved,authorised,27.01.2021,2021,yes,yes,Crow-Fukase (POEMS) syndrome,Relapsed or refractory multiple myeloma; Erythema nodosum leprosum; Crow-Fukase (POEMS) syndrome,"Neoplasms; Diseases of the blood and blood-forming organs; Endocrine, nutritional, and metabolic diseases; Diseases of the skin",26.03.2020,2020,yes,Not reported
000223202.pdf,Not reported,Not reported,Opdivo,Nivolumab,"Ono Pharmaceutical Co., Ltd.",Biologics,injection,intravenous,approved,authorised,05.08.2016,2016,no,yes,Treatment of unresectable or metastatic renal cell carcinoma,Treatment of unresectable or metastatic renal cell carcinoma,Neoplasms; Diseases of the genitourinary system,11.12.2015,2015,yes,Not reported
000227731.pdf,Not reported,Not reported,Amenalief,Amenamevir,"Maruho Co., Ltd.",Small molecule,tablet,oral,approved,authorised,30.05.2017,2017,no,no,Herpes zoster,Herpes zoster,Infectious and parasitic diseases; Diseases of the nervous system,27.04.2016,2016,no,NA
000217011.pdf,Not reported,Not reported,Artist,Carvedilol,"Daiichi Sankyo Company, Limited",Small molecule,tablet,oral,approved,authorised,10.07.2015,2015,no,yes,tachycardiac atrial fibrillation,tachycardiac atrial fibrillation,Diseases of the circulatory system,20.10.2014,2014,yes,Not reported
000213143.pdf,Not reported,Not reported,Actair,None,"Shionogi & Co., Ltd.",Other,sublingual tablet,sublingual,approved,authorised,21.01.2015,2015,no,no,House dust mite antigen-induced allergic rhinitis,Desensitization therapy for house dust mite antigen-induced allergic rhinitis,Diseases of the respiratory system,24.04.2014,2014,yes,Not reported
000214453.pdf,Not reported,Not reported,Miticure,None,"Torii Pharmaceutical Co., Ltd.",Other,sublingual tablet,sublingual,approved,authorised,31.08.2015,2015,no,no,Desensitization therapy for allergic rhinitis induced by mite allergens,Desensitization therapy for allergic rhinitis induced by mite allergens,Diseases of the respiratory system,26.01.2015,2015,yes,Not reported
000153624.pdf,Not reported,Not reported,Topiloric,Topiroxostat,"Fujiyakuhin Co., Ltd.; Sanwa Kagaku Kenkyusho Co., Ltd.",Small molecule,tablet,oral,approved,authorised,26.04.2013,2013,no,no,"Gout, hyperuricaemia","Gout, hyperuricaemia","Endocrine, nutritional, and metabolic diseases",26.06.2012,2012,no,NA
000233404.pdf,Not reported,Not reported,Yervoy,Ipilimumab,Bristol-Meyers Squibb K.K.,Biologics,Injection,intravenous,approved,authorised,03.08.2018,2018,no,yes,Unresectable malignant melanoma; Unresectable or metastatic renal cell carcinoma,Unresectable malignant melanoma; Unresectable or metastatic renal cell carcinoma,Neoplasms; Diseases of the genitourinary system,15.01.2018,2018,yes,Not reported
000233403.pdf,Not reported,Not reported,Opdivo,Nivolumab,"Ono Pharmaceutical Co., Ltd.",Biologics,intravenous infusion,intravenous,approved,authorised,03.08.2018,2018,yes,yes,Not reported,"Treatment of unresectable malignant melanoma; Treatment of unresectable, advanced or recurrent non-small cell lung cancer; Treatment of unresectable or metastatic renal cell carcinoma; Treatment of relapsed or refractory classical Hodgkin lymphoma; Treatment of recurrent or distant metastatic head and neck cancer; Treatment of unresectable, advanced or recurrent gastric cancer that has progressed after cancer chemotherapy; Treatment of unresectable, advanced or recurrent malignant pleural mesothelioma that has progressed after cancer chemotherapy",Neoplasms; Diseases of the respiratory system; Diseases of the digestive system,22.12.2017,2017,yes,Not reported
000225702.pdf,Not reported,Not reported,Loqoa,Esflurbiprofen,"Taisho Pharmaceutical Co., Ltd.",Small molecule,plaster,cutaneous,approved,authorised,31.08.2015,2015,no,no,Relief of pain and inflammation associated with osteoarthritis,Relief of pain and inflammation associated with osteoarthritis,Diseases of the musculoskeletal system and connective tissue,20.10.2014,2014,no,NA
000233503.pdf,Not reported,Not reported,Lonsurf,Trifluridine and Tipiracil Hydrochloride,"Taiho Pharmaceutical Co., Ltd.",Small molecule,tablet,oral,approved,authorised,17.07.2019,2019,no,yes,Unresectable advanced or recurrent gastric cancer,Unresectable advanced or recurrent gastric cancer progressing after cancer chemotherapy,Neoplasms; Diseases of the digestive system,17.08.2018,2018,yes,Not reported
000153735.pdf,Not reported,Not reported,Kadcyla,Trastuzumab Emtansine,"Chugai Pharmaceutical Co., Ltd.",Biologics,Lyophilized powder for solution for intravenous infusion,intravenous,approved,authorised,26.08.2013,2013,no,no,HER2-positive inoperable or recurrent breast cancer,HER2-positive inoperable or recurrent breast cancer,Neoplasms,29.01.2013,2013,no,NA
000270669.pdf,Not reported,Not reported,Daichirona,Coronavirus (SARS-CoV-2) RNA Vaccine,"Daiichi Sankyo Company, Limited",Vaccine,injection,intramuscular,approved,authorised,17.11.2023,2023,no,yes,Prevention of disease caused by SARS-CoV-2 infection (COVID-19),Prevention of disease caused by SARS-CoV-2 infection (COVID-19),Infectious and parasitic diseases,07.09.2023,2023,yes,Not reported
000237467.pdf,Not reported,Not reported,Viltepso,Viltolarsen,"Nippon Shinyaku Co., Ltd.",Peptides and proteins,solution for injection,intravenous,approved,authorised,28.02.2020,2020,yes,no,Duchenne muscular dystrophy with a deletion in the dystrophin gene amenable to exon 53 skipping therapy,Duchenne muscular dystrophy with a deletion in the dystrophin gene amenable to exon 53 skipping therapy,Diseases of the musculoskeletal system and connective tissue; Congenital malformations and chromosomal abnormalities,26.09.2019,2019,no,NA
000221104.pdf,Not reported,Not reported,Cyramza,Ramucirumab,Eli Lilly Japan K.K.,Biologics,Injection,intravenous,approved,authorised,16.05.2016,2016,no,yes,Unresectable advanced/recurrent non-small cell lung cancer,Unresectable advanced/recurrent non-small cell lung cancer,Neoplasms; Diseases of the respiratory system,23.07.2015,2015,yes,Not reported
000217925.pdf,Not reported,Not reported,Repatha,Evolocumab,Amgen Astellas BioPharma K.K.,Biologics,solution for injection,subcutaneous,approved,authorised,27.11.2015,2015,no,no,"Hypercholesterolemia, heterozygous familial hypercholesterolemia, homozygous familial hypercholesterolemia","Familial hypercholesterolemia, hypercholesterolemia","Endocrine, nutritional, and metabolic diseases",20.03.2015,2015,no,NA
000214531.pdf,Not reported,Not reported,Ofev,Nintedanib,"Nippon Boehringer Ingelheim Co., Ltd.",Small molecule,capsules,oral,approved,authorised,28.05.2015,2015,yes,no,Treatment of idiopathic pulmonary fibrosis and slowing of disease progression,Idiopathic pulmonary fibrosis,Diseases of the respiratory system,14.10.2014,2014,no,NA
000263434.pdf,Not reported,Not reported,Perjeta,Pertuzumab,"Chugai Pharmaceutical Co., Ltd.",Biologics,Intravenous infusion,Intravenous,approved,authorised,09.02.2022,2022,no,yes,HER2-positive breast cancer; Unresectable advanced or recurrent HER2-positive colorectal cancer,Unresectable advanced or recurrent HER2-positive colorectal cancer that has progressed after cancer chemotherapy,Neoplasms; Diseases of the digestive system,26.04.2021,2021,yes,Not reported
000228334.pdf,Not reported,Not reported,Spinraza,Nusinersen,Biogen Japan Ltd.,Other,solution for injection,intrathecal,approved,authorised,09.06.2017,2017,yes,no,spinal muscular atrophy,infantile spinal muscular atrophy,Diseases of the nervous system,07.12.2016,2016,no,NA
000206796.pdf,Not reported,Not reported,Suglat,Ipragliflozin,Astellas Pharma Inc.,Small molecule,tablet,oral,approved,authorised,29.11.2013,2013,no,no,Type 2 diabetes mellitus,Type 2 diabetes mellitus,"Endocrine, nutritional, and metabolic diseases",13.03.2013,2013,no,NA
000274240.pdf,Not reported,Not reported,Spikevax,Coronavirus RNA Vaccine,"Moderna Japan Co., Ltd.",Vaccine,suspension for injection,intramuscular,approved,authorised,05.10.2023,2023,no,yes,Prevention of disease caused by SARS-CoV-2 infection (COVID-19),Prevention of disease caused by SARS-CoV-2 infection (COVID-19),Infectious and parasitic diseases,25.05.2023,2023,yes,Not reported
000245005.pdf,Not reported,Not reported,Lagevrio,Molnupiravir,MSD K.K.,Small molecule,capsule,oral,approved,authorised,24.12.2021,2021,no,no,Treatment of disease caused by SARS-CoV-2 infection (COVID-19),Treatment of disease caused by SARS-CoV-2 infection (COVID-19),Infectious and parasitic diseases,03.12.2021,2021,yes,Not reported
000209869.pdf,Not reported,Not reported,Rapalimus,Sirolimus,"Nobelpharma Co., Ltd.",Small molecule,tablet,oral,approved,authorised,26.05.2014,2014,yes,no,Lymphangioleiomyomatosis,Lymphangioleiomyomatosis,Diseases of the respiratory system,21.10.2013,2013,yes,Not reported
000243471.pdf,Not reported,Not reported,Olumiant,Baricitinib,Eli Lilly Japan K.K.,Small molecule,tablet,oral,approved,authorised,04.12.2020,2020,no,yes,Moderate to severe atopic dermatitis,Rheumatoid arthritis in patients who have had an inadequate response to conventional treatments (including the prevention of structural joint damage); Moderate to severe atopic dermatitis,Diseases of the skin; Diseases of the musculoskeletal system and connective tissue,29.01.2020,2020,yes,Not reported
000224730.pdf,Not reported,Not reported,Actemra,Tocilizumab,"Chugai Pharmaceutical Co., Ltd.",Biologics,Injection,subcutaneous,approved,authorised,27.07.2017,2017,yes,yes,Treatment of rheumatoid arthritis with an inadequate response to existing therapies; Treatment of large vessel vasculitis (Takayasu’s arteritis or giant cell arteritis),Treatment of rheumatoid arthritis (including the inhibition of progression of structural joint damage); Takayasu’s arteritis or giant cell arteritis,Diseases of the musculoskeletal system and connective tissue; Diseases of the circulatory system,30.11.2016,2016,yes,Not reported
000215814.pdf,Not reported,Not reported,Cerdelga,Eliglustat,Genzyme Japan K.K.,Small molecule,capsule,oral,approved,authorised,20.02.2015,2015,yes,no,Gaucher disease type 1,"Alleviation of symptoms of Gaucher disease (anemia, thrombocytopenia, hepatosplenomegaly, and skeletal pathology)","Endocrine, nutritional, and metabolic diseases",30.06.2014,2014,no,NA
