Document_name,Marketing_authorisation_number,Procedure_number,Drug_name,Non_proprietary_name,Marketing_authorisation_holder,Drug_class,Pharmaceutical_form,Administration_route,Decision,Current_status,Decision_date,Decision_year,Orphan_drug_status,Indication_extended,Indication_requested,Indication_approved,Disease_class(es),Application_date,Application_year,Nonclinical_abridged,Referral_body
2024-09-13_swisspar_leqvio_fi_engl.pdf,67836,Not reported,LEQVIO,inclisiran,Novartis Pharma Schweiz AG,Small molecule,Solution for injection in pre-filled syringe,Subcutaneous,approved,authorised,09.09.2021,2021,no,no,"Inclisiran is intended for use in adults with hypercholesterolaemia (including heterozygous familial hypercholesterolaemia) or mixed dyslipidaemia, as an adjunct to diet.",Hypercholesterolaemia and mixed dyslipidaemia,"Endocrine, nutritional, and metabolic diseases; Diseases of the circulatory system",18.05.2020,2020,no,NA
2020-04-15_swisspar_luxturna-final.pdf,67371,Not reported,Luxturna,Voretigene neparvovec,Novartis Pharma Schweiz AG,Cell and gene therapy,Concentrate and solvent for solution for injection,Subretinal,approved,authorised,14.02.2020,2020,yes,no,Luxturna is used for the treatment of adult and paediatric patients with vision loss due to inherited retinal dystrophy caused by confirmed biallelic RPE65 mutations and who have sufficient viable retinal cells.,Luxturna is used for the treatment of adult and paediatric patients with vision loss due to inherited retinal dystrophy caused by confirmed biallelic RPE65 mutations and who have sufficient viable retinal cells.,Diseases of the eye and adnexa,10.05.2019,2019,no,NA
2024-04-23_final_assessment_report_swisspar_amvuttra_mit_fi_engl.pdf,69074,Not reported,Amvuttra,vutrisiran sodium,Alnylam Switzerland GmbH,Small molecule,solution for injection in pre-filled syringe,subcutaneous,approved,authorised (under additional monitoring),23.06.2023,2023,yes,no,Treatment of hereditary transthyretin-mediated amyloidosis (hATTR amyloidosis) in adult patients with stage 1 or stage 2 polyneuropathy,Treatment of hereditary transthyretin-mediated amyloidosis (hATTR amyloidosis) in adult patients with stage 1 or stage 2 polyneuropathy,"Endocrine, nutritional, and metabolic diseases; Diseases of the nervous system",01.11.2022,2022,yes,EMA
2024-07-22_final_swisspar_breyanzi_mit_fi.pdf,67469,Not reported,Breyanzi,lisocabtagene maraleucel,Bristol-Myers Squibb SA,Cell and gene therapy,dispersion for infusion,autologous and intravenous,approved,authorised,28.03.2022,2022,yes,no,"Treatment of adult patients with relapsed or refractory diffuse large B-cell lymphoma (DLBCL), primary mediastinal large B-cell lymphoma (PMBCL), and follicular lymphoma grade 3B (FL3B) after at least 2 prior therapies.",Treatment of adult patients with relapsed or refractory diffuse large B-cell lymphoma (DLBCL) and primary mediastinal large B-cell lymphoma (PMBCL) after at least 2 prior therapies.,Neoplasms; Diseases of the blood and blood-forming organs,30.10.2020,2020,no,NA
2024-07-30_swisspar_und_fi_engl.pdf,69052,EMEA/H/C/004577/0000,Ebvallo,tabelecleucel,Pierre Fabre Pharma SA,Cell and gene therapy,Dispersion for injection,intravenous,approved,authorised,03.05.2024,2024,yes,no,"Ebvallo is indicated as monotherapy for treatment of adult and paediatric patients 2 years of age and older with relapsed or refractory Epstein-Barr virus positive post-transplant lymphoproliferative disease (EBV+ PTLD) who have received at least one prior therapy. For solid organ transplant patients, prior therapy includes chemotherapy unless chemotherapy is inappropriate.","Ebvallo is indicated as monotherapy for treatment of adult and paediatric patients 2 years of age and older with relapsed or refractory Epstein-Barr virus positive post-transplant lymphoproliferative disease (EBV+ PTLD) who have received at least one prior therapy. For solid organ transplant patients, prior therapy includes chemotherapy unless chemotherapy is inappropriate.",Neoplasms; Diseases of the blood and blood-forming organs,27.12.2022,2022,yes,EMA
2024-08-07_final_swisspar_libmeldy_fi_engl.pdf,68236,Not reported,Libmeldy,atidarsagene autotemcel,SFL Pharma GmbH,Cell and gene therapy,dispersion for infusion,intravenous,approved,authorised (under additional monitoring),07.12.2023,2023,yes,no,"Libmeldy is indicated for the treatment of metachromatic leukodystrophy (MLD) characterised by biallelic mutations in the arylsulfatase A (ARSA) gene leading to a reduction of the ARSA enzymatic activity: in children with late infantile or early juvenile forms, without clinical manifestations of the disease, in children with the early juvenile form, with early clinical manifestations of the disease, who still have the ability to walk independently, and before the onset of cognitive decline.","Libmeldy is indicated for the treatment of metachromatic leukodystrophy (MLD) characterised by biallelic mutations in the arylsulfatase A (ARSA) gene leading to a reduction of the ARSA enzymatic activity: in children with late infantile or early juvenile forms, without clinical manifestations of the disease, in children with the early juvenile form, with early clinical manifestations of the disease, who still have the ability to walk independently, and before the onset of cognitive decline.",Diseases of the nervous system,27.10.2022,2022,yes,EMA
2024-08-07_final_swisspar_oxlumo_fi_engl.pdf,68239,EMEA/H/C/005040/0000,OXLUMO,lumasiran,Alnylam Switzerland GmbH,Small molecule,solution for injection,subcutaneous,approved,authorised (under additional monitoring),01.12.2021,2021,yes,no,Oxlumo is indicated for the treatment of primary hyperoxaluria type 1 (PH1) in all age groups.,Oxlumo is indicated for the treatment of primary hyperoxaluria type 1 (PH1) in all age groups.,"Endocrine, nutritional, and metabolic diseases",26.02.2021,2021,yes,EMA
2024-09-13_swisspar_givlaari_fi_engl-1.pdf,67895,Not reported,Givlaari,givosiran,Alnylam Switzerland GmbH,Small molecule,solution for injection,subcutaneous,approved,authorised (under additional monitoring),29.03.2021,2021,yes,no,Treatment of acute hepatic porphyria in adults and adolescents aged 12 years and older.,Treatment of acute hepatic porphyria in adults and adolescents aged 12 years and older.,"Endocrine, nutritional, and metabolic diseases",02.06.2020,2020,yes,EMA
2024-09-16_swisspar_ervebo_fi_engl.pdf,68358,EMEA/H/C/004554/0000,Ervebo,"Ebola Zaire Vaccine (rVSV ΔG-ZEBOV-GP, live)",MSD Merck Sharp & Dohme AG,Vaccine,solution for injection,intramuscular,approved,authorised (under additional monitoring),10.11.2021,2021,no,no,Active immunisation of individuals 18 years of age or older to protect against Ebola Virus Disease (EVD) caused by Zaire Ebola virus.,Active immunisation of individuals 18 years of age or older to protect against Ebola Virus Disease (EVD) caused by Zaire Ebola virus.,Infectious and parasitic diseases,21.01.2021,2021,yes,EMA
2024-09-26_final_swisspar_tecartus_rrall_fi_engl.pdf,67884,Not reported,Tecartus,brexucaptagene autoleucel,Gilead Sciences Switzerland Sàrl,Cell and gene therapy,dispersion for infusion,autologous and intravenous,approved,authorised (under additional monitoring),12.01.2023,2023,yes,yes,Tecartus is indicated for the treatment of adult patients with relapsed or refractory B-cell precursor acute lymphoblastic leukaemia (ALL).,Tecartus is indicated for the treatment of adult patients with relapsed or refractory B-cell precursor acute lymphoblastic leukaemia (ALL) after 2 or more systemic therapies.,Neoplasms; Diseases of the blood and blood-forming organs,03.12.2021,2021,yes,NA
2024-10-08_swisspar_qdenga_art_13_final_fi_engl.pdf,69403,EMEA/H/C/005155/0000,Qdenga,"live, attenuated Dengue virus serotype 1; live, attenuated Dengue virus serotype 2; live, attenuated Dengue virus serotype 3; live, attenuated Dengue virus serotype 4",Takeda Pharma AG,Vaccine,powder and solvent for solution for injection,subcutaneous,approved,authorised (under additional monitoring),29.07.2024,2024,no,no,Qdenga is indicated for the prevention of dengue disease in individuals from 4 years of age.,Qdenga is indicated for the prevention of dengue disease in individuals from 4 years of age.,Infectious and parasitic diseases,14.04.2023,2023,yes,EMA
2024-11-22_final_swisspar_casgevy_art_13_fi_engl_corr.pdf,68978,EMEA/H/C/005763/0000,Casgevy,exagamglogene autotemcel,Vertex Pharmaceuticals (CH) GmbH,Cell and gene therapy,dispersion for infusion,intravenous,temporary authorisation,authorised (under additional monitoring),06.09.2024,2024,yes,no,β-thalassemia; Sickle cell disease,β-thalassemia; Sickle cell disease,Diseases of the blood and blood-forming organs,20.12.2023,2023,yes,EMA
2024-12-10_final_swisspar_ervebo_ie_kinder_ab_1j_fi_engl.pdf,68358,EMEA/H/C/004554/II/0025,Ervebo,"rVSVdeltaG-ZEBOV-GP, live, attenuated",MSD Merck Sharp & Dohme AG,Vaccine,solution for injection,intramuscular,approved,authorised (under additional monitoring),29.07.2024,2024,Not reported,yes,Ervebo is indicated for active immunisation of individuals 1 year of age or older to protect against Ebola virus disease (EVD) caused by Zaire Ebola virus,Ervebo is indicated for active immunisation of individuals 1 year of age or older to protect against Ebola virus disease (EVD) caused by Zaire Ebola virus,Infectious and parasitic diseases,20.11.2023,2023,yes,EMA
2024-12-13_hemgenix_swisspar_final_fi_engl.pdf,68780,Not reported,Hemgenix,etranacogene dezaparvovec,CSL Behring AG,Cell and gene therapy,concentrate for solution for infusion,intravenous,approved,authorised,07.12.2023,2023,yes,no,treatment of adults with Haemophilia B (congenital Factor IX deficiency) with a preexisting neutralising adeno-associated viral vector serotype 5 (AAV5) antibody titre below 1:900 to reduce the frequency of bleeding episodes and the need for Factor IX replacement therapy,treatment of male adults with severe/moderately severe Haemophilia B (congenital Factor IX deficiency) with a preexisting neutralising adeno-associated viral vector serotype 5 (AAV5) antibody titre below 1:900 to reduce the frequency of bleeding episodes and the need for Factor IX replacement therapy,Diseases of the blood and blood-forming organs,15.03.2023,2023,no,NA
