Document_name,Marketing_authorisation_number,Procedure_number,Drug_name,Non_proprietary_name,Marketing_authorisation_holder,Drug_class,Pharmaceutical_form,Administration_route,Decision,Current_status,Decision_date,Decision_year,Orphan_drug_status,Indication_extended,Indication_requested,Indication_approved,Disease_class(es),Application_date,Application_year,Nonclinical_abridged,Referral_body
auspar-eculizumab-201124.pdf,138885,PM-2019-04825-1-1,Soliris,Eculizumab,Alexion Pharmaceuticals Australasia Pty Ltd,Biologics,Concentrated solution,Intravenous,approved,authorised (under additional monitoring),26.06.2020,2020,yes,yes,Adult patients with Neuromyelitis Optica Spectrum Disorder (NMOSD) who are anti-aquaporin-4 (AQP4) antibody-positive.,Adult patients with Neuromyelitis Optica Spectrum Disorder (NMOSD) who are anti-aquaporin-4 (AQP4) antibody-positive.,Diseases of the nervous system,02.12.2019,2019,yes,Health Canada
auspar-nuceiva-230919.pdf,381094,PM-2021-05441-1-1,Nuceiva,Prabotulinum toxin A,PPD Australia Pty Ltd,Biologics,Powder for solution for injection,Intramuscular,approved,authorised (under additional monitoring),13.01.2023,2023,no,no,The temporary improvement in the appearance of moderate to severe glabellar lines associated with corrugator and/or procerus muscle activity in adult patients.,The temporary improvement in the appearance of moderate to severe glabellar lines in adult patients.,Diseases of the skin,31.01.2022,2022,yes,Not reported
auspar-valganciclovir-160105.pdf,82903; 154382,PM-2014-01870-1-2,Valcyte,Valganciclovir,Roche Products Pty Ltd,Small molecule,Film coated tablet / powder for oral solution,Oral,approved,authorised,08.09.2015,2015,no,yes,Prophylaxis of CMV disease in adult and paediatric solid organ transplantation (SOT) patients who are at risk.,Prophylaxis of CMV disease in adult and paediatric solid organ transplantation (SOT) patients who are at risk.,Infectious and parasitic diseases,Not reported,Not reported,yes,Not reported
auspar-adalimumab-170320.pdf,"199410, 199411, 199412, 216038, 238700, 95779",PM-2015-01149-1-3,Humira,Adalimumab,AbbVie Pty Ltd,Biologics,Solution for Injection,Subcutaneous,approved,authorised,07.07.2016,2016,no,yes,Enthesitis-Related Arthritis; Psoriasis in Adults and Children,Enthesitis-Related Arthritis; Psoriasis in Adults and Children,Diseases of the musculoskeletal system and connective tissue; Diseases of the skin,Not reported,Not reported,yes,Not reported
auspar-welireg-230913.pdf,355338,PM-2021-00644-1-4,Welireg,Belzutifan,Merck Sharp & Dohme (Australia) Pty Ltd,Small molecule,Film-coated tablet,Oral,approved,authorised (under additional monitoring),20.12.2022,2022,yes,yes,treatment of adult patients with von Hippel-Lindau (VHL) disease who require therapy for associated renal cell carcinoma not requiring immediate surgery,"treatment of adult patients with von Hippel-Lindau (VHL) disease who require therapy for associated renal cell carcinoma (RCC), central nervous system (CNS) haemangioblastomas, or pancreatic neuroendocrine tumours (pNET), not requiring immediate surgery",Neoplasms; Diseases of the nervous system; Diseases of the digestive system,31.03.2021,2021,no,NA
auspar-eltrombopag-olamine-131203.pdf,"158356, 158419 and 200121",PM-2012-01934-3-2,Revolade,Eltrombopag Olamine,GlaxoSmithKline Australia Pty Ltd,Small molecule,Tablets,Oral,approved,authorised,27.08.2013,2013,no,yes,Treatment of thrombocytopenia in adult patients with chronic hepatitis C virus (HCV) infection to enable the initiation of interferon-based therapy and during interferon-based therapy.,Treatment of thrombocytopenia in patients with chronic hepatitis C to allow the initiation and maintenance of interferon-based therapy.,Diseases of the blood and blood-forming organs; Infectious and parasitic diseases,Not reported,Not reported,yes,Not reported
auspar-zomacton.pdf,156226,PM-2008-2954-5,Zomacton,Somatropin,Ferring Pharmaceuticals Pty Ltd,Peptides and proteins,powder for injection,subcutaneous,approved,authorised,03.09.2010,2010,no,no,For the long term treatment of children who have growth failure due to inadequate secretion of growth hormone.,For the long term treatment of children who have growth failure due to inadequate secretion of growth hormone.,"Endocrine, nutritional, and metabolic diseases",Not reported,Not reported,no,NA
auspar-upadacitinib-210716.pdf,312687,PM-2020-02479-1-3,Rinvoq,Upadacitinib,AbbVie Pty Ltd,Small molecule,Modified release tablets,Oral,approved,authorised (under additional monitoring),06.05.2021,2021,no,yes,Psoriatic Arthritis; Ankylosing Spondylitis,Psoriatic Arthritis; Ankylosing Spondylitis,Diseases of the musculoskeletal system and connective tissue; Diseases of the skin,30.06.2020,2020,yes,Not reported
auspar-bevacizumab-141103.pdf,Not reported,PM-2013-00709-1-4,Avastin,Bevacizumab,Roche Products Pty Ltd,Biologics,Solution for infusion,Intravenous,rejected,NA,17.09.2014,2014,yes,yes,Treatment of adult patients with newly diagnosed glioblastoma in combination with radiotherapy and temozolomide.,NA,Neoplasms; Diseases of the nervous system,Not reported,Not reported,yes,Not reported
auspar-votrient.pdf,161 281 and 161 282,PM-2009-01084-4,Votrient,Pazopanib hydrochloride,GlaxoSmithKline Australia Pty Ltd,Small molecule,Film Coated Tablets,Oral,approved,authorised,22.06.2010,2010,yes,no,Treatment of advanced and/or metastatic renal cell carcinoma (RCC).,Treatment of advanced and/or metastatic renal cell carcinoma (RCC).,Neoplasms; Diseases of the genitourinary system,Not reported,Not reported,no,NA
